Time;Trial;Scene;Modality;PosX;PosZ;Speed;TTC;PredCrashX;PredCrashZ;CrashAngle
0,1;1;C2B;Control;-216.980;-288.120;0.22;124270.30;-216.857;-283.421;66.4
0,2;1;C2B;Control;-216.980;-288.120;0.13;58539.10;-216.921;-276.003;66.4
0,3;1;C2B;Control;-216.980;-288.120;0.03;47004.42;-216.980;-288.120;66.4
0,4;1;C2B;Control;-216.980;-288.120;0.03;44503.30;-216.980;-288.120;66.4
0,5;1;C2B;Control;-216.980;-288.119;0.03;45425.38;-216.980;-288.119;66.5
0,6;1;C2B;Control;-216.980;-288.119;0.02;46649.19;-216.980;-288.119;66.5
0,7;1;C2B;Control;-216.980;-288.119;0.00;47150.91;-216.980;-288.119;66.5
0,8;1;C2B;Control;-216.980;-288.119;0.00;47087.97;-216.980;-288.119;66.5
0,9;1;C2B;Control;-216.980;-288.119;0.00;46884.61;-216.980;-288.119;66.5
1;1;C2B;Control;-216.980;-288.119;0.00;46276.64;-216.980;-288.119;66.5
1,1;1;C2B;Control;-216.980;-288.119;0.00;46263.25;-216.980;-288.119;66.5
1,2;1;C2B;Control;-216.980;-288.119;0.00;46293.68;-216.980;-288.119;66.5
1,3;1;C2B;Control;-216.980;-288.119;0.00;46310.78;-216.980;-288.119;66.5
1,4;1;C2B;Control;-216.980;-288.119;0.00;46326.39;-216.980;-288.119;66.5
1,5;1;C2B;Control;-216.980;-288.119;0.00;46281.23;-216.980;-288.119;66.5
1,6;1;C2B;Control;-216.980;-288.119;0.00;46303.79;-216.980;-288.119;66.5
1,7;1;C2B;Control;-216.980;-288.119;0.00;46322.66;-216.980;-288.119;66.5
1,8;1;C2B;Control;-216.980;-288.119;0.00;46284.90;-216.980;-288.119;66.5
1,9;1;C2B;Control;-216.980;-288.119;0.00;46310.84;-216.980;-288.119;66.5
2;1;C2B;Control;-216.980;-288.119;0.00;46320.75;-216.980;-288.119;66.5
2,1;1;C2B;Control;-216.980;-288.119;0.00;46295.15;-216.980;-288.119;66.5
2,2;1;C2B;Control;-216.980;-288.119;0.00;46292.05;-216.980;-288.119;66.5
2,3;1;C2B;Control;-216.980;-288.119;0.00;46319.15;-216.980;-288.119;66.5
2,4;1;C2B;Control;-216.980;-288.119;0.00;46332.34;-216.980;-288.119;66.5
2,5;1;C2B;Control;-216.980;-288.119;0.00;46280.84;-216.980;-288.119;66.5
2,6;1;C2B;Control;-216.980;-288.119;0.00;46314.66;-216.980;-288.119;66.5
2,7;1;C2B;Control;-216.980;-288.119;0.00;46329.45;-216.980;-288.119;66.5
2,8;1;C2B;Control;-216.980;-288.119;0.00;46282.42;-216.980;-288.119;66.5
2,9;1;C2B;Control;-216.980;-288.119;0.00;46296.42;-216.980;-288.119;66.5
3;1;C2B;Control;-216.980;-288.119;0.00;46295.23;-216.980;-288.119;66.5
3,1;1;C2B;Control;-216.980;-288.114;0.12;3822.32;-214.729;-112.932;66.4
3,2;1;C2B;Control;-216.980;-288.087;0.43;1186.72;-215.614;-112.918;66.4
3,3;1;C2B;Control;-216.979;-288.023;0.82;571.84;-215.533;-112.881;66.4
3,4;1;C2B;Control;-216.979;-287.915;1.28;357.93;-215.335;-112.815;66.4
3,5;1;C2B;Control;-216.977;-287.761;1.71;263.52;-215.073;-112.728;66.3
3,6;1;C2B;Control;-216.975;-287.561;2.17;205.33;-214.712;-112.608;66.2
3,7;1;C2B;Control;-216.970;-287.318;2.59;168.71;-213.385;-112.492;66.0
3,8;1;C2B;Control;-216.963;-287.030;3.02;141.84;-212.134;-112.351;65.7
3,9;1;C2B;Control;-216.952;-286.699;3.44;122.60;-210.945;-112.197;65.4
4;1;C2B;Control;-216.937;-286.334;3.85;107.01;-208.894;-112.071;64.8
4,1;1;C2B;Control;-216.916;-285.920;4.25;95.68;-208.038;-111.875;64.4
4,2;1;C2B;Control;-216.895;-285.465;4.66;89.31;-209.512;-111.551;64.8
4,3;1;C2B;Control;-216.879;-284.969;5.05;86.04;-212.904;-111.144;66.0
4,4;1;C2B;Control;-216.874;-284.432;5.45;84.24;-216.538;-110.773;67.5
4,5;1;C2B;Control;-216.879;-283.856;5.83;82.73;-219.607;-110.439;68.9
4,6;1;C2B;Control;-216.894;-283.240;6.23;80.95;-221.941;-110.095;69.9
4,7;1;C2B;Control;-216.917;-282.586;6.60;78.81;-223.510;-109.717;70.6
4,8;1;C2B;Control;-216.945;-281.894;6.96;76.16;-224.222;-109.293;71.0
4,9;1;C2B;Control;-216.976;-281.164;7.33;72.73;-224.061;-108.786;71.0
5;1;C2B;Control;-217.004;-280.398;7.69;68.61;-222.874;-108.226;70.5
5,1;1;C2B;Control;-217.027;-279.593;8.06;64.38;-221.111;-107.650;69.9
5,2;1;C2B;Control;-217.039;-278.753;8.41;59.61;-218.401;-107.032;68.9
5,3;1;C2B;Control;-217.035;-277.876;8.74;54.74;-214.740;-106.488;67.5
5,4;1;C2B;Control;-217.009;-276.966;9.09;50.03;-210.402;-106.041;65.9
5,5;1;C2B;Control;-216.956;-276.024;9.42;45.73;-205.704;-105.725;64.4
5,6;1;C2B;Control;-216.875;-275.050;9.75;41.88;-200.941;-105.497;63.0
5,7;1;C2B;Control;-216.767;-274.046;10.05;38.95;-196.899;-105.370;62.0
5,8;1;C2B;Control;-216.633;-273.033;10.36;36.25;-192.737;-105.320;60.9
5,9;1;C2B;Control;-216.467;-271.972;10.69;33.94;-188.789;-105.358;59.8
6;1;C2B;Control;-216.271;-270.885;10.98;31.83;-184.787;-105.487;58.7
6,1;1;C2B;Control;-216.043;-269.772;11.29;29.96;-180.876;-105.705;57.6
6,2;1;C2B;Control;-215.781;-268.635;11.58;28.08;-176.391;-106.132;56.1
6,3;1;C2B;Control;-215.479;-267.478;11.86;26.39;-171.784;-106.759;54.5
6,4;1;C2B;Control;-215.136;-266.303;12.13;24.68;-166.590;-107.662;52.8
6,5;1;C2B;Control;-214.748;-265.113;12.40;23.15;-161.412;-108.760;51.2
6,6;1;C2B;Control;-214.313;-263.910;12.66;21.82;-156.428;-110.002;49.6
6,7;1;C2B;Control;-213.829;-262.697;12.92;20.52;-150.997;-111.606;47.6
6,8;1;C2B;Control;-213.292;-261.479;13.16;19.30;-145.274;-113.581;45.5
6,9;1;C2B;Control;-212.698;-260.261;13.39;18.15;-139.331;-115.933;43.3
7;1;C2B;Control;-212.045;-259.047;13.61;17.13;-133.416;-118.616;40.9
7,1;1;C2B;Control;-211.328;-257.845;13.81;16.07;-126.504;-122.221;37.8
7,2;1;C2B;Control;-210.542;-256.664;13.98;15.17;-119.839;-126.194;34.8
7,3;1;C2B;Control;-209.685;-255.511;14.16;14.33;-113.054;-130.774;31.8
7,4;1;C2B;Control;-208.758;-254.392;14.32;13.52;-105.952;-136.207;28.6
7,5;1;C2B;Control;-207.762;-253.312;14.48;12.86;-99.915;-141.399;26.1
7,6;1;C2B;Control;-206.701;-252.270;14.65;12.29;-94.657;-146.401;24.2
7,7;1;C2B;Control;-205.581;-251.266;14.84;11.75;-89.801;-151.483;22.3
7,8;1;C2B;Control;-204.404;-250.296;15.04;11.30;-85.984;-155.832;20.9
7,9;1;C2B;Control;-203.200;-249.379;15.24;10.87;-82.297;-160.397;19.0
8;1;C2B;Control;-201.921;-248.479;15.42;10.49;-79.040;-164.785;17.1
8,1;1;C2B;Control;-200.619;-247.635;15.59;10.12;-75.714;-169.685;14.6
8,2;1;C2B;Control;-199.241;-246.821;15.76;9.78;-72.471;-174.960;12.0
8,3;1;C2B;Control;-197.815;-246.059;15.93;9.46;-69.470;-180.383;9.6
8,4;1;C2B;Control;-196.372;-245.365;16.09;9.17;-66.772;-185.820;7.5
8,5;1;C2B;Control;-194.888;-244.723;16.25;8.90;-64.494;-190.952;5.7
8,6;1;C2B;Control;-193.333;-244.122;16.41;8.66;-62.560;-195.830;3.9
8,7;1;C2B;Control;-191.772;-243.586;16.58;8.42;-60.779;-200.900;2.4
8,8;1;C2B;Control;-190.177;-243.103;16.74;8.21;-59.356;-205.508;-1.9
8,9;1;C2B;Control;-188.518;-242.667;16.89;8.00;-57.990;-210.616;-3.3
9;1;C2B;Control;-186.862;-242.295;17.03;7.83;-56.951;-215.186;-5.1
9,1;1;C2B;Control;-185.181;-241.978;17.17;7.66;-56.089;-219.703;-6.8
9,2;1;C2B;Control;-183.442;-241.709;17.33;7.51;-55.482;-223.565;-7.9
9,3;1;C2B;Control;-181.715;-241.492;17.47;7.35;-55.037;-227.012;-8.9
9,4;1;C2B;Control;-179.933;-241.315;17.63;7.19;-54.699;-230.284;-10.1
9,5;1;C2B;Control;-178.130;-241.180;17.79;7.05;-54.469;-233.146;-11.3
9,6;1;C2B;Control;-176.345;-241.086;17.96;6.91;-54.309;-235.815;-12.6
9,7;1;C2B;Control;-174.542;-241.031;18.11;6.77;-54.198;-238.539;-13.9
9,8;1;C2B;Control;-172.686;-241.015;18.26;6.65;-54.142;-241.029;-15.3
9,9;1;C2B;Control;-170.852;-241.038;18.42;6.52;-54.129;-243.601;-16.7
10;1;C2B;Control;-169.003;-241.100;18.56;6.41;-54.154;-245.865;-18.0
10,1;1;C2B;Control;-167.105;-241.201;18.71;6.30;-54.209;-248.166;-19.2
10,2;1;C2B;Control;-165.230;-241.335;18.86;6.18;-54.264;-250.026;-19.7
10,3;1;C2B;Control;-163.344;-241.494;19.00;6.06;-54.283;-251.250;-19.7
10,4;1;C2B;Control;-161.406;-241.673;19.15;5.93;-54.239;-251.764;-19.0
10,5;1;C2B;Control;-159.491;-241.852;19.32;5.80;-54.130;-251.644;-17.8
10,6;1;C2B;Control;-157.563;-242.026;19.44;5.66;-53.989;-251.171;-17.2
10,7;1;C2B;Control;-155.581;-242.195;19.56;5.52;-53.848;-250.682;-17.3
10,8;1;C2B;Control;-153.624;-242.355;19.70;5.39;-53.723;-250.347;-17.9
10,9;1;C2B;Control;-151.613;-242.513;19.84;5.26;-53.597;-250.129;-18.4
11;1;C2B;Control;-149.588;-242.669;19.96;5.13;-53.473;-250.008;-18.9
11,1;1;C2B;Control;-147.591;-242.821;20.09;5.01;-53.361;-250.025;-19.7
11,2;1;C2B;Control;-145.583;-242.976;20.17;4.90;-53.254;-250.123;-20.4
11,3;1;C2B;Control;-143.529;-243.136;20.19;4.81;-53.130;-250.169;-20.6
11,4;1;C2B;Control;-141.525;-243.289;19.96;4.76;-52.988;-250.002;-20.2
11,5;1;C2B;Control;-139.547;-243.434;19.70;4.72;-52.826;-249.613;-19.6
11,6;1;C2B;Control;-137.556;-243.567;19.45;4.69;-52.649;-248.958;-18.9
11,7;1;C2B;Control;-135.628;-243.678;19.18;4.64;-52.468;-248.023;-17.9
11,8;1;C2B;Control;-133.725;-243.763;18.93;4.60;-52.291;-246.883;-17.1
11,9;1;C2B;Control;-131.810;-243.821;18.66;4.55;-52.134;-245.692;-16.6
12;1;C2B;Control;-129.958;-243.851;18.41;4.50;-52.012;-244.677;-16.6
12,1;1;C2B;Control;-128.094;-243.858;18.16;4.45;-51.894;-243.720;-16.9
12,2;1;C2B;Control;-126.255;-243.846;17.92;4.41;-51.789;-243.066;-17.7
12,3;1;C2B;Control;-124.476;-243.822;17.68;4.37;-51.693;-242.657;-18.5
12,4;1;C2B;Control;-122.720;-243.790;17.46;4.33;-51.591;-242.346;-19.0
12,5;1;C2B;Control;-120.952;-243.751;17.23;4.30;-51.489;-242.100;-19.5
12,6;1;C2B;Control;-119.241;-243.708;17.01;4.26;-51.398;-241.913;-20.0
12,7;1;C2B;Control;-117.553;-243.661;16.79;4.22;-51.368;-241.756;-20.4
12,8;1;C2B;Control;-115.853;-243.610;16.57;4.18;-51.420;-241.625;-20.9
12,9;1;C2B;Control;-114.208;-243.558;16.36;4.13;-51.533;-241.532;-21.4
13;1;C2B;Control;-112.584;-243.504;16.15;4.07;-51.726;-241.457;-21.9
13,1;1;C2B;Control;-110.949;-243.449;15.94;4.01;-51.999;-241.467;-22.6
13,2;1;C2B;Control;-109.367;-243.399;15.73;3.95;-52.326;-241.674;-24.1
13,3;1;C2B;Control;-107.804;-243.359;15.53;3.89;-52.687;-242.103;-25.9
13,4;1;C2B;Control;-106.232;-243.334;15.32;3.83;-53.149;-242.739;-27.7
13,5;1;C2B;Control;-104.711;-243.329;15.11;3.78;-53.689;-243.471;-29.4
13,6;1;C2B;Control;-103.181;-243.347;14.90;3.72;-54.282;-244.243;-31.1
13,7;1;C2B;Control;-101.672;-243.386;14.70;3.65;-54.974;-244.851;-31.9
13,8;1;C2B;Control;-100.213;-243.437;14.51;3.56;-55.713;-245.103;-31.6
13,9;1;C2B;Control;-98.773;-243.489;14.32;3.44;-56.502;-244.985;-30.6
14;1;C2B;Control;-97.323;-243.530;14.13;3.31;-57.247;-244.479;-28.8
14,1;1;C2B;Control;-95.921;-243.545;13.92;3.16;-57.992;-243.616;-26.7
14,2;1;C2B;Control;-94.540;-243.522;13.70;2.99;-58.815;-242.460;-24.4
14,3;1;C2B;Control;-93.157;-243.452;13.47;2.82;-59.714;-241.258;-22.7
14,4;1;C2B;Control;-91.825;-243.342;13.27;2.66;-60.594;-240.363;-22.5
14,5;1;C2B;Control;-90.517;-243.202;13.08;2.51;-61.438;-239.831;-23.3
14,6;1;C2B;Control;-89.202;-243.041;12.90;2.36;-62.249;-239.621;-24.8
14,7;1;C2B;Control;-87.931;-242.880;12.74;2.22;-62.966;-239.691;-26.7
14,8;1;C2B;Control;-86.675;-242.725;12.57;2.09;-63.640;-239.946;-28.9
14,9;1;C2B;Control;-85.435;-242.583;11.70;2.06;-64.333;-240.272;-30.8
15;1;C2B;Control;-84.325;-242.471;10.76;2.08;-64.959;-240.641;-32.9
15,1;1;C2B;Control;-83.274;-242.385;9.94;2.08;-65.595;-241.105;-34.9
15,2;1;C2B;Control;-82.306;-242.329;9.13;2.09;-66.238;-241.555;-36.4
15,3;1;C2B;Control;-81.435;-242.299;8.34;2.10;-66.883;-241.968;-37.6
15,4;1;C2B;Control;-80.642;-242.291;7.57;2.12;-67.472;-242.275;-38.3
15,5;1;C2B;Control;-79.912;-242.298;6.79;2.12;-68.165;-242.472;-37.8
15,6;1;C2B;Control;-79.272;-242.309;6.04;2.11;-68.781;-242.507;-36.2
15,7;1;C2B;Control;-78.707;-242.318;5.30;2.09;-69.423;-242.454;-33.5
15,8;1;C2B;Control;-78.216;-242.322;4.57;2.07;-70.008;-242.363;-30.3
15,9;1;C2B;Control;-77.790;-242.320;3.83;2.07;-70.619;-242.271;-25.5
16;1;C2B;Control;-77.446;-242.316;3.11;2.15;-71.121;-242.209;-20.0
16,1;1;C2B;Control;-77.173;-242.309;2.40;2.39;-71.558;-242.157;-12.2
16,2;1;C2B;Control;-76.968;-242.303;1.68;3.05;-71.831;-242.120;-2.9
16,3;1;C2B;Control;-76.837;-242.297;0.98;5.03;-71.798;-242.089;6.4
16,4;1;C2B;Control;-76.776;-242.295;0.29;15.09;-71.555;-242.067;14.1
16,5;1;C2B;Control;-76.773;-242.295;0.01;634.66;-76.773;-242.295;20.1
16,6;1;C2B;Control;-76.773;-242.295;0.01;1014.41;-76.773;-242.295;24.7
16,7;1;C2B;Control;-76.773;-242.295;0.00;826.87;-76.773;-242.295;27.7
16,8;1;C2B;Control;-76.774;-242.295;0.00;779.99;-76.774;-242.295;29.6
16,9;1;C2B;Control;-76.774;-242.295;0.00;767.73;-76.774;-242.295;30.4
