Time;Trial;Scene;Modality;PosX;PosZ;Speed;TTC;PredCrashX;PredCrashZ;CrashAngle
17.334;2;T7A;Audio;-282.070;-285.100;0.22;37804.85;-282.093;-280.644;-1.1
17.436;2;T7A;Audio;-282.070;-285.100;0.14;20809.76;-282.096;-273.705;-1.2
17.536;2;T7A;Audio;-282.070;-285.100;0.03;18013.02;-282.070;-285.100;-1.3
17.636;2;T7A;Audio;-282.070;-285.100;0.03;17713.52;-282.070;-285.100;-1.3
17.738;2;T7A;Audio;-282.070;-285.099;0.03;17996.57;-282.070;-285.099;-1.3
17.838;2;T7A;Audio;-282.070;-285.099;0.02;18146.07;-282.070;-285.099;-1.3
17.938;2;T7A;Audio;-282.070;-285.099;0.00;18636.63;-282.070;-285.099;-1.3
18.040;2;T7A;Audio;-282.070;-285.099;0.02;23338.50;-282.070;-285.099;-1.3
18.140;2;T7A;Audio;-282.070;-285.081;0.34;636.35;-284.419;-115.445;-1.3
18.240;2;T7A;Audio;-282.071;-285.026;0.75;246.76;-284.736;-115.837;-1.6
18.342;2;T7A;Audio;-282.072;-284.924;1.21;151.93;-285.071;-116.228;-1.8
18.442;2;T7A;Audio;-282.075;-284.779;1.66;108.06;-285.564;-116.640;-1.9
18.542;2;T7A;Audio;-282.080;-284.592;2.08;84.33;-286.181;-117.051;-2.0
18.644;2;T7A;Audio;-282.086;-284.356;2.52;68.46;-286.978;-117.498;2.0
18.744;2;T7A;Audio;-282.095;-284.083;2.95;58.71;-287.807;-117.900;2.0
18.844;2;T7A;Audio;-282.108;-283.768;3.35;50.61;-288.870;-118.359;2.2
18.946;2;T7A;Audio;-282.124;-283.405;3.77;44.69;-289.931;-118.813;2.4
19.046;2;T7A;Audio;-282.143;-283.007;4.16;40.25;-290.254;-119.218;2.6
19.146;2;T7A;Audio;-282.166;-282.570;4.57;36.35;-290.833;-119.657;2.8
19.248;2;T7A;Audio;-282.193;-282.084;4.97;33.25;-291.494;-120.099;3.0
19.348;2;T7A;Audio;-282.224;-281.568;5.37;30.64;-292.213;-120.542;3.3
19.448;2;T7A;Audio;-282.261;-281.013;5.73;28.41;-292.985;-120.991;3.6
19.550;2;T7A;Audio;-282.302;-280.409;6.13;26.50;-293.095;-121.389;3.6
19.650;2;T7A;Audio;-282.344;-279.778;6.48;24.73;-293.139;-121.804;3.6
19.752;2;T7A;Audio;-282.391;-279.097;6.87;23.26;-293.143;-122.200;3.6
19.852;2;T7A;Audio;-282.439;-278.393;7.23;21.92;-292.619;-122.565;3.4
19.952;2;T7A;Audio;-282.484;-277.653;7.60;20.69;-291.813;-122.920;3.0
20.054;2;T7A;Audio;-282.529;-276.859;7.96;19.59;-290.887;-123.269;2.7
20.154;2;T7A;Audio;-282.570;-276.046;8.31;18.56;-289.876;-123.633;2.4
20.254;2;T7A;Audio;-282.606;-275.198;8.66;17.67;-288.356;-123.973;2.1
20.356;2;T7A;Audio;-282.634;-274.297;8.99;16.84;-286.514;-124.323;-2.0
20.456;2;T7A;Audio;-282.651;-273.381;9.31;16.09;-284.552;-124.684;-2.3
20.556;2;T7A;Audio;-282.655;-272.432;9.66;15.41;-282.553;-125.062;-2.9
20.658;2;T7A;Audio;-282.648;-271.431;9.96;14.76;-280.852;-125.480;-3.3
20.758;2;T7A;Audio;-282.631;-270.417;10.29;14.15;-279.838;-125.905;-3.4
20.858;2;T7A;Audio;-282.610;-269.371;10.61;13.59;-279.665;-126.305;-3.1
20.960;2;T7A;Audio;-282.589;-268.272;10.93;13.05;-280.018;-126.707;-2.7
21.060;2;T7A;Audio;-282.572;-267.162;11.23;12.55;-280.672;-127.093;-2.3
21.160;2;T7A;Audio;-282.560;-266.023;11.54;12.09;-281.488;-127.486;-2.1
21.262;2;T7A;Audio;-282.555;-264.830;11.84;11.66;-282.392;-127.882;-1.9
21.362;2;T7A;Audio;-282.557;-263.632;12.12;11.24;-283.060;-128.288;-1.9
21.462;2;T7A;Audio;-282.564;-262.405;12.39;10.87;-283.436;-128.669;-1.9
21.564;2;T7A;Audio;-282.574;-261.126;12.70;10.50;-283.657;-129.075;-1.9
21.664;2;T7A;Audio;-282.585;-259.845;12.92;10.14;-283.785;-129.494;-1.9
21.764;2;T7A;Audio;-282.597;-258.540;13.15;9.83;-283.848;-129.888;-1.9
21.866;2;T7A;Audio;-282.611;-257.186;13.37;9.54;-283.884;-130.299;-1.9
21.966;2;T7A;Audio;-282.624;-255.841;13.52;9.30;-283.903;-130.693;-1.9
22.066;2;T7A;Audio;-282.638;-254.482;13.64;9.08;-283.911;-131.091;-1.8
22.168;2;T7A;Audio;-282.652;-253.085;13.75;8.88;-283.915;-131.506;-1.7
22.268;2;T7A;Audio;-282.667;-251.706;13.81;8.70;-283.916;-131.903;-1.7
22.368;2;T7A;Audio;-282.680;-250.322;13.86;8.54;-283.914;-132.297;-1.6
22.470;2;T7A;Audio;-282.695;-248.906;13.91;8.38;-283.912;-132.709;-1.6
22.570;2;T7A;Audio;-282.710;-247.513;13.96;8.22;-283.910;-133.110;-1.5
22.670;2;T7A;Audio;-282.726;-246.115;14.00;8.07;-283.907;-133.502;-1.5
22.772;2;T7A;Audio;-282.741;-244.685;14.04;7.91;-283.904;-133.914;-1.5
22.872;2;T7A;Audio;-282.756;-243.278;14.08;7.76;-283.901;-134.288;-1.5
22.972;2;T7A;Audio;-282.772;-241.868;14.12;7.61;-283.898;-134.659;-1.6
23.074;2;T7A;Audio;-282.787;-240.426;14.15;7.47;-283.895;-134.999;-1.6
23.174;2;T7A;Audio;-282.803;-239.009;14.19;7.33;-283.893;-135.317;-1.6
23.276;2;T7A;Audio;-282.818;-237.560;14.22;7.19;-283.890;-135.616;-1.6
23.376;2;T7A;Audio;-282.833;-236.136;14.26;7.05;-283.888;-135.900;-1.6
23.476;2;T7A;Audio;-282.849;-234.708;14.29;6.92;-283.885;-136.144;-1.6
23.578;2;T7A;Audio;-282.864;-233.249;14.32;6.79;-283.883;-136.372;-1.6
23.678;2;T7A;Audio;-282.879;-231.816;14.34;6.65;-283.881;-136.584;-1.6
23.778;2;T7A;Audio;-282.895;-230.380;14.37;6.53;-283.880;-136.761;-1.6
23.880;2;T7A;Audio;-282.910;-228.912;14.41;6.40;-283.878;-136.925;-1.6
23.980;2;T7A;Audio;-282.926;-227.471;14.43;6.28;-283.877;-137.064;-1.6
24.080;2;T7A;Audio;-282.941;-226.026;14.46;6.16;-283.876;-137.178;-1.7
24.182;2;T7A;Audio;-282.956;-224.550;14.48;6.04;-283.875;-137.268;-1.7
24.282;2;T7A;Audio;-282.972;-223.101;14.51;5.93;-283.874;-137.338;-1.7
24.382;2;T7A;Audio;-282.987;-221.648;14.53;5.81;-283.874;-137.384;-1.7
24.484;2;T7A;Audio;-283.002;-220.164;14.57;5.70;-283.874;-137.407;-1.7
24.584;2;T7A;Audio;-283.018;-218.707;14.59;5.59;-283.874;-137.409;-1.7
24.684;2;T7A;Audio;-283.033;-217.247;14.61;5.48;-283.874;-137.409;-1.7
24.786;2;T7A;Audio;-283.049;-215.755;14.63;5.37;-283.873;-137.408;-1.7
24.886;2;T7A;Audio;-283.063;-214.290;14.66;5.26;-283.802;-137.407;-1.9
24.986;2;T7A;Audio;-283.076;-212.824;14.67;5.15;-283.648;-137.405;-2.2
25.088;2;T7A;Audio;-283.085;-211.327;14.69;5.05;-283.515;-137.404;-2.2
25.188;2;T7A;Audio;-283.093;-209.858;14.70;4.94;-283.422;-137.403;-2.2
25.288;2;T7A;Audio;-283.099;-208.387;14.70;4.84;-283.359;-137.402;-2.2
25.390;2;T7A;Audio;-283.104;-206.886;14.72;4.74;-283.313;-137.401;-2.3
25.490;2;T7A;Audio;-283.108;-205.414;14.73;4.63;-283.283;-137.400;-2.3
25.590;2;T7A;Audio;-283.111;-203.940;14.73;4.53;-283.262;-137.399;-2.3
25.692;2;T7A;Audio;-283.114;-202.436;14.75;4.42;-283.248;-137.398;-2.3
25.792;2;T7A;Audio;-283.117;-200.962;14.76;4.32;-283.239;-137.397;-2.4
25.892;2;T7A;Audio;-283.120;-199.486;14.76;4.22;-283.233;-137.396;-2.4
25.994;2;T7A;Audio;-283.124;-197.979;14.77;4.11;-283.229;-137.395;-2.4
26.094;2;T7A;Audio;-283.127;-196.502;14.78;4.01;-283.227;-137.394;-2.5
26.194;2;T7A;Audio;-283.130;-195.023;14.79;3.91;-283.225;-137.393;-2.5
26.296;2;T7A;Audio;-283.133;-193.514;14.80;3.80;-283.224;-137.392;-2.6
26.396;2;T7A;Audio;-283.136;-192.034;14.81;3.70;-283.224;-137.390;-2.6
26.496;2;T7A;Audio;-283.139;-190.552;14.82;3.60;-283.224;-137.389;-2.7
26.598;2;T7A;Audio;-283.142;-189.041;14.82;3.50;-283.224;-137.388;-2.7
26.698;2;T7A;Audio;-283.145;-187.557;14.84;3.39;-283.225;-137.386;-2.8
26.800;2;T7A;Audio;-283.149;-186.044;14.85;3.29;-283.225;-137.384;-2.9
26.900;2;T7A;Audio;-283.152;-184.559;14.85;3.19;-283.226;-137.383;-2.9
27.000;2;T7A;Audio;-283.155;-183.074;14.85;3.09;-283.226;-137.381;-3.0
27.102;2;T7A;Audio;-283.158;-181.559;14.85;2.98;-283.227;-137.379;-3.1
27.202;2;T7A;Audio;-283.162;-180.073;14.85;2.89;-283.229;-137.377;-3.2
27.302;2;T7A;Audio;-283.166;-178.587;14.87;2.79;-283.230;-137.375;-3.3
27.404;2;T7A;Audio;-283.170;-177.070;14.87;2.68;-283.231;-137.372;-3.4
27.504;2;T7A;Audio;-283.173;-175.582;14.88;2.58;-283.233;-137.370;-3.5
27.604;2;T7A;Audio;-283.177;-174.095;14.88;2.48;-283.234;-137.367;-3.6
27.706;2;T7A;Audio;-283.181;-172.577;14.88;2.38;-283.236;-137.364;-3.8
