ParticipantID: P001
Time;PosX;PosZ;Speed;Steer;Throttle;BrakeF;TTC;PredCrashX;PredCrashZ;CrashAngle
12.980;-99.482;-78.895;14.10;0.022;0.550;0.000;5.333;-40.519;-78.992;36.7
12.990;-99.341;-78.896;14.10;0.022;0.550;0.000;5.333;-40.519;-78.992;36.7
13.000;-99.200;-78.896;14.11;0.022;0.550;0.000;5.333;-40.519;-78.992;36.7
13.010;-99.058;-78.897;14.11;0.022;0.550;0.000;5.304;-40.429;-79.131;36.8
13.020;-98.917;-78.898;14.12;0.022;0.550;0.000;5.288;-40.384;-79.207;36.9
13.030;-98.776;-78.898;14.12;0.022;0.550;0.000;5.276;-40.351;-79.264;36.9
13.040;-98.635;-78.899;14.13;0.022;0.550;0.000;5.270;-40.335;-79.292;36.9
13.050;-98.493;-78.901;14.14;0.022;0.550;0.000;5.256;-40.297;-79.359;37.0
13.060;-98.352;-78.902;14.15;0.022;0.550;0.000;5.250;-40.282;-79.388;37.0
13.070;-98.210;-78.903;14.15;0.022;0.520;0.000;5.235;-40.245;-79.455;37.0
13.080;-98.069;-78.905;14.16;0.022;0.520;0.000;5.229;-40.230;-79.484;37.0
13.090;-97.927;-78.906;14.16;0.022;0.520;0.000;5.217;-40.200;-79.542;37.0
13.100;-97.786;-78.908;14.17;0.022;0.520;0.000;5.207;-40.177;-79.591;37.1
13.110;-97.644;-78.910;14.17;0.022;0.520;0.000;5.195;-40.148;-79.649;37.1
13.120;-97.502;-78.912;14.18;0.022;0.520;0.000;5.189;-40.134;-79.678;37.1
13.130;-97.360;-78.914;14.18;0.022;0.520;0.000;5.176;-40.106;-79.737;37.1
13.140;-97.219;-78.916;14.18;0.022;0.520;0.000;5.164;-40.079;-79.796;37.2
13.150;-97.077;-78.918;14.19;0.022;0.520;0.000;5.158;-40.066;-79.825;37.2
13.160;-96.935;-78.921;14.20;0.022;0.520;0.000;5.147;-40.045;-79.874;37.2
13.170;-96.793;-78.923;14.20;0.022;0.490;0.000;5.134;-40.020;-79.933;37.2
13.180;-96.651;-78.926;14.20;0.022;0.490;0.000;5.122;-39.996;-79.992;37.3
13.190;-96.509;-78.929;14.20;0.022;0.490;0.000;5.116;-39.983;-80.022;37.3
13.200;-96.367;-78.932;14.21;0.022;0.490;0.000;5.103;-39.960;-80.081;37.3
13.210;-96.225;-78.935;14.21;0.022;0.490;0.000;5.091;-39.937;-80.140;37.3
13.220;-96.083;-78.938;14.21;0.022;0.490;0.000;5.084;-39.926;-80.169;37.3
13.230;-95.941;-78.941;14.22;0.022;0.490;0.000;5.072;-39.904;-80.229;37.4
13.240;-95.798;-78.945;14.22;0.022;0.490;0.000;5.059;-39.884;-80.288;37.4
13.250;-95.656;-78.948;14.23;0.022;0.490;0.000;5.052;-39.874;-80.318;37.4
13.260;-95.514;-78.952;14.23;0.022;0.490;0.000;5.039;-39.854;-80.377;37.4
13.270;-95.372;-78.956;14.23;0.022;0.470;0.000;5.028;-39.840;-80.427;37.4
13.280;-95.229;-78.960;14.23;0.022;0.470;0.000;5.015;-39.820;-80.486;37.5
13.290;-95.087;-78.964;14.24;0.022;0.470;0.000;5.009;-39.811;-80.516;37.5
13.300;-94.945;-78.968;14.24;0.022;0.470;0.000;4.997;-39.799;-80.566;37.5
13.310;-94.802;-78.972;14.24;0.022;0.470;0.000;4.985;-39.781;-80.625;37.5
13.320;-94.660;-78.977;14.24;0.022;0.470;0.000;4.971;-39.765;-80.685;37.5
13.330;-94.518;-78.981;14.25;0.022;0.470;0.000;4.965;-39.757;-80.715;37.5
13.340;-94.375;-78.986;14.25;0.022;0.470;0.000;4.951;-39.742;-80.774;37.5
13.350;-94.233;-78.991;14.25;0.022;0.470;0.000;4.940;-39.734;-80.824;37.5
13.360;-94.090;-78.996;14.26;0.022;0.470;0.000;4.926;-39.720;-80.884;37.6
13.370;-93.948;-79.001;14.26;0.022;0.470;0.000;4.919;-39.713;-80.913;37.6
13.380;-93.805;-79.006;14.25;0.022;0.410;0.000;4.906;-39.700;-80.973;37.6
13.390;-93.663;-79.011;14.25;0.022;0.410;0.000;4.893;-39.689;-81.032;37.6
13.400;-93.520;-79.017;14.25;0.022;0.410;0.000;4.887;-39.683;-81.062;37.6
13.410;-93.378;-79.022;14.25;0.022;0.410;0.000;4.875;-39.679;-81.111;37.6
13.420;-93.236;-79.028;14.25;0.022;0.410;0.000;4.862;-39.668;-81.171;37.6
