# Participant=P001, Scenario=Unknown, Modality=Unknown
Time;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
11.072;-108.103;-81.700;12.99;-0.022;0.070;0.000;5.375;-44.409;-91.669;23.1
11.082;-107.975;-81.720;12.98;-0.022;0.070;0.000;5.372;-44.383;-91.619;23.2
11.092;-107.846;-81.740;12.96;-0.022;0.070;0.000;5.371;-44.375;-91.603;23.3
11.102;-107.719;-81.760;12.94;-0.022;0.070;0.000;5.369;-44.356;-91.563;23.4
11.112;-107.591;-81.780;12.93;-0.022;0.070;0.000;5.368;-44.348;-91.545;23.4
11.122;-107.463;-81.799;12.92;-0.022;0.070;0.000;5.365;-44.330;-91.503;23.6
11.132;-107.335;-81.819;12.90;-0.022;0.070;0.000;5.364;-44.322;-91.485;23.6
11.142;-107.208;-81.838;12.89;-0.022;0.070;0.000;5.362;-44.307;-91.447;23.8
11.152;-107.081;-81.858;12.88;-0.022;0.070;0.000;5.361;-44.297;-91.420;23.8
11.162;-106.953;-81.877;12.87;-0.022;0.070;0.000;5.359;-44.283;-91.379;24.0
11.172;-106.826;-81.896;12.85;-0.022;0.070;0.000;5.357;-44.272;-91.351;24.1
11.182;-106.699;-81.915;12.83;-0.022;0.070;0.000;5.355;-44.259;-91.308;24.2
11.192;-106.572;-81.934;12.82;-0.022;0.070;0.000;5.353;-44.245;-91.262;24.3
11.202;-106.446;-81.953;12.81;-0.022;0.070;0.000;5.352;-44.239;-91.239;24.4
11.212;-106.319;-81.972;12.79;-0.022;0.070;0.000;5.349;-44.223;-91.183;24.5
11.222;-106.192;-81.990;12.79;-0.022;0.070;0.000;5.348;-44.217;-91.159;24.6
11.232;-106.066;-82.009;12.77;-0.022;0.070;0.000;5.346;-44.201;-91.100;24.7
11.242;-105.940;-82.027;12.75;-0.022;0.070;0.000;5.345;-44.195;-91.075;24.8
11.252;-105.814;-82.046;12.74;-0.022;0.070;0.000;5.342;-44.181;-91.013;24.9
11.262;-105.688;-82.064;12.73;-0.044;0.070;0.000;5.341;-44.175;-90.986;25.0
11.272;-105.562;-82.082;12.72;-0.044;0.070;0.000;5.339;-44.158;-90.905;25.2
11.282;-105.436;-82.100;12.70;-0.044;0.070;0.000;5.339;-44.152;-90.869;25.3
11.292;-105.310;-82.118;12.69;-0.044;0.070;0.000;5.337;-44.139;-90.796;25.4
11.302;-105.185;-82.135;12.67;-0.044;0.070;0.000;5.336;-44.133;-90.759;25.5
11.312;-105.059;-82.153;12.66;-0.044;0.070;0.000;5.335;-44.118;-90.669;25.7
11.322;-104.934;-82.170;12.65;-0.044;0.070;0.000;5.333;-44.106;-90.588;25.9
11.332;-104.809;-82.187;12.63;-0.044;0.070;0.000;5.333;-44.099;-90.547;26.0
11.342;-104.684;-82.204;12.62;-0.044;0.070;0.000;5.332;-44.083;-90.447;26.3
11.352;-104.559;-82.221;12.61;-0.044;0.070;0.000;5.331;-44.078;-90.402;26.3
11.362;-104.434;-82.237;12.59;-0.067;0.070;0.000;5.330;-44.063;-90.296;26.6
11.372;-104.309;-82.254;12.58;-0.067;0.070;0.000;5.330;-44.057;-90.241;26.7
11.382;-104.184;-82.270;12.57;-0.067;0.070;0.000;5.330;-44.043;-90.129;26.9
11.392;-104.060;-82.286;12.55;-0.067;0.070;0.000;5.330;-44.029;-90.013;27.2
11.402;-103.935;-82.302;12.53;-0.067;0.070;0.000;5.330;-44.023;-89.954;27.3
11.412;-103.811;-82.317;12.52;-0.067;0.070;0.000;5.330;-44.010;-89.831;27.6
11.422;-103.687;-82.333;12.51;-0.067;0.070;0.000;5.331;-44.004;-89.768;27.7
11.432;-103.563;-82.348;12.49;-0.067;0.070;0.000;5.332;-43.986;-89.616;28.0
11.442;-103.439;-82.362;12.48;-0.067;0.070;0.000;5.333;-43.973;-89.480;28.3
11.452;-103.315;-82.377;12.47;-0.067;0.070;0.000;5.334;-43.967;-89.410;28.4
11.462;-103.191;-82.391;12.45;-0.089;0.070;0.000;5.335;-43.955;-89.267;28.7
11.472;-103.068;-82.405;12.43;-0.089;0.070;0.000;5.338;-43.940;-89.103;29.0
11.482;-102.944;-82.419;12.42;-0.089;0.070;0.000;5.339;-43.933;-89.020;29.2
11.492;-102.821;-82.432;12.41;-0.089;0.070;0.000;5.343;-43.917;-88.819;29.5
11.502;-102.697;-82.445;12.39;-0.089;0.070;0.000;5.344;-43.910;-88.731;29.7
11.512;-102.574;-82.458;12.38;-0.089;0.070;0.000;5.348;-43.898;-88.549;30.0
11.522;-102.451;-82.470;12.36;-0.089;0.070;0.000;5.351;-43.887;-88.425;30.3
11.532;-102.328;-82.482;12.34;-0.089;0.070;0.000;5.356;-43.874;-88.201;30.7
11.542;-102.206;-82.493;12.33;-0.089;0.070;0.000;5.359;-43.862;-88.070;30.9
11.552;-102.083;-82.505;12.31;-0.089;0.070;0.000;5.364;-43.853;-87.867;31.3
11.562;-101.960;-82.515;12.30;-0.067;0.070;0.000;5.366;-43.848;-87.764;31.5
11.572;-101.838;-82.526;12.28;-0.067;0.070;0.000;5.371;-43.839;-87.570;31.8
11.582;-101.716;-82.536;12.27;-0.067;0.070;0.000;5.374;-43.834;-87.471;32.0
11.592;-101.593;-82.546;12.25;-0.067;0.070;0.000;5.380;-43.822;-87.236;32.3
