# Participant=P001, Scenario=C1A, Modality=Audio
Time;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
65.056;-108.077;-80.018;14.33;0.000;0.340;0.000;5.520;-42.750;-78.332;34.3
65.066;-107.934;-80.014;14.32;0.000;0.340;0.000;5.517;-42.735;-78.329;34.4
65.076;-107.790;-80.011;14.33;0.000;0.340;0.000;5.512;-42.707;-78.324;34.4
65.086;-107.647;-80.007;14.32;0.000;0.340;0.000;5.507;-42.678;-78.319;34.5
65.096;-107.504;-80.003;14.32;0.000;0.340;0.000;5.505;-42.664;-78.316;34.6
65.106;-107.361;-79.999;14.31;0.000;0.340;0.000;5.500;-42.637;-78.311;34.7
65.116;-107.218;-79.996;14.31;0.000;0.340;0.000;5.494;-42.609;-78.307;34.7
65.126;-107.075;-79.992;14.31;0.000;0.340;0.000;5.492;-42.596;-78.304;34.8
65.136;-106.932;-79.988;14.31;0.000;0.340;0.000;5.485;-42.565;-78.299;34.9
65.146;-106.789;-79.984;14.30;0.000;0.340;0.000;5.483;-42.552;-78.297;34.9
65.156;-106.646;-79.981;14.29;0.000;0.340;0.000;5.477;-42.526;-78.293;35.0
65.166;-106.503;-79.977;14.29;0.000;0.340;0.000;5.472;-42.501;-78.289;35.1
65.176;-106.360;-79.973;14.29;0.000;0.340;0.000;5.469;-42.488;-78.287;35.1
65.186;-106.217;-79.969;14.29;0.000;0.340;0.000;5.463;-42.464;-78.283;35.2
65.196;-106.075;-79.965;14.29;0.000;0.340;0.000;5.457;-42.440;-78.280;35.3
65.206;-105.932;-79.962;14.28;0.000;0.340;0.000;5.454;-42.428;-78.278;35.3
65.216;-105.789;-79.958;14.28;0.000;0.340;0.000;5.448;-42.404;-78.275;35.4
65.226;-105.646;-79.954;14.28;0.000;0.340;0.000;5.442;-42.381;-78.272;35.4
65.236;-105.504;-79.950;14.28;0.000;0.340;0.000;5.439;-42.370;-78.270;35.5
65.246;-105.361;-79.947;14.27;0.000;0.340;0.000;5.432;-42.345;-78.266;35.6
65.256;-105.218;-79.943;14.27;0.000;0.340;0.000;5.428;-42.330;-78.264;35.6
