# Participant=P001test, Scenario=C1A, Modality=Control
Time;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
31.832;-107.997;-79.050;22.94;0.022;0.650;0.000;Infinity;0.000;0.000;0.0
31.842;-107.767;-79.054;22.94;0.022;0.650;0.000;Infinity;0.000;0.000;0.0
31.852;-107.538;-79.059;22.94;0.022;0.650;0.000;Infinity;0.000;0.000;0.0
31.862;-107.309;-79.063;22.94;0.022;0.650;0.000;Infinity;0.000;0.000;0.0
31.872;-107.079;-79.068;22.94;0.022;0.650;0.000;Infinity;0.000;0.000;0.0
31.882;-106.850;-79.073;22.94;0.022;0.650;0.000;Infinity;0.000;0.000;0.0
31.892;-106.621;-79.078;22.94;0.022;0.650;0.000;Infinity;0.000;0.000;0.0
31.902;-106.391;-79.083;22.94;0.022;0.650;0.000;Infinity;0.000;0.000;0.0
31.912;-106.162;-79.088;22.94;0.022;0.650;0.000;Infinity;0.000;0.000;0.0
31.922;-105.933;-79.094;22.94;0.022;0.650;0.000;Infinity;0.000;0.000;0.0
31.932;-105.703;-79.099;22.94;0.022;0.650;0.000;Infinity;0.000;0.000;0.0
31.942;-105.474;-79.105;22.93;0.022;0.650;0.000;Infinity;0.000;0.000;0.0
31.952;-105.245;-79.111;22.93;0.022;0.630;0.000;Infinity;0.000;0.000;0.0
31.962;-105.016;-79.117;22.93;0.022;0.630;0.000;Infinity;0.000;0.000;0.0
31.972;-104.786;-79.123;22.93;0.022;0.630;0.000;Infinity;0.000;0.000;0.0
31.982;-104.557;-79.129;22.93;0.022;0.630;0.000;Infinity;0.000;0.000;0.0
31.992;-104.328;-79.135;22.92;0.022;0.630;0.000;Infinity;0.000;0.000;0.0
32.002;-104.099;-79.142;22.93;0.022;0.630;0.000;Infinity;0.000;0.000;0.0
32.012;-103.870;-79.148;22.92;0.022;0.630;0.000;Infinity;0.000;0.000;0.0
32.022;-103.641;-79.155;22.92;0.022;0.630;0.000;Infinity;0.000;0.000;0.0
32.032;-103.411;-79.162;22.92;0.022;0.630;0.000;Infinity;0.000;0.000;0.0
32.042;-103.182;-79.169;22.92;0.022;0.630;0.000;Infinity;0.000;0.000;0.0
32.052;-102.953;-79.176;22.92;0.022;0.600;0.000;Infinity;0.000;0.000;0.0
32.062;-102.724;-79.183;22.92;0.022;0.600;0.000;Infinity;0.000;0.000;0.0
32.072;-102.495;-79.190;22.91;0.022;0.600;0.000;Infinity;0.000;0.000;0.0
32.082;-102.266;-79.198;22.91;0.022;0.600;0.000;Infinity;0.000;0.000;0.0
32.092;-102.037;-79.205;22.90;0.022;0.600;0.000;Infinity;0.000;0.000;0.0
32.102;-101.808;-79.213;22.90;0.022;0.600;0.000;Infinity;0.000;0.000;0.0
32.112;-101.580;-79.221;22.90;0.022;0.600;0.000;Infinity;0.000;0.000;0.0
32.122;-101.351;-79.229;22.90;0.022;0.600;0.000;Infinity;0.000;0.000;0.0
32.132;-101.122;-79.237;22.90;0.022;0.600;0.000;Infinity;0.000;0.000;0.0
32.142;-100.893;-79.245;22.89;0.022;0.600;0.000;Infinity;0.000;0.000;0.0
32.152;-100.665;-79.254;22.88;0.022;0.600;0.000;Infinity;0.000;0.000;0.0
32.162;-100.436;-79.262;22.89;0.022;0.540;0.000;Infinity;0.000;0.000;0.0
32.172;-100.207;-79.271;22.88;0.022;0.540;0.000;Infinity;0.000;0.000;0.0
