# Participant=P001, Scenario=UnknownA, Modality=Control
Time;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
12.338;-88.280;-80.270;15.41;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
12.348;-88.126;-80.268;15.41;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
12.358;-87.971;-80.265;15.41;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
12.368;-87.817;-80.263;15.41;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
12.378;-87.663;-80.260;15.41;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
12.388;-87.509;-80.258;15.41;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
12.398;-87.355;-80.255;15.41;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
12.408;-87.201;-80.253;15.41;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
12.418;-87.047;-80.250;15.41;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
12.428;-86.893;-80.248;15.41;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
12.438;-86.739;-80.245;15.41;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
12.448;-86.584;-80.243;15.41;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
12.458;-86.430;-80.241;15.41;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
12.468;-86.276;-80.238;15.41;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
12.478;-86.122;-80.236;15.41;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
12.488;-85.968;-80.233;15.41;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
12.498;-85.814;-80.231;15.41;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
12.508;-85.660;-80.229;15.41;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
12.518;-85.506;-80.226;15.41;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
12.528;-85.352;-80.224;15.41;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
12.538;-85.197;-80.222;15.41;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
12.548;-85.043;-80.219;15.41;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
12.558;-84.889;-80.217;15.41;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
12.568;-84.735;-80.214;15.41;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
12.578;-84.581;-80.212;15.41;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
12.588;-84.427;-80.210;15.42;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
12.598;-84.273;-80.208;15.42;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
12.608;-84.119;-80.205;15.42;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
12.618;-83.964;-80.203;15.42;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
12.628;-83.810;-80.201;15.42;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
12.638;-83.656;-80.198;15.42;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
12.648;-83.502;-80.196;15.42;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
12.658;-83.348;-80.194;15.42;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
12.668;-83.194;-80.191;15.42;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
12.678;-83.039;-80.189;15.42;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
12.688;-82.885;-80.187;15.42;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
12.698;-82.731;-80.185;15.42;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
12.708;-82.577;-80.182;15.42;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
12.718;-82.423;-80.180;15.42;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
12.728;-82.269;-80.178;15.42;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
12.738;-82.115;-80.175;15.42;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
12.748;-81.960;-80.173;15.42;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
12.758;-81.806;-80.171;15.42;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
12.768;-81.652;-80.169;15.42;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
12.778;-81.498;-80.166;15.42;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
12.788;-81.344;-80.164;15.42;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
12.798;-81.190;-80.162;15.42;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
12.808;-81.036;-80.160;15.42;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
12.818;-80.881;-80.157;15.42;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
12.828;-80.727;-80.155;15.42;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
12.838;-80.573;-80.153;15.42;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
12.848;-80.419;-80.151;15.42;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
12.858;-80.265;-80.148;15.42;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
12.868;-80.111;-80.146;15.42;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
12.878;-79.956;-80.144;15.42;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
12.888;-79.802;-80.142;15.42;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
12.898;-79.648;-80.139;15.42;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
12.908;-79.494;-80.137;15.42;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
12.918;-79.340;-80.135;15.42;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
12.928;-79.186;-80.133;15.42;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
12.938;-79.032;-80.131;15.42;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
12.948;-78.877;-80.128;15.42;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
12.958;-78.723;-80.126;15.42;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
12.968;-78.569;-80.124;15.42;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
12.978;-78.415;-80.122;15.42;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
12.988;-78.261;-80.119;15.42;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
12.998;-78.107;-80.117;15.42;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
13.008;-77.952;-80.115;15.42;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
13.018;-77.798;-80.113;15.42;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
13.028;-77.644;-80.111;15.42;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
13.038;-77.490;-80.108;15.42;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
13.048;-77.336;-80.106;15.42;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
13.058;-77.182;-80.104;15.42;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
13.068;-77.028;-80.102;15.42;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
13.078;-76.873;-80.100;15.42;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
13.088;-76.719;-80.097;15.42;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
13.098;-76.565;-80.095;15.42;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
13.108;-76.411;-80.093;15.42;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
13.118;-76.257;-80.091;15.42;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
13.128;-76.102;-80.089;15.42;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
13.138;-75.948;-80.086;15.42;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
13.148;-75.794;-80.084;15.42;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
13.158;-75.640;-80.082;15.42;0.000;0.440;0.000;Infinity;0.000;0.000;0.0
