# Participant=P001, Scenario=C1A, Modality=Control
Time;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
82.664;-108.096;-79.825;14.27;0.000;0.420;0.000;5.491;-42.641;-79.507;33.1
82.674;-107.953;-79.824;14.27;0.000;0.420;0.000;5.485;-42.618;-79.507;33.1
82.684;-107.810;-79.823;14.27;0.000;0.420;0.000;5.475;-42.582;-79.507;33.3
82.694;-107.668;-79.822;14.27;0.000;0.420;0.000;5.471;-42.569;-79.507;33.3
82.704;-107.525;-79.822;14.27;0.000;0.420;0.000;5.463;-42.538;-79.507;33.4
82.714;-107.382;-79.821;14.27;0.000;0.420;0.000;5.458;-42.520;-79.507;33.4
82.724;-107.239;-79.820;14.27;0.000;0.420;0.000;5.454;-42.508;-79.507;33.5
82.734;-107.097;-79.820;14.27;0.000;0.420;0.000;5.445;-42.478;-79.507;33.6
82.744;-106.954;-79.819;14.27;0.000;0.420;0.000;5.437;-42.453;-79.507;33.7
82.754;-106.811;-79.818;14.27;0.000;0.420;0.000;5.432;-42.437;-79.507;33.7
82.764;-106.669;-79.817;14.27;0.000;0.420;0.000;5.428;-42.425;-79.507;33.7
82.774;-106.526;-79.817;14.27;0.000;0.420;0.000;5.418;-42.393;-79.507;33.8
82.784;-106.383;-79.816;14.27;0.000;0.420;0.000;5.412;-42.378;-79.507;33.9
82.794;-106.240;-79.815;14.27;0.000;0.420;0.000;5.408;-42.367;-79.507;33.9
82.804;-106.098;-79.815;14.27;0.000;0.420;0.000;5.399;-42.341;-79.507;34.0
82.814;-105.955;-79.814;14.28;0.000;0.420;0.000;5.395;-42.330;-79.507;34.1
82.824;-105.812;-79.813;14.28;0.000;0.420;0.000;5.384;-42.301;-79.507;34.2
82.834;-105.669;-79.813;14.28;0.000;0.420;0.000;5.380;-42.291;-79.507;34.2
82.844;-105.526;-79.812;14.28;0.000;0.420;0.000;5.374;-42.277;-79.507;34.2
82.854;-105.384;-79.811;14.28;0.000;0.420;0.000;5.364;-42.253;-79.507;34.3
82.864;-105.241;-79.811;14.28;0.000;0.420;0.000;5.359;-42.239;-79.507;34.4
82.874;-105.098;-79.810;14.28;0.000;0.420;0.000;5.349;-42.217;-79.507;34.5
82.884;-104.955;-79.809;14.28;0.000;0.420;0.000;5.344;-42.208;-79.507;34.5
82.894;-104.812;-79.809;14.28;0.000;0.420;0.000;5.334;-42.187;-79.507;34.6
82.904;-104.670;-79.808;14.28;0.000;0.420;0.000;5.330;-42.178;-79.507;34.6
82.914;-104.527;-79.807;14.28;0.000;0.420;0.000;5.319;-42.158;-79.508;34.7
82.924;-104.384;-79.806;14.28;0.000;0.420;0.000;5.314;-42.145;-79.508;34.8
82.934;-104.241;-79.806;14.29;0.000;0.420;0.000;5.305;-42.129;-79.508;34.8
82.944;-104.098;-79.805;14.29;0.000;0.420;0.000;5.300;-42.121;-79.508;34.9
82.954;-103.955;-79.804;14.29;0.000;0.420;0.000;5.289;-42.103;-79.508;34.9
82.964;-103.813;-79.804;14.29;0.000;0.420;0.000;5.283;-42.092;-79.508;35.0
82.974;-103.670;-79.803;14.29;0.000;0.420;0.000;5.279;-42.086;-79.508;35.0
82.984;-103.527;-79.802;14.29;0.000;0.420;0.000;5.268;-42.069;-79.508;35.1
82.994;-103.384;-79.802;14.29;0.000;0.420;0.000;5.261;-42.059;-79.508;35.1
83.004;-103.241;-79.801;14.29;0.000;0.420;0.000;5.255;-42.049;-79.508;35.2
83.014;-103.098;-79.800;14.29;0.000;0.420;0.000;5.243;-42.030;-79.508;35.3
83.024;-102.955;-79.800;14.29;0.000;0.420;0.000;5.238;-42.026;-79.508;35.3
83.034;-102.812;-79.799;14.29;0.000;0.420;0.000;5.226;-42.011;-79.508;35.4
83.044;-102.669;-79.798;14.29;0.000;0.420;0.000;5.221;-42.006;-79.508;35.4
83.054;-102.527;-79.798;14.29;0.000;0.420;0.000;5.215;-41.997;-79.508;35.5
83.064;-102.384;-79.797;14.30;0.000;0.420;0.000;5.203;-41.987;-79.508;35.5
83.074;-102.241;-79.796;14.30;0.000;0.420;0.000;5.197;-41.978;-79.508;35.6
83.084;-102.098;-79.795;14.30;0.000;0.420;0.000;5.190;-41.970;-79.508;35.6
83.094;-101.955;-79.795;14.30;0.000;0.420;0.000;5.178;-41.961;-79.508;35.7
83.104;-101.812;-79.794;14.30;0.000;0.420;0.000;5.173;-41.957;-79.508;35.7
83.114;-101.669;-79.793;14.30;0.000;0.420;0.000;5.159;-41.943;-79.508;35.8
83.124;-101.526;-79.793;14.30;0.000;0.420;0.000;5.154;-41.940;-79.508;35.8
83.134;-101.383;-79.792;14.30;0.000;0.420;0.000;5.142;-41.931;-79.509;35.9
83.144;-101.240;-79.791;14.30;0.000;0.420;0.000;5.136;-41.930;-79.509;35.9
83.154;-101.097;-79.791;14.30;0.000;0.420;0.000;5.129;-41.926;-79.509;36.0
83.164;-100.954;-79.790;14.30;0.000;0.420;0.000;5.115;-41.914;-79.509;36.1
83.174;-100.811;-79.789;14.30;0.000;0.420;0.000;5.109;-41.914;-79.509;36.1
83.184;-100.668;-79.789;14.31;0.000;0.420;0.000;5.102;-41.910;-79.509;36.1
83.194;-100.524;-79.788;14.31;0.000;0.420;0.000;5.088;-41.902;-79.509;36.2
83.204;-100.381;-79.787;14.31;0.000;0.420;0.000;5.082;-41.902;-79.509;36.2
83.214;-100.238;-79.787;14.31;0.000;0.420;0.000;5.069;-41.899;-79.509;36.3
83.224;-100.095;-79.786;14.31;0.000;0.420;0.000;5.062;-41.893;-79.509;36.3
83.234;-99.952;-79.785;14.31;0.000;0.420;0.000;5.050;-41.895;-79.509;36.4
83.244;-99.809;-79.784;14.31;0.000;0.420;0.000;5.043;-41.890;-79.509;36.4
83.254;-99.666;-79.784;14.31;0.000;0.420;0.000;5.037;-41.892;-79.509;36.5
83.264;-99.523;-79.783;14.31;0.000;0.420;0.000;5.022;-41.887;-79.509;36.5
83.274;-99.380;-79.782;14.31;0.000;0.420;0.000;5.016;-41.890;-79.509;36.6
83.284;-99.237;-79.782;14.31;0.000;0.420;0.000;5.002;-41.891;-79.509;36.6
83.294;-99.094;-79.781;14.31;0.000;0.420;0.000;5.002;-41.891;-79.509;36.6
83.304;-98.951;-79.780;14.31;0.000;0.420;0.000;4.991;-41.887;-79.509;36.7
83.314;-98.808;-79.780;14.31;0.000;0.420;0.000;4.976;-41.891;-79.509;36.7
83.324;-98.664;-79.779;14.31;0.000;0.420;0.000;4.967;-41.890;-79.509;36.8
83.334;-98.521;-79.778;14.31;0.000;0.420;0.000;4.952;-41.895;-79.509;36.8
83.344;-98.378;-79.778;14.31;0.000;0.420;0.000;4.945;-41.899;-79.509;36.9
83.354;-98.235;-79.777;14.31;0.000;0.420;0.000;4.931;-41.902;-79.509;36.9
83.364;-98.092;-79.776;14.31;0.000;0.420;0.000;4.924;-41.901;-79.509;37.0
83.374;-97.949;-79.776;14.32;0.000;0.420;0.000;4.917;-41.907;-79.509;37.0
83.384;-97.806;-79.775;14.32;0.000;0.420;0.000;4.901;-41.909;-79.510;37.0
83.394;-97.662;-79.774;14.32;0.000;0.420;0.000;4.893;-41.918;-79.510;37.1
83.404;-97.519;-79.774;14.32;0.000;0.420;0.000;4.885;-41.919;-79.510;37.1
83.414;-97.376;-79.773;14.32;0.000;0.420;0.000;4.870;-41.929;-79.510;37.1
83.424;-97.233;-79.772;14.32;0.000;0.420;0.000;4.862;-41.929;-79.510;37.2
83.434;-97.090;-79.771;14.32;0.000;0.420;0.000;4.846;-41.941;-79.510;37.2
83.444;-96.946;-79.771;14.32;0.000;0.420;0.000;4.839;-41.945;-79.510;37.3
83.454;-96.803;-79.770;14.32;0.000;0.420;0.000;4.825;-41.951;-79.510;37.3
83.464;-96.660;-79.769;14.32;0.000;0.420;0.000;4.817;-41.959;-79.510;37.3
83.474;-96.517;-79.769;14.32;0.000;0.420;0.000;4.802;-41.969;-79.510;37.4
83.484;-96.374;-79.768;14.32;0.000;0.420;0.000;4.795;-41.976;-79.510;37.4
83.494;-96.230;-79.767;14.32;0.000;0.420;0.000;4.779;-41.988;-79.510;37.5
83.504;-96.087;-79.767;14.32;0.000;0.420;0.000;4.771;-41.992;-79.510;37.5
83.514;-95.944;-79.766;14.32;0.000;0.420;0.000;4.755;-42.012;-79.510;37.5
83.524;-95.801;-79.765;14.32;0.000;0.420;0.000;4.747;-42.016;-79.510;37.5
83.534;-95.658;-79.765;14.32;0.000;0.420;0.000;4.739;-42.026;-79.511;37.6
83.544;-95.514;-79.764;14.32;0.000;0.420;0.000;4.723;-42.041;-79.511;37.6
83.554;-95.371;-79.763;14.32;0.000;0.420;0.000;4.716;-42.050;-79.511;37.6
83.564;-95.228;-79.763;14.33;0.000;0.420;0.000;4.699;-42.066;-79.511;37.7
83.574;-95.084;-79.762;14.33;0.000;0.420;0.000;4.690;-42.070;-79.511;37.7
83.584;-94.941;-79.761;14.33;0.000;0.420;0.000;4.674;-42.088;-79.511;37.7
83.594;-94.798;-79.760;14.33;0.000;0.420;0.000;4.665;-42.103;-79.511;37.8
83.604;-94.655;-79.760;14.33;0.000;0.420;0.000;4.656;-42.109;-79.511;37.8
83.614;-94.511;-79.759;14.33;0.000;0.420;0.000;4.638;-42.132;-79.511;37.8
83.624;-94.368;-79.758;14.33;0.000;0.420;0.000;4.629;-42.139;-79.512;37.9
83.634;-94.225;-79.758;14.33;0.000;0.420;0.000;4.611;-42.167;-79.512;37.9
83.644;-94.081;-79.757;14.33;0.000;0.420;0.000;4.601;-42.178;-79.512;37.9
83.654;-93.938;-79.756;14.33;0.000;0.420;0.000;4.592;-42.185;-79.512;37.9
83.664;-93.795;-79.756;14.33;0.000;0.420;0.000;4.573;-42.213;-79.512;38.0
83.674;-93.652;-79.755;14.33;0.000;0.420;0.000;4.564;-42.223;-79.512;38.0
83.684;-93.508;-79.754;14.33;0.000;0.420;0.000;4.553;-42.239;-79.512;38.0
83.694;-93.365;-79.754;14.34;0.000;0.420;0.000;4.535;-42.264;-79.513;38.0
83.704;-93.222;-79.753;14.34;0.000;0.420;0.000;4.525;-42.277;-79.513;38.1
83.714;-93.078;-79.752;14.34;0.000;0.420;0.000;4.508;-42.307;-79.513;38.1
83.724;-92.935;-79.752;14.34;0.000;0.420;0.000;4.500;-42.319;-79.513;38.1
83.734;-92.791;-79.751;14.34;0.000;0.420;0.000;4.482;-42.343;-79.513;38.1
83.744;-92.648;-79.750;14.34;0.000;0.420;0.000;4.473;-42.357;-79.513;38.1
83.754;-92.505;-79.749;14.34;0.000;0.420;0.000;4.456;-42.380;-79.514;38.2
83.764;-92.361;-79.749;14.34;0.000;0.420;0.000;4.447;-42.395;-79.514;38.2
83.774;-92.218;-79.748;14.34;0.000;0.420;0.000;4.430;-42.423;-79.514;38.2
83.784;-92.075;-79.747;14.34;0.000;0.420;0.000;4.414;-42.449;-79.514;38.2
83.794;-91.931;-79.747;14.34;0.000;0.420;0.000;4.406;-42.463;-79.514;38.2
83.804;-91.788;-79.746;14.34;0.000;0.420;0.000;4.387;-42.492;-79.515;38.3
83.814;-91.644;-79.745;14.34;0.000;0.420;0.000;4.378;-42.509;-79.515;38.3
83.824;-91.501;-79.745;14.34;0.000;0.420;0.000;4.361;-42.540;-79.515;38.3
83.834;-91.358;-79.744;14.34;0.000;0.420;0.000;4.343;-42.572;-79.515;38.3
83.844;-91.214;-79.743;14.34;0.000;0.420;0.000;4.335;-42.587;-79.515;38.3
83.854;-91.071;-79.743;14.34;0.000;0.420;0.000;4.316;-42.617;-79.516;38.4
83.864;-90.927;-79.742;14.34;0.000;0.420;0.000;4.307;-42.637;-79.516;38.4
83.874;-90.784;-79.741;14.34;0.000;0.420;0.000;4.287;-42.668;-79.516;38.4
83.884;-90.640;-79.741;14.34;0.000;0.420;0.000;4.278;-42.690;-79.516;38.4
83.894;-90.497;-79.740;14.34;0.000;0.420;0.000;4.258;-42.725;-79.516;38.4
83.904;-90.353;-79.739;14.35;0.000;0.420;0.000;4.248;-42.747;-79.517;38.4
83.914;-90.210;-79.738;14.35;0.000;0.420;0.000;4.229;-42.784;-79.517;38.4
83.924;-90.067;-79.738;14.35;0.000;0.420;0.000;4.221;-42.801;-79.517;38.4
83.934;-89.923;-79.737;14.35;0.000;0.420;0.000;4.200;-42.839;-79.517;38.4
83.944;-89.780;-79.736;14.35;0.000;0.420;0.000;4.189;-42.856;-79.517;38.5
83.954;-89.636;-79.736;14.35;0.000;0.420;0.000;4.169;-42.902;-79.518;38.5
83.964;-89.493;-79.735;14.35;0.000;0.420;0.000;4.158;-42.921;-79.518;38.5
83.974;-89.349;-79.734;14.35;0.000;0.420;0.000;4.137;-42.962;-79.518;38.5
83.984;-89.206;-79.734;14.35;0.000;0.420;0.000;4.127;-42.986;-79.518;38.5
83.994;-89.062;-79.733;14.35;0.000;0.420;0.000;4.106;-43.024;-79.518;38.5
84.004;-88.919;-79.732;14.35;0.000;0.420;0.000;4.096;-43.051;-79.519;38.5
84.014;-88.775;-79.732;14.35;0.000;0.420;0.000;4.074;-43.096;-79.519;38.5
84.024;-88.632;-79.731;14.35;0.000;0.420;0.000;4.064;-43.120;-79.519;38.5
84.034;-88.488;-79.730;14.35;0.000;0.420;0.000;4.042;-43.166;-79.519;38.5
84.044;-88.345;-79.730;14.35;0.000;0.420;0.000;4.032;-43.190;-79.520;38.5
84.054;-88.201;-79.729;14.35;0.000;0.420;0.000;4.010;-43.237;-79.520;38.5
84.064;-88.057;-79.728;14.35;0.000;0.420;0.000;4.000;-43.259;-79.520;38.5
84.074;-87.914;-79.728;14.35;0.000;0.420;0.000;3.978;-43.307;-79.521;38.5
84.084;-87.770;-79.727;14.35;0.000;0.420;0.000;3.967;-43.333;-79.521;38.5
84.094;-87.627;-79.727;14.35;0.000;0.420;0.000;3.956;-43.354;-79.521;38.5
84.104;-87.483;-79.726;14.36;0.000;0.420;0.000;3.932;-43.411;-79.521;38.5
84.114;-87.340;-79.725;14.36;0.000;0.420;0.000;3.911;-43.462;-79.522;38.5
84.124;-87.196;-79.725;14.36;0.000;0.420;0.000;3.900;-43.482;-79.522;38.5
84.134;-87.052;-79.724;14.36;0.000;0.420;0.000;3.878;-43.533;-79.522;38.5
84.144;-86.909;-79.723;14.36;0.000;0.420;0.000;3.867;-43.563;-79.523;38.5
84.154;-86.765;-79.723;14.36;0.000;0.420;0.000;3.844;-43.618;-79.523;38.4
84.164;-86.622;-79.722;14.36;0.000;0.420;0.000;3.833;-43.644;-79.523;38.4
84.174;-86.478;-79.721;14.36;0.000;0.420;0.000;3.811;-43.694;-79.524;38.4
84.184;-86.335;-79.721;14.36;0.000;0.420;0.000;3.800;-43.721;-79.524;38.4
84.194;-86.191;-79.720;14.36;0.000;0.420;0.000;3.779;-43.772;-79.524;38.4
84.204;-86.047;-79.719;14.36;0.000;0.420;0.000;3.767;-43.796;-79.524;38.4
84.214;-85.904;-79.719;14.36;0.000;0.420;0.000;3.744;-43.857;-79.525;38.4
84.224;-85.760;-79.718;14.36;0.000;0.420;0.000;3.733;-43.886;-79.525;38.4
84.234;-85.616;-79.717;14.36;0.000;0.420;0.000;3.710;-43.939;-79.525;38.4
84.244;-85.473;-79.717;14.37;0.000;0.420;0.000;3.688;-43.996;-79.526;38.3
84.254;-85.329;-79.716;14.37;0.000;0.420;0.000;3.677;-44.027;-79.526;38.3
84.264;-85.185;-79.715;14.37;0.000;0.420;0.000;3.655;-44.082;-79.526;38.3
84.274;-85.042;-79.715;14.37;0.000;0.420;0.000;3.644;-44.110;-79.527;38.3
84.284;-84.898;-79.714;14.37;0.000;0.420;0.000;3.619;-44.173;-79.527;38.2
84.294;-84.754;-79.713;14.37;0.000;0.420;0.000;3.608;-44.202;-79.527;38.2
84.304;-84.611;-79.713;14.37;0.000;0.420;0.000;3.583;-44.264;-79.528;38.2
84.314;-84.467;-79.712;14.37;0.000;0.420;0.000;3.572;-44.296;-79.528;38.2
84.324;-84.323;-79.711;14.37;0.000;0.420;0.000;3.548;-44.354;-79.528;38.2
84.334;-84.180;-79.711;14.37;0.000;0.420;0.000;3.536;-44.385;-79.528;38.1
84.344;-84.036;-79.710;14.37;0.000;0.420;0.000;3.511;-44.449;-79.529;38.1
84.354;-83.892;-79.710;14.37;0.000;0.420;0.000;3.488;-44.509;-79.529;38.1
84.364;-83.749;-79.709;14.37;0.000;0.420;0.000;3.476;-44.544;-79.530;38.1
84.374;-83.605;-79.708;14.37;0.000;0.420;0.000;3.453;-44.608;-79.530;38.0
84.384;-83.461;-79.708;14.37;0.000;0.420;0.000;3.440;-44.636;-79.530;38.0
84.394;-83.318;-79.707;14.37;0.000;0.420;0.000;3.416;-44.706;-79.531;37.9
84.404;-83.174;-79.706;14.37;0.000;0.420;0.000;3.392;-44.772;-79.531;37.9
84.414;-83.030;-79.706;14.37;0.000;0.420;0.000;3.381;-44.805;-79.531;37.9
84.424;-82.886;-79.705;14.37;0.000;0.420;0.000;3.354;-44.877;-79.532;37.8
84.434;-82.743;-79.704;14.37;0.000;0.420;0.000;3.340;-44.909;-79.532;37.8
84.444;-82.599;-79.704;14.37;0.000;0.420;0.000;3.326;-44.947;-79.532;37.8
84.454;-82.455;-79.703;14.37;0.000;0.420;0.000;3.301;-45.020;-79.533;37.7
84.464;-82.311;-79.702;14.38;0.000;0.420;0.000;3.288;-45.051;-79.533;37.7
84.474;-82.168;-79.702;14.38;0.000;0.420;0.000;3.263;-45.123;-79.533;37.6
84.484;-82.024;-79.701;14.38;0.000;0.420;0.000;3.252;-45.155;-79.533;37.6
84.494;-81.880;-79.700;14.38;0.000;0.420;0.000;3.226;-45.223;-79.534;37.6
84.504;-81.736;-79.700;14.38;0.000;0.420;0.000;3.202;-45.290;-79.534;37.5
84.514;-81.592;-79.699;14.38;0.000;0.420;0.000;3.190;-45.323;-79.535;37.5
84.524;-81.449;-79.698;14.38;0.000;0.420;0.000;3.165;-45.386;-79.535;37.4
84.534;-81.305;-79.698;14.38;0.000;0.420;0.000;3.154;-45.418;-79.535;37.4
84.544;-81.161;-79.697;14.38;0.000;0.420;0.000;3.131;-45.481;-79.536;37.4
84.554;-81.017;-79.697;14.38;0.000;0.420;0.000;3.107;-45.549;-79.536;37.3
84.564;-80.873;-79.696;14.38;0.000;0.420;0.000;3.095;-45.583;-79.536;37.3
84.574;-80.730;-79.695;14.38;0.000;0.420;0.000;3.069;-45.653;-79.537;37.2
84.584;-80.586;-79.695;14.38;0.000;0.420;0.000;3.055;-45.685;-79.537;37.2
84.594;-80.442;-79.694;14.38;0.000;0.420;0.000;3.031;-45.754;-79.537;37.1
84.604;-80.298;-79.693;14.38;0.000;0.420;0.000;3.019;-45.788;-79.538;37.1
84.614;-80.154;-79.693;14.39;0.000;0.420;0.000;2.996;-45.853;-79.538;37.0
84.624;-80.011;-79.692;14.39;0.000;0.420;0.000;2.973;-45.916;-79.538;37.0
84.634;-79.867;-79.691;14.39;0.000;0.420;0.000;2.960;-45.945;-79.539;37.0
84.644;-79.723;-79.691;14.39;0.000;0.420;0.000;2.936;-46.012;-79.539;36.9
84.654;-79.579;-79.690;14.39;0.000;0.420;0.000;2.925;-46.045;-79.539;36.9
84.664;-79.435;-79.689;14.39;0.000;0.420;0.000;2.899;-46.112;-79.540;36.8
84.674;-79.291;-79.689;14.39;0.000;0.420;0.000;2.887;-46.145;-79.540;36.8
84.684;-79.147;-79.688;14.39;0.000;0.420;0.000;2.864;-46.208;-79.540;36.7
84.694;-79.004;-79.687;14.39;0.000;0.420;0.000;2.840;-46.279;-79.541;36.6
84.704;-78.860;-79.687;14.39;0.000;0.420;0.000;2.827;-46.306;-79.541;36.6
84.714;-78.716;-79.686;14.39;0.000;0.420;0.000;2.803;-46.378;-79.541;36.5
84.724;-78.572;-79.686;14.39;0.000;0.420;0.000;2.791;-46.412;-79.542;36.5
84.734;-78.428;-79.685;14.39;0.000;0.420;0.000;2.766;-46.476;-79.542;36.4
84.744;-78.284;-79.684;14.39;0.000;0.420;0.000;2.754;-46.513;-79.542;36.4
84.754;-78.140;-79.684;14.39;0.000;0.420;0.000;2.729;-46.576;-79.543;36.3
84.764;-77.996;-79.683;14.39;0.000;0.420;0.000;2.717;-46.609;-79.543;36.3
84.774;-77.852;-79.682;14.39;0.000;0.420;0.000;2.693;-46.678;-79.543;36.2
84.784;-77.708;-79.682;14.39;0.000;0.420;0.000;2.682;-46.708;-79.543;36.2
84.794;-77.564;-79.681;14.39;0.000;0.420;0.000;2.656;-46.776;-79.544;36.1
84.804;-77.421;-79.680;14.39;0.000;0.420;0.000;2.633;-46.842;-79.544;36.0
84.814;-77.277;-79.680;14.39;0.000;0.420;0.000;2.621;-46.874;-79.544;36.0
84.824;-77.133;-79.679;14.39;0.000;0.420;0.000;2.596;-46.937;-79.545;35.9
84.834;-76.989;-79.678;14.39;0.000;0.420;0.000;2.584;-46.973;-79.545;35.9
84.844;-76.845;-79.678;14.40;0.000;0.420;0.000;2.561;-47.036;-79.545;35.8
84.854;-76.701;-79.677;14.40;0.000;0.420;0.000;2.548;-47.067;-79.545;35.8
84.864;-76.557;-79.676;14.40;0.000;0.420;0.000;2.522;-47.137;-79.546;35.7
84.874;-76.413;-79.676;14.40;0.000;0.420;0.000;2.510;-47.169;-79.546;35.7
84.884;-76.269;-79.675;14.40;0.000;0.420;0.000;2.487;-47.233;-79.546;35.6
84.894;-76.125;-79.675;14.39;0.000;0.410;0.000;2.464;-47.303;-79.547;35.5
84.904;-75.981;-79.674;14.40;0.000;0.410;0.000;2.451;-47.332;-79.547;35.5
84.914;-75.837;-79.673;14.39;0.000;0.410;0.000;2.428;-47.397;-79.547;35.4
84.924;-75.693;-79.673;14.39;0.000;0.410;0.000;2.416;-47.427;-79.548;35.3
84.934;-75.549;-79.672;14.39;0.000;0.410;0.000;2.393;-47.492;-79.548;35.2
84.944;-75.405;-79.671;14.40;0.000;0.410;0.000;2.370;-47.558;-79.548;35.1
84.954;-75.261;-79.671;14.40;0.000;0.410;0.000;2.357;-47.588;-79.549;35.1
84.964;-75.117;-79.670;14.39;0.000;0.410;0.000;2.334;-47.654;-79.549;35.0
84.974;-74.973;-79.669;14.40;0.000;0.410;0.000;2.323;-47.683;-79.549;35.0
84.984;-74.829;-79.669;14.40;0.000;0.410;0.000;2.300;-47.749;-79.549;34.9
84.994;-74.686;-79.668;14.39;0.000;0.410;0.000;2.288;-47.781;-79.550;34.8
85.004;-74.542;-79.667;14.40;0.000;0.410;0.000;2.263;-47.846;-79.550;34.7
85.014;-74.398;-79.667;14.40;0.000;0.410;0.000;2.241;-47.909;-79.550;34.6
85.024;-74.254;-79.666;14.39;0.000;0.410;0.000;2.227;-47.942;-79.551;34.6
85.034;-74.110;-79.665;14.39;0.000;0.410;0.000;2.204;-48.011;-79.551;34.5
85.044;-73.966;-79.665;14.40;0.000;0.410;0.000;2.192;-48.042;-79.551;34.4
85.054;-73.822;-79.664;14.40;0.000;0.410;0.000;2.168;-48.104;-79.551;34.3
85.064;-73.678;-79.663;14.39;0.000;0.410;0.000;2.156;-48.138;-79.552;34.3
85.074;-73.534;-79.663;14.39;0.000;0.410;0.000;2.133;-48.203;-79.552;34.1
85.084;-73.390;-79.662;14.40;0.000;0.410;0.000;2.120;-48.236;-79.552;34.1
85.094;-73.246;-79.662;14.40;0.000;0.410;0.000;2.095;-48.301;-79.553;34.0
85.104;-73.102;-79.661;14.40;0.000;0.410;0.000;2.082;-48.339;-79.553;33.9
85.114;-72.958;-79.660;14.39;0.000;0.410;0.000;2.057;-48.408;-79.553;33.8
85.124;-72.814;-79.660;14.39;0.000;0.410;0.000;2.046;-48.436;-79.553;33.8
85.134;-72.670;-79.659;14.39;0.000;0.410;0.000;2.023;-48.501;-79.554;33.6
85.144;-72.526;-79.659;14.39;0.000;0.410;0.000;2.012;-48.531;-79.554;33.6
85.154;-72.382;-79.658;14.40;0.000;0.410;0.000;1.984;-48.599;-79.554;33.5
85.164;-72.238;-79.657;14.40;0.000;0.410;0.000;1.973;-48.631;-79.554;33.4
85.174;-72.094;-79.657;14.40;0.000;0.410;0.000;1.951;-48.690;-79.555;33.3
