# Participant=P001, Scenario=C1A, Modality=Visual
Time;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
43.856;-108.060;-80.099;17.11;0.000;0.000;0.000;4.503;-42.793;-80.687;32.1
43.866;-107.889;-80.101;17.09;0.000;0.000;0.000;4.503;-42.751;-80.687;32.2
43.876;-107.718;-80.102;17.06;0.000;0.000;0.000;4.503;-42.731;-80.687;32.3
43.886;-107.548;-80.104;17.04;0.000;0.000;0.000;4.502;-42.701;-80.687;32.4
43.896;-107.377;-80.105;17.02;0.000;0.000;0.000;4.502;-42.680;-80.687;32.4
43.906;-107.207;-80.107;17.00;0.000;0.000;0.000;4.501;-42.651;-80.688;32.5
43.916;-107.037;-80.108;16.97;0.000;0.000;0.000;4.501;-42.622;-80.688;32.6
43.926;-106.868;-80.110;16.95;0.000;0.000;0.000;4.501;-42.608;-80.688;32.7
43.936;-106.698;-80.111;16.93;0.000;0.000;0.000;4.500;-42.574;-80.688;32.8
43.946;-106.529;-80.113;16.91;0.000;0.000;0.000;4.499;-42.560;-80.688;32.8
43.956;-106.360;-80.114;16.89;0.000;0.000;0.000;4.499;-42.533;-80.688;32.9
43.966;-106.192;-80.116;16.87;0.000;0.000;0.000;4.498;-42.514;-80.689;33.0
43.976;-106.023;-80.118;16.84;0.000;0.000;0.000;4.497;-42.488;-80.689;33.0
43.986;-105.855;-80.119;16.82;0.000;0.000;0.000;4.496;-42.462;-80.689;33.1
43.996;-105.687;-80.121;16.80;0.000;0.000;0.000;4.496;-42.449;-80.689;33.2
44.006;-105.519;-80.122;16.78;0.000;0.000;0.000;4.495;-42.424;-80.689;33.3
44.016;-105.351;-80.124;16.76;0.000;0.000;0.000;4.494;-42.406;-80.689;33.3
44.026;-105.184;-80.125;16.74;0.000;0.000;0.000;4.493;-42.382;-80.690;33.4
44.036;-105.016;-80.127;16.72;0.000;0.000;0.000;4.492;-42.371;-80.690;33.5
44.046;-104.849;-80.128;16.70;0.000;0.000;0.000;4.491;-42.339;-80.690;33.6
44.056;-104.683;-80.130;16.67;0.000;0.000;0.000;4.490;-42.328;-80.690;33.6
44.066;-104.516;-80.131;16.66;0.000;0.000;0.000;4.489;-42.300;-80.690;33.7
44.076;-104.350;-80.133;16.63;0.000;0.000;0.000;4.488;-42.288;-80.690;33.8
44.086;-104.183;-80.134;16.61;0.000;0.000;0.000;4.487;-42.267;-80.690;33.9
44.096;-104.018;-80.136;16.59;0.000;0.000;0.000;4.485;-42.245;-80.691;33.9
44.106;-103.852;-80.137;16.56;0.000;0.000;0.000;4.484;-42.235;-80.691;34.0
44.116;-103.686;-80.139;16.55;0.000;0.000;0.000;4.483;-42.215;-80.691;34.1
44.126;-103.521;-80.140;16.52;0.000;0.000;0.000;4.482;-42.205;-80.691;34.1
44.136;-103.356;-80.142;16.50;0.000;0.000;0.000;4.480;-42.181;-80.691;34.2
44.146;-103.191;-80.143;16.48;0.000;0.000;0.000;4.478;-42.162;-80.691;34.3
44.156;-103.026;-80.144;16.46;0.000;0.000;0.000;4.477;-42.152;-80.691;34.3
44.166;-102.862;-80.146;16.44;0.000;0.000;0.000;4.475;-42.134;-80.691;34.4
44.176;-102.698;-80.147;16.42;0.000;0.000;0.000;4.473;-42.117;-80.691;34.5
44.186;-102.534;-80.149;16.40;0.000;0.000;0.000;4.472;-42.108;-80.692;34.5
44.196;-102.370;-80.150;16.37;0.000;0.000;0.000;4.470;-42.091;-80.692;34.6
44.206;-102.206;-80.152;16.36;0.000;0.000;0.000;4.468;-42.075;-80.692;34.7
44.216;-102.043;-80.153;16.34;0.000;0.000;0.000;4.467;-42.067;-80.692;34.7
44.226;-101.880;-80.155;16.32;0.000;0.000;0.000;4.464;-42.051;-80.692;34.8
44.236;-101.717;-80.156;16.29;0.000;0.000;0.000;4.462;-42.037;-80.692;34.9
44.246;-101.554;-80.158;16.26;0.000;0.000;0.000;4.461;-42.031;-80.692;34.9
44.256;-101.391;-80.159;16.25;0.000;0.000;0.000;4.458;-42.013;-80.692;35.0
44.266;-101.229;-80.161;16.23;0.000;0.000;0.000;4.456;-42.004;-80.692;35.1
44.276;-101.067;-80.162;16.21;0.000;0.000;0.000;4.454;-41.997;-80.692;35.1
44.286;-100.905;-80.164;16.19;0.000;0.000;0.000;4.451;-41.985;-80.692;35.2
44.296;-100.743;-80.165;16.16;0.000;0.000;0.000;4.449;-41.973;-80.692;35.3
44.306;-100.582;-80.166;16.14;0.000;0.000;0.000;4.447;-41.967;-80.692;35.3
44.316;-100.420;-80.168;16.12;0.000;0.000;0.000;4.444;-41.956;-80.692;35.4
44.326;-100.259;-80.169;16.10;0.000;0.000;0.000;4.441;-41.946;-80.692;35.5
44.336;-100.098;-80.171;16.08;0.000;0.000;0.000;4.440;-41.942;-80.692;35.5
44.346;-99.937;-80.172;16.06;0.000;0.000;0.000;4.436;-41.928;-80.692;35.6
44.356;-99.777;-80.174;16.04;0.000;0.000;0.000;4.435;-41.924;-80.692;35.6
44.366;-99.617;-80.175;16.02;0.000;0.000;0.000;4.431;-41.916;-80.692;35.7
44.376;-99.457;-80.177;16.00;0.000;0.000;0.000;4.428;-41.907;-80.692;35.8
44.386;-99.297;-80.178;15.98;0.000;0.000;0.000;4.426;-41.904;-80.692;35.8
44.396;-99.137;-80.179;15.96;0.000;0.000;0.000;4.423;-41.899;-80.692;35.9
44.406;-98.978;-80.181;15.94;0.000;0.000;0.000;4.419;-41.893;-80.692;35.9
44.416;-98.818;-80.182;15.92;0.000;0.000;0.000;4.417;-41.890;-80.692;36.0
44.426;-98.659;-80.184;15.90;0.000;0.000;0.000;4.413;-41.884;-80.692;36.0
44.436;-98.500;-80.185;15.88;0.000;0.000;0.000;4.409;-41.881;-80.692;36.1
44.446;-98.342;-80.186;15.85;0.000;0.000;0.000;4.407;-41.874;-80.692;36.1
44.456;-98.183;-80.188;15.84;0.000;0.000;0.000;4.403;-41.872;-80.692;36.2
44.466;-98.025;-80.189;15.82;0.000;0.000;0.000;4.401;-41.870;-80.692;36.2
44.476;-97.867;-80.191;15.79;0.000;0.000;0.000;4.397;-41.866;-80.692;36.3
44.486;-97.709;-80.192;15.77;0.000;0.000;0.000;4.393;-41.864;-80.692;36.4
44.496;-97.552;-80.193;15.76;0.000;0.000;0.000;4.388;-41.866;-80.691;36.4
44.506;-97.394;-80.195;15.73;0.000;0.000;0.000;4.386;-41.867;-80.691;36.5
44.516;-97.237;-80.196;15.71;0.000;0.000;0.000;4.381;-41.867;-80.691;36.5
44.526;-97.080;-80.198;15.69;0.000;0.000;0.000;4.377;-41.868;-80.691;36.6
44.536;-96.923;-80.199;15.68;0.000;0.000;0.000;4.374;-41.863;-80.691;36.6
44.546;-96.767;-80.201;15.66;0.000;0.000;0.000;4.369;-41.866;-80.691;36.7
44.556;-96.610;-80.202;15.64;0.000;0.000;0.000;4.366;-41.868;-80.691;36.7
44.566;-96.454;-80.203;15.62;0.000;0.000;0.000;4.361;-41.872;-80.691;36.8
44.576;-96.298;-80.205;15.60;0.000;0.000;0.000;4.356;-41.875;-80.691;36.8
44.586;-96.142;-80.206;15.58;0.000;0.000;0.000;4.354;-41.876;-80.691;36.9
44.596;-95.986;-80.208;15.55;0.000;0.000;0.000;4.348;-41.881;-80.690;36.9
44.606;-95.831;-80.209;15.53;0.000;0.000;0.000;4.343;-41.884;-80.690;37.0
44.616;-95.676;-80.210;15.51;0.000;0.000;0.000;4.340;-41.886;-80.690;37.0
44.626;-95.521;-80.212;15.49;0.000;0.000;0.000;4.335;-41.893;-80.690;37.1
44.636;-95.366;-80.213;15.47;0.000;0.000;0.000;4.329;-41.902;-80.690;37.1
44.646;-95.211;-80.214;15.45;0.000;0.000;0.000;4.326;-41.904;-80.690;37.1
44.656;-95.057;-80.216;15.43;0.000;0.000;0.000;4.320;-41.913;-80.690;37.2
44.666;-94.903;-80.217;15.42;0.000;0.000;0.000;4.314;-41.922;-80.689;37.2
