# Participant=P001, Scenario=C1A, Modality=Multimodal
Time;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
18.428;-108.093;-79.993;14.27;0.000;0.420;0.000;5.459;-42.731;-79.939;32.7
18.438;-107.950;-79.993;14.28;0.000;0.420;0.000;5.452;-42.704;-79.939;32.8
18.448;-107.807;-79.993;14.28;0.000;0.420;0.000;5.443;-42.673;-79.939;32.9
18.458;-107.664;-79.993;14.27;0.000;0.420;0.000;5.438;-42.655;-79.939;33.0
18.468;-107.521;-79.993;14.27;0.000;0.420;0.000;5.430;-42.630;-79.939;33.0
18.478;-107.379;-79.992;14.27;0.000;0.420;0.000;5.427;-42.617;-79.939;33.1
18.488;-107.236;-79.992;14.28;0.000;0.420;0.000;5.418;-42.588;-79.939;33.2
18.498;-107.093;-79.992;14.28;0.000;0.420;0.000;5.414;-42.575;-79.939;33.2
18.508;-106.950;-79.992;14.28;0.000;0.420;0.000;5.405;-42.547;-79.939;33.3
18.518;-106.807;-79.992;14.28;0.000;0.420;0.000;5.399;-42.531;-79.939;33.4
18.528;-106.665;-79.992;14.28;0.000;0.420;0.000;5.395;-42.519;-79.939;33.4
18.538;-106.522;-79.992;14.28;0.000;0.420;0.000;5.386;-42.492;-79.939;33.5
18.548;-106.379;-79.992;14.29;0.000;0.420;0.000;5.382;-42.481;-79.939;33.5
18.558;-106.236;-79.992;14.29;0.000;0.420;0.000;5.371;-42.451;-79.939;33.6
18.568;-106.093;-79.991;14.29;0.000;0.420;0.000;5.367;-42.441;-79.939;33.7
18.578;-105.950;-79.991;14.29;0.000;0.420;0.000;5.362;-42.426;-79.939;33.7
18.588;-105.808;-79.991;14.29;0.000;0.420;0.000;5.355;-42.409;-79.939;33.8
18.598;-105.665;-79.991;14.28;0.000;0.420;0.000;5.345;-42.385;-79.939;33.9
18.608;-105.522;-79.991;14.29;0.000;0.420;0.000;5.339;-42.370;-79.939;33.9
18.618;-105.379;-79.991;14.29;0.000;0.420;0.000;5.331;-42.352;-79.939;34.0
18.628;-105.236;-79.991;14.29;0.000;0.420;0.000;5.325;-42.338;-79.939;34.0
18.638;-105.093;-79.991;14.29;0.000;0.420;0.000;5.315;-42.315;-79.939;34.1
18.648;-104.950;-79.991;14.29;0.000;0.420;0.000;5.311;-42.307;-79.939;34.1
18.658;-104.808;-79.990;14.29;0.000;0.420;0.000;5.302;-42.290;-79.939;34.2
18.668;-104.665;-79.990;14.29;0.000;0.420;0.000;5.296;-42.277;-79.939;34.3
18.678;-104.522;-79.990;14.29;0.000;0.420;0.000;5.287;-42.261;-79.939;34.3
18.688;-104.379;-79.990;14.29;0.000;0.410;0.000;5.281;-42.249;-79.940;34.4
18.698;-104.236;-79.990;14.29;0.000;0.410;0.000;5.271;-42.229;-79.940;34.5
18.708;-104.093;-79.990;14.29;0.000;0.410;0.000;5.266;-42.223;-79.940;34.5
18.718;-103.950;-79.990;14.29;0.000;0.410;0.000;5.256;-42.204;-79.940;34.6
18.728;-103.807;-79.990;14.29;0.000;0.410;0.000;5.251;-42.197;-79.940;34.6
18.738;-103.664;-79.990;14.29;0.000;0.410;0.000;5.240;-42.179;-79.940;34.7
18.748;-103.521;-79.989;14.29;0.000;0.410;0.000;5.236;-42.173;-79.940;34.7
18.758;-103.378;-79.989;14.29;0.000;0.410;0.000;5.226;-42.161;-79.940;34.8
18.768;-103.235;-79.989;14.29;0.000;0.410;0.000;5.221;-42.154;-79.940;34.8
18.778;-103.093;-79.989;14.29;0.000;0.410;0.000;5.211;-42.138;-79.940;34.9
18.788;-102.950;-79.989;14.29;0.000;0.420;0.000;5.201;-42.127;-79.940;35.0
18.798;-102.807;-79.989;14.29;0.000;0.420;0.000;5.196;-42.122;-79.940;35.0
18.808;-102.664;-79.989;14.30;0.000;0.420;0.000;5.185;-42.107;-79.940;35.1
18.818;-102.521;-79.989;14.29;0.000;0.420;0.000;5.179;-42.103;-79.940;35.1
18.828;-102.378;-79.988;14.30;0.000;0.420;0.000;5.169;-42.093;-79.940;35.2
18.838;-102.235;-79.988;14.30;0.000;0.420;0.000;5.164;-42.088;-79.940;35.2
18.848;-102.092;-79.988;14.30;0.000;0.420;0.000;5.152;-42.078;-79.940;35.3
18.858;-101.949;-79.988;14.30;0.000;0.420;0.000;5.146;-42.068;-79.940;35.3
18.868;-101.806;-79.988;14.30;0.000;0.420;0.000;5.135;-42.062;-79.940;35.4
18.878;-101.663;-79.988;14.30;0.000;0.420;0.000;5.130;-42.059;-79.940;35.4
18.888;-101.520;-79.988;14.30;0.000;0.420;0.000;5.118;-42.050;-79.940;35.5
18.898;-101.377;-79.988;14.30;0.000;0.420;0.000;5.112;-42.047;-79.940;35.5
18.908;-101.234;-79.988;14.30;0.000;0.420;0.000;5.100;-42.038;-79.940;35.6
18.918;-101.091;-79.987;14.30;0.000;0.420;0.000;5.089;-42.033;-79.940;35.6
18.928;-100.948;-79.987;14.31;0.000;0.420;0.000;5.084;-42.030;-79.940;35.7
18.938;-100.805;-79.987;14.30;0.000;0.420;0.000;5.072;-42.021;-79.940;35.7
18.948;-100.662;-79.987;14.30;0.000;0.420;0.000;5.066;-42.021;-79.940;35.8
18.958;-100.519;-79.987;14.31;0.000;0.420;0.000;5.055;-42.018;-79.940;35.8
18.968;-100.376;-79.987;14.31;0.000;0.420;0.000;5.049;-42.017;-79.940;35.8
18.978;-100.233;-79.987;14.31;0.000;0.420;0.000;5.036;-42.011;-79.940;35.9
18.988;-100.090;-79.987;14.31;0.000;0.410;0.000;5.024;-42.010;-79.940;36.0
18.998;-99.947;-79.987;14.31;0.000;0.410;0.000;5.017;-42.006;-79.940;36.0
19.008;-99.803;-79.986;14.31;0.000;0.410;0.000;5.010;-42.004;-79.940;36.0
19.018;-99.660;-79.986;14.31;0.000;0.410;0.000;4.998;-42.007;-79.940;36.1
19.028;-99.517;-79.986;14.31;0.000;0.410;0.000;4.992;-42.007;-79.941;36.1
19.038;-99.374;-79.986;14.31;0.000;0.410;0.000;4.979;-42.004;-79.941;36.2
19.048;-99.231;-79.986;14.31;0.000;0.410;0.000;4.973;-42.005;-79.941;36.2
19.058;-99.088;-79.986;14.31;0.000;0.410;0.000;4.959;-42.007;-79.941;36.3
19.068;-98.945;-79.986;14.31;0.000;0.410;0.000;4.952;-42.004;-79.941;36.3
