# Participant=test, Scenario=C1A, Modality=Control
Time;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
38.410;-108.056;-79.313;15.53;0.000;0.480;0.000;5.125;-42.370;-78.336;34.0
38.420;-107.901;-79.311;15.53;0.000;0.480;0.000;5.114;-42.322;-78.335;34.2
38.430;-107.746;-79.309;15.53;0.000;0.480;0.000;5.110;-42.307;-78.335;34.2
38.440;-107.590;-79.306;15.53;0.000;0.480;0.000;5.103;-42.276;-78.334;34.3
38.450;-107.435;-79.304;15.54;0.000;0.480;0.000;5.096;-42.245;-78.334;34.4
38.460;-107.280;-79.302;15.54;0.000;0.480;0.000;5.091;-42.225;-78.333;34.5
38.470;-107.124;-79.299;15.54;0.000;0.480;0.000;5.083;-42.195;-78.333;34.5
38.480;-106.969;-79.297;15.54;0.000;0.480;0.000;5.079;-42.181;-78.333;34.6
38.490;-106.814;-79.295;15.54;0.000;0.480;0.000;5.075;-42.166;-78.332;34.6
38.500;-106.658;-79.292;15.54;0.000;0.480;0.000;5.064;-42.122;-78.332;34.8
38.510;-106.503;-79.290;15.54;0.000;0.480;0.000;5.060;-42.109;-78.331;34.8
38.520;-106.347;-79.288;15.55;0.000;0.480;0.000;5.052;-42.081;-78.331;34.9
38.530;-106.192;-79.285;15.55;0.000;0.480;0.000;5.048;-42.067;-78.331;34.9
38.540;-106.036;-79.283;15.55;0.000;0.480;0.000;5.039;-42.035;-78.330;35.0
38.550;-105.881;-79.281;15.55;0.000;0.480;0.000;5.031;-42.008;-78.330;35.1
38.560;-105.725;-79.278;15.55;0.000;0.480;0.000;5.027;-41.995;-78.329;35.2
38.570;-105.570;-79.276;15.55;0.000;0.480;0.000;5.019;-41.969;-78.329;35.3
38.580;-105.414;-79.274;15.55;0.000;0.480;0.000;5.011;-41.944;-78.329;35.3
38.590;-105.259;-79.271;15.56;0.000;0.480;0.000;5.006;-41.926;-78.328;35.4
38.600;-105.103;-79.269;15.56;0.000;0.480;0.000;4.997;-41.902;-78.328;35.5
