# Participant=test, Scenario=C1A, Modality=Visual
Time;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
75.592;-108.070;-80.183;15.67;0.000;0.460;0.000;5.116;-42.892;-77.049;35.4
75.602;-107.913;-80.175;15.67;0.000;0.460;0.000;5.113;-42.874;-77.047;35.4
75.612;-107.757;-80.168;15.66;0.000;0.460;0.000;5.105;-42.835;-77.044;35.6
75.622;-107.601;-80.160;15.66;0.000;0.460;0.000;5.102;-42.818;-77.042;35.6
75.632;-107.444;-80.153;15.67;0.000;0.460;0.000;5.095;-42.779;-77.038;35.7
75.642;-107.288;-80.145;15.67;0.000;0.460;0.000;5.092;-42.763;-77.037;35.8
75.652;-107.131;-80.138;15.67;0.000;0.460;0.000;5.084;-42.725;-77.033;35.9
75.662;-106.975;-80.130;15.67;0.000;0.460;0.000;5.081;-42.709;-77.032;35.9
75.672;-106.818;-80.123;15.67;0.000;0.460;0.000;5.073;-42.672;-77.029;36.0
75.682;-106.662;-80.115;15.67;0.000;0.460;0.000;5.070;-42.656;-77.027;36.1
75.692;-106.505;-80.107;15.67;0.000;0.450;0.000;5.063;-42.626;-77.025;36.2
75.702;-106.348;-80.100;15.67;0.000;0.450;0.000;5.057;-42.595;-77.022;36.2
75.712;-106.192;-80.092;15.67;0.000;0.450;0.000;5.052;-42.574;-77.020;36.3
75.722;-106.035;-80.085;15.67;0.000;0.450;0.000;5.045;-42.545;-77.018;36.4
75.732;-105.879;-80.077;15.67;0.000;0.450;0.000;5.042;-42.530;-77.016;36.4
75.742;-105.722;-80.069;15.67;0.000;0.450;0.000;5.038;-42.510;-77.015;36.5
75.752;-105.566;-80.062;15.67;0.000;0.450;0.000;5.028;-42.472;-77.012;36.6
75.762;-105.409;-80.054;15.67;0.000;0.450;0.000;5.025;-42.458;-77.010;36.7
75.772;-105.253;-80.047;15.67;0.000;0.450;0.000;5.018;-42.430;-77.008;36.8
75.782;-105.096;-80.039;15.67;0.000;0.450;0.000;5.013;-42.410;-77.007;36.8
75.792;-104.940;-80.032;15.67;0.000;0.460;0.000;5.006;-42.384;-77.005;36.9
75.802;-104.783;-80.024;15.67;0.000;0.460;0.000;5.003;-42.370;-77.003;36.9
75.812;-104.627;-80.016;15.67;0.000;0.460;0.000;4.994;-42.339;-77.001;37.0
75.822;-104.470;-80.009;15.67;0.000;0.460;0.000;4.990;-42.327;-77.000;37.1
75.832;-104.314;-80.001;15.67;0.000;0.460;0.000;4.982;-42.296;-76.998;37.2
75.842;-104.157;-79.994;15.68;0.000;0.460;0.000;4.974;-42.271;-76.996;37.3
75.852;-104.000;-79.986;15.67;0.000;0.460;0.000;4.970;-42.259;-76.995;37.3
75.862;-103.844;-79.978;15.67;0.000;0.460;0.000;4.962;-42.229;-76.993;37.4
75.872;-103.687;-79.971;15.67;0.000;0.460;0.000;4.958;-42.218;-76.992;37.5
75.882;-103.531;-79.963;15.68;0.000;0.460;0.000;4.950;-42.195;-76.990;37.5
75.892;-103.374;-79.955;15.68;0.000;0.450;0.000;4.946;-42.184;-76.989;37.6
75.902;-103.217;-79.948;15.68;0.000;0.450;0.000;4.937;-42.155;-76.987;37.7
75.912;-103.061;-79.940;15.68;0.000;0.450;0.000;4.929;-42.134;-76.985;37.8
75.922;-102.904;-79.933;15.68;0.000;0.450;0.000;4.925;-42.123;-76.984;37.8
75.932;-102.748;-79.925;15.68;0.000;0.450;0.000;4.916;-42.096;-76.982;37.9
75.942;-102.591;-79.917;15.68;0.000;0.450;0.000;4.912;-42.086;-76.982;38.0
75.952;-102.434;-79.910;15.68;0.000;0.450;0.000;4.902;-42.061;-76.980;38.0
75.962;-102.278;-79.902;15.68;0.000;0.450;0.000;4.898;-42.051;-76.979;38.1
75.972;-102.121;-79.894;15.68;0.000;0.450;0.000;4.890;-42.032;-76.978;38.2
75.982;-101.964;-79.887;15.68;0.000;0.450;0.000;4.882;-42.012;-76.976;38.3
75.992;-101.808;-79.879;15.68;0.000;0.450;0.000;4.877;-42.003;-76.975;38.3
76.002;-101.651;-79.872;15.68;0.022;0.450;0.000;4.869;-41.984;-76.979;38.4
76.012;-101.495;-79.864;15.68;0.022;0.450;0.000;4.859;-41.967;-76.986;38.4
76.022;-101.338;-79.856;15.68;0.022;0.450;0.000;4.855;-41.957;-76.990;38.4
76.032;-101.181;-79.849;15.68;0.022;0.450;0.000;4.845;-41.940;-76.999;38.5
76.042;-101.025;-79.841;15.68;0.022;0.450;0.000;4.836;-41.923;-77.009;38.5
76.052;-100.868;-79.834;15.68;0.022;0.450;0.000;4.830;-41.909;-77.016;38.5
