# Participant=test, Scenario=C1A, Modality=Audio
Time;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
93.634;-108.085;-80.138;14.07;0.000;0.400;0.000;5.549;-42.796;-79.612;33.1
93.644;-107.945;-80.137;14.07;0.000;0.400;0.000;5.544;-42.778;-79.611;33.2
93.654;-107.804;-80.135;14.07;0.000;0.400;0.000;5.539;-42.761;-79.610;33.2
93.664;-107.663;-80.134;14.07;0.000;0.400;0.000;5.535;-42.743;-79.609;33.3
93.674;-107.523;-80.133;14.07;0.000;0.400;0.000;5.525;-42.709;-79.607;33.4
93.684;-107.382;-80.132;14.07;0.000;0.400;0.000;5.520;-42.692;-79.606;33.4
93.694;-107.241;-80.131;14.07;0.000;0.400;0.000;5.516;-42.675;-79.605;33.5
93.704;-107.101;-80.130;14.07;0.000;0.400;0.000;5.511;-42.659;-79.604;33.5
93.714;-106.960;-80.128;14.07;0.000;0.400;0.000;5.501;-42.626;-79.602;33.6
93.724;-106.820;-80.127;14.07;0.000;0.400;0.000;5.496;-42.610;-79.601;33.7
93.734;-106.679;-80.126;14.07;0.000;0.400;0.000;5.491;-42.595;-79.600;33.7
93.744;-106.538;-80.125;14.07;0.000;0.400;0.000;5.482;-42.568;-79.599;33.8
93.754;-106.398;-80.124;14.07;0.000;0.400;0.000;5.477;-42.553;-79.598;33.9
93.764;-106.257;-80.123;14.07;0.000;0.400;0.000;5.472;-42.538;-79.597;33.9
93.774;-106.116;-80.122;14.07;0.000;0.400;0.000;5.464;-42.516;-79.596;34.0
93.784;-105.976;-80.120;14.07;0.000;0.400;0.000;5.459;-42.502;-79.595;34.1
93.794;-105.835;-80.119;14.07;0.000;0.400;0.000;5.454;-42.488;-79.595;34.1
93.804;-105.694;-80.118;14.07;0.000;0.400;0.000;5.443;-42.461;-79.593;34.2
93.814;-105.554;-80.117;14.07;0.000;0.400;0.000;5.438;-42.447;-79.593;34.3
93.824;-105.413;-80.116;14.07;0.000;0.400;0.000;5.432;-42.433;-79.592;34.3
93.834;-105.272;-80.115;14.07;0.000;0.400;0.000;5.422;-42.412;-79.591;34.4
93.844;-105.132;-80.113;14.07;0.000;0.400;0.000;5.417;-42.399;-79.591;34.4
93.854;-104.991;-80.112;14.07;0.000;0.400;0.000;5.417;-42.399;-79.591;34.4
93.864;-104.850;-80.111;14.07;0.000;0.400;0.000;5.406;-42.374;-79.590;34.5
93.874;-104.710;-80.110;14.07;0.000;0.400;0.000;5.399;-42.359;-79.589;34.6
93.884;-104.569;-80.109;14.07;0.000;0.400;0.000;5.388;-42.336;-79.588;34.7
93.894;-104.428;-80.107;14.07;0.000;0.400;0.000;5.383;-42.330;-79.588;34.7
93.904;-104.288;-80.106;14.07;0.000;0.400;0.000;5.377;-42.318;-79.587;34.8
93.914;-104.147;-80.105;14.07;0.000;0.400;0.000;5.365;-42.298;-79.587;34.8
93.924;-104.007;-80.104;14.07;0.000;0.400;0.000;5.360;-42.287;-79.586;34.9
93.934;-103.866;-80.103;14.07;0.000;0.400;0.000;5.354;-42.277;-79.586;34.9
93.944;-103.725;-80.102;14.07;0.000;0.400;0.000;5.348;-42.267;-79.585;35.0
93.954;-103.585;-80.100;14.07;0.000;0.400;0.000;5.337;-42.252;-79.585;35.1
93.964;-103.444;-80.099;14.07;0.000;0.400;0.000;5.331;-42.243;-79.584;35.1
93.974;-103.303;-80.098;14.07;0.000;0.400;0.000;5.325;-42.233;-79.584;35.1
93.984;-103.163;-80.097;14.07;0.000;0.400;0.000;5.312;-42.215;-79.584;35.2
93.994;-103.022;-80.096;14.07;0.000;0.400;0.000;5.306;-42.207;-79.583;35.3
94.004;-102.881;-80.094;14.07;0.000;0.400;0.000;5.301;-42.203;-79.583;35.3
94.014;-102.741;-80.093;14.07;0.000;0.400;0.000;5.289;-42.186;-79.583;35.4
94.024;-102.600;-80.092;14.07;0.000;0.400;0.000;5.283;-42.183;-79.582;35.4
94.034;-102.459;-80.091;14.07;0.000;0.400;0.000;5.277;-42.176;-79.582;35.5
94.044;-102.319;-80.090;14.07;0.000;0.400;0.000;5.265;-42.165;-79.582;35.5
94.054;-102.178;-80.089;14.07;0.000;0.400;0.000;5.259;-42.157;-79.582;35.6
94.064;-102.037;-80.087;14.07;0.000;0.400;0.000;5.253;-42.151;-79.581;35.6
94.074;-101.897;-80.086;14.07;0.000;0.400;0.000;5.241;-42.142;-79.581;35.7
94.084;-101.756;-80.085;14.07;0.000;0.400;0.000;5.234;-42.136;-79.581;35.7
94.094;-101.616;-80.084;14.07;0.000;0.400;0.000;5.222;-42.129;-79.581;35.8
94.104;-101.475;-80.083;14.07;0.000;0.400;0.000;5.215;-42.122;-79.580;35.8
