# Participant=test, Scenario=C1A, Modality=Multimodal
Time;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
111.704;-108.070;-80.012;14.15;0.000;0.210;0.000;5.496;-42.738;-79.937;32.7
111.714;-107.929;-80.012;14.14;0.000;0.220;0.000;5.492;-42.702;-79.937;32.8
111.724;-107.787;-80.012;14.14;0.000;0.220;0.000;5.490;-42.684;-79.937;32.9
111.734;-107.646;-80.012;14.13;0.000;0.220;0.000;5.488;-42.672;-79.937;32.9
111.744;-107.505;-80.012;14.12;0.000;0.220;0.000;5.483;-42.637;-79.937;33.0
111.754;-107.364;-80.012;14.11;0.000;0.220;0.000;5.481;-42.620;-79.937;33.1
111.764;-107.223;-80.012;14.10;0.000;0.220;0.000;5.479;-42.608;-79.937;33.1
111.774;-107.082;-80.011;14.09;0.000;0.220;0.000;5.477;-42.592;-79.937;33.2
111.784;-106.941;-80.011;14.09;0.000;0.220;0.000;5.473;-42.568;-79.937;33.3
111.794;-106.800;-80.011;14.08;0.000;0.220;0.000;5.471;-42.552;-79.937;33.3
111.804;-106.659;-80.011;14.06;0.000;0.220;0.000;5.466;-42.521;-79.937;33.4
111.814;-106.519;-80.011;14.06;0.000;0.240;0.000;5.463;-42.506;-79.937;33.5
111.824;-106.378;-80.011;14.05;0.000;0.240;0.000;5.460;-42.491;-79.937;33.5
111.834;-106.238;-80.010;14.05;0.000;0.240;0.000;5.454;-42.461;-79.937;33.6
111.844;-106.097;-80.010;14.04;0.000;0.240;0.000;5.452;-42.451;-79.937;33.7
111.854;-105.957;-80.010;14.03;0.000;0.240;0.000;5.447;-42.427;-79.937;33.7
111.864;-105.817;-80.010;14.03;0.000;0.240;0.000;5.443;-42.413;-79.937;33.8
111.874;-105.676;-80.010;14.02;0.000;0.240;0.000;5.440;-42.400;-79.937;33.8
111.884;-105.536;-80.010;14.01;0.000;0.240;0.000;5.435;-42.377;-79.937;33.9
111.894;-105.396;-80.010;14.00;0.000;0.240;0.000;5.432;-42.368;-79.937;34.0
111.904;-105.256;-80.009;14.00;0.000;0.240;0.000;5.426;-42.346;-79.937;34.0
111.914;-105.116;-80.009;13.99;0.000;0.290;0.000;5.424;-42.337;-79.937;34.1
111.924;-104.976;-80.009;13.99;0.000;0.290;0.000;5.417;-42.316;-79.937;34.2
111.934;-104.836;-80.009;13.98;0.000;0.290;0.000;5.414;-42.307;-79.937;34.2
111.944;-104.697;-80.009;13.98;0.000;0.290;0.000;5.407;-42.291;-79.937;34.3
111.954;-104.557;-80.009;13.98;0.000;0.290;0.000;5.401;-42.274;-79.937;34.3
111.964;-104.417;-80.008;13.97;0.000;0.290;0.000;5.397;-42.267;-79.937;34.4
111.974;-104.277;-80.008;13.97;0.000;0.290;0.000;5.390;-42.248;-79.937;34.4
111.984;-104.138;-80.008;13.96;0.000;0.290;0.000;5.387;-42.240;-79.937;34.5
111.994;-103.998;-80.008;13.95;0.000;0.290;0.000;5.380;-42.226;-79.937;34.5
112.004;-103.859;-80.008;13.95;0.000;0.290;0.000;5.375;-42.215;-79.937;34.6
112.014;-103.719;-80.008;13.95;0.000;0.300;0.000;5.368;-42.203;-79.937;34.6
112.024;-103.580;-80.008;13.94;0.000;0.300;0.000;5.361;-42.191;-79.937;34.7
112.034;-103.440;-80.007;13.94;0.000;0.300;0.000;5.356;-42.180;-79.937;34.8
112.044;-103.301;-80.007;13.94;0.000;0.300;0.000;5.349;-42.169;-79.937;34.8
112.054;-103.162;-80.007;13.93;0.000;0.300;0.000;5.345;-42.163;-79.937;34.9
112.064;-103.022;-80.007;13.93;0.000;0.300;0.000;5.337;-42.153;-79.937;34.9
112.074;-102.883;-80.007;13.92;0.000;0.300;0.000;5.330;-42.142;-79.937;35.0
112.084;-102.744;-80.007;13.92;0.000;0.300;0.000;5.326;-42.137;-79.937;35.0
112.094;-102.605;-80.006;13.92;0.000;0.300;0.000;5.317;-42.123;-79.937;35.1
112.104;-102.466;-80.006;13.91;0.000;0.300;0.000;5.313;-42.120;-79.937;35.1
112.114;-102.327;-80.006;13.90;0.000;0.300;0.000;5.305;-42.111;-79.937;35.2
112.124;-102.188;-80.006;13.90;0.000;0.300;0.000;5.301;-42.108;-79.937;35.2
112.134;-102.049;-80.006;13.90;0.000;0.300;0.000;5.292;-42.096;-79.937;35.3
112.144;-101.910;-80.006;13.89;0.000;0.300;0.000;5.283;-42.091;-79.937;35.3
112.154;-101.771;-80.006;13.89;0.000;0.300;0.000;5.278;-42.084;-79.937;35.4
112.164;-101.632;-80.005;13.89;0.000;0.300;0.000;5.273;-42.084;-79.937;35.4
112.174;-101.493;-80.005;13.88;0.000;0.300;0.000;5.263;-42.075;-79.937;35.5
112.184;-101.354;-80.005;13.87;0.000;0.300;0.000;5.255;-42.070;-79.937;35.5
112.194;-101.216;-80.005;13.87;0.000;0.300;0.000;5.250;-42.067;-79.937;35.5
112.204;-101.077;-80.005;13.87;0.000;0.300;0.000;5.240;-42.060;-79.937;35.6
112.214;-100.938;-80.005;13.86;0.000;0.300;0.000;5.236;-42.060;-79.937;35.6
112.224;-100.800;-80.005;13.86;0.000;0.300;0.000;5.226;-42.058;-79.937;35.7
112.234;-100.661;-80.004;13.85;0.000;0.300;0.000;5.217;-42.056;-79.937;35.7
112.244;-100.523;-80.004;13.85;0.000;0.300;0.000;5.212;-42.049;-79.937;35.8
112.254;-100.384;-80.004;13.84;0.000;0.300;0.000;5.202;-42.049;-79.937;35.8
112.264;-100.246;-80.004;13.84;0.000;0.300;0.000;5.198;-42.048;-79.937;35.9
112.274;-100.107;-80.004;13.84;0.000;0.300;0.000;5.188;-42.047;-79.937;35.9
112.284;-99.969;-80.004;13.83;0.000;0.300;0.000;5.180;-42.050;-79.937;36.0
112.294;-99.831;-80.003;13.83;0.000;0.300;0.000;5.170;-42.050;-79.937;36.0
112.304;-99.692;-80.003;13.82;0.000;0.300;0.000;5.165;-42.050;-79.937;36.0
112.314;-99.554;-80.003;13.82;0.000;0.300;0.000;5.155;-42.052;-79.938;36.1
112.324;-99.416;-80.003;13.82;0.000;0.310;0.000;5.149;-42.049;-79.938;36.1
112.334;-99.278;-80.003;13.81;0.000;0.310;0.000;5.139;-42.053;-79.938;36.2
112.344;-99.140;-80.003;13.81;0.000;0.310;0.000;5.128;-42.057;-79.938;36.2
112.354;-99.002;-80.003;13.81;0.000;0.310;0.000;5.123;-42.058;-79.938;36.2
112.364;-98.864;-80.002;13.80;0.000;0.310;0.000;5.113;-42.063;-79.938;36.3
112.374;-98.726;-80.002;13.80;0.000;0.310;0.000;5.102;-42.066;-79.938;36.3
112.384;-98.588;-80.002;13.79;0.000;0.310;0.000;5.097;-42.069;-79.938;36.3
112.394;-98.450;-80.002;13.79;0.000;0.310;0.000;5.086;-42.074;-79.938;36.4
112.404;-98.312;-80.002;13.79;0.000;0.310;0.000;5.075;-42.079;-79.938;36.4
112.414;-98.174;-80.002;13.78;0.000;0.310;0.000;5.070;-42.082;-79.938;36.5
112.424;-98.036;-80.001;13.78;0.000;0.330;0.000;5.058;-42.090;-79.938;36.5
112.434;-97.899;-80.001;13.77;0.000;0.330;0.000;5.047;-42.098;-79.938;36.5
112.444;-97.761;-80.001;13.77;0.000;0.330;0.000;5.041;-42.101;-79.938;36.6
112.454;-97.623;-80.001;13.77;0.000;0.330;0.000;5.029;-42.112;-79.938;36.6
112.464;-97.485;-80.001;13.77;0.000;0.330;0.000;5.017;-42.120;-79.938;36.6
112.474;-97.348;-80.001;13.77;0.000;0.330;0.000;5.011;-42.125;-79.938;36.7
112.484;-97.210;-80.001;13.77;0.000;0.330;0.000;4.999;-42.134;-79.938;36.7
112.494;-97.072;-80.000;13.76;0.000;0.330;0.000;4.986;-42.145;-79.939;36.7
112.504;-96.935;-80.000;13.76;0.000;0.330;0.000;4.980;-42.151;-79.939;36.8
112.514;-96.797;-80.000;13.76;0.000;0.330;0.000;4.968;-42.163;-79.939;36.8
112.524;-96.660;-80.000;13.75;0.000;0.350;0.000;4.955;-42.176;-79.939;36.8
112.534;-96.522;-80.000;13.76;0.000;0.350;0.000;4.949;-42.181;-79.939;36.8
112.544;-96.385;-80.000;13.75;0.000;0.350;0.000;4.936;-42.194;-79.939;36.9
112.554;-96.247;-79.999;13.75;0.000;0.350;0.000;4.922;-42.208;-79.939;36.9
112.564;-96.110;-79.999;13.75;0.000;0.350;0.000;4.916;-42.214;-79.939;36.9
112.574;-95.972;-79.999;13.75;0.000;0.350;0.000;4.903;-42.227;-79.939;37.0
112.584;-95.835;-79.999;13.74;0.000;0.350;0.000;4.889;-42.242;-79.939;37.0
112.594;-95.697;-79.999;13.74;0.000;0.350;0.000;4.877;-42.259;-79.939;37.0
112.604;-95.560;-79.999;13.74;0.000;0.350;0.000;4.870;-42.267;-79.939;37.0
112.614;-95.422;-79.999;13.74;0.000;0.350;0.000;4.856;-42.286;-79.939;37.1
112.624;-95.285;-79.998;13.74;0.000;0.370;0.000;4.849;-42.296;-79.939;37.1
112.634;-95.148;-79.998;13.74;0.000;0.370;0.000;4.833;-42.311;-79.940;37.1
112.644;-95.010;-79.998;13.74;0.000;0.370;0.000;4.820;-42.332;-79.940;37.1
112.654;-94.873;-79.998;13.73;0.000;0.370;0.000;4.806;-42.351;-79.940;37.2
112.664;-94.736;-79.998;13.73;0.000;0.370;0.000;4.798;-42.362;-79.940;37.2
112.674;-94.598;-79.998;13.73;0.000;0.370;0.000;4.783;-42.382;-79.940;37.2
112.684;-94.461;-79.997;13.74;0.000;0.370;0.000;4.768;-42.404;-79.940;37.2
112.694;-94.324;-79.997;13.74;0.000;0.370;0.000;4.761;-42.414;-79.940;37.3
112.704;-94.186;-79.997;13.73;0.000;0.370;0.000;4.743;-42.441;-79.940;37.3
112.714;-94.049;-79.997;13.73;0.000;0.370;0.000;4.735;-42.452;-79.940;37.3
112.724;-93.912;-79.997;13.73;0.000;0.380;0.000;4.718;-42.477;-79.940;37.3
112.734;-93.774;-79.997;13.73;0.000;0.380;0.000;4.710;-42.490;-79.940;37.3
112.744;-93.637;-79.997;13.73;0.000;0.380;0.000;4.694;-42.510;-79.940;37.4
112.754;-93.500;-79.996;13.73;0.000;0.380;0.000;4.679;-42.534;-79.940;37.4
112.764;-93.362;-79.996;13.73;0.000;0.380;0.000;4.671;-42.547;-79.940;37.4
112.774;-93.225;-79.996;13.73;0.000;0.380;0.000;4.655;-42.572;-79.941;37.4
112.784;-93.088;-79.996;13.73;0.000;0.380;0.000;4.638;-42.601;-79.941;37.4
112.794;-92.951;-79.996;13.73;0.000;0.380;0.000;4.630;-42.614;-79.941;37.4
112.804;-92.813;-79.996;13.73;0.000;0.380;0.000;4.613;-42.644;-79.941;37.4
112.814;-92.676;-79.996;13.73;0.000;0.380;0.000;4.596;-42.674;-79.941;37.5
112.824;-92.539;-79.995;13.73;0.000;0.380;0.000;4.588;-42.689;-79.941;37.5
112.834;-92.402;-79.995;13.73;0.000;0.380;0.000;4.571;-42.718;-79.941;37.5
