Time;Trial;Scene;Modality;PosX;PosZ;Speed;TTC;PredCrashX;PredCrashZ;CrashAngle
0.126;1;C2C;Visual;38.020;-379.870;0.22;32895.01;42.007;-379.951;-18.0
0.226;1;C2C;Visual;38.020;-379.870;0.13;18558.81;47.945;-379.902;-18.0
0.328;1;C2C;Visual;38.019;-379.870;0.02;15855.06;38.019;-379.870;-18.0
0.428;1;C2C;Visual;38.019;-379.870;0.03;15575.60;38.019;-379.870;-18.0
0.530;1;C2C;Visual;38.019;-379.870;0.03;15827.58;38.019;-379.870;-18.0
0.630;1;C2C;Visual;38.019;-379.870;0.01;15993.89;38.019;-379.870;-18.0
0.732;1;C2C;Visual;38.019;-379.870;0.00;16013.08;38.019;-379.870;-18.0
0.834;1;C2C;Visual;38.018;-379.870;0.00;15955.23;38.018;-379.870;-18.0
0.936;1;C2C;Visual;38.018;-379.870;0.00;15908.26;38.018;-379.870;-18.0
1.038;1;C2C;Visual;38.018;-379.870;0.00;15935.40;38.018;-379.870;-18.0
1.140;1;C2C;Visual;38.018;-379.870;0.00;15935.94;38.018;-379.870;-18.0
1.242;1;C2C;Visual;38.018;-379.870;0.00;15949.78;38.018;-379.870;-18.0
1.344;1;C2C;Visual;38.017;-379.870;0.00;15956.28;38.017;-379.870;-18.0
1.444;1;C2C;Visual;38.017;-379.870;0.00;15955.39;38.017;-379.870;-18.0
1.546;1;C2C;Visual;38.017;-379.870;0.00;15958.47;38.017;-379.870;-18.0
1.648;1;C2C;Visual;38.017;-379.870;0.00;15956.54;38.017;-379.870;-18.0
1.750;1;C2C;Visual;38.017;-379.870;0.00;15955.65;38.017;-379.870;-18.0
1.850;1;C2C;Visual;38.016;-379.870;0.00;15965.59;38.016;-379.870;-18.0
1.952;1;C2C;Visual;38.016;-379.870;0.00;15971.98;38.016;-379.870;-18.0
2.054;1;C2C;Visual;38.016;-379.870;0.00;15977.19;38.016;-379.870;-18.0
2.156;1;C2C;Visual;38.016;-379.870;0.00;15977.76;38.016;-379.870;-18.0
2.258;1;C2C;Visual;38.016;-379.870;0.00;15974.77;38.016;-379.870;-18.0
2.360;1;C2C;Visual;38.017;-379.870;0.05;3200.47;38.017;-379.870;-18.0
2.462;1;C2C;Visual;38.030;-379.870;0.22;806.14;181.985;-377.916;-18.0
2.564;1;C2C;Visual;38.065;-379.870;0.46;351.31;181.981;-377.620;-18.0
2.666;1;C2C;Visual;38.126;-379.869;0.72;222.89;181.981;-377.379;-17.9
2.768;1;C2C;Visual;38.212;-379.867;0.97;162.38;182.004;-378.882;-17.8
2.870;1;C2C;Visual;38.324;-379.868;1.22;128.67;182.010;-381.002;-18.0
2.972;1;C2C;Visual;38.462;-379.870;1.47;107.66;181.977;-383.466;-18.3
3.074;1;C2C;Visual;38.625;-379.876;1.72;91.31;181.903;-385.988;-18.8
3.174;1;C2C;Visual;38.810;-379.886;1.96;80.21;181.825;-387.816;-19.5
3.276;1;C2C;Visual;39.023;-379.900;2.21;72.35;181.743;-389.383;-20.2
3.378;1;C2C;Visual;39.260;-379.918;2.44;64.80;181.609;-391.473;-21.2
3.480;1;C2C;Visual;39.520;-379.942;2.67;59.33;181.502;-392.955;-22.1
3.582;1;C2C;Visual;39.803;-379.968;2.89;54.35;181.549;-392.715;-22.7
3.684;1;C2C;Visual;40.108;-379.993;3.10;50.22;181.744;-390.645;-22.6
3.786;1;C2C;Visual;40.435;-380.015;3.31;46.60;181.930;-388.215;-22.1
3.888;1;C2C;Visual;40.783;-380.030;3.51;43.47;182.105;-384.935;-21.1
3.990;1;C2C;Visual;41.151;-380.035;3.71;40.57;182.210;-379.919;-19.5
4.092;1;C2C;Visual;41.543;-380.026;3.96;37.48;182.155;-375.497;-17.7
4.192;1;C2C;Visual;41.955;-380.006;4.31;34.49;182.045;-372.575;-16.2
4.294;1;C2C;Visual;42.415;-379.975;4.71;31.19;181.851;-369.333;-14.7
4.396;1;C2C;Visual;42.915;-379.929;5.11;28.48;181.570;-365.999;-13.2
4.498;1;C2C;Visual;43.453;-379.867;5.49;26.16;181.235;-362.897;-11.7
4.600;1;C2C;Visual;44.029;-379.791;5.88;24.25;180.983;-360.884;-10.8
4.702;1;C2C;Visual;44.643;-379.703;6.26;22.63;180.885;-360.108;-10.5
4.804;1;C2C;Visual;45.295;-379.609;6.64;21.29;180.910;-360.207;-10.8
4.906;1;C2C;Visual;45.986;-379.514;7.01;20.06;181.099;-361.481;-11.6
5.008;1;C2C;Visual;46.716;-379.424;7.38;19.00;181.385;-363.629;-13.0
5.110;1;C2C;Visual;47.483;-379.342;7.74;18.12;181.656;-365.959;-14.3
5.212;1;C2C;Visual;48.288;-379.271;8.08;17.31;181.887;-368.224;-15.4
5.314;1;C2C;Visual;49.127;-379.208;8.40;16.60;182.045;-369.936;-16.2
5.416;1;C2C;Visual;49.997;-379.152;8.66;16.00;182.144;-370.938;-16.4
5.518;1;C2C;Visual;50.892;-379.098;8.91;15.49;182.205;-371.413;-16.5
5.620;1;C2C;Visual;51.812;-379.045;9.14;14.98;182.259;-371.689;-16.5
5.722;1;C2C;Visual;52.756;-378.992;9.37;14.52;182.306;-371.836;-16.6
5.822;1;C2C;Visual;53.704;-378.939;9.60;14.11;182.347;-371.911;-16.7
5.924;1;C2C;Visual;54.694;-378.887;9.83;13.69;182.406;-372.226;-17.1
6.026;1;C2C;Visual;55.707;-378.838;10.05;13.32;182.491;-373.067;-18.0
6.128;1;C2C;Visual;56.744;-378.798;10.27;12.98;182.600;-374.499;-19.3
6.230;1;C2C;Visual;57.801;-378.770;10.46;12.71;182.700;-376.143;-20.5
6.332;1;C2C;Visual;58.878;-378.757;10.63;12.47;182.791;-378.062;-21.7
6.434;1;C2C;Visual;59.971;-378.762;10.78;12.33;182.843;-379.721;-22.8
6.536;1;C2C;Visual;61.078;-378.788;10.92;12.14;182.882;-382.657;-24.8
6.638;1;C2C;Visual;62.198;-378.835;11.06;11.99;182.891;-384.695;-25.7
6.740;1;C2C;Visual;63.333;-378.897;11.20;11.83;182.915;-386.039;-26.1
6.842;1;C2C;Visual;64.481;-378.971;11.35;11.63;182.973;-386.931;-26.2
6.944;1;C2C;Visual;65.643;-379.052;11.48;11.44;183.048;-387.411;-26.4
7.046;1;C2C;Visual;66.819;-379.137;11.62;11.23;183.150;-387.744;-26.6
7.148;1;C2C;Visual;68.008;-379.226;11.76;11.03;183.258;-387.935;-26.8
7.250;1;C2C;Visual;69.211;-379.317;11.89;10.83;183.392;-387.833;-26.7
7.352;1;C2C;Visual;70.429;-379.406;12.03;10.63;183.534;-387.658;-26.7
7.454;1;C2C;Visual;71.660;-379.495;12.16;10.43;183.679;-387.524;-27.0
7.556;1;C2C;Visual;72.904;-379.584;12.29;10.23;183.830;-387.440;-27.3
7.658;1;C2C;Visual;74.161;-379.673;12.42;10.06;183.971;-387.397;-27.6
7.760;1;C2C;Visual;75.432;-379.762;12.55;9.88;184.123;-387.372;-28.0
7.860;1;C2C;Visual;76.690;-379.850;12.67;9.70;184.276;-387.362;-28.3
7.962;1;C2C;Visual;77.986;-379.942;12.80;9.54;184.428;-387.361;-28.6
8.064;1;C2C;Visual;79.295;-380.033;12.92;9.38;184.593;-387.364;-29.0
8.164;1;C2C;Visual;80.590;-380.123;13.04;9.22;184.763;-387.371;-29.3
8.266;1;C2C;Visual;81.922;-380.215;13.15;9.06;184.936;-387.380;-29.7
8.368;1;C2C;Visual;83.267;-380.308;13.27;8.93;185.093;-387.390;-30.0
8.468;1;C2C;Visual;84.597;-380.400;13.39;8.78;185.291;-387.403;-30.4
8.568;1;C2C;Visual;85.938;-380.494;13.49;8.64;185.482;-387.416;-30.8
8.670;1;C2C;Visual;87.318;-380.588;13.61;8.49;185.689;-387.269;-30.9
8.770;1;C2C;Visual;88.681;-380.678;13.71;8.35;185.906;-386.922;-30.7
8.870;1;C2C;Visual;90.055;-380.760;13.81;8.18;186.154;-386.213;-30.2
8.972;1;C2C;Visual;91.467;-380.832;13.90;8.02;186.397;-385.227;-29.4
9.072;1;C2C;Visual;92.861;-380.885;14.00;7.85;186.636;-384.014;-28.7
9.172;1;C2C;Visual;94.265;-380.918;14.08;7.65;186.885;-382.480;-28.0
9.274;1;C2C;Visual;95.705;-380.928;14.16;7.46;187.090;-380.935;-27.3
