Time;Trial;Scene;Modality;PosX;PosZ;Speed;TTC;PredCrashX;PredCrashZ;CrashAngle
18.472;2;C2D;Multimodal;169.700;-240.300;0.22;50163.57;164.053;-240.151;-5.5
18.572;2;C2D;Multimodal;169.700;-240.300;0.14;27950.62;156.161;-240.216;-5.5
18.672;2;C2D;Multimodal;169.699;-240.300;0.06;4979.54;169.700;-240.300;-5.5
18.772;2;C2D;Multimodal;169.686;-240.299;0.26;1031.86;-56.586;-228.011;-5.6
18.872;2;C2D;Multimodal;169.641;-240.297;0.64;407.45;-57.285;-225.195;-5.9
18.974;2;C2D;Multimodal;169.551;-240.290;1.09;232.02;-57.253;-222.544;-6.6
19.074;2;C2D;Multimodal;169.421;-240.279;1.49;162.94;-56.991;-219.528;-7.5
19.174;2;C2D;Multimodal;169.253;-240.262;1.86;129.54;-56.701;-216.552;-8.6
19.276;2;C2D;Multimodal;169.045;-240.238;2.23;108.03;-56.500;-214.623;-9.6
19.376;2;C2D;Multimodal;168.806;-240.210;2.57;92.98;-56.392;-213.621;-10.6
19.476;2;C2D;Multimodal;168.534;-240.177;2.90;81.56;-56.457;-214.117;-11.3
19.578;2;C2D;Multimodal;168.222;-240.142;3.22;72.85;-56.633;-215.611;-11.5
19.678;2;C2D;Multimodal;167.884;-240.106;3.54;66.02;-56.742;-216.569;-11.6
19.778;2;C2D;Multimodal;167.515;-240.067;3.86;60.57;-56.746;-216.535;-11.6
19.880;2;C2D;Multimodal;167.106;-240.023;4.17;56.00;-56.676;-215.797;-11.9
19.980;2;C2D;Multimodal;166.675;-239.977;4.47;51.93;-56.767;-216.565;-11.8
20.080;2;C2D;Multimodal;166.215;-239.932;4.77;48.54;-57.034;-219.169;-11.2
20.182;2;C2D;Multimodal;165.714;-239.890;5.06;45.51;-57.318;-222.391;-10.3
20.282;2;C2D;Multimodal;165.194;-239.853;5.34;42.77;-57.525;-225.144;-9.6
20.382;2;C2D;Multimodal;164.646;-239.822;5.62;40.53;-57.731;-228.572;-8.6
20.484;2;C2D;Multimodal;164.058;-239.799;5.90;38.33;-57.894;-232.279;-7.6
