Time;Trial;Scene;Modality;PosX;PosZ;Speed;TTC;PredCrashX;PredCrashZ;CrashAngle
64.038;4;L2C;Control;32.711;-379.829;0.22;184.44;-70.574;-241.924;-16.9
64.140;4;L2C;Control;32.710;-379.829;0.13;184.44;-70.574;-241.924;-16.9
64.240;4;L2C;Control;32.710;-379.829;0.02;184.44;-70.574;-241.924;-16.9
64.342;4;L2C;Control;32.710;-379.829;0.03;184.44;-70.574;-241.924;-16.9
64.444;4;L2C;Control;32.710;-379.829;0.03;184.44;-70.574;-241.924;-16.9
64.544;4;L2C;Control;32.710;-379.829;0.01;184.44;-70.574;-241.924;-16.9
64.646;4;L2C;Control;32.719;-379.829;0.17;184.44;-70.574;-241.924;-16.9
64.748;4;L2C;Control;32.757;-379.829;0.54;184.44;-70.574;-241.924;-16.9
64.850;4;L2C;Control;32.835;-379.828;0.97;184.44;-70.574;-241.924;-16.9
64.952;4;L2C;Control;32.959;-379.827;1.43;184.44;-70.574;-241.924;-16.9
65.054;4;L2C;Control;33.129;-379.825;1.87;184.44;-70.574;-241.924;-16.9
65.156;4;L2C;Control;33.343;-379.822;2.30;184.44;-70.574;-241.924;-16.9
65.258;4;L2C;Control;33.601;-379.819;2.74;184.44;-70.574;-241.924;-16.9
65.360;4;L2C;Control;33.903;-379.813;3.16;184.44;-70.574;-241.924;-16.9
65.460;4;L2C;Control;34.241;-379.806;3.57;184.44;-70.574;-241.924;-16.9
65.562;4;L2C;Control;34.628;-379.796;3.99;184.44;-70.574;-241.924;-16.9
65.664;4;L2C;Control;35.056;-379.784;4.39;184.44;-70.574;-241.924;-16.9
65.766;4;L2C;Control;35.526;-379.769;4.80;184.44;-70.574;-241.924;-16.9
65.868;4;L2C;Control;36.036;-379.752;5.20;184.44;-70.574;-241.924;-16.9
65.970;4;L2C;Control;36.587;-379.733;5.59;184.44;-70.574;-241.924;-16.9
66.072;4;L2C;Control;37.178;-379.713;5.98;184.44;-70.574;-241.924;-16.9
66.174;4;L2C;Control;37.808;-379.692;6.36;184.44;-70.574;-241.924;-16.9
66.276;4;L2C;Control;38.476;-379.670;6.73;184.44;-70.574;-241.924;-16.9
66.378;4;L2C;Control;39.183;-379.647;7.11;184.44;-70.574;-241.924;-16.9
66.480;4;L2C;Control;39.927;-379.622;7.47;184.44;-70.574;-241.924;-16.9
66.582;4;L2C;Control;40.708;-379.596;7.83;184.44;-70.574;-241.924;-16.9
66.682;4;L2C;Control;41.510;-379.569;8.19;184.44;-70.574;-241.924;-16.9
66.784;4;L2C;Control;42.364;-379.541;8.54;184.44;-70.574;-241.924;-16.9
66.886;4;L2C;Control;43.253;-379.514;8.89;184.44;-70.574;-241.924;-16.9
66.988;4;L2C;Control;44.178;-379.489;9.23;184.44;-70.574;-241.924;-16.9
67.090;4;L2C;Control;45.137;-379.469;9.57;184.44;-70.574;-241.924;-16.9
67.192;4;L2C;Control;46.131;-379.455;9.90;184.44;-70.574;-241.924;-16.9
67.294;4;L2C;Control;47.159;-379.448;10.23;184.44;-70.574;-241.924;-16.9
67.396;4;L2C;Control;48.220;-379.447;10.56;184.44;-70.574;-241.924;-16.9
67.498;4;L2C;Control;49.314;-379.455;10.88;184.44;-70.574;-241.924;-16.9
67.600;4;L2C;Control;50.440;-379.469;11.19;184.44;-70.574;-241.924;-16.9
67.702;4;L2C;Control;51.599;-379.487;11.50;184.44;-70.574;-241.924;-16.9
67.804;4;L2C;Control;52.789;-379.507;11.81;184.44;-70.574;-241.924;-16.9
67.904;4;L2C;Control;53.986;-379.527;12.11;184.44;-70.574;-241.924;-16.9
68.006;4;L2C;Control;55.237;-379.543;12.41;184.44;-70.574;-241.924;-16.9
68.108;4;L2C;Control;56.519;-379.553;12.71;184.44;-70.574;-241.924;-16.9
68.210;4;L2C;Control;57.831;-379.556;12.99;184.44;-70.574;-241.924;-16.9
68.312;4;L2C;Control;59.170;-379.549;13.25;184.44;-70.574;-241.924;-16.9
68.414;4;L2C;Control;60.535;-379.536;13.50;184.44;-70.574;-241.924;-16.9
68.516;4;L2C;Control;61.925;-379.517;13.73;184.44;-70.574;-241.924;-16.9
68.618;4;L2C;Control;63.338;-379.495;13.96;184.44;-70.574;-241.924;-16.9
68.720;4;L2C;Control;64.774;-379.471;14.19;184.44;-70.574;-241.924;-16.9
68.822;4;L2C;Control;66.232;-379.448;14.39;184.44;-70.574;-241.924;-16.9
68.924;4;L2C;Control;67.710;-379.429;14.58;184.44;-70.574;-241.924;-16.9
69.026;4;L2C;Control;69.207;-379.417;14.74;184.44;-70.574;-241.924;-16.9
69.126;4;L2C;Control;70.685;-379.414;14.82;184.44;-70.574;-241.924;-16.9
69.228;4;L2C;Control;72.200;-379.421;14.87;184.44;-70.574;-241.924;-16.9
69.330;4;L2C;Control;73.719;-379.439;14.91;184.44;-70.574;-241.924;-16.9
69.432;4;L2C;Control;75.241;-379.473;14.95;184.44;-70.574;-241.924;-16.9
69.534;4;L2C;Control;76.767;-379.523;14.98;184.44;-70.574;-241.924;-16.9
69.636;4;L2C;Control;78.296;-379.587;15.01;184.44;-70.574;-241.924;-16.9
69.738;4;L2C;Control;79.826;-379.661;15.03;184.44;-70.574;-241.924;-16.9
69.840;4;L2C;Control;81.358;-379.743;15.05;184.44;-70.574;-241.924;-16.9
69.942;4;L2C;Control;82.891;-379.828;15.06;184.44;-70.574;-241.924;-16.9
70.044;4;L2C;Control;84.426;-379.918;15.07;184.44;-70.574;-241.924;-16.9
70.146;4;L2C;Control;85.961;-380.006;15.08;184.44;-70.574;-241.924;-16.9
70.248;4;L2C;Control;87.497;-380.088;15.08;184.44;-70.574;-241.924;-16.9
70.350;4;L2C;Control;89.034;-380.160;15.08;184.44;-70.574;-241.924;-16.9
70.452;4;L2C;Control;90.571;-380.218;15.08;184.44;-70.574;-241.924;-16.9
70.554;4;L2C;Control;92.109;-380.264;15.08;184.44;-70.574;-241.924;-16.9
70.654;4;L2C;Control;93.616;-380.294;15.07;184.44;-70.574;-241.924;-16.9
70.756;4;L2C;Control;95.152;-380.310;15.06;184.44;-70.574;-241.924;-16.9
70.858;4;L2C;Control;96.688;-380.311;15.05;184.44;-70.574;-241.924;-16.9
70.960;4;L2C;Control;98.223;-380.297;15.04;184.44;-70.574;-241.924;-16.9
71.062;4;L2C;Control;99.756;-380.267;15.04;184.44;-70.574;-241.924;-16.9
71.164;4;L2C;Control;101.289;-380.225;15.03;184.44;-70.574;-241.924;-16.9
71.266;4;L2C;Control;102.822;-380.174;15.03;184.44;-70.574;-241.924;-16.9
71.368;4;L2C;Control;104.353;-380.117;15.03;184.44;-70.574;-241.924;-16.9
71.470;4;L2C;Control;105.885;-380.055;15.02;184.44;-70.574;-241.924;-16.9
71.572;4;L2C;Control;107.415;-379.989;15.02;184.44;-70.574;-241.924;-16.9
71.674;4;L2C;Control;108.945;-379.922;15.01;184.44;-70.574;-241.924;-16.9
71.776;4;L2C;Control;110.474;-379.857;15.00;184.44;-70.574;-241.924;-16.9
71.876;4;L2C;Control;111.972;-379.797;14.98;184.44;-70.574;-241.924;-16.9
71.978;4;L2C;Control;113.497;-379.744;14.94;184.44;-70.574;-241.924;-16.9
72.080;4;L2C;Control;115.019;-379.701;14.91;184.44;-70.574;-241.924;-16.9
72.182;4;L2C;Control;116.538;-379.670;14.88;184.44;-70.574;-241.924;-16.9
72.284;4;L2C;Control;118.053;-379.656;14.84;184.44;-70.574;-241.924;-16.9
72.386;4;L2C;Control;119.565;-379.660;14.81;184.44;-70.574;-241.924;-16.9
72.488;4;L2C;Control;121.073;-379.678;14.77;184.44;-70.574;-241.924;-16.9
72.590;4;L2C;Control;122.579;-379.706;14.75;184.44;-70.574;-241.924;-16.9
72.692;4;L2C;Control;124.081;-379.746;14.73;184.44;-70.574;-241.924;-16.9
