Time;Trial;Scene;Modality;PosX;PosZ;Speed;TTC;PredCrashX;PredCrashZ;CrashAngle
75.316;5;T7B;Audio;-212.793;-261.013;0.29;1828.04;-161.858;-175.064;45.4
75.418;5;T7B;Audio;-212.770;-260.984;0.55;525.28;-109.749;-133.013;45.3
75.520;5;T7B;Audio;-212.719;-260.922;1.00;261.99;-104.215;-127.366;45.2
75.622;5;T7B;Audio;-212.639;-260.823;1.45;173.68;-103.715;-127.820;44.9
75.724;5;T7B;Audio;-212.529;-260.690;1.90;130.45;-103.192;-128.545;44.6
75.826;5;T7B;Audio;-212.390;-260.524;2.33;105.12;-102.556;-129.416;44.2
75.928;5;T7B;Audio;-212.221;-260.325;2.77;86.67;-101.731;-130.558;43.7
76.030;5;T7B;Audio;-212.022;-260.094;3.18;73.67;-100.552;-132.016;43.1
76.132;5;T7B;Audio;-211.792;-259.834;3.61;63.85;-98.754;-134.028;42.2
76.234;5;T7B;Audio;-211.528;-259.547;4.02;56.62;-97.430;-135.635;41.3
76.334;5;T7B;Audio;-211.242;-259.235;4.41;51.13;-97.898;-135.620;41.2
76.436;5;T7B;Audio;-210.924;-258.886;4.81;47.16;-98.912;-135.067;41.5
76.538;5;T7B;Audio;-210.581;-258.504;5.21;43.59;-99.807;-134.634;41.9
76.640;5;T7B;Audio;-210.214;-258.090;5.60;40.39;-100.696;-134.207;42.4
76.742;5;T7B;Audio;-209.823;-257.645;5.99;37.92;-101.507;-133.814;42.8
76.844;5;T7B;Audio;-209.408;-257.168;6.38;35.69;-102.363;-133.383;43.3
76.946;5;T7B;Audio;-208.971;-256.659;6.75;33.66;-103.183;-132.991;43.9
77.048;5;T7B;Audio;-208.511;-256.120;7.13;31.86;-103.432;-133.047;44.0
77.150;5;T7B;Audio;-208.025;-255.553;7.49;30.13;-103.156;-133.535;43.8
77.252;5;T7B;Audio;-207.512;-254.961;7.86;28.51;-102.615;-134.248;43.5
77.354;5;T7B;Audio;-206.970;-254.345;8.21;26.86;-101.483;-135.497;42.8
77.456;5;T7B;Audio;-206.397;-253.709;8.56;25.35;-100.147;-136.935;42.0
77.556;5;T7B;Audio;-205.804;-253.067;8.90;24.05;-98.749;-138.445;41.3
77.658;5;T7B;Audio;-205.165;-252.398;9.23;22.71;-96.825;-140.511;40.2
77.760;5;T7B;Audio;-204.489;-251.717;9.56;21.44;-94.650;-142.906;38.9
77.862;5;T7B;Audio;-203.772;-251.029;9.88;20.19;-91.983;-145.934;37.2
77.964;5;T7B;Audio;-203.014;-250.340;10.20;19.02;-89.153;-149.315;35.4
78.066;5;T7B;Audio;-202.212;-249.652;10.50;17.99;-86.469;-152.718;33.8
78.168;5;T7B;Audio;-201.365;-248.970;10.80;17.01;-83.666;-156.500;32.0
78.270;5;T7B;Audio;-200.472;-248.299;11.09;16.04;-80.478;-161.088;29.6
78.372;5;T7B;Audio;-199.530;-247.648;11.35;15.18;-77.286;-166.071;26.9
78.474;5;T7B;Audio;-198.538;-247.024;11.60;14.37;-73.982;-171.747;24.1
78.576;5;T7B;Audio;-197.497;-246.434;11.84;13.65;-70.980;-177.519;21.4
78.678;5;T7B;Audio;-196.408;-245.883;12.08;12.95;-68.006;-183.982;18.5
78.778;5;T7B;Audio;-195.295;-245.385;12.30;12.34;-65.473;-190.347;15.8
78.880;5;T7B;Audio;-194.115;-244.924;12.52;11.80;-63.314;-196.717;13.1
78.982;5;T7B;Audio;-192.895;-244.510;12.74;11.30;-61.615;-202.773;10.9
79.084;5;T7B;Audio;-191.636;-244.140;12.97;10.86;-60.430;-208.052;9.3
79.186;5;T7B;Audio;-190.342;-243.813;13.21;10.47;-59.590;-212.803;7.6
79.288;5;T7B;Audio;-189.014;-243.529;13.42;10.09;-58.911;-217.707;5.5
79.390;5;T7B;Audio;-187.655;-243.286;13.64;9.74;-58.573;-221.871;4.5
79.492;5;T7B;Audio;-186.267;-243.071;13.88;9.42;-58.575;-224.293;4.9
79.594;5;T7B;Audio;-184.851;-242.874;14.13;9.11;-58.729;-226.127;4.8
79.696;5;T7B;Audio;-183.409;-242.692;14.37;8.82;-58.944;-227.520;4.5
79.798;5;T7B;Audio;-181.940;-242.521;14.61;8.54;-59.200;-228.794;4.2
79.900;5;T7B;Audio;-180.446;-242.365;14.84;8.27;-59.451;-230.237;3.4
80.002;5;T7B;Audio;-178.926;-242.225;15.07;8.00;-59.703;-231.949;2.6
80.104;5;T7B;Audio;-177.382;-242.107;15.29;7.75;-59.960;-234.058;1.8
80.206;5;T7B;Audio;-175.815;-242.016;15.48;7.52;-60.217;-236.227;-2.2
80.306;5;T7B;Audio;-174.257;-241.955;15.69;7.29;-60.549;-238.373;-2.7
80.408;5;T7B;Audio;-172.647;-241.919;15.87;7.07;-60.914;-240.234;-3.3
80.510;5;T7B;Audio;-171.019;-241.906;16.00;6.88;-61.300;-241.610;-3.5
80.612;5;T7B;Audio;-169.385;-241.909;16.02;6.74;-61.701;-242.461;-3.2
80.714;5;T7B;Audio;-167.753;-241.922;15.95;6.63;-62.132;-243.064;-3.0
80.816;5;T7B;Audio;-166.132;-241.945;15.85;6.55;-62.528;-243.652;-3.4
80.918;5;T7B;Audio;-164.522;-241.978;15.76;6.46;-62.960;-244.343;-4.0
81.020;5;T7B;Audio;-162.917;-242.021;15.73;6.35;-63.389;-244.924;-4.1
81.122;5;T7B;Audio;-161.314;-242.071;15.70;6.24;-63.786;-245.376;-4.2
81.224;5;T7B;Audio;-159.716;-242.132;15.66;6.13;-64.221;-246.003;-4.9
81.326;5;T7B;Audio;-158.123;-242.205;15.60;6.02;-64.664;-246.877;-6.1
81.428;5;T7B;Audio;-156.538;-242.294;15.54;5.93;-65.096;-247.818;-6.9
81.528;5;T7B;Audio;-154.990;-242.397;15.47;5.83;-65.523;-248.783;-7.6
81.630;5;T7B;Audio;-153.420;-242.518;15.41;5.74;-65.920;-249.653;-8.2
81.732;5;T7B;Audio;-151.857;-242.652;15.35;5.65;-66.261;-250.219;-8.2
81.834;5;T7B;Audio;-150.301;-242.792;15.29;5.55;-66.566;-250.433;-7.6
81.936;5;T7B;Audio;-148.751;-242.932;15.24;5.45;-66.806;-250.349;-7.0
82.038;5;T7B;Audio;-147.206;-243.068;15.18;5.35;-67.020;-249.954;-6.3
82.140;5;T7B;Audio;-145.667;-243.192;15.11;5.25;-67.166;-249.155;-4.9
82.242;5;T7B;Audio;-144.134;-243.295;15.03;5.15;-67.269;-247.936;-3.2
82.344;5;T7B;Audio;-142.607;-243.373;14.94;5.06;-67.366;-246.537;-2.1
82.446;5;T7B;Audio;-141.087;-243.420;14.87;4.97;-67.464;-245.055;-1.2
82.548;5;T7B;Audio;-139.575;-243.436;14.79;4.88;-67.570;-243.534;1.4
82.650;5;T7B;Audio;-138.071;-243.421;14.70;4.80;-67.682;-242.060;2.3
82.750;5;T7B;Audio;-136.606;-243.375;14.61;4.71;-67.809;-240.564;3.3
82.852;5;T7B;Audio;-135.121;-243.299;14.55;4.64;-67.921;-239.401;3.8
82.954;5;T7B;Audio;-133.644;-243.203;14.48;4.55;-68.009;-238.535;3.7
83.056;5;T7B;Audio;-132.175;-243.090;14.42;4.47;-68.062;-237.929;3.7
83.158;5;T7B;Audio;-130.713;-242.967;14.35;4.39;-68.095;-237.520;3.7
83.260;5;T7B;Audio;-129.258;-242.838;14.30;4.31;-68.113;-237.296;3.5
83.362;5;T7B;Audio;-127.808;-242.707;14.24;4.23;-68.109;-237.322;2.9
83.464;5;T7B;Audio;-126.365;-242.583;14.18;4.14;-68.070;-237.756;1.5
83.566;5;T7B;Audio;-124.925;-242.478;14.11;4.05;-67.998;-238.706;-1.7
83.668;5;T7B;Audio;-123.492;-242.402;14.04;3.97;-67.927;-240.005;-3.7
83.770;5;T7B;Audio;-122.064;-242.358;13.96;3.89;-67.889;-241.175;-4.8
83.872;5;T7B;Audio;-120.644;-242.343;13.89;3.81;-67.875;-242.226;-5.5
83.972;5;T7B;Audio;-119.258;-242.352;13.83;3.73;-67.877;-242.999;-5.9
84.074;5;T7B;Audio;-117.851;-242.379;13.78;3.64;-67.885;-243.605;-5.9
84.176;5;T7B;Audio;-116.449;-242.419;13.73;3.56;-67.890;-243.931;-5.8
84.278;5;T7B;Audio;-115.050;-242.464;13.72;3.46;-67.889;-244.029;-5.3
84.380;5;T7B;Audio;-113.651;-242.509;13.71;3.36;-67.881;-243.954;-4.7
84.482;5;T7B;Audio;-112.253;-242.550;13.71;3.26;-67.871;-243.773;-4.2
84.584;5;T7B;Audio;-110.855;-242.583;13.71;3.16;-67.859;-243.503;-3.7
84.686;5;T7B;Audio;-109.456;-242.607;13.74;3.05;-67.849;-243.212;-3.4
84.788;5;T7B;Audio;-108.053;-242.624;13.78;2.94;-67.843;-243.018;-3.6
84.890;5;T7B;Audio;-106.644;-242.636;13.84;2.82;-67.838;-242.931;-4.0
84.992;5;T7B;Audio;-105.230;-242.648;13.89;2.71;-67.834;-242.978;-4.9
85.094;5;T7B;Audio;-103.810;-242.663;13.94;2.60;-67.831;-243.115;-5.6
85.196;5;T7B;Audio;-102.385;-242.686;13.99;2.49;-67.828;-243.323;-6.5
85.298;5;T7B;Audio;-100.956;-242.718;14.04;2.38;-67.826;-243.560;-7.3
85.400;5;T7B;Audio;-99.522;-242.761;14.08;2.28;-67.822;-243.783;-7.9
85.500;5;T7B;Audio;-98.113;-242.809;14.12;2.17;-67.815;-243.897;-8.0
85.602;5;T7B;Audio;-96.671;-242.860;14.16;2.07;-67.802;-243.862;-7.4
85.704;5;T7B;Audio;-95.226;-242.904;14.19;1.96;-67.783;-243.668;-6.4
85.806;5;T7B;Audio;-93.778;-242.937;14.22;1.85;-67.764;-243.405;-5.8
85.908;5;T7B;Audio;-92.326;-242.955;14.25;1.75;-67.749;-243.151;-5.6
86.010;5;T7B;Audio;-90.871;-242.958;14.28;1.64;-67.736;-242.932;-5.7
86.112;5;T7B;Audio;-89.412;-242.952;14.32;1.53;-67.724;-242.791;-6.2
86.214;5;T7B;Audio;-87.951;-242.937;14.34;1.43;-67.710;-242.702;-6.7
86.316;5;T7B;Audio;-86.489;-242.918;14.31;1.33;-67.719;-242.644;-7.1
86.418;5;T7B;Audio;-85.035;-242.895;14.16;1.23;-67.758;-242.610;-7.3
86.520;5;T7B;Audio;-83.601;-242.871;13.97;1.14;-67.830;-242.590;-7.2
86.622;5;T7B;Audio;-82.208;-242.844;13.26;1.08;-67.941;-242.562;-6.7
86.722;5;T7B;Audio;-80.925;-242.816;12.45;1.04;-68.080;-242.514;-5.5
86.824;5;T7B;Audio;-79.700;-242.783;11.62;0.99;-68.272;-242.452;-3.9
86.926;5;T7B;Audio;-78.558;-242.746;10.81;0.94;-68.474;-242.393;-2.1
87.028;5;T7B;Audio;-77.500;-242.706;10.01;0.89;-68.670;-242.341;0.6
87.130;5;T7B;Audio;-76.523;-242.662;9.21;0.84;-68.855;-242.298;3.0
87.232;5;T7B;Audio;-75.627;-242.617;8.42;0.79;-69.017;-242.262;6.6
87.334;5;T7B;Audio;-74.811;-242.570;7.65;0.76;-69.143;-242.235;11.3
87.436;5;T7B;Audio;-74.075;-242.524;6.87;0.75;-69.222;-242.211;17.8
87.538;5;T7B;Audio;-73.417;-242.480;6.11;0.78;-69.225;-242.191;26.2
87.640;5;T7B;Audio;-72.836;-242.439;5.35;0.88;-69.127;-242.170;36.6
87.742;5;T7B;Audio;-72.332;-242.401;4.60;1.17;-68.890;-242.141;49.3
