Time;Trial;Scene;Modality;PosX;PosZ;Speed;TTC;PredCrashX;PredCrashZ;CrashAngle
87.898;6;C1C;Multimodal;38.020;-379.870;0.22;1.40;-68.750;-242.127;54.8
88.000;6;C1C;Multimodal;38.020;-379.870;0.14;1.40;-68.750;-242.127;54.8
88.102;6;C1C;Multimodal;38.024;-379.870;0.13;1.40;-68.750;-242.127;54.8
88.204;6;C1C;Multimodal;38.051;-379.870;0.42;1.40;-68.750;-242.127;54.8
88.306;6;C1C;Multimodal;38.115;-379.870;0.85;1.40;-68.750;-242.127;54.8
88.408;6;C1C;Multimodal;38.227;-379.870;1.31;1.40;-68.750;-242.127;54.8
88.510;6;C1C;Multimodal;38.384;-379.870;1.75;1.40;-68.750;-242.127;54.8
88.612;6;C1C;Multimodal;38.586;-379.870;2.19;1.40;-68.750;-242.127;54.8
88.714;6;C1C;Multimodal;38.833;-379.870;2.62;1.40;-68.750;-242.127;54.8
88.816;6;C1C;Multimodal;39.123;-379.870;3.04;1.40;-68.750;-242.127;54.8
88.916;6;C1C;Multimodal;39.449;-379.870;3.46;1.40;-68.750;-242.127;54.8
89.018;6;C1C;Multimodal;39.824;-379.870;3.87;1.40;-68.750;-242.127;54.8
89.120;6;C1C;Multimodal;40.242;-379.870;4.28;1.40;-68.750;-242.127;54.8
89.222;6;C1C;Multimodal;40.700;-379.870;4.69;1.40;-68.750;-242.127;54.8
89.324;6;C1C;Multimodal;41.200;-379.870;5.09;1.40;-68.750;-242.127;54.8
89.426;6;C1C;Multimodal;41.741;-379.870;5.48;1.40;-68.750;-242.127;54.8
89.528;6;C1C;Multimodal;42.321;-379.870;5.87;1.40;-68.750;-242.127;54.8
89.630;6;C1C;Multimodal;42.940;-379.870;6.25;1.40;-68.750;-242.127;54.8
89.732;6;C1C;Multimodal;43.599;-379.870;6.63;1.40;-68.750;-242.127;54.8
89.834;6;C1C;Multimodal;44.295;-379.870;7.01;1.40;-68.750;-242.127;54.8
89.936;6;C1C;Multimodal;45.030;-379.870;7.37;1.40;-68.750;-242.127;54.8
90.038;6;C1C;Multimodal;45.802;-379.870;7.74;1.40;-68.750;-242.127;54.8
90.140;6;C1C;Multimodal;46.610;-379.870;8.10;1.40;-68.750;-242.127;54.8
90.242;6;C1C;Multimodal;47.455;-379.870;8.45;1.40;-68.750;-242.127;54.8
90.344;6;C1C;Multimodal;48.336;-379.870;8.80;1.40;-68.750;-242.127;54.8
90.444;6;C1C;Multimodal;49.234;-379.870;9.14;1.40;-68.750;-242.127;54.8
90.546;6;C1C;Multimodal;50.184;-379.870;9.48;1.40;-68.750;-242.127;54.8
90.648;6;C1C;Multimodal;51.169;-379.870;9.81;1.40;-68.750;-242.127;54.8
90.750;6;C1C;Multimodal;52.188;-379.870;10.15;1.40;-68.750;-242.127;54.8
90.852;6;C1C;Multimodal;53.241;-379.870;10.47;1.40;-68.750;-242.127;54.8
90.954;6;C1C;Multimodal;54.326;-379.870;10.80;1.40;-68.750;-242.127;54.8
91.056;6;C1C;Multimodal;55.445;-379.870;11.11;1.40;-68.750;-242.127;54.8
91.158;6;C1C;Multimodal;56.595;-379.870;11.43;1.40;-68.750;-242.127;54.8
91.260;6;C1C;Multimodal;57.778;-379.870;11.74;1.40;-68.750;-242.127;54.8
91.362;6;C1C;Multimodal;58.991;-379.870;12.04;1.40;-68.750;-242.127;54.8
91.464;6;C1C;Multimodal;60.236;-379.870;12.34;1.40;-68.750;-242.127;54.8
91.566;6;C1C;Multimodal;61.511;-379.870;12.64;1.40;-68.750;-242.127;54.8
91.666;6;C1C;Multimodal;62.791;-379.870;12.93;1.40;-68.750;-242.127;54.8
91.768;6;C1C;Multimodal;64.125;-379.870;13.22;1.40;-68.750;-242.127;54.8
91.870;6;C1C;Multimodal;65.489;-379.870;13.50;1.40;-68.750;-242.127;54.8
91.972;6;C1C;Multimodal;66.882;-379.870;13.79;1.40;-68.750;-242.127;54.8
92.074;6;C1C;Multimodal;68.303;-379.870;14.03;1.40;-68.750;-242.127;54.8
92.176;6;C1C;Multimodal;69.744;-379.870;14.19;1.40;-68.750;-242.127;54.8
92.278;6;C1C;Multimodal;71.195;-379.870;14.25;1.40;-68.750;-242.127;54.8
92.380;6;C1C;Multimodal;72.649;-379.870;14.23;1.40;-68.750;-242.127;54.8
92.482;6;C1C;Multimodal;74.099;-379.870;14.19;1.40;-68.750;-242.127;54.8
92.584;6;C1C;Multimodal;75.544;-379.870;14.14;1.40;-68.750;-242.127;54.8
92.686;6;C1C;Multimodal;76.982;-379.870;14.07;1.40;-68.750;-242.127;54.8
92.788;6;C1C;Multimodal;78.413;-379.870;13.98;1.40;-68.750;-242.127;54.8
92.888;6;C1C;Multimodal;79.806;-379.870;13.90;1.40;-68.750;-242.127;54.8
92.990;6;C1C;Multimodal;81.219;-379.870;13.82;1.40;-68.750;-242.127;54.8
93.092;6;C1C;Multimodal;82.624;-379.870;13.73;1.40;-68.750;-242.127;54.8
93.194;6;C1C;Multimodal;84.020;-379.870;13.65;1.40;-68.750;-242.127;54.8
93.296;6;C1C;Multimodal;85.408;-379.870;13.57;1.40;-68.750;-242.127;54.8
93.398;6;C1C;Multimodal;86.788;-379.870;13.50;1.40;-68.750;-242.127;54.8
93.500;6;C1C;Multimodal;88.163;-379.870;13.48;1.40;-68.750;-242.127;54.8
93.602;6;C1C;Multimodal;89.537;-379.870;13.47;1.40;-68.750;-242.127;54.8
93.704;6;C1C;Multimodal;90.911;-379.870;13.47;1.40;-68.750;-242.127;54.8
93.806;6;C1C;Multimodal;92.284;-379.870;13.46;1.40;-68.750;-242.127;54.8
93.908;6;C1C;Multimodal;93.657;-379.870;13.45;1.40;-68.750;-242.127;54.8
94.010;6;C1C;Multimodal;95.029;-379.870;13.45;1.40;-68.750;-242.127;54.8
94.110;6;C1C;Multimodal;96.374;-379.870;13.44;1.40;-68.750;-242.127;54.8
94.212;6;C1C;Multimodal;97.744;-379.870;13.44;1.40;-68.750;-242.127;54.8
94.314;6;C1C;Multimodal;99.114;-379.870;13.44;1.40;-68.750;-242.127;54.8
94.416;6;C1C;Multimodal;100.485;-379.870;13.43;1.40;-68.750;-242.127;54.8
