Time;Trial;Scene;Modality;PosX;PosZ;Speed;TTC;PredCrashX;PredCrashZ;CrashAngle
105.298;7;L2D;Multimodal;169.700;-240.300;0.22;1.40;-68.750;-242.127;54.8
105.400;7;L2D;Multimodal;169.700;-240.300;0.15;1.40;-68.750;-242.127;54.8
105.500;7;L2D;Multimodal;169.701;-240.300;0.03;1.40;-68.750;-242.127;54.8
105.602;7;L2D;Multimodal;169.701;-240.300;0.02;394.86;169.701;-240.300;97.6
105.704;7;L2D;Multimodal;169.701;-240.300;0.03;317.23;169.701;-240.300;94.3
105.804;7;L2D;Multimodal;169.702;-240.300;0.01;648.17;169.702;-240.300;91.2
105.906;7;L2D;Multimodal;169.702;-240.300;0.01;3414.22;169.702;-240.300;88.1
106.008;7;L2D;Multimodal;169.703;-240.300;0.01;87202.87;169.703;-240.300;86.1
106.110;7;L2D;Multimodal;169.703;-240.300;0.00;3202.65;169.703;-240.300;81.6
106.212;7;L2D;Multimodal;169.703;-240.300;0.00;1316.73;169.703;-240.300;78.4
106.314;7;L2D;Multimodal;169.703;-240.300;0.00;990.99;169.703;-240.300;75.5
106.416;7;L2D;Multimodal;169.703;-240.300;0.00;864.52;169.703;-240.300;72.6
106.518;7;L2D;Multimodal;169.703;-240.300;0.00;796.14;169.703;-240.300;69.6
106.620;7;L2D;Multimodal;169.703;-240.300;0.00;749.53;169.703;-240.300;66.8
106.720;7;L2D;Multimodal;169.703;-240.300;0.00;692.37;169.703;-240.300;64.4
106.822;7;L2D;Multimodal;169.703;-240.300;0.00;664.78;169.703;-240.300;61.9
106.924;7;L2D;Multimodal;169.703;-240.300;0.00;639.65;169.703;-240.300;59.4
107.026;7;L2D;Multimodal;169.703;-240.300;0.00;612.40;169.703;-240.300;57.1
107.128;7;L2D;Multimodal;169.703;-240.300;0.00;599.34;169.703;-240.300;55.0
107.230;7;L2D;Multimodal;169.703;-240.300;0.00;590.42;169.703;-240.300;52.9
107.332;7;L2D;Multimodal;169.703;-240.299;0.01;584.12;169.703;-240.299;50.9
107.434;7;L2D;Multimodal;169.703;-240.299;0.00;572.78;169.703;-240.299;49.1
107.536;7;L2D;Multimodal;169.703;-240.299;0.00;570.70;169.703;-240.299;47.4
107.638;7;L2D;Multimodal;169.703;-240.299;0.00;574.34;169.703;-240.299;45.7
107.740;7;L2D;Multimodal;169.703;-240.299;0.00;572.59;169.703;-240.299;44.2
107.842;7;L2D;Multimodal;169.703;-240.298;0.00;568.59;169.703;-240.298;42.7
107.944;7;L2D;Multimodal;169.703;-240.298;0.00;569.25;169.703;-240.298;41.4
108.046;7;L2D;Multimodal;169.703;-240.298;0.00;577.68;169.703;-240.298;40.1
108.148;7;L2D;Multimodal;169.703;-240.298;0.00;586.29;169.703;-240.298;38.9
108.248;7;L2D;Multimodal;169.703;-240.298;0.00;585.97;169.703;-240.298;37.8
108.350;7;L2D;Multimodal;169.703;-240.298;0.00;595.50;169.703;-240.298;36.7
108.452;7;L2D;Multimodal;169.703;-240.298;0.00;600.25;169.703;-240.298;35.8
108.554;7;L2D;Multimodal;169.703;-240.298;0.00;611.15;169.703;-240.298;34.9
108.656;7;L2D;Multimodal;169.703;-240.298;0.00;619.54;169.703;-240.298;34.1
108.758;7;L2D;Multimodal;169.703;-240.298;0.00;628.42;169.703;-240.298;33.5
108.860;7;L2D;Multimodal;169.703;-240.298;0.00;634.38;169.703;-240.298;32.9
108.962;7;L2D;Multimodal;169.703;-240.298;0.00;635.01;169.703;-240.298;32.3
109.064;7;L2D;Multimodal;169.703;-240.298;0.00;633.74;169.703;-240.298;31.9
109.166;7;L2D;Multimodal;169.703;-240.298;0.00;638.73;169.703;-240.298;31.6
109.268;7;L2D;Multimodal;169.703;-240.298;0.00;640.63;169.703;-240.298;31.3
109.370;7;L2D;Multimodal;169.703;-240.298;0.00;642.01;169.703;-240.298;31.1
109.470;7;L2D;Multimodal;169.703;-240.298;0.00;649.43;169.703;-240.298;30.9
109.572;7;L2D;Multimodal;169.703;-240.298;0.00;652.03;169.703;-240.298;30.8
109.674;7;L2D;Multimodal;169.703;-240.298;0.00;649.64;169.703;-240.298;30.7
109.776;7;L2D;Multimodal;169.703;-240.298;0.00;653.66;169.703;-240.298;30.6
109.878;7;L2D;Multimodal;169.703;-240.298;0.00;651.65;169.703;-240.298;30.5
109.980;7;L2D;Multimodal;169.703;-240.298;0.00;650.86;169.703;-240.298;30.5
110.082;7;L2D;Multimodal;169.703;-240.298;0.00;654.78;169.703;-240.298;30.4
110.184;7;L2D;Multimodal;169.703;-240.298;0.00;654.86;169.703;-240.298;30.4
110.286;7;L2D;Multimodal;169.703;-240.298;0.00;650.29;169.703;-240.298;30.4
110.388;7;L2D;Multimodal;169.703;-240.298;0.00;652.14;169.703;-240.298;30.4
110.490;7;L2D;Multimodal;169.703;-240.298;0.00;654.72;169.703;-240.298;30.4
110.592;7;L2D;Multimodal;169.703;-240.298;0.00;651.64;169.703;-240.298;30.4
110.692;7;L2D;Multimodal;169.703;-240.297;0.00;651.76;169.703;-240.297;30.3
110.794;7;L2D;Multimodal;169.703;-240.297;0.00;651.33;169.703;-240.297;30.3
110.896;7;L2D;Multimodal;169.703;-240.297;0.00;652.54;169.703;-240.297;30.3
110.998;7;L2D;Multimodal;169.703;-240.297;0.00;654.28;169.703;-240.297;30.3
111.100;7;L2D;Multimodal;169.703;-240.297;0.00;655.32;169.703;-240.297;30.3
111.202;7;L2D;Multimodal;169.703;-240.297;0.00;653.85;169.703;-240.297;30.3
111.304;7;L2D;Multimodal;169.703;-240.297;0.00;651.86;169.703;-240.297;30.3
111.406;7;L2D;Multimodal;169.703;-240.297;0.00;655.34;169.703;-240.297;30.3
111.508;7;L2D;Multimodal;169.703;-240.297;0.00;657.81;169.703;-240.297;30.3
111.610;7;L2D;Multimodal;169.703;-240.297;0.00;652.37;169.703;-240.297;30.3
111.712;7;L2D;Multimodal;169.703;-240.297;0.00;650.60;169.703;-240.297;30.3
111.814;7;L2D;Multimodal;169.703;-240.297;0.00;652.59;169.703;-240.297;30.3
111.914;7;L2D;Multimodal;169.703;-240.297;0.00;656.98;169.703;-240.297;30.3
112.016;7;L2D;Multimodal;169.703;-240.297;0.00;654.81;169.703;-240.297;30.3
112.118;7;L2D;Multimodal;169.703;-240.297;0.00;652.74;169.703;-240.297;30.3
112.220;7;L2D;Multimodal;169.703;-240.297;0.00;652.22;169.703;-240.297;30.3
112.322;7;L2D;Multimodal;169.703;-240.297;0.00;652.17;169.703;-240.297;30.3
112.424;7;L2D;Multimodal;169.703;-240.297;0.00;653.70;169.703;-240.297;30.3
112.526;7;L2D;Multimodal;169.703;-240.297;0.00;656.45;169.703;-240.297;30.3
112.628;7;L2D;Multimodal;169.703;-240.297;0.00;654.52;169.703;-240.297;30.3
112.730;7;L2D;Multimodal;169.703;-240.297;0.00;653.67;169.703;-240.297;30.3
