Time;Trial;Scene;Modality;PosX;PosZ;Speed;TTC;PredCrashX;PredCrashZ;CrashAngle
128.132;8;T7D;Visual;144.210;-239.576;0.16;22083.38;134.994;-239.558;-1.2
128.232;8;T7D;Visual;144.211;-239.576;0.05;18174.70;144.211;-239.576;-1.3
128.334;8;T7D;Visual;144.211;-239.576;0.02;17587.23;144.211;-239.576;-1.3
128.434;8;T7D;Visual;144.212;-239.576;0.03;17812.55;144.212;-239.576;-1.3
128.534;8;T7D;Visual;144.212;-239.576;0.02;18001.87;144.212;-239.576;-1.3
128.636;8;T7D;Visual;144.212;-239.576;0.00;18001.51;144.212;-239.576;-1.3
128.736;8;T7D;Visual;144.213;-239.576;0.01;17906.71;144.213;-239.576;-1.3
128.838;8;T7D;Visual;144.213;-239.576;0.00;17811.34;144.213;-239.576;-1.3
128.940;8;T7D;Visual;144.213;-239.576;0.00;17741.49;144.213;-239.576;-1.3
129.040;8;T7D;Visual;144.213;-239.576;0.00;17701.27;144.213;-239.576;-1.3
129.142;8;T7D;Visual;144.213;-239.576;0.00;17669.97;144.213;-239.576;-1.3
129.244;8;T7D;Visual;144.213;-239.576;0.00;17632.39;144.213;-239.576;-1.3
129.344;8;T7D;Visual;144.213;-239.576;0.00;17587.89;144.213;-239.576;-1.3
129.446;8;T7D;Visual;144.213;-239.576;0.00;17543.66;144.213;-239.576;-1.3
129.546;8;T7D;Visual;144.213;-239.576;0.00;17502.51;144.213;-239.576;-1.3
129.646;8;T7D;Visual;144.213;-239.576;0.00;17460.71;144.213;-239.576;-1.3
129.748;8;T7D;Visual;144.213;-239.576;0.00;17414.33;144.213;-239.576;-1.3
129.848;8;T7D;Visual;144.213;-239.576;0.00;17380.70;144.213;-239.576;-1.3
129.948;8;T7D;Visual;144.213;-239.576;0.00;17329.52;144.213;-239.576;-1.3
130.050;8;T7D;Visual;144.213;-239.576;0.00;17287.04;144.213;-239.576;-1.3
130.150;8;T7D;Visual;144.213;-239.576;0.00;17246.28;144.213;-239.576;-1.3
130.252;8;T7D;Visual;144.213;-239.576;0.00;17204.22;144.213;-239.576;-1.3
130.352;8;T7D;Visual;144.213;-239.576;0.00;17159.40;144.213;-239.576;-1.3
130.452;8;T7D;Visual;144.213;-239.576;0.00;17119.72;144.213;-239.576;-1.3
130.554;8;T7D;Visual;144.213;-239.576;0.00;17072.83;144.213;-239.576;-1.3
130.654;8;T7D;Visual;144.213;-239.576;0.00;17028.41;144.213;-239.576;-1.3
130.754;8;T7D;Visual;144.213;-239.576;0.00;16988.06;144.213;-239.576;-1.3
130.856;8;T7D;Visual;144.213;-239.576;0.00;16949.52;144.213;-239.576;-1.3
130.956;8;T7D;Visual;144.213;-239.576;0.00;16908.57;144.213;-239.576;-1.3
131.058;8;T7D;Visual;144.213;-239.576;0.00;16865.23;144.213;-239.576;-1.3
131.158;8;T7D;Visual;144.213;-239.576;0.00;16816.55;144.213;-239.576;-1.3
131.258;8;T7D;Visual;144.213;-239.576;0.00;16772.74;144.213;-239.576;-1.3
131.360;8;T7D;Visual;144.213;-239.576;0.00;16730.98;144.213;-239.576;-1.3
131.460;8;T7D;Visual;144.213;-239.576;0.00;16702.01;144.213;-239.576;-1.3
131.560;8;T7D;Visual;144.213;-239.576;0.00;16650.12;144.213;-239.576;-1.3
131.662;8;T7D;Visual;144.213;-239.576;0.00;16602.96;144.213;-239.576;-1.3
131.762;8;T7D;Visual;144.213;-239.576;0.00;16561.58;144.213;-239.576;-1.3
131.864;8;T7D;Visual;144.213;-239.576;0.00;16523.46;144.213;-239.576;-1.3
131.966;8;T7D;Visual;144.213;-239.576;0.00;16476.48;144.213;-239.576;-1.3
132.066;8;T7D;Visual;144.213;-239.576;0.00;16437.27;144.213;-239.576;-1.3
132.168;8;T7D;Visual;144.213;-239.576;0.00;16393.42;144.213;-239.576;-1.3
132.268;8;T7D;Visual;144.213;-239.576;0.00;16349.83;144.213;-239.576;-1.3
132.368;8;T7D;Visual;144.213;-239.576;0.00;16306.67;144.213;-239.576;-1.3
132.470;8;T7D;Visual;144.213;-239.576;0.00;16260.46;144.213;-239.576;-1.3
132.570;8;T7D;Visual;144.213;-239.576;0.00;16220.57;144.213;-239.576;-1.3
132.670;8;T7D;Visual;144.213;-239.576;0.00;16179.66;144.213;-239.576;-1.3
132.772;8;T7D;Visual;144.213;-239.576;0.00;16134.55;144.213;-239.576;-1.3
132.872;8;T7D;Visual;144.213;-239.576;0.00;16093.11;144.213;-239.576;-1.3
132.974;8;T7D;Visual;144.213;-239.576;0.00;16051.50;144.213;-239.576;-1.3
133.074;8;T7D;Visual;144.213;-239.576;0.00;16013.32;144.213;-239.576;-1.3
133.174;8;T7D;Visual;144.213;-239.576;0.00;15965.77;144.213;-239.576;-1.3
133.276;8;T7D;Visual;144.213;-239.576;0.00;15924.46;144.213;-239.576;-1.3
