Time;Trial;Scene;Modality;PosX;PosZ;Speed;TTC;PredCrashX;PredCrashZ;CrashAngle
150.588;9;C1A;Visual;-242.230;-80.120;0.17;25931.49;-232.814;-80.089;10.6
150.690;9;C1A;Visual;-242.230;-80.120;0.06;20893.69;-242.230;-80.120;10.6
150.790;9;C1A;Visual;-242.227;-80.120;0.15;1697.16;-51.307;-78.123;10.6
150.890;9;C1A;Visual;-242.194;-80.120;0.52;444.56;-50.133;-78.414;10.6
150.992;9;C1A;Visual;-242.117;-80.119;0.97;225.65;-49.859;-77.454;10.8
151.092;9;C1A;Visual;-241.997;-80.117;1.42;146.75;-49.857;-77.507;11.0
151.194;9;C1A;Visual;-241.829;-80.115;1.85;111.74;-49.856;-77.567;11.1
151.294;9;C1A;Visual;-241.621;-80.112;2.28;89.02;-49.853;-77.216;11.3
151.394;9;C1A;Visual;-241.370;-80.107;2.71;74.36;-49.852;-76.737;11.5
151.496;9;C1A;Visual;-241.072;-80.101;3.13;64.34;-49.867;-75.654;11.7
151.596;9;C1A;Visual;-240.737;-80.092;3.54;56.64;-49.887;-74.585;12.1
151.696;9;C1A;Visual;-240.361;-80.081;3.95;50.62;-49.883;-74.443;12.4
151.798;9;C1A;Visual;-239.938;-80.068;4.34;45.60;-49.865;-74.710;12.4
151.898;9;C1A;Visual;-239.484;-80.056;4.72;41.82;-49.852;-74.794;12.4
152.000;9;C1A;Visual;-238.982;-80.042;5.11;38.48;-49.839;-74.826;12.5
152.100;9;C1A;Visual;-238.452;-80.027;5.47;35.87;-49.827;-74.834;12.5
152.200;9;C1A;Visual;-237.886;-80.012;5.83;33.42;-49.813;-74.835;12.5
152.302;9;C1A;Visual;-237.271;-79.995;6.20;31.46;-49.800;-74.832;12.6
152.402;9;C1A;Visual;-236.633;-79.977;6.55;29.55;-49.784;-74.826;12.6
152.502;9;C1A;Visual;-235.960;-79.958;6.91;28.01;-49.769;-74.820;12.7
152.604;9;C1A;Visual;-235.237;-79.938;7.25;26.51;-49.751;-74.815;12.7
152.704;9;C1A;Visual;-234.495;-79.917;7.59;25.23;-49.733;-74.812;12.8
152.806;9;C1A;Visual;-233.703;-79.896;7.92;24.05;-49.709;-75.015;12.7
152.906;9;C1A;Visual;-232.894;-79.876;8.25;23.01;-49.672;-75.737;12.4
153.006;9;C1A;Visual;-232.052;-79.860;8.57;21.96;-49.631;-76.785;12.0
153.108;9;C1A;Visual;-231.161;-79.848;8.89;21.07;-49.597;-77.887;11.6
153.208;9;C1A;Visual;-230.255;-79.842;9.20;20.20;-49.569;-79.133;11.2
153.308;9;C1A;Visual;-229.319;-79.843;9.49;19.48;-49.551;-80.439;10.7
153.410;9;C1A;Visual;-228.335;-79.853;9.78;18.75;-49.550;-82.349;9.9
