Time;Trial;Scene;Modality;PosX;PosZ;Speed;TTC;PredCrashX;PredCrashZ;CrashAngle
166.988;10;L2A;Audio;-245.288;-79.579;0.24;15.87;-53.044;-80.206;-16.0
167.088;10;L2A;Audio;-245.255;-79.579;0.55;15.87;-53.044;-80.206;-16.0
167.190;10;L2A;Audio;-245.175;-79.579;1.00;15.87;-53.044;-80.206;-16.0
167.290;10;L2A;Audio;-245.051;-79.578;1.44;15.87;-53.044;-80.206;-16.0
167.390;10;L2A;Audio;-244.884;-79.576;1.87;15.87;-53.044;-80.206;-16.0
167.492;10;L2A;Audio;-244.670;-79.574;2.31;15.87;-53.044;-80.206;-16.0
167.592;10;L2A;Audio;-244.416;-79.570;2.73;15.87;-53.044;-80.206;-16.0
167.694;10;L2A;Audio;-244.115;-79.565;3.16;15.87;-53.044;-80.206;-16.0
167.796;10;L2A;Audio;-243.770;-79.560;3.58;15.87;-53.044;-80.206;-16.0
167.896;10;L2A;Audio;-243.391;-79.555;3.98;15.87;-53.044;-80.206;-16.0
167.998;10;L2A;Audio;-242.962;-79.549;4.39;15.87;-53.044;-80.206;-16.0
168.098;10;L2A;Audio;-242.502;-79.545;4.79;15.87;-53.044;-80.206;-16.0
168.198;10;L2A;Audio;-242.003;-79.543;5.18;15.87;-53.044;-80.206;-16.0
168.300;10;L2A;Audio;-241.454;-79.543;5.57;15.87;-53.044;-80.206;-16.0
168.400;10;L2A;Audio;-240.877;-79.546;5.94;15.87;-53.044;-80.206;-16.0
168.500;10;L2A;Audio;-240.262;-79.553;6.33;15.87;-53.044;-80.206;-16.0
168.602;10;L2A;Audio;-239.597;-79.565;6.70;15.87;-53.044;-80.206;-16.0
168.702;10;L2A;Audio;-238.908;-79.580;7.07;15.87;-53.044;-80.206;-16.0
168.804;10;L2A;Audio;-238.168;-79.601;7.43;15.87;-53.044;-80.206;-16.0
168.904;10;L2A;Audio;-237.406;-79.626;7.79;15.87;-53.044;-80.206;-16.0
169.004;10;L2A;Audio;-236.609;-79.652;8.14;15.87;-53.044;-80.206;-16.0
169.106;10;L2A;Audio;-235.760;-79.679;8.50;15.87;-53.044;-80.206;-16.0
169.206;10;L2A;Audio;-234.892;-79.703;8.84;15.87;-53.044;-80.206;-16.0
169.306;10;L2A;Audio;-233.992;-79.723;9.17;15.87;-53.044;-80.206;-16.0
169.408;10;L2A;Audio;-233.038;-79.738;9.51;15.87;-53.044;-80.206;-16.0
169.508;10;L2A;Audio;-232.070;-79.747;9.83;15.87;-53.044;-80.206;-16.0
169.610;10;L2A;Audio;-231.050;-79.750;10.16;15.87;-53.044;-80.206;-16.0
169.710;10;L2A;Audio;-230.017;-79.744;10.47;15.87;-53.044;-80.206;-16.0
169.810;10;L2A;Audio;-228.955;-79.734;10.77;15.87;-53.044;-80.206;-16.0
169.912;10;L2A;Audio;-227.840;-79.719;11.07;15.87;-53.044;-80.206;-16.0
170.012;10;L2A;Audio;-226.716;-79.702;11.37;15.87;-53.044;-80.206;-16.0
170.112;10;L2A;Audio;-225.564;-79.684;11.66;15.87;-53.044;-80.206;-16.0
170.214;10;L2A;Audio;-224.359;-79.664;11.95;15.87;-53.044;-80.206;-16.0
170.314;10;L2A;Audio;-223.149;-79.645;12.23;15.87;-53.044;-80.206;-16.0
170.416;10;L2A;Audio;-221.887;-79.630;12.51;15.87;-53.044;-80.206;-16.0
170.518;10;L2A;Audio;-220.597;-79.622;12.78;15.87;-53.044;-80.206;-16.0
170.618;10;L2A;Audio;-219.305;-79.621;13.04;15.87;-53.044;-80.206;-16.0
170.720;10;L2A;Audio;-217.961;-79.629;13.30;15.87;-53.044;-80.206;-16.0
170.820;10;L2A;Audio;-216.619;-79.647;13.53;15.87;-53.044;-80.206;-16.0
170.920;10;L2A;Audio;-215.258;-79.675;13.70;15.87;-53.044;-80.206;-16.0
171.022;10;L2A;Audio;-213.854;-79.714;13.84;15.87;-53.044;-80.206;-16.0
171.122;10;L2A;Audio;-212.464;-79.761;13.96;15.87;-53.044;-80.206;-16.0
171.222;10;L2A;Audio;-211.062;-79.813;14.09;15.87;-53.044;-80.206;-16.0
171.324;10;L2A;Audio;-209.619;-79.866;14.21;15.87;-53.044;-80.206;-16.0
171.424;10;L2A;Audio;-208.194;-79.914;14.30;15.87;-53.044;-80.206;-16.0
171.526;10;L2A;Audio;-206.730;-79.956;14.40;15.87;-53.044;-80.206;-16.0
171.626;10;L2A;Audio;-205.285;-79.987;14.50;15.87;-53.044;-80.206;-16.0
171.726;10;L2A;Audio;-203.831;-80.009;14.59;15.87;-53.044;-80.206;-16.0
171.828;10;L2A;Audio;-202.339;-80.019;14.68;15.87;-53.044;-80.206;-16.0
171.928;10;L2A;Audio;-200.867;-80.016;14.76;15.87;-53.044;-80.206;-16.0
172.028;10;L2A;Audio;-199.387;-80.002;14.84;15.87;-53.044;-80.206;-16.0
172.130;10;L2A;Audio;-197.870;-79.974;14.91;15.87;-53.044;-80.206;-16.0
172.230;10;L2A;Audio;-196.375;-79.933;14.98;15.87;-53.044;-80.206;-16.0
172.332;10;L2A;Audio;-194.843;-79.879;15.06;15.87;-53.044;-80.206;-16.0
172.432;10;L2A;Audio;-193.334;-79.817;15.14;15.87;-53.044;-80.206;-16.0
172.532;10;L2A;Audio;-191.819;-79.750;15.20;15.87;-53.044;-80.206;-16.0
172.634;10;L2A;Audio;-190.268;-79.677;15.24;15.87;-53.044;-80.206;-16.0
172.734;10;L2A;Audio;-188.743;-79.602;15.29;15.87;-53.044;-80.206;-16.0
172.834;10;L2A;Audio;-187.215;-79.527;15.31;15.87;-53.044;-80.206;-16.0
172.936;10;L2A;Audio;-185.652;-79.453;15.34;15.87;-53.044;-80.206;-16.0
173.036;10;L2A;Audio;-184.117;-79.383;15.38;15.87;-53.044;-80.206;-16.0
173.138;10;L2A;Audio;-182.548;-79.318;15.41;15.87;-53.044;-80.206;-16.0
173.240;10;L2A;Audio;-180.975;-79.263;15.43;15.87;-53.044;-80.206;-16.0
173.340;10;L2A;Audio;-179.431;-79.224;15.45;15.87;-53.044;-80.206;-16.0
173.442;10;L2A;Audio;-177.854;-79.197;15.48;15.87;-53.044;-80.206;-16.0
173.542;10;L2A;Audio;-176.304;-79.182;15.50;15.87;-53.044;-80.206;-16.0
173.642;10;L2A;Audio;-174.753;-79.174;15.53;15.87;-53.044;-80.206;-16.0
173.744;10;L2A;Audio;-173.168;-79.170;15.55;15.87;-53.044;-80.206;-16.0
173.844;10;L2A;Audio;-171.612;-79.171;15.58;15.87;-53.044;-80.206;-16.0
173.944;10;L2A;Audio;-170.054;-79.173;15.59;15.87;-53.044;-80.206;-16.0
174.046;10;L2A;Audio;-168.462;-79.178;15.61;15.87;-53.044;-80.206;-16.0
174.146;10;L2A;Audio;-166.900;-79.183;15.63;15.87;-53.044;-80.206;-16.0
174.248;10;L2A;Audio;-165.306;-79.190;15.64;15.87;-53.044;-80.206;-16.0
174.348;10;L2A;Audio;-163.740;-79.197;15.66;15.87;-53.044;-80.206;-16.0
174.448;10;L2A;Audio;-162.174;-79.210;15.67;15.87;-53.044;-80.206;-16.0
174.550;10;L2A;Audio;-160.575;-79.230;15.68;15.87;-53.044;-80.206;-16.0
174.650;10;L2A;Audio;-159.009;-79.259;15.67;15.87;-53.044;-80.206;-16.0
174.750;10;L2A;Audio;-157.443;-79.300;15.65;15.87;-53.044;-80.206;-16.0
174.852;10;L2A;Audio;-155.849;-79.355;15.62;15.87;-53.044;-80.206;-16.0
174.952;10;L2A;Audio;-154.290;-79.427;15.60;15.87;-53.044;-80.206;-16.0
175.054;10;L2A;Audio;-152.703;-79.517;15.57;15.87;-53.044;-80.206;-16.0
175.154;10;L2A;Audio;-151.150;-79.617;15.55;15.87;-53.044;-80.206;-16.0
175.254;10;L2A;Audio;-149.601;-79.725;15.53;15.87;-53.044;-80.206;-16.0
175.356;10;L2A;Audio;-148.022;-79.838;15.50;15.87;-53.044;-80.206;-16.0
175.456;10;L2A;Audio;-146.477;-79.946;15.48;15.87;-53.044;-80.206;-16.0
175.556;10;L2A;Audio;-144.934;-80.046;15.46;15.87;-53.044;-80.206;-16.0
175.658;10;L2A;Audio;-143.362;-80.133;15.41;15.87;-53.044;-80.206;-16.0
175.758;10;L2A;Audio;-141.824;-80.195;15.38;15.87;-53.044;-80.206;-16.0
175.860;10;L2A;Audio;-140.258;-80.232;15.34;15.87;-53.044;-80.206;-16.0
175.962;10;L2A;Audio;-138.696;-80.247;15.29;15.87;-53.044;-80.206;-16.0
176.062;10;L2A;Audio;-137.169;-80.244;15.27;15.87;-53.044;-80.206;-16.0
176.164;10;L2A;Audio;-135.614;-80.228;15.23;0.28;-132.856;-80.207;25.3
176.264;10;L2A;Audio;-134.094;-80.205;15.18;0.28;-131.284;-80.165;23.9
176.364;10;L2A;Audio;-132.582;-80.176;15.06;0.28;-129.677;-80.122;22.5
176.466;10;L2A;Audio;-131.057;-80.141;14.86;0.28;-128.128;-80.078;21.2
176.566;10;L2A;Audio;-129.602;-80.102;14.18;0.29;-126.548;-80.023;20.5
176.666;10;L2A;Audio;-128.231;-80.061;13.31;0.31;-125.000;-79.966;19.3
176.768;10;L2A;Audio;-126.919;-80.016;12.48;0.35;-123.394;-79.898;17.9
176.868;10;L2A;Audio;-125.715;-79.970;11.67;0.39;-121.820;-79.821;16.4
176.970;10;L2A;Audio;-124.569;-79.919;10.86;0.45;-120.274;-79.730;15.1
177.070;10;L2A;Audio;-123.527;-79.864;10.07;0.45;-120.274;-79.730;15.1
177.170;10;L2A;Audio;-122.564;-79.802;9.28;0.45;-120.274;-79.730;15.1
177.272;10;L2A;Audio;-121.662;-79.732;8.49;0.45;-120.274;-79.730;15.1
177.372;10;L2A;Audio;-120.858;-79.658;7.72;0.45;-120.274;-79.730;15.1
177.472;10;L2A;Audio;-120.131;-79.581;6.96;0.45;-120.274;-79.730;15.1
177.574;10;L2A;Audio;-119.467;-79.505;6.19;0.45;-120.274;-79.730;15.1
177.674;10;L2A;Audio;-118.892;-79.433;5.45;0.45;-120.274;-79.730;15.1
177.776;10;L2A;Audio;-118.381;-79.366;4.69;0.45;-120.274;-79.730;15.1
177.876;10;L2A;Audio;-117.953;-79.309;3.97;0.45;-120.274;-79.730;15.1
177.976;10;L2A;Audio;-117.598;-79.263;3.25;0.45;-120.274;-79.730;15.1
178.078;10;L2A;Audio;-117.293;-79.224;2.97;0.45;-120.274;-79.730;15.1
