Time;Trial;Scene;Modality;PosX;PosZ;Speed;TTC;PredCrashX;PredCrashZ;CrashAngle
198.930;12;T7C;Control;38.130;-380.280;0.14;20606.29;49.675;-380.279;-1.2
199.030;12;T7C;Control;38.131;-380.280;0.09;2346.49;38.131;-380.280;-1.2
199.132;12;T7C;Control;38.155;-380.280;0.41;482.83;208.321;-380.275;-1.3
199.232;12;T7C;Control;38.219;-380.280;0.85;224.13;208.224;-380.280;-1.6
199.332;12;T7C;Control;38.328;-380.280;1.30;140.23;207.870;-380.283;-1.9
199.434;12;T7C;Control;38.484;-380.280;1.74;102.75;207.462;-380.287;-2.1
199.534;12;T7C;Control;38.680;-380.280;2.17;80.82;207.057;-380.291;-2.2
199.636;12;T7C;Control;38.925;-380.280;2.60;66.89;206.659;-380.293;-2.2
199.738;12;T7C;Control;39.213;-380.280;3.03;56.59;206.237;-380.293;-2.2
199.838;12;T7C;Control;39.538;-380.280;3.44;49.55;205.843;-380.292;-2.2
199.940;12;T7C;Control;39.911;-380.280;3.85;43.88;205.441;-380.555;-2.2
200.040;12;T7C;Control;40.318;-380.282;4.26;39.54;205.042;-381.383;-2.3
200.140;12;T7C;Control;40.765;-380.286;4.65;35.92;204.639;-382.140;-2.5
200.242;12;T7C;Control;41.261;-380.294;5.05;32.74;204.206;-382.940;-2.7
200.342;12;T7C;Control;41.787;-380.304;5.44;30.32;203.806;-383.682;-2.9
200.442;12;T7C;Control;42.351;-380.317;5.82;28.14;203.384;-384.494;-3.2
200.544;12;T7C;Control;42.965;-380.336;6.21;26.21;202.957;-385.358;-3.5
200.644;12;T7C;Control;43.605;-380.358;6.58;24.55;202.530;-386.155;-3.8
200.746;12;T7C;Control;44.296;-380.384;6.95;23.06;202.109;-386.391;-3.8
200.846;12;T7C;Control;45.009;-380.411;7.31;21.77;201.714;-386.496;-3.8
200.946;12;T7C;Control;45.759;-380.440;7.67;20.57;201.308;-386.540;-3.8
201.048;12;T7C;Control;46.560;-380.472;8.03;19.49;200.903;-386.553;-3.9
201.148;12;T7C;Control;47.381;-380.505;8.38;18.52;200.500;-386.549;-3.9
201.248;12;T7C;Control;48.237;-380.538;8.72;17.62;200.091;-386.539;-3.9
201.350;12;T7C;Control;49.144;-380.574;9.06;16.80;199.691;-386.525;-3.9
201.450;12;T7C;Control;50.068;-380.610;9.40;16.08;199.303;-386.510;-3.9
201.552;12;T7C;Control;51.044;-380.648;9.74;15.34;198.880;-386.444;-3.9
201.652;12;T7C;Control;52.035;-380.685;10.06;14.71;198.505;-385.924;-3.6
201.752;12;T7C;Control;53.058;-380.717;10.38;14.12;198.153;-384.689;-2.8
201.854;12;T7C;Control;54.134;-380.736;10.70;13.53;197.776;-382.468;-2.0
201.954;12;T7C;Control;55.220;-380.740;11.01;13.03;197.404;-380.402;2.0
202.054;12;T7C;Control;56.337;-380.727;11.31;12.55;196.988;-378.318;2.4
202.156;12;T7C;Control;57.507;-380.698;11.62;12.06;196.526;-376.545;2.7
202.256;12;T7C;Control;58.684;-380.656;11.92;11.61;196.073;-375.167;3.0
202.358;12;T7C;Control;59.915;-380.603;12.22;11.21;195.643;-374.371;2.9
202.460;12;T7C;Control;61.176;-380.542;12.52;10.80;195.205;-373.892;2.8
202.560;12;T7C;Control;62.442;-380.478;12.81;10.41;194.782;-373.647;2.8
202.662;12;T7C;Control;63.762;-380.409;13.10;10.07;194.392;-373.540;2.8
202.762;12;T7C;Control;65.085;-380.340;13.38;9.71;193.991;-373.797;2.4
202.862;12;T7C;Control;66.436;-380.277;13.65;9.39;193.641;-374.590;2.0
202.964;12;T7C;Control;67.843;-380.220;13.93;9.07;193.272;-375.536;-1.9
203.064;12;T7C;Control;69.249;-380.172;14.19;8.77;192.889;-376.215;-1.9
203.164;12;T7C;Control;70.681;-380.129;14.45;8.49;192.507;-376.614;1.9
203.266;12;T7C;Control;72.168;-380.087;14.71;8.20;192.085;-376.850;1.9
203.366;12;T7C;Control;73.652;-380.047;14.96;7.94;191.702;-376.761;2.0
203.468;12;T7C;Control;75.190;-380.003;15.20;7.67;191.277;-376.622;2.0
203.568;12;T7C;Control;76.722;-379.957;15.43;7.45;190.884;-376.519;2.0
203.668;12;T7C;Control;78.271;-379.912;15.56;7.24;190.479;-376.660;1.9
203.770;12;T7C;Control;79.862;-379.867;15.65;7.07;190.086;-376.826;1.7
203.870;12;T7C;Control;81.430;-379.825;15.72;6.91;189.681;-376.974;1.6
203.970;12;T7C;Control;83.005;-379.784;15.78;6.75;189.279;-377.076;1.5
204.072;12;T7C;Control;84.617;-379.744;15.84;6.61;188.891;-377.144;1.5
204.172;12;T7C;Control;86.202;-379.706;15.86;6.47;188.492;-377.371;-1.5
204.274;12;T7C;Control;87.820;-379.671;15.88;6.33;188.073;-377.602;-1.5
204.374;12;T7C;Control;89.409;-379.640;15.91;6.20;187.694;-377.778;-1.4
204.474;12;T7C;Control;91.001;-379.612;15.93;6.06;187.300;-378.065;-1.6
204.576;12;T7C;Control;92.626;-379.591;15.95;5.93;186.898;-378.515;-2.0
204.676;12;T7C;Control;94.221;-379.578;15.96;5.80;186.521;-379.090;-2.5
204.776;12;T7C;Control;95.818;-379.576;15.98;5.67;186.172;-379.726;-3.0
204.878;12;T7C;Control;97.448;-379.586;15.98;5.55;185.837;-380.439;-3.6
204.978;12;T7C;Control;99.046;-379.607;15.99;5.42;185.517;-381.005;-3.7
205.080;12;T7C;Control;100.676;-379.638;15.99;5.31;185.226;-381.405;-3.7
205.182;12;T7C;Control;102.307;-379.675;15.99;5.19;184.957;-381.678;-3.6
205.282;12;T7C;Control;103.905;-379.715;15.99;5.08;184.719;-381.854;-3.6
205.384;12;T7C;Control;105.536;-379.760;15.99;4.95;184.491;-381.981;-3.7
205.484;12;T7C;Control;107.135;-379.806;16.00;4.84;184.300;-382.059;-3.7
205.584;12;T7C;Control;108.735;-379.853;16.00;4.74;184.132;-382.112;-3.7
205.686;12;T7C;Control;110.366;-379.903;15.99;4.62;183.979;-382.149;-3.8
205.786;12;T7C;Control;111.965;-379.952;15.99;4.52;183.858;-382.170;-3.9
205.886;12;T7C;Control;113.562;-380.000;15.98;4.41;183.757;-382.079;-3.6
205.988;12;T7C;Control;115.192;-380.045;15.97;4.31;183.686;-381.849;-3.0
206.088;12;T7C;Control;116.788;-380.082;15.96;4.21;183.639;-381.499;-2.5
206.190;12;T7C;Control;118.414;-380.112;15.94;4.11;183.613;-381.163;-2.4
206.290;12;T7C;Control;120.006;-380.134;15.91;4.01;183.608;-380.916;-2.5
206.390;12;T7C;Control;121.593;-380.151;15.84;3.93;183.613;-380.738;-2.6
206.492;12;T7C;Control;123.198;-380.165;15.63;3.87;183.616;-380.617;-2.7
206.592;12;T7C;Control;124.750;-380.175;15.43;3.82;183.618;-380.533;-2.6
206.692;12;T7C;Control;126.282;-380.183;15.23;3.77;183.621;-380.469;-2.7
206.794;12;T7C;Control;127.824;-380.190;15.03;3.72;183.623;-380.418;-2.7
206.894;12;T7C;Control;129.317;-380.195;14.84;3.66;183.625;-380.282;-2.4
206.996;12;T7C;Control;130.820;-380.193;14.64;3.61;183.627;-380.033;-1.8
207.098;12;T7C;Control;132.305;-380.183;14.50;3.54;183.626;-379.677;-1.2
207.198;12;T7C;Control;133.751;-380.162;14.42;3.46;183.621;-379.246;-0.9
207.300;12;T7C;Control;135.222;-380.127;14.43;3.36;183.611;-378.769;1.1
207.400;12;T7C;Control;136.664;-380.080;14.45;3.26;183.598;-378.369;1.4
207.500;12;T7C;Control;138.110;-380.024;14.48;3.15;183.590;-378.160;1.3
207.602;12;T7C;Control;139.586;-379.964;14.50;3.04;183.593;-378.222;-1.6
207.702;12;T7C;Control;141.037;-379.912;14.53;2.94;183.604;-378.511;-2.7
207.802;12;T7C;Control;142.491;-379.873;14.55;2.84;183.617;-378.947;-3.9
207.904;12;T7C;Control;143.976;-379.851;14.57;2.73;183.627;-379.457;-4.8
208.004;12;T7C;Control;145.435;-379.846;14.60;2.63;183.631;-379.902;-5.5
208.106;12;T7C;Control;146.924;-379.855;14.60;2.53;183.633;-380.202;-5.4
208.206;12;T7C;Control;148.385;-379.871;14.62;2.42;183.636;-380.300;-4.9
208.306;12;T7C;Control;149.846;-379.889;14.62;2.32;183.640;-380.313;-4.6
208.408;12;T7C;Control;151.339;-379.908;14.64;2.22;183.646;-380.308;-4.8
208.508;12;T7C;Control;152.803;-379.926;14.65;2.12;183.651;-380.302;-5.0
208.608;12;T7C;Control;154.268;-379.945;14.66;2.02;183.657;-380.298;-5.2
208.710;12;T7C;Control;155.763;-379.962;14.66;1.92;183.664;-380.295;-5.5
208.810;12;T7C;Control;157.230;-379.979;14.67;1.81;183.672;-380.292;-5.8
208.912;12;T7C;Control;158.727;-379.996;14.69;1.71;183.680;-380.290;-6.1
209.012;12;T7C;Control;160.196;-380.014;14.70;1.62;183.698;-380.322;-6.7
209.112;12;T7C;Control;161.666;-380.036;14.70;1.51;183.677;-380.372;-7.4
209.214;12;T7C;Control;163.165;-380.060;14.70;1.41;183.589;-380.411;-7.8
209.314;12;T7C;Control;164.635;-380.087;14.70;1.30;183.437;-380.437;-8.4
209.414;12;T7C;Control;166.100;-380.114;14.59;1.19;183.263;-380.430;-8.7
209.516;12;T7C;Control;167.571;-380.138;14.22;1.11;183.088;-380.361;-8.5
209.616;12;T7C;Control;168.954;-380.152;13.44;1.05;182.910;-380.259;-8.1
209.718;12;T7C;Control;170.278;-380.151;12.58;1.00;182.712;-380.043;-6.3
209.820;12;T7C;Control;171.513;-380.113;11.67;0.95;182.464;-379.555;-0.7
209.920;12;T7C;Control;172.622;-380.013;10.66;0.90;182.162;-378.901;9.7
210.022;12;T7C;Control;173.635;-379.847;9.51;0.87;181.808;-378.325;27.9
210.122;12;T7C;Control;174.497;-379.656;8.20;0.86;181.500;-378.111;55.1
210.222;12;T7C;Control;175.234;-379.500;6.99;0.87;181.311;-378.372;90.4
210.324;12;T7C;Control;175.854;-379.278;6.17;1.03;180.484;-376.636;123.8
210.424;12;T7C;Control;176.338;-378.968;5.31;1.26;180.301;-376.454;133.5
210.524;12;T7C;Control;176.742;-378.715;4.27;1.70;180.296;-376.416;143.7
210.626;12;T7C;Control;177.053;-378.496;3.26;3.49;180.183;-376.057;159.5
210.726;12;T7C;Control;177.259;-378.316;2.27;23.13;180.040;-375.587;175.7
210.828;12;T7C;Control;177.375;-378.185;1.22;318.73;179.996;-375.465;178.3
210.928;12;T7C;Control;177.419;-378.116;0.44;318.73;179.996;-375.465;178.3
211.028;12;T7C;Control;177.426;-378.105;0.02;318.73;179.996;-375.465;178.3
211.130;12;T7C;Control;177.426;-378.106;0.00;318.73;179.996;-375.465;178.3
211.230;12;T7C;Control;177.426;-378.107;0.02;318.73;179.996;-375.465;178.3
211.330;12;T7C;Control;177.427;-378.107;0.02;318.73;179.996;-375.465;178.3
211.432;12;T7C;Control;177.427;-378.108;0.00;318.73;179.996;-375.465;178.3
211.532;12;T7C;Control;177.427;-378.108;0.02;318.73;179.996;-375.465;178.3
211.634;12;T7C;Control;177.428;-378.108;0.00;318.73;179.996;-375.465;178.3
211.734;12;T7C;Control;177.428;-378.110;0.02;318.73;179.996;-375.465;178.3
211.834;12;T7C;Control;177.428;-378.110;0.01;318.73;179.996;-375.465;178.3
