Time;Trial;Scene;Modality;PosX;PosZ;Speed;TTC;PredCrashX;PredCrashZ;CrashAngle
212.116;13;T7A;Multimodal;-282.070;-285.101;0.16;22057.68;-282.050;-275.664;-1.2
212.218;13;T7A;Multimodal;-282.070;-285.100;0.04;18263.60;-282.070;-285.100;-1.3
212.320;13;T7A;Multimodal;-282.070;-285.100;0.02;18226.37;-282.070;-285.100;-1.3
212.420;13;T7A;Multimodal;-282.070;-285.099;0.05;3998.94;-282.070;-285.099;-1.2
212.522;13;T7A;Multimodal;-282.068;-285.077;0.37;543.63;-261.461;-115.746;-1.5
212.622;13;T7A;Multimodal;-282.060;-285.018;0.78;249.53;-258.637;-116.425;-2.3
212.722;13;T7A;Multimodal;-282.045;-284.918;1.21;151.52;-255.330;-117.347;-3.6
212.824;13;T7A;Multimodal;-282.020;-284.774;1.63;111.10;-250.625;-118.570;-5.3
212.924;13;T7A;Multimodal;-281.981;-284.595;2.01;89.26;-244.706;-120.205;-7.6
213.024;13;T7A;Multimodal;-281.928;-284.381;2.38;75.56;-240.709;-121.546;-10.0
213.126;13;T7A;Multimodal;-281.861;-284.127;2.76;64.99;-238.843;-122.446;-12.3
213.226;13;T7A;Multimodal;-281.786;-283.844;3.07;57.21;-240.284;-122.481;-13.6
213.328;13;T7A;Multimodal;-281.706;-283.522;3.41;51.35;-242.187;-122.399;-14.1
213.428;13;T7A;Multimodal;-281.625;-283.174;3.72;46.60;-245.724;-121.963;-13.8
213.528;13;T7A;Multimodal;-281.547;-282.794;4.02;42.41;-249.796;-121.528;-12.8
213.630;13;T7A;Multimodal;-281.470;-282.374;4.33;39.17;-253.008;-121.309;-11.7
213.730;13;T7A;Multimodal;-281.399;-281.932;4.63;36.14;-257.461;-121.002;-10.2
213.830;13;T7A;Multimodal;-281.340;-281.458;4.90;33.69;-263.402;-120.631;-8.1
213.932;13;T7A;Multimodal;-281.296;-280.946;5.17;31.68;-269.950;-120.410;-5.7
214.032;13;T7A;Multimodal;-281.274;-280.416;5.42;29.86;-277.090;-120.473;-3.2
214.134;13;T7A;Multimodal;-281.272;-279.848;5.69;28.27;-282.691;-120.833;-1.7
214.234;13;T7A;Multimodal;-281.286;-279.266;5.95;26.87;-286.524;-121.310;2.0
214.334;13;T7A;Multimodal;-281.312;-278.658;6.20;25.59;-288.859;-121.809;2.6
214.436;13;T7A;Multimodal;-281.345;-278.013;6.46;24.42;-289.580;-122.245;2.6
214.536;13;T7A;Multimodal;-281.379;-277.354;6.71;23.35;-289.298;-122.632;2.4
214.636;13;T7A;Multimodal;-281.412;-276.671;6.95;22.34;-288.647;-123.006;2.1
214.738;13;T7A;Multimodal;-281.444;-275.949;7.19;21.40;-287.775;-123.379;1.8
214.838;13;T7A;Multimodal;-281.471;-275.217;7.44;20.56;-286.833;-123.746;1.7
214.940;13;T7A;Multimodal;-281.493;-274.447;7.66;19.79;-285.227;-124.100;-1.7
215.042;13;T7A;Multimodal;-281.507;-273.653;7.87;19.08;-283.378;-124.465;-2.1
215.142;13;T7A;Multimodal;-281.512;-272.853;8.10;18.41;-281.881;-124.856;-2.5
215.244;13;T7A;Multimodal;-281.511;-272.012;8.36;17.69;-281.128;-125.263;-2.6
215.344;13;T7A;Multimodal;-281.507;-271.156;8.73;16.85;-280.706;-125.663;-2.6
215.444;13;T7A;Multimodal;-281.502;-270.265;9.06;16.07;-280.484;-126.068;-2.7
215.546;13;T7A;Multimodal;-281.494;-269.321;9.40;15.32;-280.365;-126.479;-2.8
215.646;13;T7A;Multimodal;-281.487;-268.363;9.75;14.65;-280.306;-126.891;-2.8
215.746;13;T7A;Multimodal;-281.478;-267.372;10.06;14.03;-280.276;-127.290;-2.8
215.848;13;T7A;Multimodal;-281.469;-266.328;10.39;13.47;-280.262;-127.675;-2.8
215.948;13;T7A;Multimodal;-281.460;-265.272;10.71;12.91;-280.255;-128.092;-2.8
216.050;13;T7A;Multimodal;-281.450;-264.162;11.03;12.40;-280.254;-128.490;-2.8
216.150;13;T7A;Multimodal;-281.441;-263.043;11.34;11.93;-280.255;-128.892;-2.9
216.250;13;T7A;Multimodal;-281.430;-261.892;11.66;11.47;-280.256;-129.293;-2.9
216.352;13;T7A;Multimodal;-281.420;-260.688;11.95;11.05;-280.258;-129.695;-2.9
