Time;Trial;Scene;Modality;PosX;PosZ;Speed;TTC;PredCrashX;PredCrashZ;CrashAngle
241.448;14;L2B;Visual;-245.287;-142.329;0.23;96458.00;-282.891;-140.524;106.5
241.550;14;L2B;Visual;-245.272;-142.329;0.29;96458.00;-282.891;-140.524;106.5
241.652;14;L2B;Visual;-245.226;-142.329;0.65;96458.00;-282.891;-140.524;106.5
241.752;14;L2B;Visual;-245.138;-142.331;1.09;96458.00;-282.891;-140.524;106.5
241.854;14;L2B;Visual;-245.003;-142.333;1.53;96458.00;-282.891;-140.524;106.5
241.954;14;L2B;Visual;-244.827;-142.337;1.97;96458.00;-282.891;-140.524;106.5
242.054;14;L2B;Visual;-244.607;-142.344;2.40;96458.00;-282.891;-140.524;106.5
242.156;14;L2B;Visual;-244.340;-142.355;2.82;96458.00;-282.891;-140.524;106.5
242.256;14;L2B;Visual;-244.037;-142.376;3.24;96458.00;-282.891;-140.524;106.5
242.356;14;L2B;Visual;-243.693;-142.407;3.64;96458.00;-282.891;-140.524;106.5
242.458;14;L2B;Visual;-243.302;-142.448;4.06;96458.00;-282.891;-140.524;106.5
242.558;14;L2B;Visual;-242.877;-142.493;4.46;96458.00;-282.891;-140.524;106.5
242.660;14;L2B;Visual;-242.404;-142.541;4.85;96458.00;-282.891;-140.524;106.5
242.762;14;L2B;Visual;-241.889;-142.590;5.26;96458.00;-282.891;-140.524;106.5
242.862;14;L2B;Visual;-241.346;-142.639;5.63;96458.00;-282.891;-140.524;106.5
242.964;14;L2B;Visual;-240.752;-142.689;6.02;96458.00;-282.891;-140.524;106.5
243.064;14;L2B;Visual;-240.132;-142.738;6.40;96458.00;-282.891;-140.524;106.5
243.164;14;L2B;Visual;-239.474;-142.786;6.77;96458.00;-282.891;-140.524;106.5
243.266;14;L2B;Visual;-238.766;-142.833;7.14;96458.00;-282.891;-140.524;106.5
243.366;14;L2B;Visual;-238.034;-142.873;7.49;96458.00;-282.891;-140.524;106.5
243.466;14;L2B;Visual;-237.267;-142.903;7.85;96458.00;-282.891;-140.524;106.5
243.568;14;L2B;Visual;-236.448;-142.921;8.19;96458.00;-282.891;-140.524;106.5
243.668;14;L2B;Visual;-235.610;-142.922;8.54;96458.00;-282.891;-140.524;106.5
243.770;14;L2B;Visual;-234.721;-142.910;8.88;96458.00;-282.891;-140.524;106.5
243.870;14;L2B;Visual;-233.815;-142.883;9.22;96458.00;-282.891;-140.524;106.5
243.970;14;L2B;Visual;-232.878;-142.841;9.54;96458.00;-282.891;-140.524;106.5
244.072;14;L2B;Visual;-231.889;-142.786;9.86;96458.00;-282.891;-140.524;106.5
244.172;14;L2B;Visual;-230.888;-142.721;10.19;96458.00;-282.891;-140.524;106.5
244.272;14;L2B;Visual;-229.855;-142.648;10.49;96458.00;-282.891;-140.524;106.5
244.374;14;L2B;Visual;-228.770;-142.568;10.82;96458.00;-282.891;-140.524;106.5
244.474;14;L2B;Visual;-227.675;-142.486;11.12;96458.00;-282.891;-140.524;106.5
244.576;14;L2B;Visual;-226.528;-142.398;11.42;96458.00;-282.891;-140.524;106.5
244.676;14;L2B;Visual;-225.374;-142.309;11.71;96458.00;-282.891;-140.524;106.5
244.776;14;L2B;Visual;-224.191;-142.218;12.01;96458.00;-282.891;-140.524;106.5
244.878;14;L2B;Visual;-222.956;-142.126;12.28;96458.00;-282.891;-140.524;106.5
244.978;14;L2B;Visual;-221.715;-142.043;12.57;96458.00;-282.891;-140.524;106.5
245.078;14;L2B;Visual;-220.447;-141.973;12.82;96458.00;-282.891;-140.524;106.5
245.180;14;L2B;Visual;-219.125;-141.923;13.09;96458.00;-282.891;-140.524;106.5
245.280;14;L2B;Visual;-217.803;-141.896;13.34;96458.00;-282.891;-140.524;106.5
245.382;14;L2B;Visual;-216.429;-141.888;13.58;96458.00;-282.891;-140.524;106.5
245.484;14;L2B;Visual;-215.030;-141.896;13.82;96458.00;-282.891;-140.524;106.5
245.584;14;L2B;Visual;-213.637;-141.917;14.04;96458.00;-282.891;-140.524;106.5
245.686;14;L2B;Visual;-212.193;-141.945;14.26;96458.00;-282.891;-140.524;106.5
245.786;14;L2B;Visual;-210.757;-141.972;14.44;96458.00;-282.891;-140.524;106.5
245.886;14;L2B;Visual;-209.305;-141.992;14.57;96458.00;-282.891;-140.524;106.5
245.988;14;L2B;Visual;-207.813;-142.004;14.67;96458.00;-282.891;-140.524;106.5
246.088;14;L2B;Visual;-206.341;-142.005;14.76;96458.00;-282.891;-140.524;106.5
246.188;14;L2B;Visual;-204.860;-141.999;14.85;96458.00;-282.891;-140.524;106.5
246.290;14;L2B;Visual;-203.342;-141.986;14.89;96458.00;-282.891;-140.524;106.5
246.390;14;L2B;Visual;-201.852;-141.969;14.91;96458.00;-282.891;-140.524;106.5
246.492;14;L2B;Visual;-200.333;-141.949;14.88;96458.00;-282.891;-140.524;106.5
246.592;14;L2B;Visual;-198.846;-141.931;14.85;96458.00;-282.891;-140.524;106.5
246.692;14;L2B;Visual;-197.362;-141.920;14.82;96458.00;-282.891;-140.524;106.5
246.794;14;L2B;Visual;-195.853;-141.922;14.79;96458.00;-282.891;-140.524;106.5
246.894;14;L2B;Visual;-194.375;-141.940;14.77;96458.00;-282.891;-140.524;106.5
246.994;14;L2B;Visual;-192.900;-141.974;14.75;96458.00;-282.891;-140.524;106.5
247.096;14;L2B;Visual;-191.398;-142.023;14.73;96458.00;-282.891;-140.524;106.5
