Time;Trial;Scene;Modality;PosX;PosZ;Speed;TTC;PredCrashX;PredCrashZ;CrashAngle
253.056;15;C2B;Audio;-216.980;-288.120;0.16;15530.74;-217.081;-254.759;66.5
253.158;15;C2B;Audio;-216.980;-288.111;0.20;2670.17;-218.076;-118.847;66.5
253.258;15;C2B;Audio;-216.980;-288.075;0.53;930.39;-218.291;-112.988;66.5
253.358;15;C2B;Audio;-216.981;-287.996;1.01;488.64;-218.449;-112.890;66.6
253.460;15;C2B;Audio;-216.982;-287.870;1.43;334.90;-218.440;-112.782;66.7
253.560;15;C2B;Audio;-216.983;-287.702;1.88;247.06;-217.654;-112.675;66.8
253.660;15;C2B;Audio;-216.983;-287.491;2.30;200.43;-217.545;-112.551;66.8
253.762;15;C2B;Audio;-216.984;-287.232;2.75;168.19;-217.522;-112.393;66.9
253.862;15;C2B;Audio;-216.985;-286.937;3.14;145.73;-217.517;-112.212;67.0
253.964;15;C2B;Audio;-216.986;-286.592;3.57;128.04;-217.516;-111.994;67.1
254.064;15;C2B;Audio;-216.987;-286.213;4.00;115.65;-217.516;-111.772;67.2
254.164;15;C2B;Audio;-216.989;-285.793;4.38;105.12;-217.517;-111.509;67.3
254.266;15;C2B;Audio;-216.990;-285.324;4.78;96.58;-217.518;-111.221;67.5
254.366;15;C2B;Audio;-216.992;-284.825;5.19;89.67;-217.519;-110.913;67.6
254.466;15;C2B;Audio;-216.993;-284.287;5.57;83.96;-217.520;-110.587;67.8
254.568;15;C2B;Audio;-216.995;-283.698;5.95;78.90;-217.521;-110.221;68.0
254.668;15;C2B;Audio;-216.996;-283.084;6.32;74.51;-217.522;-109.821;68.2
254.770;15;C2B;Audio;-216.999;-282.418;6.71;70.86;-217.523;-109.411;68.4
254.872;15;C2B;Audio;-217.001;-281.714;7.06;67.57;-217.525;-108.956;68.6
254.972;15;C2B;Audio;-217.003;-280.988;7.43;64.81;-217.526;-108.494;68.8
255.074;15;C2B;Audio;-217.006;-280.210;7.81;62.27;-217.454;-107.996;69.0
255.174;15;C2B;Audio;-217.006;-279.411;8.15;59.61;-216.817;-107.493;68.9
255.274;15;C2B;Audio;-217.002;-278.579;8.48;56.99;-215.916;-106.973;68.7
255.376;15;C2B;Audio;-216.991;-277.693;8.84;53.74;-214.077;-106.408;68.1
255.476;15;C2B;Audio;-216.968;-276.792;9.18;50.35;-211.427;-105.917;67.0
255.576;15;C2B;Audio;-216.927;-275.858;9.50;46.86;-208.153;-105.464;65.8
255.678;15;C2B;Audio;-216.864;-274.874;9.82;43.55;-204.515;-105.092;64.7
