Time;Trial;Scene;Modality;PosX;PosZ;Speed;TTC;PredCrashX;PredCrashZ;CrashAngle
0.130;1;T7D;Audio;144.210;-239.576;0.22;33204.43;139.243;-239.576;-1.2
0.232;1;T7D;Audio;144.210;-239.576;0.12;20287.69;131.833;-239.578;-1.2
0.332;1;T7D;Audio;144.211;-239.576;0.02;17802.49;144.211;-239.576;-1.3
0.434;1;T7D;Audio;144.211;-239.576;0.03;17660.40;144.211;-239.576;-1.3
0.534;1;T7D;Audio;144.212;-239.576;0.03;17922.20;144.212;-239.576;-1.3
0.636;1;T7D;Audio;144.212;-239.576;0.01;18058.88;144.212;-239.576;-1.3
0.736;1;T7D;Audio;144.212;-239.576;0.01;18009.27;144.212;-239.576;-1.3
0.838;1;T7D;Audio;144.213;-239.576;0.01;17903.84;144.213;-239.576;-1.3
0.940;1;T7D;Audio;144.213;-239.576;0.00;17816.34;144.213;-239.576;-1.3
1.040;1;T7D;Audio;144.213;-239.576;0.00;17745.59;144.213;-239.576;-1.3
1.140;1;T7D;Audio;144.213;-239.576;0.00;17709.39;144.213;-239.576;-1.3
1.242;1;T7D;Audio;144.213;-239.576;0.00;17688.37;144.213;-239.576;-1.3
1.344;1;T7D;Audio;144.213;-239.576;0.00;17642.40;144.213;-239.576;-1.3
1.444;1;T7D;Audio;144.213;-239.576;0.00;17601.42;144.213;-239.576;-1.3
1.546;1;T7D;Audio;144.213;-239.576;0.00;17563.83;144.213;-239.576;-1.3
1.648;1;T7D;Audio;144.213;-239.576;0.00;17512.82;144.213;-239.576;-1.3
1.750;1;T7D;Audio;144.213;-239.576;0.00;17470.47;144.213;-239.576;-1.3
1.850;1;T7D;Audio;144.213;-239.576;0.00;17432.08;144.213;-239.576;-1.3
1.952;1;T7D;Audio;144.213;-239.576;0.00;17391.72;144.213;-239.576;-1.3
2.054;1;T7D;Audio;144.213;-239.576;0.00;17351.11;144.213;-239.576;-1.3
2.156;1;T7D;Audio;144.213;-239.576;0.00;17305.54;144.213;-239.576;-1.3
2.258;1;T7D;Audio;144.213;-239.576;0.00;17270.65;144.213;-239.576;-1.3
2.360;1;T7D;Audio;144.213;-239.576;0.00;17223.65;144.213;-239.576;-1.3
2.462;1;T7D;Audio;144.213;-239.576;0.00;17180.70;144.213;-239.576;-1.3
2.564;1;T7D;Audio;144.213;-239.576;0.00;17134.50;144.213;-239.576;-1.3
2.666;1;T7D;Audio;144.213;-239.576;0.00;17090.63;144.213;-239.576;-1.3
2.768;1;T7D;Audio;144.213;-239.576;0.00;17045.69;144.213;-239.576;-1.3
2.870;1;T7D;Audio;144.213;-239.576;0.00;16999.82;144.213;-239.576;-1.3
2.972;1;T7D;Audio;144.213;-239.576;0.00;16955.21;144.213;-239.576;-1.3
3.074;1;T7D;Audio;144.213;-239.576;0.00;16910.04;144.213;-239.576;-1.3
3.174;1;T7D;Audio;144.213;-239.576;0.00;16870.00;144.213;-239.576;-1.3
3.276;1;T7D;Audio;144.213;-239.576;0.00;16827.89;144.213;-239.576;-1.3
3.378;1;T7D;Audio;144.213;-239.576;0.00;16780.54;144.213;-239.576;-1.3
3.480;1;T7D;Audio;144.213;-239.576;0.00;16741.16;144.213;-239.576;-1.3
3.582;1;T7D;Audio;144.213;-239.576;0.00;16697.02;144.213;-239.576;-1.3
3.684;1;T7D;Audio;144.213;-239.576;0.00;16654.67;144.213;-239.576;-1.3
3.786;1;T7D;Audio;144.213;-239.576;0.00;16608.96;144.213;-239.576;-1.3
3.888;1;T7D;Audio;144.213;-239.576;0.00;16568.35;144.213;-239.576;-1.3
3.990;1;T7D;Audio;144.213;-239.576;0.00;16528.59;144.213;-239.576;-1.3
4.092;1;T7D;Audio;144.213;-239.576;0.00;16480.72;144.213;-239.576;-1.3
4.192;1;T7D;Audio;144.213;-239.576;0.00;16437.70;144.213;-239.576;-1.3
4.294;1;T7D;Audio;144.213;-239.576;0.00;16394.12;144.213;-239.576;-1.3
4.396;1;T7D;Audio;144.213;-239.576;0.00;16354.16;144.213;-239.576;-1.3
4.498;1;T7D;Audio;144.213;-239.576;0.00;16312.47;144.213;-239.576;-1.3
4.600;1;T7D;Audio;144.213;-239.576;0.00;16266.21;144.213;-239.576;-1.3
4.702;1;T7D;Audio;144.213;-239.576;0.00;16222.56;144.213;-239.576;-1.3
4.804;1;T7D;Audio;144.213;-239.576;0.00;16183.08;144.213;-239.576;-1.4
4.906;1;T7D;Audio;144.213;-239.576;0.00;16135.58;144.213;-239.576;-1.4
5.008;1;T7D;Audio;144.213;-239.576;0.00;16093.28;144.213;-239.576;-1.4
5.110;1;T7D;Audio;144.213;-239.576;0.00;16049.83;144.213;-239.576;-1.4
5.212;1;T7D;Audio;144.213;-239.576;0.00;16006.33;144.213;-239.576;-1.4
5.314;1;T7D;Audio;144.213;-239.576;0.00;15966.01;144.213;-239.576;-1.4
5.416;1;T7D;Audio;144.213;-239.576;0.00;15925.73;144.213;-239.576;-1.4
5.518;1;T7D;Audio;144.213;-239.576;0.00;15886.23;144.213;-239.576;-1.4
5.620;1;T7D;Audio;144.213;-239.576;0.00;15847.80;144.213;-239.576;-1.4
5.722;1;T7D;Audio;144.213;-239.576;0.00;15817.07;144.213;-239.576;-1.4
5.822;1;T7D;Audio;144.213;-239.576;0.00;15785.57;144.213;-239.576;-1.4
5.924;1;T7D;Audio;144.213;-239.576;0.00;15755.55;144.213;-239.576;-1.4
6.026;1;T7D;Audio;144.213;-239.576;0.00;15729.28;144.213;-239.576;-1.4
6.128;1;T7D;Audio;144.213;-239.576;0.00;15707.30;144.213;-239.576;-1.4
6.230;1;T7D;Audio;144.213;-239.576;0.00;15685.12;144.213;-239.576;-1.4
6.332;1;T7D;Audio;144.213;-239.576;0.00;15666.75;144.213;-239.576;-1.4
6.434;1;T7D;Audio;144.213;-239.576;0.00;15650.08;144.213;-239.576;-1.4
6.536;1;T7D;Audio;144.213;-239.576;0.00;15637.02;144.213;-239.576;-1.4
6.638;1;T7D;Audio;144.213;-239.576;0.00;15625.53;144.213;-239.576;-1.4
6.740;1;T7D;Audio;144.213;-239.576;0.00;15616.85;144.213;-239.576;-1.4
6.842;1;T7D;Audio;144.213;-239.576;0.00;15611.06;144.213;-239.576;-1.4
6.944;1;T7D;Audio;144.213;-239.576;0.00;15607.66;144.213;-239.576;-1.4
7.046;1;T7D;Audio;144.213;-239.576;0.00;15607.23;144.213;-239.576;-1.4
7.148;1;T7D;Audio;144.213;-239.576;0.00;15607.23;144.213;-239.576;-1.4
7.250;1;T7D;Audio;144.213;-239.576;0.00;15607.23;144.213;-239.576;-1.4
7.352;1;T7D;Audio;144.213;-239.576;0.00;15607.23;144.213;-239.576;-1.4
