Time;Trial;Scene;Modality;PosX;PosZ;Speed;TTC;PredCrashX;PredCrashZ;CrashAngle
0.124;1;C2A;Control;-242.230;-80.120;0.22;41097.50;-236.629;-80.179;-7.7
0.224;1;C2A;Control;-242.230;-80.120;0.13;24641.13;-228.703;-80.149;-7.7
0.326;1;C2A;Control;-242.231;-80.120;0.02;21534.92;-242.231;-80.120;-7.7
0.426;1;C2A;Control;-242.231;-80.120;0.03;21348.11;-242.231;-80.120;-7.7
0.528;1;C2A;Control;-242.231;-80.120;0.03;21709.73;-242.231;-80.120;-7.7
0.628;1;C2A;Control;-242.232;-80.120;0.01;21895.72;-242.232;-80.120;-7.7
0.728;1;C2A;Control;-242.232;-80.120;0.01;21874.31;-242.232;-80.120;-7.7
0.828;1;C2A;Control;-242.233;-80.120;0.01;21793.48;-242.233;-80.120;-7.7
0.930;1;C2A;Control;-242.233;-80.120;0.00;21735.03;-242.233;-80.120;-7.7
1.030;1;C2A;Control;-242.233;-80.120;0.00;21721.76;-242.233;-80.120;-7.7
1.132;1;C2A;Control;-242.233;-80.120;0.00;21731.43;-242.233;-80.120;-7.7
1.232;1;C2A;Control;-242.233;-80.120;0.00;21746.11;-242.233;-80.120;-7.7
1.334;1;C2A;Control;-242.233;-80.120;0.00;21748.26;-242.233;-80.120;-7.7
1.436;1;C2A;Control;-242.233;-80.120;0.00;21746.80;-242.233;-80.120;-7.7
1.538;1;C2A;Control;-242.233;-80.120;0.00;21749.31;-242.233;-80.120;-7.7
1.638;1;C2A;Control;-242.233;-80.120;0.00;21742.96;-242.233;-80.120;-7.7
1.740;1;C2A;Control;-242.233;-80.120;0.00;21740.80;-242.233;-80.120;-7.7
1.842;1;C2A;Control;-242.233;-80.120;0.00;21740.36;-242.233;-80.120;-7.7
1.942;1;C2A;Control;-242.226;-80.120;0.21;1115.11;-38.082;-75.114;-7.7
2.044;1;C2A;Control;-242.183;-80.119;0.64;366.21;-38.083;-75.298;-7.6
2.146;1;C2A;Control;-242.093;-80.117;1.10;201.11;-38.092;-74.739;-7.5
