Time;Trial;Scene;Modality;PosX;PosZ;Speed;TTC;PredCrashX;PredCrashZ;CrashAngle
0.128;1;T7C;Visual;38.150;-380.279;0.42;556.72;177.034;-370.333;-1.1
0.228;1;T7C;Visual;38.205;-380.275;0.73;263.37;205.127;-366.307;-1.4
0.330;1;T7C;Visual;38.296;-380.267;1.05;173.53;208.214;-364.267;1.6
0.432;1;T7C;Visual;38.420;-380.254;1.38;129.20;207.796;-362.034;2.1
0.534;1;T7C;Visual;38.576;-380.235;1.70;104.39;207.204;-359.382;2.9
0.636;1;T7C;Visual;38.766;-380.210;2.03;86.88;206.560;-357.218;4.0
0.736;1;T7C;Visual;38.984;-380.178;2.35;74.19;205.978;-356.031;5.2
0.838;1;T7C;Visual;39.238;-380.142;2.67;65.20;205.681;-356.698;5.9
0.940;1;T7C;Visual;39.525;-380.101;2.99;57.57;205.213;-356.359;6.5
1.040;1;T7C;Visual;39.837;-380.056;3.30;52.07;204.787;-356.100;7.0
1.140;1;T7C;Visual;40.180;-380.006;3.60;47.10;204.370;-356.136;7.3
1.242;1;T7C;Visual;40.561;-379.950;3.92;43.15;203.904;-355.769;7.6
1.344;1;T7C;Visual;40.972;-379.889;4.22;39.92;203.560;-356.104;7.7
1.444;1;T7C;Visual;41.405;-379.829;4.51;37.10;203.412;-357.835;7.2
1.546;1;T7C;Visual;41.877;-379.771;4.80;34.48;203.419;-361.280;6.2
1.648;1;T7C;Visual;42.380;-379.722;5.08;32.33;203.447;-365.486;4.7
1.750;1;T7C;Visual;42.912;-379.684;5.36;30.33;203.362;-370.074;3.1
1.850;1;T7C;Visual;43.461;-379.661;5.63;28.68;203.172;-374.535;1.9
1.952;1;T7C;Visual;44.049;-379.649;5.88;27.25;202.835;-377.612;-1.7
2.054;1;T7C;Visual;44.663;-379.641;6.13;25.98;202.440;-377.630;-1.7
2.156;1;T7C;Visual;45.302;-379.629;6.38;24.79;201.986;-375.798;1.8
2.258;1;T7C;Visual;45.965;-379.606;6.62;23.69;201.493;-373.254;2.7
2.360;1;T7C;Visual;46.653;-379.570;6.86;22.76;200.973;-370.607;3.7
2.462;1;T7C;Visual;47.365;-379.522;7.11;21.82;200.399;-368.219;4.6
2.564;1;T7C;Visual;48.102;-379.466;7.37;20.88;199.966;-367.922;4.4
2.666;1;T7C;Visual;48.867;-379.411;7.65;19.98;199.633;-368.834;3.6
2.768;1;T7C;Visual;49.661;-379.360;7.95;19.07;199.322;-370.351;2.9
2.870;1;T7C;Visual;50.487;-379.317;8.25;18.20;199.010;-372.227;2.2
2.972;1;T7C;Visual;51.343;-379.285;8.54;17.41;198.697;-374.820;1.8
3.074;1;T7C;Visual;52.229;-379.269;8.82;16.74;198.371;-377.559;-2.2
3.174;1;T7C;Visual;53.125;-379.271;9.08;16.09;197.957;-380.715;-3.3
3.276;1;T7C;Visual;54.065;-379.293;9.34;15.48;197.466;-384.045;-4.6
3.378;1;T7C;Visual;55.031;-379.336;9.59;14.94;196.951;-386.668;-5.6
3.480;1;T7C;Visual;56.020;-379.390;9.83;14.46;196.513;-387.582;-5.2
3.582;1;T7C;Visual;57.035;-379.448;10.08;13.95;196.109;-387.266;-4.2
3.684;1;T7C;Visual;58.074;-379.504;10.31;13.47;195.737;-386.546;-3.6
3.786;1;T7C;Visual;59.136;-379.552;10.53;13.06;195.408;-385.264;-2.9
3.888;1;T7C;Visual;60.221;-379.590;10.75;12.64;195.054;-383.557;-2.1
3.990;1;T7C;Visual;61.329;-379.615;10.96;12.24;194.674;-382.080;-1.8
4.092;1;T7C;Visual;62.458;-379.632;11.18;11.86;194.277;-381.183;-1.8
4.192;1;T7C;Visual;63.587;-379.642;11.39;11.50;193.892;-380.664;-1.9
4.294;1;T7C;Visual;64.761;-379.650;11.61;11.16;193.493;-380.353;-1.9
4.396;1;T7C;Visual;65.957;-379.656;11.83;10.81;193.088;-380.169;-2.0
4.498;1;T7C;Visual;67.175;-379.660;12.04;10.48;192.673;-380.061;-2.0
4.600;1;T7C;Visual;68.414;-379.663;12.24;10.17;192.255;-379.998;-2.0
4.702;1;T7C;Visual;69.674;-379.666;12.44;9.87;191.854;-379.961;-2.0
4.804;1;T7C;Visual;70.954;-379.670;12.65;9.59;191.461;-379.940;-2.0
4.906;1;T7C;Visual;72.254;-379.673;12.84;9.29;191.031;-379.925;-2.0
5.008;1;T7C;Visual;73.575;-379.676;13.04;9.02;190.626;-379.917;-2.0
5.110;1;T7C;Visual;74.915;-379.679;13.23;8.77;190.231;-379.912;-2.0
5.212;1;T7C;Visual;76.275;-379.682;13.42;8.50;189.821;-379.909;-2.0
5.314;1;T7C;Visual;77.653;-379.685;13.60;8.26;189.408;-379.907;-2.0
5.416;1;T7C;Visual;79.050;-379.688;13.78;8.02;189.002;-379.905;-2.0
5.518;1;T7C;Visual;80.465;-379.691;13.95;7.78;188.583;-379.904;-2.1
5.620;1;T7C;Visual;81.895;-379.694;14.08;7.58;188.196;-379.903;-2.1
5.722;1;T7C;Visual;83.336;-379.698;14.16;7.40;187.780;-379.902;-2.0
5.822;1;T7C;Visual;84.754;-379.701;14.19;7.25;187.381;-379.901;-2.0
5.924;1;T7C;Visual;86.202;-379.704;14.20;7.11;186.970;-379.900;-1.9
6.026;1;T7C;Visual;87.650;-379.707;14.19;6.99;186.584;-379.898;-1.8
6.128;1;T7C;Visual;89.097;-379.710;14.18;6.86;186.220;-379.896;-1.8
6.230;1;T7C;Visual;90.543;-379.713;14.18;6.74;185.882;-379.895;-1.8
