Time;Trial;Scene;Modality;PosX;PosZ;Speed;TTC;PredCrashX;PredCrashZ;CrashAngle
0.130;1;C1B;Control;-216.980;-288.113;0.29;6523.01;-216.979;-187.175;81.3
0.232;1;C1B;Control;-216.980;-288.073;0.58;2197.16;-216.979;-130.474;81.3
0.332;1;C1B;Control;-216.980;-287.996;0.98;1197.48;-216.980;-125.096;81.3
0.434;1;C1B;Control;-216.980;-287.875;1.39;831.98;-216.980;-124.944;81.4
0.534;1;C1B;Control;-216.980;-287.714;1.79;633.59;-216.980;-124.796;81.4
0.636;1;C1B;Control;-216.980;-287.510;2.20;517.09;-216.980;-124.618;81.5
0.736;1;C1B;Control;-216.980;-287.269;2.59;440.80;-216.980;-124.415;81.6
0.838;1;C1B;Control;-216.980;-286.984;2.98;387.32;-216.980;-124.182;81.7
0.940;1;C1B;Control;-216.980;-286.659;3.37;345.23;-216.980;-123.898;81.8
1.040;1;C1B;Control;-216.980;-286.302;3.75;314.94;-216.980;-123.598;81.9
1.140;1;C1B;Control;-216.980;-285.907;4.12;289.83;-216.980;-123.245;82.0
1.242;1;C1B;Control;-216.980;-285.467;4.50;271.07;-216.980;-122.881;82.2
1.344;1;C1B;Control;-216.980;-284.988;4.87;252.42;-216.720;-122.468;82.3
1.444;1;C1B;Control;-216.977;-284.483;5.22;230.05;-215.719;-122.056;82.1
1.546;1;C1B;Control;-216.969;-283.930;5.59;202.91;-213.914;-121.570;81.6
1.648;1;C1B;Control;-216.954;-283.342;5.94;181.56;-212.132;-121.113;81.1
1.750;1;C1B;Control;-216.931;-282.719;6.28;161.62;-209.975;-120.666;80.4
1.850;1;C1B;Control;-216.897;-282.075;6.59;142.40;-207.244;-120.270;79.5
1.952;1;C1B;Control;-216.848;-281.387;6.92;126.27;-204.371;-119.924;78.5
2.054;1;C1B;Control;-216.784;-280.667;7.22;111.72;-201.167;-119.610;77.5
2.156;1;C1B;Control;-216.702;-279.918;7.54;100.04;-198.055;-119.332;76.6
2.258;1;C1B;Control;-216.605;-279.139;7.85;92.38;-195.783;-119.021;76.1
2.360;1;C1B;Control;-216.495;-278.331;8.12;86.89;-194.057;-118.621;76.0
2.462;1;C1B;Control;-216.373;-277.496;8.42;82.35;-192.511;-118.166;75.8
2.564;1;C1B;Control;-216.239;-276.632;8.71;78.70;-191.156;-117.712;75.7
2.666;1;C1B;Control;-216.094;-275.741;8.99;75.35;-189.791;-117.224;75.6
2.768;1;C1B;Control;-215.938;-274.823;9.25;72.45;-188.490;-116.742;75.4
2.870;1;C1B;Control;-215.769;-273.879;9.52;69.79;-187.186;-116.250;75.3
2.972;1;C1B;Control;-215.589;-272.909;9.80;67.21;-185.794;-115.720;75.2
3.074;1;C1B;Control;-215.395;-271.914;10.08;64.61;-184.245;-115.242;74.9
3.174;1;C1B;Control;-215.190;-270.914;10.34;61.56;-182.252;-114.870;74.3
3.276;1;C1B;Control;-214.961;-269.872;10.58;58.32;-179.938;-114.564;73.6
3.378;1;C1B;Control;-214.711;-268.808;10.84;55.18;-177.478;-114.362;72.9
3.480;1;C1B;Control;-214.436;-267.725;11.08;51.58;-174.351;-114.329;71.8
3.582;1;C1B;Control;-214.131;-266.624;11.31;47.48;-170.330;-114.526;70.4
3.684;1;C1B;Control;-213.791;-265.509;11.54;43.54;-165.898;-115.060;68.6
3.786;1;C1B;Control;-213.407;-264.385;11.76;39.40;-160.440;-116.065;66.3
3.888;1;C1B;Control;-212.974;-263.256;11.94;35.50;-154.332;-117.556;63.9
3.990;1;C1B;Control;-212.485;-262.131;12.11;31.77;-147.306;-119.734;61.0
4.092;1;C1B;Control;-211.937;-261.013;12.29;28.76;-140.540;-122.263;58.4
4.192;1;C1B;Control;-211.339;-259.931;12.43;26.18;-133.725;-125.239;55.8
4.294;1;C1B;Control;-210.668;-258.845;12.59;23.85;-126.582;-128.844;53.1
4.396;1;C1B;Control;-209.933;-257.782;12.73;21.84;-119.487;-132.956;50.3
4.498;1;C1B;Control;-209.137;-256.746;12.87;20.18;-112.899;-137.296;47.7
4.600;1;C1B;Control;-208.279;-255.742;13.02;18.82;-106.947;-141.701;45.2
4.702;1;C1B;Control;-207.361;-254.772;13.15;17.52;-100.686;-146.899;42.4
4.804;1;C1B;Control;-206.386;-253.842;13.28;16.45;-95.102;-152.096;39.8
4.906;1;C1B;Control;-205.353;-252.955;13.41;15.46;-89.645;-157.778;37.1
5.008;1;C1B;Control;-204.267;-252.114;13.53;14.59;-84.563;-163.711;34.4
5.110;1;C1B;Control;-203.129;-251.322;13.64;13.86;-80.131;-169.493;32.0
5.212;1;C1B;Control;-201.945;-250.579;13.77;13.23;-76.329;-174.982;30.1
5.314;1;C1B;Control;-200.717;-249.881;13.91;12.65;-72.971;-180.315;28.5
5.416;1;C1B;Control;-199.450;-249.225;14.05;12.17;-70.309;-184.950;27.0
5.518;1;C1B;Control;-198.146;-248.611;14.20;11.71;-67.821;-189.699;25.4
5.620;1;C1B;Control;-196.807;-248.038;14.34;11.29;-65.608;-194.361;23.6
5.722;1;C1B;Control;-195.436;-247.508;14.48;10.91;-63.666;-198.897;21.9
5.822;1;C1B;Control;-194.062;-247.031;14.61;10.55;-61.962;-203.331;20.2
5.924;1;C1B;Control;-192.632;-246.587;14.74;10.23;-60.473;-207.671;18.5
6.026;1;C1B;Control;-191.174;-246.190;14.87;9.91;-59.086;-212.268;16.8
6.128;1;C1B;Control;-189.690;-245.840;15.00;9.61;-57.912;-216.762;15.0
6.230;1;C1B;Control;-188.183;-245.538;15.13;9.32;-56.920;-221.234;13.2
6.332;1;C1B;Control;-186.654;-245.285;15.26;9.06;-56.119;-225.590;11.5
6.434;1;C1B;Control;-185.104;-245.083;15.37;8.81;-55.452;-230.162;9.7
6.536;1;C1B;Control;-183.538;-244.932;15.48;8.58;-54.992;-234.367;8.1
6.638;1;C1B;Control;-181.956;-244.826;15.60;8.37;-54.720;-237.827;7.4
6.740;1;C1B;Control;-180.360;-244.757;15.73;8.18;-54.581;-240.247;7.6
