Time;Trial;Scene;Modality;PosX;PosZ;Speed;TTC;PredCrashX;PredCrashZ;CrashAngle
15.306;2;C1D;Visual;169.700;-240.300;0.22;48006.08;163.877;-240.285;5.1
15.406;2;C1D;Visual;169.700;-240.300;0.14;27064.11;154.653;-240.270;5.1
15.508;2;C1D;Visual;169.701;-240.300;0.03;23826.27;169.701;-240.300;5.1
15.608;2;C1D;Visual;169.701;-240.300;0.03;23636.91;169.701;-240.300;5.1
15.708;2;C1D;Visual;169.687;-240.300;0.29;968.65;-56.207;-237.313;5.1
15.810;2;C1D;Visual;169.633;-240.299;0.76;342.97;-57.428;-236.899;5.1
15.910;2;C1D;Visual;169.534;-240.298;1.20;204.16;-57.408;-236.362;5.1
16.012;2;C1D;Visual;169.388;-240.295;1.64;146.54;-57.395;-235.691;5.0
16.112;2;C1D;Visual;169.200;-240.290;2.08;114.52;-57.346;-233.447;4.7
16.214;2;C1D;Visual;168.966;-240.281;2.50;93.81;-57.232;-230.271;4.2
16.314;2;C1D;Visual;168.693;-240.266;2.92;79.80;-57.095;-227.514;3.5
16.414;2;C1D;Visual;168.379;-240.245;3.34;69.53;-56.834;-223.506;2.8
16.516;2;C1D;Visual;168.017;-240.214;3.76;61.25;-56.565;-220.215;2.1
16.616;2;C1D;Visual;167.623;-240.177;4.14;55.35;-56.453;-218.989;2.0
16.716;2;C1D;Visual;167.192;-240.137;4.49;50.82;-56.493;-219.418;-1.9
16.818;2;C1D;Visual;166.716;-240.094;4.85;47.00;-56.604;-220.648;1.9
16.918;2;C1D;Visual;166.215;-240.052;5.19;43.77;-56.710;-221.899;1.9
17.018;2;C1D;Visual;165.680;-240.011;5.52;40.90;-56.808;-223.150;2.0
17.120;2;C1D;Visual;165.101;-239.970;5.84;38.51;-56.958;-225.261;2.3
17.220;2;C1D;Visual;164.501;-239.934;6.16;36.45;-57.105;-227.679;2.8
17.320;2;C1D;Visual;163.870;-239.903;6.46;34.64;-57.195;-229.414;3.2
17.422;2;C1D;Visual;163.195;-239.875;6.77;32.92;-57.294;-231.746;3.8
17.522;2;C1D;Visual;162.502;-239.854;7.07;31.44;-57.376;-234.355;4.5
17.622;2;C1D;Visual;161.779;-239.840;7.37;30.14;-57.419;-236.357;5.1
17.724;2;C1D;Visual;161.011;-239.832;7.67;28.86;-57.442;-238.119;5.5
17.824;2;C1D;Visual;160.228;-239.829;7.97;27.67;-57.452;-239.788;5.9
