Time;Trial;Scene;Modality;PosX;PosZ;Speed;TTC;PredCrashX;PredCrashZ;CrashAngle
35.560;3;C1A;Multimodal;-242.230;-80.120;0.13;31840.23;-232.298;-80.144;10.6
35.662;3;C1A;Multimodal;-242.224;-80.120;0.18;1294.99;-52.508;-83.685;10.6
35.764;3;C1A;Multimodal;-242.189;-80.121;0.51;449.51;-50.099;-84.448;10.5
35.864;3;C1A;Multimodal;-242.120;-80.122;0.87;242.55;-49.944;-84.950;10.4
35.966;3;C1A;Multimodal;-242.010;-80.125;1.26;163.84;-49.913;-85.616;10.2
36.068;3;C1A;Multimodal;-241.861;-80.130;1.65;124.37;-49.944;-86.496;9.9
36.168;3;C1A;Multimodal;-241.677;-80.137;2.01;100.10;-49.982;-87.614;9.6
36.270;3;C1A;Multimodal;-241.453;-80.147;2.36;83.89;-50.036;-88.986;9.1
36.370;3;C1A;Multimodal;-241.199;-80.159;2.70;73.36;-50.029;-88.924;8.7
36.472;3;C1A;Multimodal;-240.907;-80.171;3.02;65.26;-49.928;-86.464;8.8
36.572;3;C1A;Multimodal;-240.588;-80.179;3.34;59.22;-49.864;-84.261;9.2
36.674;3;C1A;Multimodal;-240.230;-80.185;3.65;53.67;-49.839;-83.174;9.6
36.776;3;C1A;Multimodal;-239.840;-80.190;3.97;49.33;-49.824;-82.514;9.9
36.876;3;C1A;Multimodal;-239.428;-80.194;4.26;45.83;-49.810;-81.773;10.2
36.978;3;C1A;Multimodal;-238.977;-80.197;4.56;42.78;-49.797;-80.949;10.5
37.078;3;C1A;Multimodal;-238.505;-80.197;4.85;40.16;-49.788;-80.071;10.9
37.180;3;C1A;Multimodal;-237.995;-80.195;5.13;37.75;-49.781;-79.089;11.2
37.280;3;C1A;Multimodal;-237.467;-80.191;5.42;35.75;-49.775;-78.640;11.4
37.382;3;C1A;Multimodal;-236.900;-80.186;5.69;33.85;-49.764;-78.564;11.5
37.482;3;C1A;Multimodal;-236.316;-80.181;5.96;32.22;-49.753;-78.532;11.5
37.584;3;C1A;Multimodal;-235.694;-80.175;6.23;30.77;-49.741;-78.519;11.5
37.686;3;C1A;Multimodal;-235.046;-80.170;6.49;29.46;-49.728;-78.514;11.6
37.786;3;C1A;Multimodal;-234.384;-80.164;6.73;28.21;-49.715;-78.514;11.6
37.888;3;C1A;Multimodal;-233.684;-80.157;6.98;27.15;-49.701;-78.516;11.6
