Time;Trial;Scene;Modality;PosX;PosZ;Speed;TTC;PredCrashX;PredCrashZ;CrashAngle
53.738;4;C2D;Audio;169.700;-240.300;0.15;27896.05;156.145;-240.338;-5.5
53.840;4;C2D;Audio;169.701;-240.300;0.04;23964.03;169.701;-240.300;-5.6
53.942;4;C2D;Audio;169.701;-240.300;0.02;23675.27;169.701;-240.300;-5.6
54.042;4;C2D;Audio;169.701;-240.300;0.03;15393.66;169.701;-240.300;-5.6
54.144;4;C2D;Audio;169.698;-240.300;0.08;2964.63;169.698;-240.300;-5.5
54.244;4;C2D;Audio;169.679;-240.301;0.28;893.29;-57.833;-247.155;-5.5
54.346;4;C2D;Audio;169.635;-240.302;0.56;439.78;-57.812;-247.030;-5.4
54.448;4;C2D;Audio;169.563;-240.304;0.85;283.86;-57.837;-246.795;-5.3
54.548;4;C2D;Audio;169.463;-240.307;1.13;210.62;-57.825;-247.528;-5.1
54.650;4;C2D;Audio;169.333;-240.312;1.40;167.81;-57.814;-247.981;-4.9
54.750;4;C2D;Audio;169.179;-240.317;1.67;140.21;-57.820;-247.823;-4.7
54.852;4;C2D;Audio;168.993;-240.323;1.95;119.54;-57.794;-248.594;-4.4
54.952;4;C2D;Audio;168.783;-240.332;2.21;104.57;-57.755;-249.614;-4.2
55.054;4;C2D;Audio;168.543;-240.342;2.49;93.03;-57.717;-250.515;-3.8
55.154;4;C2D;Audio;168.282;-240.354;2.73;84.21;-57.720;-250.462;-3.7
55.256;4;C2D;Audio;167.989;-240.368;2.99;76.70;-57.707;-250.763;-3.5
55.358;4;C2D;Audio;167.670;-240.382;3.25;70.49;-57.734;-250.162;-3.5
55.458;4;C2D;Audio;167.332;-240.396;3.50;65.43;-57.743;-249.969;-3.5
55.560;4;C2D;Audio;166.961;-240.412;3.76;60.76;-57.747;-249.892;-3.5
55.660;4;C2D;Audio;166.574;-240.428;3.99;57.09;-57.754;-249.752;-3.5
55.762;4;C2D;Audio;166.154;-240.444;4.23;53.57;-57.804;-248.465;-3.8
