Time;Trial;Scene;Modality;PosX;PosZ;Speed;TTC;PredCrashX;PredCrashZ;CrashAngle
26.042;2;L2D;Control;169.700;-240.300;0.17;172.84;-70.617;-240.085;-16.5
26.142;2;L2D;Control;169.701;-240.300;0.05;172.84;-70.617;-240.085;-16.5
26.244;2;L2D;Control;169.701;-240.300;0.02;562.04;169.701;-240.300;98.2
26.344;2;L2D;Control;169.701;-240.300;0.03;296.71;169.701;-240.300;95.0
26.444;2;L2D;Control;169.702;-240.300;0.02;520.92;169.702;-240.300;91.8
26.546;2;L2D;Control;169.702;-240.300;0.00;2380.01;169.702;-240.300;88.5
26.646;2;L2D;Control;169.703;-240.300;0.01;309635.80;169.703;-240.300;85.5
26.746;2;L2D;Control;169.696;-240.300;0.15;199.31;166.772;-240.301;82.4
26.848;2;L2D;Control;169.667;-240.300;0.40;47.28;166.720;-240.301;79.4
26.948;2;L2D;Control;169.612;-240.300;0.69;21.46;166.637;-240.301;76.5
27.050;2;L2D;Control;169.526;-240.300;0.97;12.32;166.515;-240.301;73.6
27.150;2;L2D;Control;169.415;-240.300;1.24;8.29;166.363;-240.301;70.9
27.250;2;L2D;Control;169.277;-240.300;1.50;6.06;166.178;-240.301;68.3
27.352;2;L2D;Control;169.109;-240.300;1.77;4.70;165.961;-240.301;65.8
27.452;2;L2D;Control;168.918;-240.300;2.03;3.80;165.713;-240.301;63.4
27.552;2;L2D;Control;168.701;-240.300;2.29;3.19;165.442;-240.301;61.2
27.654;2;L2D;Control;168.454;-240.300;2.54;2.71;165.116;-240.301;58.9
27.754;2;L2D;Control;168.187;-240.300;2.79;2.38;164.786;-240.301;56.9
27.854;2;L2D;Control;167.892;-240.300;3.08;2.08;164.412;-240.301;54.9
27.956;2;L2D;Control;167.558;-240.300;3.46;1.83;164.019;-240.301;53.1
28.056;2;L2D;Control;167.191;-240.300;3.87;1.60;163.569;-240.301;51.4
28.156;2;L2D;Control;166.783;-240.300;4.27;1.43;163.086;-240.301;49.9
28.258;2;L2D;Control;166.326;-240.299;4.67;1.29;162.573;-240.287;48.3
28.358;2;L2D;Control;165.837;-240.296;5.07;1.16;161.989;-240.264;46.5
28.458;2;L2D;Control;165.311;-240.290;5.45;1.07;161.391;-240.239;44.9
28.560;2;L2D;Control;164.734;-240.281;5.84;0.99;160.757;-240.208;43.3
28.660;2;L2D;Control;164.130;-240.268;6.22;0.92;160.064;-240.171;41.7
28.760;2;L2D;Control;163.489;-240.250;6.58;0.86;159.379;-240.130;40.2
28.862;2;L2D;Control;162.799;-240.228;6.93;0.81;158.636;-240.093;38.9
28.962;2;L2D;Control;162.088;-240.205;7.28;0.77;157.862;-240.062;37.9
29.062;2;L2D;Control;161.344;-240.179;7.60;0.73;157.076;-240.033;36.9
29.164;2;L2D;Control;160.553;-240.152;7.91;0.70;156.265;-240.003;36.1
29.264;2;L2D;Control;159.746;-240.124;8.21;0.67;155.429;-239.974;35.3
29.364;2;L2D;Control;158.908;-240.095;8.51;0.64;154.570;-239.943;34.5
29.466;2;L2D;Control;158.025;-240.064;8.79;0.62;153.672;-239.912;33.9
29.566;2;L2D;Control;157.131;-240.033;9.07;0.60;152.751;-239.880;33.3
29.666;2;L2D;Control;156.210;-240.000;9.34;0.58;151.828;-239.847;32.7
29.768;2;L2D;Control;155.243;-239.966;9.61;0.56;150.865;-239.813;32.2
29.868;2;L2D;Control;154.269;-239.931;9.86;0.54;149.900;-239.778;31.7
29.968;2;L2D;Control;153.270;-239.896;10.12;0.52;148.972;-239.745;31.3
30.070;2;L2D;Control;152.225;-239.859;10.35;0.50;147.884;-239.707;30.8
30.170;2;L2D;Control;151.179;-239.823;10.57;0.49;146.877;-239.680;30.6
30.270;2;L2D;Control;150.112;-239.790;10.76;0.48;145.806;-239.665;30.8
30.372;2;L2D;Control;149.006;-239.762;10.91;0.47;144.738;-239.661;31.0
30.472;2;L2D;Control;147.910;-239.740;11.00;0.47;143.654;-239.668;31.3
30.574;2;L2D;Control;146.784;-239.726;11.06;0.46;142.559;-239.686;31.7
30.674;2;L2D;Control;145.677;-239.721;11.09;0.46;141.455;-239.715;32.2
30.774;2;L2D;Control;144.565;-239.725;11.13;0.46;140.299;-239.757;32.8
30.876;2;L2D;Control;143.428;-239.739;11.16;0.47;139.179;-239.803;33.3
30.976;2;L2D;Control;142.309;-239.759;11.21;0.47;138.052;-239.844;33.6
31.076;2;L2D;Control;141.187;-239.783;11.24;0.47;136.919;-239.883;33.8
31.178;2;L2D;Control;140.039;-239.812;11.28;0.47;135.781;-239.921;34.1
31.278;2;L2D;Control;138.909;-239.841;11.33;0.47;134.614;-239.952;34.3
31.378;2;L2D;Control;137.774;-239.869;11.37;0.47;133.489;-239.968;34.0
31.480;2;L2D;Control;136.612;-239.893;11.42;0.47;132.270;-239.976;33.9
31.580;2;L2D;Control;135.468;-239.912;11.47;0.47;131.163;-239.979;33.9
31.680;2;L2D;Control;134.319;-239.926;11.51;0.47;129.985;-239.968;33.5
31.782;2;L2D;Control;133.143;-239.933;11.56;0.47;128.831;-239.949;33.2
31.882;2;L2D;Control;131.984;-239.935;11.63;0.46;127.673;-239.939;33.4
31.982;2;L2D;Control;130.815;-239.937;11.75;0.46;126.460;-239.944;34.1
32.084;2;L2D;Control;129.610;-239.941;11.88;0.46;125.257;-239.965;34.9
32.184;2;L2D;Control;128.415;-239.952;12.02;0.45;124.109;-239.999;35.6
32.286;2;L2D;Control;127.182;-239.970;12.16;0.45;122.872;-240.043;36.2
32.388;2;L2D;Control;125.934;-239.994;12.30;0.45;121.617;-240.084;36.5
32.488;2;L2D;Control;124.697;-240.022;12.44;0.45;120.370;-240.123;36.8
32.590;2;L2D;Control;123.422;-240.053;12.58;0.45;119.083;-240.161;37.1
32.690;2;L2D;Control;122.157;-240.085;12.72;0.45;117.780;-240.199;37.5
32.792;2;L2D;Control;120.853;-240.119;12.86;0.45;116.488;-240.232;37.8
32.892;2;L2D;Control;119.561;-240.150;12.99;0.45;115.131;-240.251;37.6
32.994;2;L2D;Control;118.229;-240.176;13.12;0.44;113.788;-240.250;37.1
33.096;2;L2D;Control;116.885;-240.191;13.24;0.44;112.440;-240.220;36.1
33.196;2;L2D;Control;115.555;-240.190;13.35;0.43;111.169;-240.164;35.0
33.298;2;L2D;Control;114.188;-240.170;13.46;0.42;109.766;-240.074;33.7
33.398;2;L2D;Control;112.838;-240.129;13.55;0.41;108.472;-239.965;32.2
33.500;2;L2D;Control;111.452;-240.064;13.64;0.39;107.131;-239.832;30.6
33.600;2;L2D;Control;110.086;-239.980;13.73;0.38;105.818;-239.697;29.4
33.702;2;L2D;Control;108.684;-239.880;13.82;0.37;104.502;-239.566;28.4
33.804;2;L2D;Control;107.274;-239.770;13.91;0.35;103.101;-239.437;27.5
33.904;2;L2D;Control;105.883;-239.659;13.99;0.34;101.769;-239.333;27.0
34.006;2;L2D;Control;104.456;-239.551;14.07;0.33;100.395;-239.254;27.0
34.106;2;L2D;Control;103.047;-239.456;14.15;0.33;99.033;-239.203;27.1
34.208;2;L2D;Control;101.603;-239.375;14.22;0.32;97.682;-239.176;27.1
34.308;2;L2D;Control;100.178;-239.312;14.29;0.32;96.260;-239.156;26.7
34.410;2;L2D;Control;98.716;-239.260;14.37;0.31;94.853;-239.136;25.9
34.510;2;L2D;Control;97.276;-239.218;14.45;0.31;93.378;-239.113;25.2
34.612;2;L2D;Control;95.798;-239.181;14.52;0.30;91.977;-239.090;24.7
34.714;2;L2D;Control;94.313;-239.147;14.60;0.30;90.482;-239.064;24.2
34.814;2;L2D;Control;92.850;-239.117;14.67;0.30;89.064;-239.040;23.7
34.916;2;L2D;Control;91.351;-239.087;14.73;0.29;87.522;-239.016;23.5
35.016;2;L2D;Control;89.875;-239.063;14.79;0.29;86.060;-239.005;23.7
35.118;2;L2D;Control;88.364;-239.045;14.85;0.29;84.617;-239.011;24.3
35.218;2;L2D;Control;86.876;-239.040;14.90;0.29;83.135;-239.039;25.3
35.320;2;L2D;Control;85.354;-239.048;14.95;0.29;81.583;-239.085;26.1
35.422;2;L2D;Control;83.826;-239.072;15.01;0.29;80.019;-239.147;27.0
35.522;2;L2D;Control;82.322;-239.109;15.06;0.29;78.565;-239.218;28.0
35.624;2;L2D;Control;80.784;-239.162;15.12;0.30;76.947;-239.308;29.2
35.724;2;L2D;Control;79.270;-239.224;15.17;0.30;75.410;-239.395;29.9
35.826;2;L2D;Control;77.721;-239.296;15.23;0.31;73.895;-239.481;30.8
