Time;Trial;Scene;Modality;PosX;PosZ;Speed;TTC;PredCrashX;PredCrashZ;CrashAngle
72.424;5;L2B;Audio;-245.289;-142.329;0.22;1.05;-69.242;-242.254;34.4
72.526;5;L2B;Audio;-245.290;-142.329;0.14;1.05;-69.242;-242.254;34.4
72.626;5;L2B;Audio;-245.290;-142.329;0.03;1.05;-69.242;-242.254;34.4
72.728;5;L2B;Audio;-245.290;-142.329;0.04;1.05;-69.242;-242.254;34.4
72.830;5;L2B;Audio;-245.282;-142.329;0.18;1.05;-69.242;-242.254;34.4
72.932;5;L2B;Audio;-245.246;-142.329;0.52;1.05;-69.242;-242.254;34.4
73.034;5;L2B;Audio;-245.171;-142.329;0.93;1.05;-69.242;-242.254;34.4
73.136;5;L2B;Audio;-245.053;-142.330;1.36;1.05;-69.242;-242.254;34.4
73.238;5;L2B;Audio;-244.892;-142.332;1.77;1.05;-69.242;-242.254;34.4
73.340;5;L2B;Audio;-244.691;-142.335;2.17;1.05;-69.242;-242.254;34.4
73.442;5;L2B;Audio;-244.448;-142.338;2.56;1.05;-69.242;-242.254;34.4
73.544;5;L2B;Audio;-244.166;-142.343;2.95;1.05;-69.242;-242.254;34.4
73.646;5;L2B;Audio;-243.845;-142.350;3.31;1.05;-69.242;-242.254;34.4
73.748;5;L2B;Audio;-243.487;-142.358;3.68;1.05;-69.242;-242.254;34.4
73.848;5;L2B;Audio;-243.100;-142.369;4.05;1.05;-69.242;-242.254;34.4
73.950;5;L2B;Audio;-242.670;-142.382;4.38;1.05;-69.242;-242.254;34.4
74.052;5;L2B;Audio;-242.205;-142.399;4.71;1.05;-69.242;-242.254;34.4
74.154;5;L2B;Audio;-241.708;-142.416;5.02;1.05;-69.242;-242.254;34.4
74.256;5;L2B;Audio;-241.179;-142.435;5.33;1.05;-69.242;-242.254;34.4
74.358;5;L2B;Audio;-240.620;-142.455;5.63;1.05;-69.242;-242.254;34.4
74.460;5;L2B;Audio;-240.031;-142.476;5.92;1.05;-69.242;-242.254;34.4
74.562;5;L2B;Audio;-239.412;-142.497;6.20;1.05;-69.242;-242.254;34.4
74.664;5;L2B;Audio;-238.766;-142.520;6.47;1.05;-69.242;-242.254;34.4
74.766;5;L2B;Audio;-238.091;-142.544;6.75;1.05;-69.242;-242.254;34.4
74.868;5;L2B;Audio;-237.389;-142.569;7.02;1.05;-69.242;-242.254;34.4
74.970;5;L2B;Audio;-236.659;-142.596;7.28;1.05;-69.242;-242.254;34.4
75.070;5;L2B;Audio;-235.918;-142.622;7.53;1.05;-69.242;-242.254;34.4
75.172;5;L2B;Audio;-235.136;-142.649;7.79;1.05;-69.242;-242.254;34.4
75.274;5;L2B;Audio;-234.328;-142.674;8.04;1.05;-69.242;-242.254;34.4
75.376;5;L2B;Audio;-233.494;-142.696;8.29;1.05;-69.242;-242.254;34.4
75.478;5;L2B;Audio;-232.636;-142.712;8.53;1.05;-69.242;-242.254;34.4
75.580;5;L2B;Audio;-231.754;-142.723;8.77;1.05;-69.242;-242.254;34.4
75.682;5;L2B;Audio;-230.848;-142.729;8.99;1.05;-69.242;-242.254;34.4
75.784;5;L2B;Audio;-229.919;-142.731;9.22;1.05;-69.242;-242.254;34.4
75.886;5;L2B;Audio;-228.967;-142.731;9.44;1.05;-69.242;-242.254;34.4
75.988;5;L2B;Audio;-227.992;-142.729;9.66;1.05;-69.242;-242.254;34.4
76.090;5;L2B;Audio;-226.996;-142.727;9.86;1.05;-69.242;-242.254;34.4
76.192;5;L2B;Audio;-225.978;-142.725;10.08;1.05;-69.242;-242.254;34.4
76.294;5;L2B;Audio;-224.939;-142.722;10.28;1.05;-69.242;-242.254;34.4
76.396;5;L2B;Audio;-223.880;-142.719;10.48;1.05;-69.242;-242.254;34.4
76.498;5;L2B;Audio;-222.801;-142.716;10.67;1.05;-69.242;-242.254;34.4
76.598;5;L2B;Audio;-221.724;-142.713;10.86;1.05;-69.242;-242.254;34.4
76.700;5;L2B;Audio;-220.607;-142.709;11.04;1.05;-69.242;-242.254;34.4
76.802;5;L2B;Audio;-219.470;-142.706;11.23;1.05;-69.242;-242.254;34.4
76.904;5;L2B;Audio;-218.315;-142.703;11.41;1.05;-69.242;-242.254;34.4
77.006;5;L2B;Audio;-217.142;-142.700;11.59;1.05;-69.242;-242.254;34.4
77.108;5;L2B;Audio;-215.950;-142.697;11.76;1.05;-69.242;-242.254;34.4
