Time;Trial;Scene;Modality;PosX;PosZ;Speed;TTC;PredCrashX;PredCrashZ;CrashAngle
117.460;8;C1B;Multimodal;-216.980;-288.120;0.22;65234.21;-53.040;-79.588;23.4
117.562;8;C1B;Multimodal;-216.980;-288.120;0.14;269561.70;-216.981;-277.765;81.3
117.664;8;C1B;Multimodal;-216.980;-288.120;0.03;122233.70;-216.980;-288.120;81.3
117.766;8;C1B;Multimodal;-216.980;-288.111;0.17;7408.47;-216.980;-127.429;81.3
117.868;8;C1B;Multimodal;-216.980;-288.076;0.47;2513.72;-216.979;-125.320;81.3
117.970;8;C1B;Multimodal;-216.980;-288.006;0.89;1344.22;-216.980;-125.042;81.3
118.072;8;C1B;Multimodal;-216.980;-287.896;1.27;899.50;-216.980;-124.954;81.3
118.174;8;C1B;Multimodal;-216.980;-287.745;1.66;683.73;-216.980;-124.826;81.4
118.276;8;C1B;Multimodal;-216.980;-287.556;2.04;559.05;-216.980;-124.668;81.5
118.378;8;C1B;Multimodal;-216.980;-287.327;2.41;472.73;-216.980;-124.472;81.5
118.480;8;C1B;Multimodal;-216.980;-287.059;2.79;411.65;-216.980;-124.240;81.6
118.582;8;C1B;Multimodal;-216.980;-286.755;3.16;366.73;-216.980;-123.974;81.7
118.684;8;C1B;Multimodal;-216.980;-286.414;3.51;334.33;-216.980;-123.693;81.9
118.786;8;C1B;Multimodal;-216.980;-286.037;3.86;307.37;-216.980;-123.364;82.0
118.886;8;C1B;Multimodal;-216.980;-285.631;4.21;287.18;-216.980;-123.022;82.1
118.988;8;C1B;Multimodal;-216.980;-285.182;4.56;269.00;-216.927;-122.619;82.3
119.090;8;C1B;Multimodal;-216.978;-284.700;4.88;246.01;-216.096;-122.205;82.2
119.192;8;C1B;Multimodal;-216.974;-284.182;5.22;227.43;-215.295;-121.783;82.0
119.294;8;C1B;Multimodal;-216.966;-283.631;5.57;210.35;-214.413;-121.312;81.9
119.396;8;C1B;Multimodal;-216.955;-283.046;5.89;195.72;-213.507;-120.827;81.7
119.498;8;C1B;Multimodal;-216.940;-282.427;6.23;182.83;-212.563;-120.320;81.6
119.600;8;C1B;Multimodal;-216.920;-281.776;6.53;171.59;-211.600;-119.804;81.4
119.702;8;C1B;Multimodal;-216.895;-281.093;6.84;161.07;-210.541;-119.237;81.2
119.804;8;C1B;Multimodal;-216.864;-280.379;7.16;152.00;-209.486;-118.674;81.1
119.906;8;C1B;Multimodal;-216.827;-279.634;7.46;143.82;-208.398;-118.093;80.9
120.008;8;C1B;Multimodal;-216.783;-278.859;7.76;136.39;-207.268;-117.525;80.7
120.108;8;C1B;Multimodal;-216.732;-278.070;8.03;126.37;-205.450;-116.963;80.2
120.210;8;C1B;Multimodal;-216.667;-277.238;8.31;116.63;-203.401;-116.434;79.6
120.312;8;C1B;Multimodal;-216.588;-276.377;8.62;107.18;-201.095;-115.909;78.9
120.414;8;C1B;Multimodal;-216.495;-275.488;8.89;98.58;-198.674;-115.426;78.3
120.516;8;C1B;Multimodal;-216.383;-274.573;9.17;89.08;-195.520;-115.044;77.2
120.618;8;C1B;Multimodal;-216.248;-273.633;9.43;80.43;-192.086;-114.769;76.1
120.720;8;C1B;Multimodal;-216.089;-272.669;9.70;72.82;-188.511;-114.599;75.0
120.822;8;C1B;Multimodal;-215.903;-271.682;9.96;66.07;-184.743;-114.524;73.8
120.924;8;C1B;Multimodal;-215.689;-270.676;10.21;60.21;-180.896;-114.551;72.7
121.026;8;C1B;Multimodal;-215.444;-269.649;10.46;55.10;-176.996;-114.680;71.6
121.128;8;C1B;Multimodal;-215.170;-268.605;10.70;50.56;-172.985;-114.919;70.5
121.230;8;C1B;Multimodal;-214.862;-267.543;10.95;46.59;-168.968;-115.278;69.3
121.330;8;C1B;Multimodal;-214.526;-266.488;11.16;42.78;-164.528;-115.900;67.7
121.432;8;C1B;Multimodal;-214.144;-265.401;11.41;39.19;-159.699;-116.788;66.0
121.534;8;C1B;Multimodal;-213.720;-264.305;11.64;35.96;-154.657;-117.935;64.3
121.636;8;C1B;Multimodal;-213.249;-263.204;11.83;32.88;-149.077;-119.519;62.2
121.738;8;C1B;Multimodal;-212.729;-262.104;12.03;30.08;-143.201;-121.508;59.9
121.840;8;C1B;Multimodal;-212.155;-261.009;12.21;27.60;-137.213;-123.860;57.7
121.942;8;C1B;Multimodal;-211.528;-259.922;12.39;25.43;-131.240;-126.541;55.6
122.044;8;C1B;Multimodal;-210.846;-258.846;12.56;23.56;-125.470;-129.461;53.4
