Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
0.128;1;L2D;Multimodal;169.700;-240.300;0.22;0.022;0.000;0.000;Infinity;0.000;0.000;0.0
0.228;1;L2D;Multimodal;169.700;-240.300;0.13;-0.022;0.000;0.000;Infinity;0.000;0.000;0.0
0.330;1;L2D;Multimodal;169.701;-240.300;0.02;-0.022;0.000;0.000;Infinity;0.000;0.000;0.0
0.432;1;L2D;Multimodal;169.701;-240.300;0.03;-0.022;0.000;0.000;338.03;169.701;-240.300;97.1
0.534;1;L2D;Multimodal;169.701;-240.300;0.03;-0.022;0.000;0.000;339.40;169.701;-240.300;93.8
0.636;1;L2D;Multimodal;169.700;-240.300;0.05;-0.022;0.160;0.000;1070.88;169.700;-240.300;90.7
0.736;1;L2D;Multimodal;169.683;-240.300;0.33;0.044;0.800;0.000;241.51;166.781;-240.265;87.5
0.838;1;L2D;Multimodal;169.630;-240.299;0.69;0.022;1.000;0.000;54.26;166.723;-240.272;84.6
0.940;1;L2D;Multimodal;169.540;-240.298;1.05;0.022;1.000;0.000;21.44;166.615;-240.271;81.5
1.040;1;L2D;Multimodal;169.416;-240.298;1.40;0.000;1.000;0.000;12.38;166.478;-240.282;78.7
1.140;1;L2D;Multimodal;169.258;-240.297;1.74;0.000;1.000;0.000;7.78;166.283;-240.287;75.8
1.242;1;L2D;Multimodal;169.062;-240.296;2.09;0.000;1.000;0.000;5.56;166.067;-240.287;73.2
1.344;1;L2D;Multimodal;168.830;-240.295;2.43;0.022;1.000;0.000;4.09;165.792;-240.274;70.4
1.444;1;L2D;Multimodal;168.569;-240.292;2.77;0.044;1.000;0.000;3.17;165.497;-240.245;67.7
1.546;1;L2D;Multimodal;168.268;-240.285;3.11;0.044;1.000;0.000;2.50;165.125;-240.209;64.5
1.648;1;L2D;Multimodal;167.933;-240.276;3.45;0.022;1.000;0.000;2.11;164.765;-240.187;61.9
