Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
0.122;1;T7C;Visual;38.130;-380.280;0.22;-0.022;0.000;0.000;36011.16;42.732;-380.254;-1.1
0.222;1;T7C;Visual;38.130;-380.280;0.13;-0.022;0.000;0.000;20619.02;49.669;-380.266;-1.2
0.322;1;T7C;Visual;38.129;-380.280;0.03;-0.022;0.000;0.000;17911.10;38.129;-380.280;-1.3
0.424;1;T7C;Visual;38.129;-380.280;0.03;-0.022;0.000;0.000;17639.56;38.129;-380.280;-1.3
0.524;1;T7C;Visual;38.129;-380.280;0.03;-0.022;0.000;0.000;17892.00;38.129;-380.280;-1.3
0.626;1;T7C;Visual;38.129;-380.280;0.01;-0.022;0.000;0.000;18053.69;38.129;-380.280;-1.3
0.728;1;T7C;Visual;38.129;-380.280;0.00;-0.022;0.000;0.000;18026.73;38.129;-380.280;-1.3
0.828;1;T7C;Visual;38.128;-380.280;0.00;-0.022;0.000;0.000;17906.86;38.128;-380.280;-1.3
0.930;1;T7C;Visual;38.128;-380.280;0.00;-0.022;0.000;0.000;17820.04;38.128;-380.280;-1.3
1.030;1;T7C;Visual;38.128;-380.280;0.00;-0.022;0.000;0.000;17764.01;38.128;-380.280;-1.3
1.132;1;T7C;Visual;38.128;-380.280;0.00;-0.022;0.000;0.000;17727.74;38.128;-380.280;-1.3
1.232;1;T7C;Visual;38.128;-380.280;0.00;-0.022;0.000;0.000;17727.74;38.128;-380.280;-1.3
1.334;1;T7C;Visual;38.127;-380.280;0.00;-0.022;0.000;0.000;17727.74;38.128;-380.280;-1.3
1.436;1;T7C;Visual;38.127;-380.280;0.00;-0.022;0.000;0.000;17727.74;38.128;-380.280;-1.3
1.538;1;T7C;Visual;38.127;-380.280;0.00;-0.022;0.000;0.000;17603.14;38.127;-380.280;-1.3
1.638;1;T7C;Visual;38.127;-380.280;0.00;-0.022;0.000;0.000;17525.92;38.127;-380.280;-1.3
1.740;1;T7C;Visual;38.127;-380.280;0.00;-0.022;0.000;0.000;17481.65;38.127;-380.280;-1.3
1.842;1;T7C;Visual;38.126;-380.280;0.00;-0.022;0.000;0.000;17437.65;38.126;-380.280;-1.3
1.942;1;T7C;Visual;38.126;-380.280;0.00;-0.022;0.000;0.000;17390.62;38.126;-380.280;-1.3
2.044;1;T7C;Visual;38.126;-380.280;0.00;-0.022;0.000;0.000;17349.21;38.126;-380.280;-1.3
2.146;1;T7C;Visual;38.126;-380.280;0.00;-0.022;0.000;0.000;17304.93;38.126;-380.280;-1.3
2.248;1;T7C;Visual;38.126;-380.280;0.00;-0.022;0.000;0.000;17259.66;38.126;-380.280;-1.3
2.350;1;T7C;Visual;38.125;-380.280;0.00;-0.022;0.000;0.000;17226.43;38.125;-380.280;-1.3
2.452;1;T7C;Visual;38.125;-380.280;0.00;-0.022;0.000;0.000;17174.17;38.125;-380.280;-1.3
2.554;1;T7C;Visual;38.125;-380.280;0.00;-0.022;0.000;0.000;17139.38;38.125;-380.280;-1.3
2.656;1;T7C;Visual;38.125;-380.280;0.00;-0.022;0.000;0.000;17097.31;38.125;-380.280;-1.3
2.758;1;T7C;Visual;38.125;-380.280;0.00;-0.022;0.000;0.000;17051.79;38.125;-380.280;-1.3
2.860;1;T7C;Visual;38.124;-380.280;0.00;-0.022;0.000;0.000;17006.44;38.124;-380.280;-1.3
2.962;1;T7C;Visual;38.124;-380.280;0.00;-0.022;0.000;0.000;16957.02;38.124;-380.280;-1.3
3.064;1;T7C;Visual;38.124;-380.280;0.00;-0.022;0.000;0.000;16920.51;38.124;-380.280;-1.3
3.166;1;T7C;Visual;38.124;-380.280;0.00;-0.022;0.000;0.000;16881.43;38.124;-380.280;-1.3
3.266;1;T7C;Visual;38.124;-380.280;0.00;-0.022;0.000;0.000;16834.57;38.124;-380.280;-1.3
3.368;1;T7C;Visual;38.123;-380.280;0.00;-0.022;0.000;0.000;16797.45;38.124;-380.280;-1.3
3.470;1;T7C;Visual;38.123;-380.280;0.00;-0.022;0.000;0.000;16742.32;38.123;-380.280;-1.3
3.572;1;T7C;Visual;38.123;-380.280;0.00;-0.022;0.000;0.000;16705.54;38.123;-380.280;-1.3
3.674;1;T7C;Visual;38.123;-380.280;0.00;-0.022;0.000;0.000;16666.58;38.123;-380.280;-1.3
3.776;1;T7C;Visual;38.123;-380.280;0.00;-0.022;0.000;0.000;16622.71;38.123;-380.280;-1.3
3.878;1;T7C;Visual;38.123;-380.280;0.00;-0.022;0.000;0.000;16577.73;38.123;-380.280;-1.3
3.980;1;T7C;Visual;38.122;-380.280;0.00;-0.022;0.000;0.000;16538.79;38.122;-380.280;-1.3
4.080;1;T7C;Visual;38.122;-380.280;0.00;-0.022;0.000;0.000;16492.40;38.122;-380.280;-1.3
