Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
4.380;2;C2A;Visual;-242.230;-80.120;0.12;-0.022;0.000;0.000;23628.90;-225.635;-80.104;-7.7
4.482;2;C2A;Visual;-242.231;-80.120;0.01;-0.022;0.000;0.000;21376.86;-242.231;-80.120;-7.7
4.584;2;C2A;Visual;-242.231;-80.120;0.03;-0.022;0.000;0.000;21375.17;-242.231;-80.120;-7.7
4.686;2;C2A;Visual;-242.231;-80.120;0.02;-0.022;0.000;0.000;21734.94;-242.231;-80.120;-7.7
4.788;2;C2A;Visual;-242.232;-80.120;0.01;-0.022;0.000;0.000;21911.79;-242.232;-80.120;-7.7
4.890;2;C2A;Visual;-242.232;-80.120;0.01;-0.022;0.000;0.000;21872.24;-242.232;-80.120;-7.7
4.992;2;C2A;Visual;-242.233;-80.120;0.01;-0.022;0.000;0.000;21790.45;-242.233;-80.120;-7.7
5.094;2;C2A;Visual;-242.233;-80.120;0.00;-0.022;0.000;0.000;21733.62;-242.233;-80.120;-7.7
5.196;2;C2A;Visual;-242.233;-80.120;0.00;-0.022;0.000;0.000;21726.21;-242.233;-80.120;-7.7
5.296;2;C2A;Visual;-242.233;-80.120;0.00;-0.022;0.000;0.000;21739.62;-242.233;-80.120;-7.7
5.398;2;C2A;Visual;-242.233;-80.120;0.00;-0.022;0.000;0.000;21748.50;-242.233;-80.120;-7.7
5.500;2;C2A;Visual;-242.233;-80.120;0.00;-0.022;0.000;0.000;21744.13;-242.233;-80.120;-7.7
