Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
6.666;4;L2C;Multimodal;32.710;-379.829;0.10;-0.022;0.000;0.000;25718.30;-212.797;-261.028;45.2
6.768;4;L2C;Multimodal;32.710;-379.829;0.00;-0.022;0.000;0.000;25718.30;-212.797;-261.028;45.2
6.868;4;L2C;Multimodal;32.710;-379.829;0.03;-0.022;0.000;0.000;25718.30;-212.797;-261.028;45.2
6.970;4;L2C;Multimodal;32.710;-379.829;0.02;-0.022;0.000;0.000;25718.30;-212.797;-261.028;45.2
7.072;4;L2C;Multimodal;32.710;-379.829;0.01;-0.022;0.000;0.000;25718.30;-212.797;-261.028;45.2
7.174;4;L2C;Multimodal;32.709;-379.829;0.00;-0.022;0.000;0.000;25718.30;-212.797;-261.028;45.2
7.276;4;L2C;Multimodal;32.709;-379.829;0.00;-0.022;0.000;0.000;25718.30;-212.797;-261.028;45.2
7.378;4;L2C;Multimodal;32.709;-379.829;0.02;-0.022;0.150;0.000;25718.30;-212.797;-261.028;45.2
7.480;4;L2C;Multimodal;32.715;-379.829;0.13;-0.022;0.740;0.000;25718.30;-212.797;-261.028;45.2
7.582;4;L2C;Multimodal;32.751;-379.829;0.54;-0.022;1.000;0.000;25718.30;-212.797;-261.028;45.2
7.684;4;L2C;Multimodal;32.832;-379.828;1.01;-0.022;1.000;0.000;25718.30;-212.797;-261.028;45.2
7.786;4;L2C;Multimodal;32.959;-379.827;1.46;-0.022;1.000;0.000;25718.30;-212.797;-261.028;45.2
7.888;4;L2C;Multimodal;33.132;-379.825;1.90;-0.022;1.000;0.000;25718.30;-212.797;-261.028;45.2
7.990;4;L2C;Multimodal;33.349;-379.822;2.34;-0.022;1.000;0.000;25718.30;-212.797;-261.028;45.2
8.092;4;L2C;Multimodal;33.611;-379.818;2.77;-0.022;1.000;0.000;25718.30;-212.797;-261.028;45.2
8.192;4;L2C;Multimodal;33.910;-379.813;3.18;-0.022;1.000;0.000;25718.30;-212.797;-261.028;45.2
8.292;4;L2C;Multimodal;34.250;-379.806;3.59;-0.044;1.000;0.000;25718.30;-212.797;-261.028;45.2
8.394;4;L2C;Multimodal;34.639;-379.794;4.01;-0.022;1.000;0.000;25718.30;-212.797;-261.028;45.2
8.494;4;L2C;Multimodal;35.060;-379.780;4.41;-0.022;1.000;0.000;25718.30;-212.797;-261.028;45.2
8.594;4;L2C;Multimodal;35.522;-379.763;4.80;0.000;1.000;0.000;25718.30;-212.797;-261.028;45.2
8.696;4;L2C;Multimodal;36.033;-379.743;5.20;0.000;1.000;0.000;25718.30;-212.797;-261.028;45.2
8.796;4;L2C;Multimodal;36.573;-379.723;5.58;0.022;1.000;0.000;25718.30;-212.797;-261.028;45.2
8.896;4;L2C;Multimodal;37.151;-379.703;5.96;0.022;1.000;0.000;25718.30;-212.797;-261.028;45.2
8.998;4;L2C;Multimodal;37.780;-379.684;6.35;0.022;1.000;0.000;25718.30;-212.797;-261.028;45.2
9.098;4;L2C;Multimodal;38.434;-379.669;6.72;0.044;1.000;0.000;25718.30;-212.797;-261.028;45.2
9.198;4;L2C;Multimodal;39.125;-379.658;7.08;0.044;1.000;0.000;25718.30;-212.797;-261.028;45.2
9.300;4;L2C;Multimodal;39.867;-379.655;7.45;0.022;1.000;0.000;25718.30;-212.797;-261.028;45.2
9.400;4;L2C;Multimodal;40.630;-379.659;7.80;0.022;1.000;0.000;25718.30;-212.797;-261.028;45.2
9.502;4;L2C;Multimodal;41.445;-379.669;8.16;0.000;1.000;0.000;25718.30;-212.797;-261.028;45.2
9.604;4;L2C;Multimodal;42.296;-379.684;8.51;0.000;1.000;0.000;25718.30;-212.797;-261.028;45.2
9.704;4;L2C;Multimodal;43.165;-379.701;8.85;-0.022;1.000;0.000;25718.30;-212.797;-261.028;45.2
9.804;4;L2C;Multimodal;44.068;-379.718;9.19;-0.022;1.000;0.000;25718.30;-212.797;-261.028;45.2
9.906;4;L2C;Multimodal;45.024;-379.732;9.53;-0.022;1.000;0.000;25718.30;-212.797;-261.028;45.2
10.006;4;L2C;Multimodal;45.994;-379.741;9.86;-0.022;1.000;0.000;25718.30;-212.797;-261.028;45.2
10.106;4;L2C;Multimodal;46.997;-379.745;10.18;-0.022;1.000;0.000;25718.30;-212.797;-261.028;45.2
10.208;4;L2C;Multimodal;48.053;-379.742;10.51;-0.022;1.000;0.000;25718.30;-212.797;-261.028;45.2
10.308;4;L2C;Multimodal;49.120;-379.731;10.82;-0.022;1.000;0.000;25718.30;-212.797;-261.028;45.2
10.408;4;L2C;Multimodal;50.218;-379.712;11.13;-0.022;1.000;0.000;25718.30;-212.797;-261.028;45.2
