Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
21.856;5;L2A;Visual;-245.289;-79.579;0.22;-0.044;0.000;0.000;0.49;161.006;-380.638;7.8
21.956;5;L2A;Visual;-245.290;-79.579;0.14;-0.044;0.000;0.000;0.49;161.006;-380.638;7.8
22.056;5;L2A;Visual;-245.290;-79.579;0.03;0.000;0.000;0.000;0.49;161.006;-380.638;7.8
22.158;5;L2A;Visual;-245.290;-79.579;0.03;0.000;0.000;0.000;0.49;161.006;-380.638;7.8
22.258;5;L2A;Visual;-245.291;-79.579;0.03;0.000;0.000;0.000;0.49;161.006;-380.638;7.8
22.358;5;L2A;Visual;-245.291;-79.579;0.01;0.000;0.000;0.000;0.49;161.006;-380.638;7.8
22.460;5;L2A;Visual;-245.291;-79.579;0.01;0.000;0.000;0.000;0.49;161.006;-380.638;7.8
22.560;5;L2A;Visual;-245.292;-79.579;0.01;0.000;0.000;0.000;0.49;161.006;-380.638;7.8
22.660;5;L2A;Visual;-245.292;-79.579;0.00;0.000;0.000;0.000;0.49;161.006;-380.638;7.8
22.762;5;L2A;Visual;-245.292;-79.579;0.00;0.000;0.000;0.000;0.49;161.006;-380.638;7.8
22.862;5;L2A;Visual;-245.292;-79.579;0.00;0.000;0.000;0.000;0.49;161.006;-380.638;7.8
22.962;5;L2A;Visual;-245.292;-79.579;0.00;0.000;0.000;0.000;0.49;161.006;-380.638;7.8
23.064;5;L2A;Visual;-245.292;-79.579;0.00;0.000;0.000;0.000;0.49;161.006;-380.638;7.8
23.164;5;L2A;Visual;-245.292;-79.579;0.00;0.000;0.000;0.000;0.49;161.006;-380.638;7.8
23.264;5;L2A;Visual;-245.292;-79.579;0.00;0.000;0.000;0.000;0.49;161.006;-380.638;7.8
23.366;5;L2A;Visual;-245.292;-79.579;0.00;0.000;0.000;0.000;0.49;161.006;-380.638;7.8
23.466;5;L2A;Visual;-245.292;-79.579;0.00;0.000;0.000;0.000;0.49;161.006;-380.638;7.8
23.566;5;L2A;Visual;-245.292;-79.579;0.00;0.000;0.000;0.000;0.49;161.006;-380.638;7.8
