Time;Trial;Scene;Modality;PosX;PosZ;Speed;TTC;PredCrashX;PredCrashZ;CrashAngle
0.144;1;C2D;Control;169.700;-240.300;0.21;37723.77;162.211;-240.301;-5.5
0.244;1;C2D;Control;169.700;-240.300;0.11;25878.60;150.288;-240.304;-5.5
0.346;1;C2D;Control;169.701;-240.300;0.01;23699.12;169.701;-240.300;-5.6
0.448;1;C2D;Control;169.701;-240.300;0.03;23808.89;169.701;-240.300;-5.6
0.548;1;C2D;Control;169.702;-240.300;0.02;24178.26;169.702;-240.300;-5.6
0.650;1;C2D;Control;169.702;-240.300;0.01;24326.00;169.702;-240.300;-5.6
0.750;1;C2D;Control;169.702;-240.300;0.01;24265.49;169.702;-240.300;-5.6
0.852;1;C2D;Control;169.703;-240.300;0.00;24172.60;169.703;-240.300;-5.6
0.954;1;C2D;Control;169.703;-240.300;0.00;24118.73;169.703;-240.300;-5.6
1.056;1;C2D;Control;169.703;-240.300;0.00;24105.25;169.703;-240.300;-5.6
1.156;1;C2D;Control;169.703;-240.300;0.00;24123.91;169.703;-240.300;-5.6
1.256;1;C2D;Control;169.703;-240.300;0.00;24137.22;169.703;-240.300;-5.6
1.356;1;C2D;Control;169.703;-240.300;0.00;24146.28;169.703;-240.300;-5.6
1.456;1;C2D;Control;169.703;-240.300;0.00;24148.29;169.703;-240.300;-5.6
1.556;1;C2D;Control;169.703;-240.300;0.00;24122.68;169.703;-240.300;-5.6
1.656;1;C2D;Control;169.703;-240.300;0.00;24127.73;169.703;-240.300;-5.6
1.758;1;C2D;Control;169.703;-240.300;0.00;24130.62;169.703;-240.300;-5.6
1.860;1;C2D;Control;169.703;-240.300;0.00;24135.57;169.703;-240.300;-5.6
1.962;1;C2D;Control;169.703;-240.300;0.00;24132.88;169.703;-240.300;-5.6
2.064;1;C2D;Control;169.703;-240.300;0.00;24138.10;169.703;-240.300;-5.6
2.166;1;C2D;Control;169.703;-240.300;0.00;24137.02;169.703;-240.300;-5.6
2.268;1;C2D;Control;169.703;-240.300;0.00;24135.17;169.703;-240.300;-5.6
2.370;1;C2D;Control;169.703;-240.300;0.00;24135.74;169.703;-240.300;-5.6
2.472;1;C2D;Control;169.703;-240.300;0.00;24138.01;169.703;-240.300;-5.6
2.574;1;C2D;Control;169.703;-240.300;0.00;24137.31;169.703;-240.300;-5.6
2.676;1;C2D;Control;169.703;-240.300;0.00;24138.04;169.703;-240.300;-5.6
2.778;1;C2D;Control;169.703;-240.300;0.00;24135.16;169.703;-240.300;-5.6
2.880;1;C2D;Control;169.703;-240.300;0.00;24134.75;169.703;-240.300;-5.6
2.980;1;C2D;Control;169.703;-240.300;0.00;24129.18;169.703;-240.300;-5.6
3.082;1;C2D;Control;169.703;-240.300;0.00;24128.73;169.703;-240.300;-5.6
3.184;1;C2D;Control;169.703;-240.300;0.00;24131.28;169.703;-240.300;-5.6
3.286;1;C2D;Control;169.703;-240.300;0.00;24133.61;169.703;-240.300;-5.6
3.388;1;C2D;Control;169.703;-240.300;0.00;24138.81;169.703;-240.300;-5.6
3.490;1;C2D;Control;169.703;-240.300;0.00;24137.29;169.703;-240.300;-5.6
3.592;1;C2D;Control;169.703;-240.300;0.00;24140.70;169.703;-240.300;-5.6
3.694;1;C2D;Control;169.703;-240.300;0.00;24140.32;169.703;-240.300;-5.6
3.796;1;C2D;Control;169.703;-240.300;0.00;24135.60;169.703;-240.300;-5.6
3.898;1;C2D;Control;169.703;-240.300;0.00;24121.56;169.703;-240.300;-5.6
4.000;1;C2D;Control;169.703;-240.300;0.00;24135.28;169.703;-240.300;-5.6
4.100;1;C2D;Control;169.703;-240.300;0.00;24136.79;169.703;-240.300;-5.6
4.202;1;C2D;Control;169.703;-240.300;0.00;24137.54;169.703;-240.300;-5.6
4.304;1;C2D;Control;169.703;-240.300;0.00;24141.70;169.703;-240.300;-5.6
4.406;1;C2D;Control;169.703;-240.300;0.00;24134.97;169.703;-240.300;-5.6
4.508;1;C2D;Control;169.703;-240.300;0.00;24137.45;169.703;-240.300;-5.6
4.610;1;C2D;Control;169.703;-240.300;0.00;24139.13;169.703;-240.300;-5.6
4.712;1;C2D;Control;169.703;-240.300;0.00;24136.75;169.703;-240.300;-5.6
4.814;1;C2D;Control;169.703;-240.300;0.00;24132.42;169.703;-240.300;-5.6
4.916;1;C2D;Control;169.703;-240.300;0.00;24126.42;169.703;-240.300;-5.6
5.018;1;C2D;Control;169.703;-240.300;0.00;24138.37;169.703;-240.300;-5.6
5.120;1;C2D;Control;169.703;-240.300;0.00;24154.53;169.703;-240.300;-5.6
5.222;1;C2D;Control;169.703;-240.300;0.00;24142.01;169.703;-240.300;-5.6
5.324;1;C2D;Control;169.703;-240.300;0.00;24141.73;169.703;-240.300;-5.6
5.426;1;C2D;Control;169.703;-240.300;0.00;24137.20;169.703;-240.300;-5.6
5.526;1;C2D;Control;169.703;-240.300;0.00;24126.86;169.703;-240.300;-5.6
5.628;1;C2D;Control;169.703;-240.300;0.00;24132.46;169.703;-240.300;-5.6
5.730;1;C2D;Control;169.703;-240.300;0.00;24136.01;169.703;-240.300;-5.6
5.832;1;C2D;Control;169.703;-240.300;0.00;24137.33;169.703;-240.300;-5.6
5.934;1;C2D;Control;169.703;-240.300;0.00;24136.93;169.703;-240.300;-5.6
6.036;1;C2D;Control;169.703;-240.300;0.00;24138.93;169.703;-240.300;-5.6
6.138;1;C2D;Control;169.703;-240.300;0.00;24126.07;169.703;-240.300;-5.6
6.240;1;C2D;Control;169.703;-240.300;0.00;24128.84;169.703;-240.300;-5.6
6.342;1;C2D;Control;169.703;-240.300;0.00;24136.81;169.703;-240.300;-5.6
6.444;1;C2D;Control;169.703;-240.300;0.00;24135.75;169.703;-240.300;-5.6
6.546;1;C2D;Control;169.703;-240.300;0.00;24133.04;169.703;-240.300;-5.6
6.648;1;C2D;Control;169.703;-240.300;0.00;24136.92;169.703;-240.300;-5.6
6.750;1;C2D;Control;169.703;-240.300;0.00;24134.51;169.703;-240.300;-5.6
6.852;1;C2D;Control;169.703;-240.300;0.00;24122.54;169.703;-240.300;-5.6
6.954;1;C2D;Control;169.703;-240.300;0.00;24130.22;169.703;-240.300;-5.6
7.056;1;C2D;Control;169.703;-240.300;0.00;24136.18;169.703;-240.300;-5.6
7.158;1;C2D;Control;169.703;-240.300;0.00;24139.56;169.703;-240.300;-5.6
7.260;1;C2D;Control;169.703;-240.300;0.00;24137.34;169.703;-240.300;-5.6
7.362;1;C2D;Control;169.703;-240.300;0.00;24134.86;169.703;-240.300;-5.6
7.464;1;C2D;Control;169.703;-240.300;0.00;24134.31;169.703;-240.300;-5.6
7.566;1;C2D;Control;169.703;-240.300;0.00;24135.46;169.703;-240.300;-5.6
7.668;1;C2D;Control;169.703;-240.300;0.00;24139.60;169.703;-240.300;-5.6
7.768;1;C2D;Control;169.703;-240.300;0.00;24135.07;169.703;-240.300;-5.6
7.870;1;C2D;Control;169.703;-240.300;0.00;24131.44;169.703;-240.300;-5.6
7.972;1;C2D;Control;169.703;-240.300;0.00;24130.36;169.703;-240.300;-5.6
8.074;1;C2D;Control;169.703;-240.300;0.00;24133.50;169.703;-240.300;-5.6
8.174;1;C2D;Control;169.703;-240.300;0.00;24140.31;169.703;-240.300;-5.6
8.276;1;C2D;Control;169.703;-240.300;0.00;24136.55;169.703;-240.300;-5.6
