Time;Trial;Scene;Modality;PosX;PosZ;Speed;TTC;PredCrashX;PredCrashZ;CrashAngle
28.248;2;L2B;Audio;-245.289;-142.329;0.22;160.63;-70.477;-241.456;1.0
28.348;2;L2B;Audio;-245.290;-142.329;0.13;160.63;-70.477;-241.456;1.0
28.448;2;L2B;Audio;-245.288;-142.329;0.04;160.63;-70.477;-241.456;1.0
28.548;2;L2B;Audio;-245.274;-142.329;0.28;160.63;-70.477;-241.456;1.0
28.650;2;L2B;Audio;-245.227;-142.329;0.64;160.63;-70.477;-241.456;1.0
28.750;2;L2B;Audio;-245.143;-142.331;1.02;160.63;-70.477;-241.456;1.0
28.850;2;L2B;Audio;-245.022;-142.333;1.39;160.63;-70.477;-241.456;1.0
28.952;2;L2B;Audio;-244.860;-142.336;1.76;160.63;-70.477;-241.456;1.0
29.052;2;L2B;Audio;-244.667;-142.340;2.08;160.63;-70.477;-241.456;1.0
29.152;2;L2B;Audio;-244.442;-142.343;2.40;160.63;-70.477;-241.456;1.0
29.254;2;L2B;Audio;-244.179;-142.345;2.73;160.63;-70.477;-241.456;1.0
29.354;2;L2B;Audio;-243.890;-142.345;3.03;160.63;-70.477;-241.456;1.0
29.456;2;L2B;Audio;-243.564;-142.344;3.35;160.63;-70.477;-241.456;1.0
29.556;2;L2B;Audio;-243.213;-142.342;3.65;160.63;-70.477;-241.456;1.0
29.656;2;L2B;Audio;-242.832;-142.339;3.94;160.63;-70.477;-241.456;1.0
29.758;2;L2B;Audio;-242.414;-142.333;4.23;160.63;-70.477;-241.456;1.0
29.858;2;L2B;Audio;-241.974;-142.325;4.53;160.63;-70.477;-241.456;1.0
29.958;2;L2B;Audio;-241.506;-142.318;4.81;160.63;-70.477;-241.456;1.0
30.060;2;L2B;Audio;-240.999;-142.310;5.10;160.63;-70.477;-241.456;1.0
30.160;2;L2B;Audio;-240.474;-142.301;5.39;160.63;-70.477;-241.456;1.0
30.260;2;L2B;Audio;-239.921;-142.292;5.66;160.63;-70.477;-241.456;1.0
30.362;2;L2B;Audio;-239.330;-142.283;5.94;160.63;-70.477;-241.456;1.0
30.462;2;L2B;Audio;-238.722;-142.274;6.20;160.63;-70.477;-241.456;1.0
30.562;2;L2B;Audio;-238.088;-142.264;6.46;160.63;-70.477;-241.456;1.0
30.664;2;L2B;Audio;-237.415;-142.253;6.73;160.63;-70.477;-241.456;1.0
30.764;2;L2B;Audio;-236.729;-142.241;6.99;160.63;-70.477;-241.456;1.0
30.864;2;L2B;Audio;-236.016;-142.230;7.24;160.63;-70.477;-241.456;1.0
30.966;2;L2B;Audio;-235.264;-142.217;7.49;160.63;-70.477;-241.456;1.0
31.066;2;L2B;Audio;-234.502;-142.205;7.74;160.63;-70.477;-241.456;1.0
31.166;2;L2B;Audio;-233.715;-142.193;7.99;160.63;-70.477;-241.456;1.0
31.268;2;L2B;Audio;-232.888;-142.180;8.23;160.63;-70.477;-241.456;1.0
31.368;2;L2B;Audio;-232.052;-142.168;8.47;160.63;-70.477;-241.456;1.0
31.468;2;L2B;Audio;-231.192;-142.158;8.71;160.63;-70.477;-241.456;1.0
31.570;2;L2B;Audio;-230.292;-142.153;8.94;160.63;-70.477;-241.456;1.0
31.670;2;L2B;Audio;-229.387;-142.153;9.16;160.63;-70.477;-241.456;1.0
31.770;2;L2B;Audio;-228.459;-142.160;9.38;160.63;-70.477;-241.456;1.0
31.872;2;L2B;Audio;-227.490;-142.174;9.60;160.63;-70.477;-241.456;1.0
31.972;2;L2B;Audio;-226.518;-142.191;9.82;160.63;-70.477;-241.456;1.0
32.072;2;L2B;Audio;-225.526;-142.212;10.02;160.63;-70.477;-241.456;1.0
32.174;2;L2B;Audio;-224.493;-142.234;10.23;160.63;-70.477;-241.456;1.0
32.274;2;L2B;Audio;-223.460;-142.258;10.42;160.63;-70.477;-241.456;1.0
32.376;2;L2B;Audio;-222.387;-142.284;10.62;160.63;-70.477;-241.456;1.0
32.478;2;L2B;Audio;-221.292;-142.310;10.82;160.63;-70.477;-241.456;1.0
32.578;2;L2B;Audio;-220.201;-142.336;11.00;160.63;-70.477;-241.456;1.0
32.680;2;L2B;Audio;-219.068;-142.363;11.20;160.63;-70.477;-241.456;1.0
32.780;2;L2B;Audio;-217.939;-142.390;11.38;160.63;-70.477;-241.456;1.0
32.882;2;L2B;Audio;-216.770;-142.419;11.55;160.63;-70.477;-241.456;1.0
32.982;2;L2B;Audio;-215.605;-142.447;11.73;160.63;-70.477;-241.456;1.0
33.084;2;L2B;Audio;-214.399;-142.477;11.91;160.63;-70.477;-241.456;1.0
33.186;2;L2B;Audio;-213.176;-142.506;12.07;160.63;-70.477;-241.456;1.0
33.286;2;L2B;Audio;-211.960;-142.536;12.24;160.63;-70.477;-241.456;1.0
33.388;2;L2B;Audio;-210.704;-142.567;12.40;160.63;-70.477;-241.456;1.0
33.488;2;L2B;Audio;-209.456;-142.597;12.55;160.63;-70.477;-241.456;1.0
33.590;2;L2B;Audio;-208.167;-142.630;12.71;160.63;-70.477;-241.456;1.0
33.690;2;L2B;Audio;-206.889;-142.662;12.85;160.63;-70.477;-241.456;1.0
33.792;2;L2B;Audio;-205.571;-142.695;13.00;160.63;-70.477;-241.456;1.0
33.892;2;L2B;Audio;-204.264;-142.728;13.13;160.63;-70.477;-241.456;1.0
33.994;2;L2B;Audio;-202.916;-142.762;13.29;160.63;-70.477;-241.456;1.0
34.096;2;L2B;Audio;-201.554;-142.796;13.42;160.63;-70.477;-241.456;1.0
34.196;2;L2B;Audio;-200.206;-142.829;13.55;160.63;-70.477;-241.456;1.0
34.298;2;L2B;Audio;-198.817;-142.860;13.68;160.63;-70.477;-241.456;1.0
34.398;2;L2B;Audio;-197.442;-142.885;13.82;160.63;-70.477;-241.456;1.0
34.500;2;L2B;Audio;-196.026;-142.903;13.95;160.63;-70.477;-241.456;1.0
34.600;2;L2B;Audio;-194.625;-142.913;14.07;160.63;-70.477;-241.456;1.0
34.702;2;L2B;Audio;-193.184;-142.916;14.19;160.63;-70.477;-241.456;1.0
34.804;2;L2B;Audio;-191.730;-142.913;14.31;160.63;-70.477;-241.456;1.0
34.904;2;L2B;Audio;-190.293;-142.906;14.43;160.63;-70.477;-241.456;1.0
35.006;2;L2B;Audio;-188.815;-142.895;14.54;160.63;-70.477;-241.456;1.0
35.106;2;L2B;Audio;-187.355;-142.883;14.66;160.63;-70.477;-241.456;1.0
35.208;2;L2B;Audio;-185.854;-142.873;14.76;160.63;-70.477;-241.456;1.0
