Time;Trial;Scene;Modality;PosX;PosZ;Speed;TTC;PredCrashX;PredCrashZ;CrashAngle
0.124;1;C2B;Multimodal;-216.980;-288.120;0.22;125213.30;-216.908;-283.320;66.4
0.224;1;C2B;Multimodal;-216.980;-288.120;0.13;63643.59;-216.938;-278.089;66.5
0.326;1;C2B;Multimodal;-216.980;-288.120;0.02;47016.97;-216.980;-288.120;66.5
0.426;1;C2B;Multimodal;-216.980;-288.120;0.03;44447.87;-216.980;-288.120;66.5
0.528;1;C2B;Multimodal;-216.980;-288.119;0.03;45362.90;-216.980;-288.119;66.5
0.628;1;C2B;Multimodal;-216.980;-288.119;0.02;46442.83;-216.980;-288.119;66.5
0.728;1;C2B;Multimodal;-216.980;-288.119;0.00;46897.94;-216.980;-288.119;66.5
0.828;1;C2B;Multimodal;-216.980;-288.119;0.00;46835.55;-216.980;-288.119;66.5
0.930;1;C2B;Multimodal;-216.980;-288.119;0.00;46637.89;-216.980;-288.119;66.5
1.030;1;C2B;Multimodal;-216.980;-288.119;0.00;46214.28;-216.980;-288.119;66.5
1.132;1;C2B;Multimodal;-216.980;-288.119;0.00;46198.71;-216.980;-288.119;66.5
1.232;1;C2B;Multimodal;-216.980;-288.119;0.00;46240.42;-216.980;-288.119;66.5
1.334;1;C2B;Multimodal;-216.980;-288.119;0.00;46242.21;-216.980;-288.119;66.5
1.436;1;C2B;Multimodal;-216.980;-288.119;0.00;46259.65;-216.980;-288.119;66.5
1.538;1;C2B;Multimodal;-216.980;-288.119;0.00;46235.55;-216.980;-288.119;66.5
1.638;1;C2B;Multimodal;-216.980;-288.119;0.00;46243.90;-216.980;-288.119;66.5
1.740;1;C2B;Multimodal;-216.980;-288.119;0.00;46265.09;-216.980;-288.119;66.5
1.842;1;C2B;Multimodal;-216.980;-288.119;0.00;46241.25;-216.980;-288.119;66.5
1.942;1;C2B;Multimodal;-216.980;-288.119;0.00;46262.27;-216.980;-288.119;66.5
2.044;1;C2B;Multimodal;-216.980;-288.119;0.00;46270.39;-216.980;-288.119;66.5
2.146;1;C2B;Multimodal;-216.980;-288.119;0.00;46231.91;-216.980;-288.119;66.5
2.248;1;C2B;Multimodal;-216.980;-288.119;0.00;46257.11;-216.980;-288.119;66.5
2.350;1;C2B;Multimodal;-216.980;-288.119;0.00;46272.91;-216.980;-288.119;66.5
2.452;1;C2B;Multimodal;-216.980;-288.119;0.00;46228.75;-216.980;-288.119;66.5
2.554;1;C2B;Multimodal;-216.980;-288.119;0.00;46261.86;-216.980;-288.119;66.5
2.656;1;C2B;Multimodal;-216.980;-288.119;0.00;46278.39;-216.980;-288.119;66.5
2.758;1;C2B;Multimodal;-216.980;-288.119;0.00;46233.92;-216.980;-288.119;66.5
2.860;1;C2B;Multimodal;-216.980;-288.119;0.00;46252.81;-216.980;-288.119;66.5
2.962;1;C2B;Multimodal;-216.980;-288.119;0.00;46271.66;-216.980;-288.119;66.5
3.064;1;C2B;Multimodal;-216.980;-288.119;0.00;46230.10;-216.980;-288.119;66.5
3.166;1;C2B;Multimodal;-216.980;-288.119;0.00;46231.07;-216.980;-288.119;66.5
3.266;1;C2B;Multimodal;-216.980;-288.119;0.00;46270.22;-216.980;-288.119;66.5
3.368;1;C2B;Multimodal;-216.980;-288.119;0.00;46235.13;-216.980;-288.119;66.5
3.470;1;C2B;Multimodal;-216.980;-288.119;0.00;46245.68;-216.980;-288.119;66.5
3.572;1;C2B;Multimodal;-216.980;-288.119;0.00;46268.90;-216.980;-288.119;66.5
3.674;1;C2B;Multimodal;-216.980;-288.119;0.00;46247.93;-216.980;-288.119;66.5
3.776;1;C2B;Multimodal;-216.980;-288.119;0.00;46246.84;-216.980;-288.119;66.5
3.878;1;C2B;Multimodal;-216.980;-288.119;0.00;46277.20;-216.980;-288.119;66.5
3.980;1;C2B;Multimodal;-216.980;-288.119;0.00;46229.76;-216.980;-288.119;66.5
4.080;1;C2B;Multimodal;-216.980;-288.119;0.00;46233.60;-216.980;-288.119;66.5
4.182;1;C2B;Multimodal;-216.980;-288.119;0.00;46288.42;-216.980;-288.119;66.5
4.284;1;C2B;Multimodal;-216.980;-288.119;0.00;46185.33;-216.980;-288.119;66.5
4.386;1;C2B;Multimodal;-216.980;-288.119;0.00;46248.47;-216.980;-288.119;66.5
4.488;1;C2B;Multimodal;-216.980;-288.119;0.00;46228.32;-216.980;-288.119;66.5
4.590;1;C2B;Multimodal;-216.980;-288.112;0.14;3170.04;-213.512;-112.951;66.4
4.692;1;C2B;Multimodal;-216.980;-288.079;0.52;999.91;-220.444;-112.943;66.5
4.794;1;C2B;Multimodal;-216.982;-288.002;0.96;516.70;-221.209;-112.910;66.7
4.896;1;C2B;Multimodal;-216.985;-287.878;1.44;350.95;-221.898;-112.849;67.0
4.998;1;C2B;Multimodal;-216.991;-287.709;1.88;268.92;-222.776;-112.770;67.4
5.100;1;C2B;Multimodal;-216.999;-287.496;2.31;220.22;-223.895;-112.673;67.9
5.202;1;C2B;Multimodal;-217.010;-287.239;2.72;186.25;-224.392;-112.528;68.4
5.304;1;C2B;Multimodal;-217.022;-286.938;3.16;159.86;-224.301;-112.322;68.8
5.406;1;C2B;Multimodal;-217.036;-286.594;3.57;140.44;-223.768;-112.083;69.0
5.508;1;C2B;Multimodal;-217.051;-286.208;3.99;125.90;-223.530;-111.831;69.1
5.610;1;C2B;Multimodal;-217.066;-285.780;4.40;114.08;-223.453;-111.541;69.3
5.712;1;C2B;Multimodal;-217.084;-285.311;4.81;105.23;-223.434;-111.248;69.4
5.814;1;C2B;Multimodal;-217.100;-284.800;5.19;95.32;-222.033;-110.860;69.1
5.914;1;C2B;Multimodal;-217.112;-284.261;5.57;86.94;-220.297;-110.475;68.6
6.016;1;C2B;Multimodal;-217.118;-283.671;5.95;78.81;-217.738;-110.076;67.8
6.118;1;C2B;Multimodal;-217.114;-283.043;6.33;71.61;-214.836;-109.701;66.9
6.220;1;C2B;Multimodal;-217.099;-282.377;6.72;66.09;-212.514;-109.359;66.2
6.322;1;C2B;Multimodal;-217.075;-281.674;7.07;61.12;-210.208;-109.006;65.6
6.424;1;C2B;Multimodal;-217.038;-280.934;7.43;56.34;-207.280;-108.703;64.7
6.526;1;C2B;Multimodal;-216.987;-280.159;7.77;52.57;-204.779;-108.431;64.0
6.628;1;C2B;Multimodal;-216.924;-279.350;8.13;49.39;-202.771;-108.103;63.7
6.730;1;C2B;Multimodal;-216.851;-278.506;8.47;47.25;-201.791;-107.724;63.9
6.832;1;C2B;Multimodal;-216.772;-277.628;8.79;45.48;-201.235;-107.263;64.2
6.934;1;C2B;Multimodal;-216.689;-276.718;9.12;44.14;-200.942;-106.798;64.5
7.036;1;C2B;Multimodal;-216.599;-275.775;9.43;42.61;-200.256;-106.299;64.4
7.138;1;C2B;Multimodal;-216.502;-274.801;9.74;41.06;-199.259;-105.814;64.2
7.240;1;C2B;Multimodal;-216.394;-273.797;10.03;39.46;-197.727;-105.421;63.7
7.342;1;C2B;Multimodal;-216.270;-272.763;10.34;37.50;-195.147;-105.136;62.6
7.444;1;C2B;Multimodal;-216.124;-271.704;10.63;35.43;-191.902;-104.979;61.4
7.546;1;C2B;Multimodal;-215.952;-270.619;10.89;33.34;-188.127;-104.947;60.2
7.648;1;C2B;Multimodal;-215.750;-269.513;11.16;31.31;-183.853;-105.132;58.6
7.750;1;C2B;Multimodal;-215.511;-268.386;11.40;29.26;-178.908;-105.561;56.9
7.852;1;C2B;Multimodal;-215.233;-267.243;11.65;27.38;-173.789;-106.208;55.2
7.954;1;C2B;Multimodal;-214.913;-266.085;11.89;25.70;-168.645;-107.053;53.5
8.054;1;C2B;Multimodal;-214.555;-264.940;12.10;24.04;-162.882;-108.276;51.4
8.156;1;C2B;Multimodal;-214.139;-263.765;12.33;22.49;-156.766;-109.876;49.2
8.256;1;C2B;Multimodal;-213.679;-262.610;12.53;21.09;-150.618;-111.786;47.0
8.358;1;C2B;Multimodal;-213.155;-261.434;12.71;19.83;-144.459;-114.007;44.9
8.460;1;C2B;Multimodal;-212.573;-260.263;12.90;18.62;-137.842;-116.781;42.3
8.560;1;C2B;Multimodal;-211.943;-259.128;13.06;17.53;-131.159;-120.005;39.6
8.660;1;C2B;Multimodal;-211.252;-258.009;13.23;16.56;-124.601;-123.600;36.9
8.762;1;C2B;Multimodal;-210.483;-256.891;13.39;15.65;-117.907;-127.745;34.3
8.862;1;C2B;Multimodal;-209.668;-255.821;13.53;14.83;-111.431;-132.255;31.6
8.962;1;C2B;Multimodal;-208.792;-254.781;13.66;14.11;-105.348;-136.996;29.0
9.064;1;C2B;Multimodal;-207.838;-253.753;13.81;13.46;-99.695;-141.882;26.7
9.164;1;C2B;Multimodal;-206.847;-252.780;13.96;12.88;-94.605;-146.735;24.6
9.264;1;C2B;Multimodal;-205.803;-251.840;14.12;12.37;-90.049;-151.504;22.5
9.366;1;C2B;Multimodal;-204.687;-250.917;14.27;11.90;-85.764;-156.418;20.4
9.466;1;C2B;Multimodal;-203.544;-250.051;14.41;11.48;-81.944;-161.217;18.3
9.568;1;C2B;Multimodal;-202.329;-249.210;14.55;11.09;-78.151;-166.455;15.7
9.670;1;C2B;Multimodal;-201.066;-248.417;14.67;10.72;-74.404;-172.195;12.9
9.770;1;C2B;Multimodal;-199.783;-247.691;14.80;10.37;-70.955;-178.090;10.5
9.870;1;C2B;Multimodal;-198.458;-247.016;14.93;10.07;-68.100;-183.535;8.5
9.972;1;C2B;Multimodal;-197.066;-246.380;15.07;9.78;-65.439;-189.218;6.3
10.072;1;C2B;Multimodal;-195.665;-245.809;15.19;9.53;-63.190;-194.630;4.2
10.172;1;C2B;Multimodal;-194.230;-245.289;15.34;9.29;-61.301;-199.764;2.6
10.274;1;C2B;Multimodal;-192.733;-244.811;15.47;9.08;-59.801;-204.369;1.8
10.374;1;C2B;Multimodal;-191.237;-244.389;15.61;8.86;-58.423;-209.191;-2.3
10.474;1;C2B;Multimodal;-189.714;-244.015;15.75;8.67;-57.355;-213.495;-3.6
10.576;1;C2B;Multimodal;-188.135;-243.681;15.89;8.48;-56.451;-217.720;-5.0
10.676;1;C2B;Multimodal;-186.564;-243.397;16.04;8.31;-55.780;-221.393;-6.2
10.776;1;C2B;Multimodal;-184.972;-243.152;16.18;8.15;-55.271;-224.657;-7.4
10.878;1;C2B;Multimodal;-183.328;-242.941;16.33;7.98;-54.887;-227.563;-8.1
10.978;1;C2B;Multimodal;-181.697;-242.762;16.47;7.82;-54.635;-229.774;-8.3
11.080;1;C2B;Multimodal;-180.017;-242.602;16.61;7.66;-54.469;-231.425;-8.6
11.182;1;C2B;Multimodal;-178.325;-242.461;16.66;7.53;-54.346;-232.755;-8.9
11.282;1;C2B;Multimodal;-176.663;-242.339;16.68;7.43;-54.261;-233.727;-9.1
11.382;1;C2B;Multimodal;-174.998;-242.228;16.68;7.34;-54.191;-234.558;-9.3
11.484;1;C2B;Multimodal;-173.299;-242.126;16.70;7.24;-54.123;-235.413;-9.9
11.584;1;C2B;Multimodal;-171.631;-242.040;16.71;7.15;-54.054;-236.348;-10.6
11.684;1;C2B;Multimodal;-169.962;-241.966;16.71;7.06;-53.991;-237.290;-11.3
11.786;1;C2B;Multimodal;-168.258;-241.907;16.72;6.97;-53.924;-238.445;-12.3
11.886;1;C2B;Multimodal;-166.585;-241.867;16.73;6.88;-53.865;-239.670;-13.4
11.986;1;C2B;Multimodal;-164.911;-241.845;16.75;6.80;-53.814;-240.909;-14.1
