Time;Trial;Scene;Modality;PosX;PosZ;Speed;TTC;PredCrashX;PredCrashZ;CrashAngle
13.042;2;T7B;Visual;-212.797;-261.022;0.22;58987.13;-210.037;-257.388;45.2
13.144;2;T7B;Visual;-212.797;-261.023;0.14;30746.79;-205.803;-251.982;45.2
13.246;2;T7B;Visual;-212.797;-261.023;0.02;25679.78;-212.797;-261.023;45.2
13.346;2;T7B;Visual;-212.797;-261.024;0.03;28070.43;-212.797;-261.024;45.2
13.446;2;T7B;Visual;-212.790;-261.015;0.23;1345.07;-110.169;-125.199;45.2
13.548;2;T7B;Visual;-212.765;-260.983;0.56;494.55;-108.648;-124.774;45.2
13.648;2;T7B;Visual;-212.720;-260.923;0.94;284.19;-109.957;-124.238;45.3
13.748;2;T7B;Visual;-212.650;-260.830;1.36;192.78;-109.582;-124.971;45.4
13.850;2;T7B;Visual;-212.552;-260.700;1.80;143.20;-110.843;-124.467;45.7
13.950;2;T7B;Visual;-212.431;-260.537;2.22;115.33;-111.688;-124.245;46.0
14.052;2;T7B;Visual;-212.283;-260.335;2.66;95.77;-112.615;-123.983;46.4
14.154;2;T7B;Visual;-212.111;-260.097;3.07;82.87;-113.572;-123.661;46.8
14.254;2;T7B;Visual;-211.919;-259.829;3.48;73.29;-114.620;-123.265;47.4
14.354;2;T7B;Visual;-211.705;-259.528;3.89;65.45;-115.037;-123.316;47.7
14.456;2;T7B;Visual;-211.463;-259.186;4.29;59.35;-115.619;-123.222;48.1
14.556;2;T7B;Visual;-211.204;-258.819;4.68;54.19;-115.701;-123.466;48.3
14.656;2;T7B;Visual;-210.923;-258.421;5.05;49.92;-115.775;-123.702;48.4
14.758;2;T7B;Visual;-210.613;-257.983;5.43;45.99;-115.315;-124.310;48.3
14.858;2;T7B;Visual;-210.284;-257.526;5.80;42.76;-114.769;-124.958;48.1
14.958;2;T7B;Visual;-209.932;-257.041;6.16;39.83;-114.160;-125.647;47.8
15.060;2;T7B;Visual;-209.547;-256.518;6.52;37.10;-113.025;-126.726;47.3
15.160;2;T7B;Visual;-209.142;-255.983;6.89;34.53;-111.225;-128.316;46.4
15.260;2;T7B;Visual;-208.704;-255.427;7.23;32.17;-108.786;-130.439;45.1
15.362;2;T7B;Visual;-208.222;-254.845;7.57;29.67;-105.291;-133.564;43.2
15.462;2;T7B;Visual;-207.710;-254.264;7.89;27.51;-101.669;-136.993;41.2
15.564;2;T7B;Visual;-207.147;-253.665;8.22;25.53;-97.882;-140.798;39.2
15.666;2;T7B;Visual;-206.539;-253.062;8.54;23.75;-94.125;-144.870;37.1
15.766;2;T7B;Visual;-205.899;-252.471;8.86;22.22;-90.581;-148.985;35.1
15.866;2;T7B;Visual;-205.216;-251.885;9.15;20.82;-87.077;-153.373;33.0
15.968;2;T7B;Visual;-204.475;-251.293;9.44;19.55;-83.879;-157.750;31.1
16.068;2;T7B;Visual;-203.707;-250.717;9.73;18.52;-81.468;-161.343;29.8
16.168;2;T7B;Visual;-202.900;-250.145;10.03;17.63;-79.678;-164.283;29.0
16.268;2;T7B;Visual;-202.059;-249.573;10.30;16.80;-78.207;-166.923;28.3
16.370;2;T7B;Visual;-201.166;-248.990;10.59;16.10;-77.032;-169.182;27.6
16.470;2;T7B;Visual;-200.256;-248.420;10.86;15.40;-75.736;-171.760;26.6
