Time;Trial;Scene;Modality;PosX;PosZ;Speed;TTC;PredCrashX;PredCrashZ;CrashAngle
28.620;3;C2A;Visual;-242.230;-80.120;0.22;46820.60;-237.235;-80.098;-7.7
28.720;3;C2A;Visual;-242.230;-80.120;0.15;26467.33;-230.178;-80.104;-7.7
28.820;3;C2A;Visual;-242.229;-80.120;0.08;3602.18;-242.230;-80.120;-7.7
28.920;3;C2A;Visual;-242.208;-80.120;0.36;640.59;-38.406;-78.628;-7.7
29.022;3;C2A;Visual;-242.149;-80.119;0.77;297.49;-38.102;-78.441;-7.7
29.122;3;C2A;Visual;-242.050;-80.119;1.17;186.12;-38.018;-78.208;-7.7
29.222;3;C2A;Visual;-241.912;-80.117;1.56;137.98;-38.026;-77.922;-7.6
29.324;3;C2A;Visual;-241.731;-80.115;1.95;108.50;-38.030;-77.540;-7.5
29.424;3;C2A;Visual;-241.515;-80.112;2.34;90.16;-38.031;-77.092;-7.4
29.524;3;C2A;Visual;-241.261;-80.108;2.72;77.44;-38.036;-76.582;-7.2
29.626;3;C2A;Visual;-240.964;-80.102;3.09;67.60;-38.044;-75.977;-7.0
29.726;3;C2A;Visual;-240.635;-80.094;3.46;60.03;-38.057;-75.302;-6.8
29.826;3;C2A;Visual;-240.270;-80.085;3.83;54.35;-38.069;-74.750;-6.6
29.928;3;C2A;Visual;-239.860;-80.075;4.19;49.41;-38.059;-75.031;-6.6
30.028;3;C2A;Visual;-239.424;-80.064;4.53;45.43;-38.053;-75.131;-6.6
30.128;3;C2A;Visual;-238.954;-80.052;4.87;42.24;-38.050;-75.171;-6.6
30.230;3;C2A;Visual;-238.439;-80.040;5.20;39.34;-38.046;-75.190;-6.7
30.330;3;C2A;Visual;-237.901;-80.027;5.53;36.79;-38.042;-75.197;-6.7
30.430;3;C2A;Visual;-237.331;-80.013;5.85;34.78;-38.037;-75.253;-6.7
30.532;3;C2A;Visual;-236.717;-80.000;6.17;32.83;-38.013;-76.182;-7.0
30.632;3;C2A;Visual;-236.084;-79.990;6.48;31.15;-37.991;-77.251;-7.5
30.732;3;C2A;Visual;-235.422;-79.983;6.74;29.81;-37.973;-78.368;-7.8
30.834;3;C2A;Visual;-234.719;-79.980;7.02;28.57;-37.961;-79.555;-8.3
30.934;3;C2A;Visual;-234.004;-79.980;7.28;27.42;-37.953;-79.943;-8.3
31.034;3;C2A;Visual;-233.263;-79.979;7.52;26.44;-37.947;-79.440;-8.0
31.136;3;C2A;Visual;-232.482;-79.974;7.77;25.47;-37.945;-78.522;-7.5
31.236;3;C2A;Visual;-231.693;-79.965;8.01;24.59;-37.950;-77.398;-7.1
31.336;3;C2A;Visual;-230.880;-79.953;8.25;23.78;-37.952;-76.856;-7.1
31.438;3;C2A;Visual;-230.027;-79.939;8.48;22.99;-37.950;-76.528;-7.1
31.538;3;C2A;Visual;-229.166;-79.923;8.71;22.29;-37.947;-76.356;-7.2
31.638;3;C2A;Visual;-228.284;-79.906;8.93;21.63;-37.942;-76.256;-7.2
31.740;3;C2A;Visual;-227.361;-79.888;9.16;20.99;-37.936;-76.196;-7.2
31.840;3;C2A;Visual;-226.433;-79.870;9.38;20.39;-37.930;-76.161;-7.3
31.940;3;C2A;Visual;-225.484;-79.851;9.60;19.85;-37.923;-76.139;-7.3
32.042;3;C2A;Visual;-224.494;-79.832;9.81;19.30;-37.916;-76.124;-7.3
32.142;3;C2A;Visual;-223.502;-79.812;10.01;18.81;-37.908;-76.114;-7.4
32.244;3;C2A;Visual;-222.469;-79.792;10.23;18.32;-37.900;-76.107;-7.4
32.346;3;C2A;Visual;-221.415;-79.772;10.44;17.84;-37.882;-76.620;-7.8
32.446;3;C2A;Visual;-220.361;-79.757;10.63;17.41;-37.859;-77.508;-8.4
32.548;3;C2A;Visual;-219.266;-79.748;10.83;17.01;-37.838;-78.628;-9.0
32.648;3;C2A;Visual;-218.173;-79.745;11.02;16.64;-37.823;-79.866;-9.5
32.750;3;C2A;Visual;-217.037;-79.751;11.22;16.26;-37.816;-81.267;-10.1
32.850;3;C2A;Visual;-215.906;-79.764;11.41;15.90;-37.811;-82.173;-10.3
32.952;3;C2A;Visual;-214.732;-79.782;11.59;15.56;-37.803;-82.738;-10.2
33.052;3;C2A;Visual;-213.564;-79.803;11.77;15.24;-37.792;-83.078;-10.3
33.154;3;C2A;Visual;-212.354;-79.825;11.94;14.91;-37.770;-82.843;-9.9
33.256;3;C2A;Visual;-211.127;-79.843;12.12;14.58;-37.741;-82.156;-9.3
33.356;3;C2A;Visual;-209.906;-79.855;12.28;14.29;-37.715;-81.233;-8.9
33.458;3;C2A;Visual;-208.645;-79.862;12.44;13.99;-37.694;-80.479;-8.8
33.558;3;C2A;Visual;-207.393;-79.865;12.60;13.71;-37.677;-79.986;-8.9
33.660;3;C2A;Visual;-206.099;-79.864;12.76;13.43;-37.660;-79.671;-9.0
33.760;3;C2A;Visual;-204.815;-79.862;12.91;13.18;-37.645;-79.493;-9.1
33.862;3;C2A;Visual;-203.490;-79.858;13.06;12.92;-37.627;-79.373;-9.2
33.964;3;C2A;Visual;-202.149;-79.854;13.21;12.67;-37.610;-79.304;-9.3
34.064;3;C2A;Visual;-200.820;-79.850;13.36;12.44;-37.593;-79.263;-9.4
34.166;3;C2A;Visual;-199.449;-79.844;13.51;12.20;-37.575;-79.237;-9.5
34.266;3;C2A;Visual;-198.091;-79.839;13.65;11.97;-37.557;-79.221;-9.6
34.368;3;C2A;Visual;-196.691;-79.834;13.79;11.75;-37.538;-79.213;-9.6
34.468;3;C2A;Visual;-195.304;-79.828;13.93;11.53;-37.518;-79.209;-9.7
34.570;3;C2A;Visual;-193.876;-79.823;14.07;11.31;-37.498;-79.209;-9.8
34.672;3;C2A;Visual;-192.434;-79.817;14.20;11.11;-37.477;-79.209;-9.9
34.772;3;C2A;Visual;-191.007;-79.811;14.33;10.93;-37.457;-79.211;-10.0
34.874;3;C2A;Visual;-189.540;-79.806;14.43;10.74;-37.434;-79.215;-10.1
34.974;3;C2A;Visual;-188.091;-79.800;14.53;10.56;-37.412;-79.218;-10.2
35.076;3;C2A;Visual;-186.606;-79.794;14.58;10.42;-37.389;-79.221;-10.3
35.176;3;C2A;Visual;-185.147;-79.788;14.60;10.31;-37.366;-79.222;-10.4
35.278;3;C2A;Visual;-183.658;-79.782;14.60;10.21;-37.341;-79.222;-10.5
35.378;3;C2A;Visual;-182.199;-79.777;14.59;10.12;-37.317;-79.221;-10.6
35.480;3;C2A;Visual;-180.712;-79.771;14.57;10.03;-37.293;-79.221;-10.7
35.582;3;C2A;Visual;-179.226;-79.765;14.56;9.94;-37.267;-79.223;-10.8
35.682;3;C2A;Visual;-177.770;-79.759;14.55;9.85;-37.242;-79.225;-10.9
35.784;3;C2A;Visual;-176.286;-79.754;14.54;9.76;-37.215;-79.228;-11.0
35.884;3;C2A;Visual;-174.833;-79.749;14.53;9.67;-37.188;-79.230;-11.1
35.986;3;C2A;Visual;-173.351;-79.743;14.53;9.58;-37.161;-79.232;-11.2
36.086;3;C2A;Visual;-171.900;-79.738;14.51;9.49;-37.133;-79.233;-11.3
36.188;3;C2A;Visual;-170.421;-79.732;14.50;9.39;-37.103;-79.235;-11.5
36.290;3;C2A;Visual;-168.942;-79.727;14.49;9.31;-37.075;-79.237;-11.6
36.390;3;C2A;Visual;-167.494;-79.722;14.48;9.22;-37.047;-79.238;-11.7
36.492;3;C2A;Visual;-166.017;-79.716;14.47;9.13;-37.015;-79.239;-11.9
36.592;3;C2A;Visual;-164.571;-79.711;14.46;9.04;-36.984;-79.241;-12.0
36.694;3;C2A;Visual;-163.096;-79.705;14.45;8.94;-36.950;-79.241;-12.1
36.794;3;C2A;Visual;-161.652;-79.700;14.43;8.85;-36.918;-79.241;-12.3
36.896;3;C2A;Visual;-160.180;-79.695;14.43;8.76;-36.885;-79.242;-12.4
36.996;3;C2A;Visual;-158.737;-79.689;14.42;8.67;-36.851;-79.242;-12.5
37.098;3;C2A;Visual;-157.267;-79.684;14.40;8.58;-36.815;-79.242;-12.7
37.200;3;C2A;Visual;-155.798;-79.678;14.40;8.49;-36.779;-79.242;-12.9
37.300;3;C2A;Visual;-154.359;-79.673;14.39;8.41;-36.745;-79.243;-13.0
37.402;3;C2A;Visual;-152.892;-79.668;14.37;8.31;-36.705;-79.244;-13.2
37.502;3;C2A;Visual;-151.455;-79.662;14.37;8.23;-36.667;-79.245;-13.3
37.604;3;C2A;Visual;-149.991;-79.657;14.35;8.14;-36.628;-79.246;-13.5
37.704;3;C2A;Visual;-148.557;-79.651;14.33;8.05;-36.588;-79.247;-13.7
37.806;3;C2A;Visual;-147.096;-79.646;14.32;7.96;-36.548;-79.249;-13.9
37.908;3;C2A;Visual;-145.636;-79.641;14.30;7.87;-36.503;-79.251;-14.0
38.008;3;C2A;Visual;-144.208;-79.636;14.24;7.81;-36.460;-79.253;-14.2
38.110;3;C2A;Visual;-142.764;-79.631;14.06;7.80;-36.418;-79.254;-14.4
38.210;3;C2A;Visual;-141.367;-79.627;13.89;7.81;-36.372;-79.442;-15.0
38.312;3;C2A;Visual;-139.961;-79.632;13.70;7.84;-36.327;-80.306;-16.7
38.412;3;C2A;Visual;-138.602;-79.653;13.51;7.89;-36.297;-81.997;-19.2
38.514;3;C2A;Visual;-137.235;-79.701;13.31;7.97;-36.314;-84.283;-21.6
38.614;3;C2A;Visual;-135.917;-79.781;13.11;8.08;-36.403;-86.978;-24.0
38.716;3;C2A;Visual;-134.596;-79.901;12.90;8.22;-36.591;-90.113;-26.5
38.818;3;C2A;Visual;-133.302;-80.062;12.68;8.40;-36.908;-93.601;-29.1
38.918;3;C2A;Visual;-132.060;-80.261;12.47;8.61;-37.326;-97.017;-31.6
39.020;3;C2A;Visual;-130.822;-80.506;12.26;8.85;-37.848;-100.421;-34.0
