Time;Trial;Scene;Modality;PosX;PosZ;Speed;TTC;PredCrashX;PredCrashZ;CrashAngle
0.138;1;T7D;Audio;144.210;-239.576;0.21;30971.96;138.876;-239.512;-1.2
0.240;1;T7D;Audio;144.210;-239.576;0.11;19747.54;129.985;-239.539;-1.2
0.342;1;T7D;Audio;144.211;-239.576;0.01;17757.94;144.211;-239.576;-1.3
0.442;1;T7D;Audio;144.211;-239.576;0.03;17663.27;144.211;-239.576;-1.3
0.542;1;T7D;Audio;144.212;-239.576;0.03;17946.45;144.212;-239.576;-1.3
0.644;1;T7D;Audio;144.212;-239.576;0.01;18051.89;144.212;-239.576;-1.3
0.746;1;T7D;Audio;144.212;-239.576;0.01;17989.25;144.212;-239.576;-1.3
0.848;1;T7D;Audio;144.213;-239.576;0.01;17887.56;144.213;-239.576;-1.3
0.948;1;T7D;Audio;144.213;-239.576;0.00;17797.04;144.213;-239.576;-1.3
1.048;1;T7D;Audio;144.213;-239.576;0.00;17746.66;144.213;-239.576;-1.3
1.150;1;T7D;Audio;144.213;-239.576;0.00;17713.93;144.213;-239.576;-1.3
1.252;1;T7D;Audio;144.212;-239.576;0.08;2544.09;144.212;-239.576;-1.2
1.352;1;T7D;Audio;144.193;-239.576;0.35;557.27;-22.913;-239.625;-1.3
1.454;1;T7D;Audio;144.132;-239.576;0.81;235.09;-22.515;-239.630;-1.6
1.556;1;T7D;Audio;144.025;-239.576;1.26;140.02;-22.086;-239.636;-1.9
1.656;1;T7D;Audio;143.876;-239.576;1.70;102.60;-21.699;-239.637;-2.1
1.758;1;T7D;Audio;143.679;-239.576;2.14;80.36;-21.292;-239.639;-2.2
1.860;1;T7D;Audio;143.438;-239.576;2.57;65.87;-20.876;-239.645;-2.2
1.962;1;T7D;Audio;143.152;-239.576;3.00;56.33;-20.489;-239.651;-2.2
2.064;1;T7D;Audio;142.824;-239.576;3.42;48.97;-20.081;-239.312;-2.2
2.166;1;T7D;Audio;142.452;-239.574;3.84;43.23;-19.665;-238.459;-2.3
2.268;1;T7D;Audio;142.039;-239.570;4.25;38.85;-19.259;-237.764;-2.5
2.370;1;T7D;Audio;141.584;-239.564;4.65;35.15;-18.832;-237.048;-2.6
2.472;1;T7D;Audio;141.089;-239.554;5.05;32.09;-18.405;-236.303;-2.9
2.574;1;T7D;Audio;140.552;-239.541;5.43;29.66;-17.986;-235.290;-3.2
2.676;1;T7D;Audio;139.977;-239.522;5.83;27.49;-17.536;-233.940;-3.7
2.778;1;T7D;Audio;139.362;-239.499;6.22;25.54;-17.084;-233.233;-4.0
2.880;1;T7D;Audio;138.708;-239.472;6.60;23.93;-16.683;-233.064;-4.0
2.980;1;T7D;Audio;138.029;-239.444;6.96;22.55;-16.301;-233.218;-3.9
3.082;1;T7D;Audio;137.301;-239.417;7.33;21.16;-15.907;-234.192;-3.4
3.184;1;T7D;Audio;136.534;-239.396;7.68;20.03;-15.571;-235.932;-2.7
3.286;1;T7D;Audio;135.730;-239.386;8.05;18.94;-15.180;-238.587;-2.0
3.388;1;T7D;Audio;134.890;-239.391;8.40;17.99;-14.763;-241.203;2.1
3.490;1;T7D;Audio;134.015;-239.409;8.75;17.12;-14.311;-243.505;2.5
3.592;1;T7D;Audio;133.106;-239.442;9.09;16.36;-13.852;-245.449;3.0
3.694;1;T7D;Audio;132.162;-239.486;9.43;15.59;-13.362;-246.833;3.3
3.796;1;T7D;Audio;131.184;-239.538;9.77;14.94;-12.942;-247.477;3.2
3.898;1;T7D;Audio;130.172;-239.595;10.09;14.30;-12.523;-247.675;3.1
4.000;1;T7D;Audio;129.127;-239.653;10.42;13.70;-12.113;-247.458;2.8
4.100;1;T7D;Audio;128.070;-239.711;10.74;13.14;-11.714;-247.313;2.8
4.202;1;T7D;Audio;126.959;-239.771;11.06;12.62;-11.315;-247.218;2.8
4.304;1;T7D;Audio;125.816;-239.832;11.37;12.13;-10.907;-247.157;2.8
4.406;1;T7D;Audio;124.641;-239.895;11.68;11.69;-10.522;-247.116;2.8
4.508;1;T7D;Audio;123.435;-239.959;11.99;11.24;-10.105;-247.084;2.8
