Time;Trial;Scene;Modality;PosX;PosZ;Speed;TTC;PredCrashX;PredCrashZ;CrashAngle
16.350;2;C2D;Visual;169.700;-240.300;0.18;30854.26;159.367;-240.237;-5.5
16.450;2;C2D;Visual;169.700;-240.300;0.07;24553.38;169.700;-240.300;-5.6
16.550;2;C2D;Visual;169.701;-240.300;0.01;23775.43;169.701;-240.300;-5.6
16.650;2;C2D;Visual;169.701;-240.300;0.03;25369.69;169.701;-240.300;-5.6
16.752;2;C2D;Visual;169.688;-240.300;0.24;1059.65;-57.284;-233.943;-5.6
16.852;2;C2D;Visual;169.643;-240.299;0.63;413.63;-57.880;-234.968;-5.7
16.952;2;C2D;Visual;169.560;-240.297;1.00;248.92;-57.846;-234.322;-6.0
17.054;2;C2D;Visual;169.439;-240.293;1.35;177.78;-57.829;-233.399;-6.3
17.154;2;C2D;Visual;169.286;-240.287;1.70;139.88;-57.736;-230.586;-6.7
17.254;2;C2D;Visual;169.099;-240.279;2.02;116.71;-57.724;-230.203;-7.1
17.356;2;C2D;Visual;168.875;-240.270;2.35;99.97;-57.790;-231.743;-7.4
17.456;2;C2D;Visual;168.623;-240.261;2.66;87.77;-57.839;-233.074;-7.4
17.556;2;C2D;Visual;168.341;-240.253;2.97;78.61;-57.853;-233.453;-7.4
17.658;2;C2D;Visual;168.023;-240.242;3.26;70.96;-57.816;-232.230;-7.6
17.758;2;C2D;Visual;167.681;-240.229;3.55;65.18;-57.783;-231.271;-7.8
17.858;2;C2D;Visual;167.311;-240.213;3.84;60.21;-57.748;-230.342;-8.1
17.960;2;C2D;Visual;166.906;-240.194;4.11;55.94;-57.707;-229.353;-8.4
18.060;2;C2D;Visual;166.481;-240.171;4.38;52.47;-57.598;-227.205;-8.9
18.160;2;C2D;Visual;166.030;-240.145;4.65;49.35;-57.599;-227.135;-9.1
18.262;2;C2D;Visual;165.543;-240.118;4.90;46.66;-57.663;-228.177;-8.9
18.362;2;C2D;Visual;165.039;-240.094;5.15;44.10;-57.777;-230.418;-8.3
18.462;2;C2D;Visual;164.511;-240.073;5.41;41.98;-57.838;-231.795;-7.9
18.564;2;C2D;Visual;163.947;-240.053;5.65;40.02;-57.859;-232.239;-7.8
18.664;2;C2D;Visual;163.370;-240.033;5.89;38.30;-57.869;-232.380;-7.8
18.766;2;C2D;Visual;162.757;-240.012;6.11;36.76;-57.877;-232.447;-7.8
18.866;2;C2D;Visual;162.134;-239.990;6.34;35.30;-57.884;-232.481;-7.9
18.966;2;C2D;Visual;161.489;-239.968;6.57;34.00;-57.890;-232.497;-7.9
19.068;2;C2D;Visual;160.808;-239.945;6.79;32.80;-57.897;-232.503;-7.9
19.168;2;C2D;Visual;160.119;-239.922;6.99;31.71;-57.903;-232.507;-7.9
19.268;2;C2D;Visual;159.406;-239.898;7.25;30.50;-57.910;-232.509;-8.0
19.370;2;C2D;Visual;158.651;-239.872;7.56;29.20;-57.917;-232.509;-8.0
19.470;2;C2D;Visual;157.879;-239.846;7.88;27.91;-57.924;-232.508;-8.0
19.570;2;C2D;Visual;157.075;-239.818;8.20;26.71;-57.932;-232.508;-8.1
