Time;Trial;Scene;Modality;PosX;PosZ;Speed;TTC;PredCrashX;PredCrashZ;CrashAngle
37.696;3;L2D;Control;169.700;-240.300;0.13;171382.30;-69.650;-240.956;100.6
37.798;3;L2D;Control;169.701;-240.300;0.02;171382.30;-69.650;-240.956;100.6
37.898;3;L2D;Control;169.700;-240.300;0.07;1106.20;169.700;-240.300;97.1
38.000;3;L2D;Control;169.682;-240.300;0.31;3764.17;169.699;-240.300;96.6
38.100;3;L2D;Control;169.634;-240.300;0.65;3764.17;169.699;-240.300;96.6
38.202;3;L2D;Control;169.547;-240.301;1.02;159.29;166.649;-240.328;88.2
38.304;3;L2D;Control;169.423;-240.302;1.38;31.30;166.508;-240.333;85.1
38.404;3;L2D;Control;169.265;-240.304;1.75;15.26;166.342;-240.340;82.5
38.506;3;L2D;Control;169.068;-240.307;2.10;9.13;166.127;-240.348;79.8
38.606;3;L2D;Control;168.841;-240.311;2.43;6.09;165.854;-240.360;77.0
38.708;3;L2D;Control;168.573;-240.315;2.79;4.51;165.554;-240.374;74.5
38.808;3;L2D;Control;168.278;-240.322;3.11;3.53;165.214;-240.390;72.2
38.910;3;L2D;Control;167.943;-240.330;3.44;2.86;164.827;-240.406;69.9
39.012;3;L2D;Control;167.574;-240.339;3.77;2.37;164.401;-240.410;67.5
39.112;3;L2D;Control;167.180;-240.347;4.08;2.02;163.937;-240.419;65.2
39.214;3;L2D;Control;166.747;-240.357;4.40;1.78;163.466;-240.428;63.2
39.314;3;L2D;Control;166.291;-240.367;4.70;1.58;162.921;-240.440;61.1
39.416;3;L2D;Control;165.795;-240.377;5.01;1.43;162.362;-240.449;59.2
39.516;3;L2D;Control;165.278;-240.386;5.30;1.29;161.747;-240.442;57.1
39.618;3;L2D;Control;164.721;-240.393;5.60;1.18;161.114;-240.431;55.0
39.718;3;L2D;Control;164.146;-240.397;5.88;1.10;160.478;-240.415;53.1
39.820;3;L2D;Control;163.530;-240.398;6.16;1.02;159.788;-240.395;51.1
39.922;3;L2D;Control;162.886;-240.395;6.44;0.96;159.087;-240.371;49.3
40.022;3;L2D;Control;162.229;-240.390;6.70;0.91;158.346;-240.359;47.9
40.124;3;L2D;Control;161.531;-240.384;6.96;0.86;157.594;-240.349;46.6
40.224;3;L2D;Control;160.822;-240.378;7.21;0.83;156.818;-240.340;45.3
40.326;3;L2D;Control;160.073;-240.371;7.46;0.80;155.971;-240.331;44.1
40.426;3;L2D;Control;159.314;-240.363;7.71;0.77;155.167;-240.322;43.1
40.528;3;L2D;Control;158.515;-240.355;7.94;0.74;154.325;-240.314;42.2
40.630;3;L2D;Control;157.692;-240.347;8.19;0.72;153.412;-240.304;41.3
40.730;3;L2D;Control;156.860;-240.338;8.42;0.70;152.566;-240.295;40.5
40.832;3;L2D;Control;155.989;-240.330;8.66;0.68;151.613;-240.285;39.8
40.932;3;L2D;Control;155.111;-240.321;8.89;0.66;150.696;-240.276;39.2
41.034;3;L2D;Control;154.193;-240.311;9.11;0.64;149.762;-240.266;38.6
41.134;3;L2D;Control;153.270;-240.302;9.34;0.63;148.813;-240.256;38.2
41.236;3;L2D;Control;152.305;-240.292;9.56;0.61;147.827;-240.246;37.8
41.336;3;L2D;Control;151.338;-240.282;9.77;0.60;146.864;-240.236;37.5
41.438;3;L2D;Control;150.330;-240.272;9.99;0.59;145.805;-240.225;37.2
41.540;3;L2D;Control;149.299;-240.261;10.21;0.57;144.768;-240.214;36.9
41.640;3;L2D;Control;148.268;-240.250;10.41;0.56;143.734;-240.203;36.7
41.742;3;L2D;Control;147.195;-240.240;10.61;0.55;142.662;-240.192;36.5
41.842;3;L2D;Control;146.123;-240.228;10.81;0.54;141.637;-240.181;36.4
41.944;3;L2D;Control;145.008;-240.217;11.02;0.52;140.529;-240.170;36.3
42.044;3;L2D;Control;143.897;-240.205;11.22;0.51;139.404;-240.158;36.2
42.146;3;L2D;Control;142.743;-240.193;11.40;0.50;138.260;-240.146;36.0
42.248;3;L2D;Control;141.570;-240.180;11.60;0.49;137.098;-240.133;35.9
42.348;3;L2D;Control;140.401;-240.167;11.78;0.48;135.918;-240.120;35.9
42.450;3;L2D;Control;139.190;-240.154;11.96;0.47;134.767;-240.107;35.8
42.550;3;L2D;Control;137.984;-240.141;12.14;0.47;133.551;-240.094;35.7
42.652;3;L2D;Control;136.736;-240.128;12.33;0.46;132.341;-240.081;35.6
42.752;3;L2D;Control;135.494;-240.115;12.50;0.45;131.088;-240.067;35.5
42.854;3;L2D;Control;134.209;-240.101;12.68;0.44;129.819;-240.053;35.4
42.956;3;L2D;Control;132.907;-240.087;12.84;0.43;128.506;-240.039;35.3
43.056;3;L2D;Control;131.615;-240.073;13.00;0.43;127.279;-240.026;35.2
43.158;3;L2D;Control;130.280;-240.059;13.15;0.42;126.011;-240.012;35.1
43.258;3;L2D;Control;128.957;-240.044;13.31;0.41;124.624;-239.997;35.0
43.360;3;L2D;Control;127.592;-240.029;13.43;0.41;123.248;-239.982;34.9
43.460;3;L2D;Control;126.247;-240.015;13.47;0.40;121.941;-239.967;34.8
43.562;3;L2D;Control;124.873;-240.000;13.47;0.40;120.552;-239.952;34.7
43.662;3;L2D;Control;123.527;-239.985;13.46;0.40;119.269;-239.938;34.5
43.764;3;L2D;Control;122.155;-239.971;13.45;0.40;117.907;-239.924;34.4
43.866;3;L2D;Control;120.783;-239.956;13.45;0.40;116.544;-239.909;34.2
43.966;3;L2D;Control;119.438;-239.941;13.44;0.40;115.155;-239.894;34.1
44.068;3;L2D;Control;118.068;-239.927;13.44;0.39;113.847;-239.880;33.9
44.168;3;L2D;Control;116.724;-239.911;13.43;0.39;112.459;-239.864;33.7
44.270;3;L2D;Control;115.355;-239.895;13.43;0.39;111.125;-239.848;33.5
44.370;3;L2D;Control;114.012;-239.879;13.42;0.39;109.819;-239.833;33.4
44.472;3;L2D;Control;112.644;-239.864;13.41;0.39;108.432;-239.817;33.2
44.574;3;L2D;Control;111.276;-239.848;13.41;0.39;107.072;-239.801;33.0
44.674;3;L2D;Control;109.935;-239.833;13.41;0.39;105.740;-239.786;32.8
44.776;3;L2D;Control;108.567;-239.818;13.41;0.38;104.407;-239.771;32.6
44.876;3;L2D;Control;107.225;-239.802;13.42;0.38;103.020;-239.755;32.5
44.978;3;L2D;Control;105.855;-239.787;13.44;0.38;101.685;-239.740;32.3
45.078;3;L2D;Control;104.509;-239.771;13.47;0.38;100.402;-239.725;32.1
45.180;3;L2D;Control;103.134;-239.756;13.50;0.38;98.955;-239.708;31.9
45.280;3;L2D;Control;101.783;-239.741;13.52;0.37;97.694;-239.694;31.8
45.382;3;L2D;Control;100.402;-239.725;13.55;0.37;96.241;-239.679;31.6
45.484;3;L2D;Control;99.019;-239.711;13.57;0.37;94.893;-239.675;32.0
45.584;3;L2D;Control;97.660;-239.703;13.60;0.37;93.540;-239.685;32.5
45.686;3;L2D;Control;96.272;-239.702;13.61;0.37;92.208;-239.709;33.1
45.786;3;L2D;Control;94.910;-239.710;13.63;0.37;90.760;-239.750;33.9
45.888;3;L2D;Control;93.519;-239.730;13.64;0.38;89.415;-239.802;34.7
45.988;3;L2D;Control;92.153;-239.759;13.66;0.38;88.064;-239.856;35.1
46.090;3;L2D;Control;90.759;-239.796;13.68;0.38;86.596;-239.915;35.5
46.192;3;L2D;Control;89.363;-239.838;13.70;0.39;85.151;-239.972;36.0
46.292;3;L2D;Control;87.994;-239.883;13.71;0.39;83.785;-240.025;36.4
46.394;3;L2D;Control;86.596;-239.931;13.73;0.40;82.333;-240.081;37.0
46.494;3;L2D;Control;85.224;-239.980;13.74;0.40;80.962;-240.135;37.5
46.596;3;L2D;Control;83.822;-240.032;13.76;0.41;79.560;-240.189;38.0
46.696;3;L2D;Control;82.447;-240.083;13.77;0.41;78.156;-240.242;38.6
46.798;3;L2D;Control;81.042;-240.133;13.79;0.42;76.694;-240.286;38.6
46.898;3;L2D;Control;79.663;-240.178;13.80;0.42;75.316;-240.314;38.5
47.000;3;L2D;Control;78.255;-240.217;13.81;0.43;73.857;-240.327;38.2
47.102;3;L2D;Control;76.846;-240.246;13.82;0.43;72.486;-240.324;37.9
47.202;3;L2D;Control;75.463;-240.264;13.83;0.42;71.093;-240.306;37.5
47.304;3;L2D;Control;74.052;-240.270;13.83;0.42;69.623;-240.272;37.0
47.404;3;L2D;Control;72.669;-240.265;13.84;0.42;68.243;-240.237;36.8
47.506;3;L2D;Control;71.257;-240.253;13.84;0.42;66.867;-240.203;36.8
47.606;3;L2D;Control;69.874;-240.234;13.84;0.41;65.440;-240.169;36.6
47.708;3;L2D;Control;68.462;-240.212;13.84;0.41;64.097;-240.138;36.5
47.810;3;L2D;Control;67.050;-240.187;13.85;0.41;62.728;-240.106;36.2
47.910;3;L2D;Control;65.666;-240.160;13.85;0.40;61.277;-240.073;36.0
48.012;3;L2D;Control;64.253;-240.131;13.85;0.40;59.936;-240.043;35.7
48.112;3;L2D;Control;62.868;-240.103;13.86;0.40;58.514;-240.011;35.4
48.214;3;L2D;Control;61.455;-240.072;13.86;0.39;57.146;-239.980;35.0
48.314;3;L2D;Control;60.069;-240.043;13.86;0.39;55.750;-239.948;34.7
48.416;3;L2D;Control;58.656;-240.011;13.86;0.39;54.409;-239.918;34.4
48.518;3;L2D;Control;57.242;-239.980;13.87;0.38;52.958;-239.885;34.0
48.618;3;L2D;Control;55.855;-239.950;13.87;0.38;51.589;-239.855;33.7
48.720;3;L2D;Control;54.441;-239.918;13.87;0.38;50.192;-239.823;33.3
48.820;3;L2D;Control;53.054;-239.886;13.88;0.37;48.878;-239.792;33.0
48.922;3;L2D;Control;51.639;-239.853;13.88;0.37;47.426;-239.758;32.6
49.022;3;L2D;Control;50.251;-239.822;13.88;0.37;46.110;-239.729;32.2
49.124;3;L2D;Control;48.836;-239.790;13.88;0.37;44.684;-239.696;31.9
49.224;3;L2D;Control;47.448;-239.759;13.88;0.36;43.313;-239.665;31.5
49.326;3;L2D;Control;46.032;-239.727;13.89;0.36;41.941;-239.634;31.1
49.428;3;L2D;Control;44.616;-239.695;13.89;0.36;40.514;-239.602;30.7
49.528;3;L2D;Control;43.227;-239.664;13.89;0.35;39.114;-239.570;30.3
49.630;3;L2D;Control;41.811;-239.632;13.89;0.35;37.741;-239.540;30.0
49.730;3;L2D;Control;40.421;-239.602;13.90;0.35;36.421;-239.520;30.1
49.832;3;L2D;Control;39.004;-239.577;13.90;0.35;34.989;-239.512;30.4
49.932;3;L2D;Control;37.615;-239.559;13.89;0.35;33.608;-239.519;30.8
50.034;3;L2D;Control;36.198;-239.552;13.89;0.35;32.140;-239.543;31.4
50.136;3;L2D;Control;34.782;-239.555;13.88;0.34;30.822;-239.578;30.9
50.236;3;L2D;Control;33.395;-239.569;13.87;0.34;29.476;-239.618;29.9
50.338;3;L2D;Control;31.981;-239.590;13.86;0.33;28.098;-239.658;28.8
50.438;3;L2D;Control;30.596;-239.617;13.85;0.33;26.744;-239.697;27.8
50.540;3;L2D;Control;29.184;-239.648;13.83;0.32;25.387;-239.736;26.8
50.640;3;L2D;Control;27.813;-239.681;13.62;0.32;23.975;-239.776;25.7
50.742;3;L2D;Control;26.485;-239.715;12.61;0.35;22.596;-239.815;24.2
50.842;3;L2D;Control;25.268;-239.746;11.80;0.38;21.224;-239.855;22.4
50.944;3;L2D;Control;24.108;-239.778;10.99;0.42;19.881;-239.896;20.4
51.046;3;L2D;Control;23.031;-239.809;10.18;0.48;18.538;-239.940;18.2
51.146;3;L2D;Control;22.055;-239.838;9.40;0.55;17.166;-239.987;16.1
51.248;3;L2D;Control;21.138;-239.867;8.61;0.65;15.817;-240.036;14.1
51.348;3;L2D;Control;20.318;-239.893;7.85;0.77;14.437;-240.088;12.2
51.450;3;L2D;Control;19.560;-239.919;7.07;0.94;13.080;-240.141;10.6
51.550;3;L2D;Control;18.893;-239.942;6.32;1.15;11.718;-240.196;9.2
51.652;3;L2D;Control;18.289;-239.963;5.56;1.44;10.324;-240.224;7.6
51.754;3;L2D;Control;17.763;-239.978;4.82;1.83;8.954;-240.230;6.2
51.854;3;L2D;Control;17.292;-239.990;4.69;2.11;7.498;-240.205;4.8
51.956;3;L2D;Control;16.818;-239.998;4.63;2.32;6.176;-240.166;3.7
52.056;3;L2D;Control;16.353;-240.004;4.67;2.51;4.743;-240.113;2.7
52.158;3;L2D;Control;15.872;-240.007;4.75;2.66;3.335;-240.048;1.9
52.258;3;L2D;Control;15.391;-240.006;4.86;2.78;2.036;-239.978;1.4
52.360;3;L2D;Control;14.890;-240.003;4.97;2.91;0.516;-239.882;-1.2
52.460;3;L2D;Control;14.389;-239.997;5.05;3.03;-0.812;-239.785;-1.5
52.562;3;L2D;Control;13.874;-239.988;5.05;3.21;-2.278;-239.663;-2.0
52.664;3;L2D;Control;13.364;-239.976;4.97;3.42;-3.605;-239.537;-2.2
52.764;3;L2D;Control;12.871;-239.961;4.90;3.65;-5.042;-239.384;-2.5
