Time;Trial;Scene;Modality;PosX;PosZ;Speed;TTC;PredCrashX;PredCrashZ;CrashAngle
52.988;4;C2B;Audio;-216.980;-288.121;0.17;66912.93;-216.965;-278.853;66.5
53.090;4;C2B;Audio;-216.980;-288.120;0.05;48166.73;-216.980;-288.120;66.5
53.192;4;C2B;Audio;-216.980;-288.120;0.02;44512.88;-216.980;-288.120;66.5
53.292;4;C2B;Audio;-216.980;-288.115;0.10;4852.48;-216.980;-288.115;66.5
53.394;4;C2B;Audio;-216.980;-288.090;0.41;1229.32;-215.697;-112.989;66.4
53.494;4;C2B;Audio;-216.979;-288.029;0.79;597.60;-215.546;-112.881;66.4
53.596;4;C2B;Audio;-216.979;-287.927;1.17;386.31;-215.342;-112.829;66.4
53.696;4;C2B;Audio;-216.977;-287.790;1.54;292.28;-215.097;-112.747;66.3
53.798;4;C2B;Audio;-216.975;-287.612;1.92;232.62;-214.775;-112.642;66.2
53.900;4;C2B;Audio;-216.972;-287.397;2.29;192.74;-214.379;-112.517;66.2
54.000;4;C2B;Audio;-216.968;-287.150;2.62;165.55;-213.934;-112.378;66.1
54.102;4;C2B;Audio;-216.962;-286.863;2.99;144.96;-213.416;-112.219;65.9
54.202;4;C2B;Audio;-216.955;-286.545;3.33;128.98;-212.837;-112.042;65.8
54.304;4;C2B;Audio;-216.946;-286.187;3.66;116.18;-212.199;-111.848;65.7
54.404;4;C2B;Audio;-216.936;-285.802;4.01;107.01;-212.372;-111.617;65.7
54.506;4;C2B;Audio;-216.927;-285.375;4.35;101.37;-214.081;-111.328;66.2
54.608;4;C2B;Audio;-216.923;-284.915;4.67;98.30;-216.631;-111.036;67.2
54.708;4;C2B;Audio;-216.926;-284.433;4.96;95.05;-218.585;-110.732;68.1
54.810;4;C2B;Audio;-216.933;-283.911;5.27;91.48;-219.675;-110.416;68.7
54.910;4;C2B;Audio;-216.943;-283.370;5.56;87.59;-219.959;-110.082;68.9
55.012;4;C2B;Audio;-216.953;-282.787;5.85;83.72;-220.045;-109.703;69.1
55.112;4;C2B;Audio;-216.963;-282.187;6.13;79.81;-219.489;-109.323;69.1
55.214;4;C2B;Audio;-216.970;-281.546;6.42;75.61;-218.576;-108.885;68.9
55.316;4;C2B;Audio;-216.974;-280.875;6.71;71.88;-217.580;-108.450;68.7
55.416;4;C2B;Audio;-216.973;-280.189;6.97;68.01;-215.987;-108.024;68.2
55.518;4;C2B;Audio;-216.963;-279.462;7.25;63.94;-213.905;-107.582;67.6
55.618;4;C2B;Audio;-216.943;-278.723;7.53;59.81;-211.158;-107.194;66.7
55.720;4;C2B;Audio;-216.908;-277.942;7.78;55.83;-208.000;-106.873;65.6
55.820;4;C2B;Audio;-216.857;-277.152;8.03;51.90;-204.395;-106.610;64.5
55.922;4;C2B;Audio;-216.786;-276.321;8.29;48.44;-200.773;-106.438;63.4
56.022;4;C2B;Audio;-216.696;-275.483;8.54;45.35;-197.126;-106.354;62.3
56.124;4;C2B;Audio;-216.583;-274.605;8.79;42.58;-193.621;-106.288;61.4
56.226;4;C2B;Audio;-216.451;-273.706;9.03;40.32;-190.612;-106.233;60.7
56.326;4;C2B;Audio;-216.303;-272.802;9.26;38.41;-187.864;-106.202;60.1
56.428;4;C2B;Audio;-216.133;-271.860;9.50;36.57;-185.013;-106.201;59.4
56.528;4;C2B;Audio;-215.946;-270.918;9.73;34.79;-181.862;-106.329;58.4
56.630;4;C2B;Audio;-215.730;-269.938;9.94;32.98;-178.229;-106.618;57.2
56.730;4;C2B;Audio;-215.493;-268.961;10.15;31.34;-174.598;-107.019;56.0
56.832;4;C2B;Audio;-215.222;-267.950;10.36;29.64;-170.459;-107.600;54.8
56.934;4;C2B;Audio;-214.919;-266.926;10.57;28.03;-166.007;-108.412;53.2
57.034;4;C2B;Audio;-214.588;-265.912;10.77;26.49;-161.199;-109.497;51.5
57.136;4;C2B;Audio;-214.211;-264.871;10.95;25.04;-156.166;-110.837;49.7
57.236;4;C2B;Audio;-213.802;-263.845;11.12;23.66;-150.928;-112.447;47.9
57.338;4;C2B;Audio;-213.343;-262.797;11.31;22.42;-145.773;-114.247;46.2
57.438;4;C2B;Audio;-212.851;-261.770;11.47;21.28;-140.646;-116.254;44.4
57.540;4;C2B;Audio;-212.306;-260.724;11.65;20.23;-135.580;-118.462;42.7
57.640;4;C2B;Audio;-211.728;-259.704;11.79;19.25;-130.496;-120.911;40.9
57.742;4;C2B;Audio;-211.094;-258.670;11.95;18.34;-125.419;-123.605;39.1
57.844;4;C2B;Audio;-210.416;-257.645;12.13;17.54;-120.746;-126.318;37.3
57.944;4;C2B;Audio;-209.706;-256.651;12.28;16.76;-115.917;-129.375;35.5
58.046;4;C2B;Audio;-208.939;-255.651;12.43;16.07;-111.411;-132.479;33.7
58.146;4;C2B;Audio;-208.142;-254.686;12.58;15.41;-106.961;-135.803;31.9
58.248;4;C2B;Audio;-207.286;-253.720;12.72;14.81;-102.669;-139.276;30.1
58.348;4;C2B;Audio;-206.405;-252.792;12.86;14.29;-98.777;-142.676;28.3
58.450;4;C2B;Audio;-205.463;-251.868;13.00;13.76;-94.800;-146.426;26.5
58.552;4;C2B;Audio;-204.478;-250.970;13.13;13.26;-90.848;-150.459;24.6
58.652;4;C2B;Audio;-203.473;-250.114;13.26;12.82;-87.366;-154.300;22.8
58.754;4;C2B;Audio;-202.406;-249.271;13.39;12.39;-83.857;-158.485;20.9
58.854;4;C2B;Audio;-201.322;-248.473;13.52;12.01;-80.667;-162.602;19.0
58.956;4;C2B;Audio;-200.178;-247.693;13.64;11.65;-77.719;-166.716;17.2
59.056;4;C2B;Audio;-199.019;-246.961;13.76;11.30;-74.841;-171.072;15.3
59.158;4;C2B;Audio;-197.802;-246.250;13.88;10.98;-72.110;-175.576;13.4
59.258;4;C2B;Audio;-196.574;-245.591;13.98;10.68;-69.673;-179.963;11.5
59.360;4;C2B;Audio;-195.289;-244.958;14.10;10.41;-67.463;-184.312;9.7
59.462;4;C2B;Audio;-193.972;-244.367;14.20;10.14;-65.312;-188.970;7.7
59.562;4;C2B;Audio;-192.652;-243.830;14.31;9.90;-63.434;-193.476;5.8
59.664;4;C2B;Audio;-191.276;-243.326;14.42;9.67;-61.677;-198.179;3.9
59.764;4;C2B;Audio;-189.902;-242.877;14.52;9.47;-60.230;-202.527;2.4
59.866;4;C2B;Audio;-188.474;-242.465;14.61;9.26;-58.850;-207.237;-1.7
59.966;4;C2B;Audio;-187.052;-242.109;14.71;9.08;-57.703;-211.755;-2.8
60.068;4;C2B;Audio;-185.580;-241.795;14.81;8.91;-56.729;-216.254;-4.6
60.170;4;C2B;Audio;-184.088;-241.532;14.90;8.75;-55.908;-220.816;-6.6
60.270;4;C2B;Audio;-182.608;-241.323;14.99;8.61;-55.291;-225.071;-8.3
60.372;4;C2B;Audio;-181.082;-241.155;15.09;8.47;-54.862;-228.845;-9.5
60.472;4;C2B;Audio;-179.573;-241.030;15.20;8.33;-54.582;-232.060;-10.4
60.574;4;C2B;Audio;-178.020;-240.938;15.31;8.19;-54.406;-234.743;-11.3
60.674;4;C2B;Audio;-176.484;-240.877;15.42;8.05;-54.297;-237.008;-12.1
60.776;4;C2B;Audio;-174.906;-240.841;15.54;7.91;-54.230;-238.879;-12.5
60.878;4;C2B;Audio;-173.315;-240.826;15.65;7.78;-54.190;-240.353;-13.0
60.978;4;C2B;Audio;-171.744;-240.829;15.76;7.64;-54.162;-241.602;-13.5
61.080;4;C2B;Audio;-170.130;-240.849;15.88;7.51;-54.141;-242.772;-14.1
61.180;4;C2B;Audio;-168.538;-240.885;15.98;7.38;-54.125;-243.812;-14.7
61.282;4;C2B;Audio;-166.902;-240.935;16.09;7.24;-54.112;-244.874;-15.4
61.382;4;C2B;Audio;-165.288;-241.000;16.21;7.12;-54.101;-245.832;-16.0
61.484;4;C2B;Audio;-163.632;-241.079;16.30;6.99;-54.085;-246.667;-16.5
61.584;4;C2B;Audio;-161.998;-241.167;16.41;6.86;-54.057;-247.208;-16.5
61.686;4;C2B;Audio;-160.322;-241.264;16.52;6.73;-54.014;-247.575;-16.6
61.788;4;C2B;Audio;-158.635;-241.365;16.62;6.60;-53.957;-247.700;-16.6
61.888;4;C2B;Audio;-156.971;-241.464;16.71;6.46;-53.878;-247.553;-16.2
61.990;4;C2B;Audio;-155.265;-241.561;16.80;6.33;-53.787;-247.178;-15.8
62.090;4;C2B;Audio;-153.582;-241.650;16.88;6.20;-53.694;-246.682;-15.5
62.192;4;C2B;Audio;-151.857;-241.730;16.98;6.06;-53.592;-246.048;-15.2
62.292;4;C2B;Audio;-150.156;-241.799;17.06;5.93;-53.498;-245.468;-15.2
62.394;4;C2B;Audio;-148.413;-241.861;17.14;5.80;-53.412;-245.055;-15.6
62.496;4;C2B;Audio;-146.662;-241.917;17.20;5.68;-53.334;-244.794;-16.0
62.596;4;C2B;Audio;-144.940;-241.969;17.23;5.58;-53.260;-244.636;-16.4
62.698;4;C2B;Audio;-143.184;-242.018;17.20;5.48;-53.177;-244.525;-16.8
62.798;4;C2B;Audio;-141.469;-242.065;17.12;5.42;-53.102;-244.460;-17.1
62.900;4;C2B;Audio;-139.729;-242.112;17.00;5.36;-53.022;-244.415;-17.5
63.000;4;C2B;Audio;-138.036;-242.157;16.87;5.31;-52.939;-244.383;-17.8
63.102;4;C2B;Audio;-136.326;-242.201;16.69;5.27;-52.852;-244.359;-18.2
63.202;4;C2B;Audio;-134.668;-242.244;16.48;5.24;-52.769;-244.344;-18.6
63.304;4;C2B;Audio;-132.999;-242.286;16.27;5.22;-52.736;-244.331;-18.9
63.406;4;C2B;Audio;-131.351;-242.328;16.06;5.18;-52.780;-244.318;-19.3
63.506;4;C2B;Audio;-129.757;-242.368;15.85;5.15;-52.894;-244.306;-19.6
63.608;4;C2B;Audio;-128.152;-242.409;15.65;5.10;-53.084;-244.294;-19.9
63.708;4;C2B;Audio;-126.599;-242.448;15.44;5.05;-53.341;-244.281;-20.2
63.810;4;C2B;Audio;-125.035;-242.486;15.24;5.00;-53.637;-244.205;-20.3
63.910;4;C2B;Audio;-123.520;-242.520;15.07;4.92;-54.053;-244.037;-20.1
64.012;4;C2B;Audio;-121.991;-242.552;14.94;4.83;-54.527;-243.879;-20.2
64.114;4;C2B;Audio;-120.472;-242.580;14.85;4.72;-55.069;-243.748;-20.5
64.216;4;C2B;Audio;-118.963;-242.606;14.76;4.60;-55.702;-243.648;-20.7
64.318;4;C2B;Audio;-117.460;-242.630;14.71;4.45;-56.423;-243.570;-20.9
64.420;4;C2B;Audio;-115.962;-242.652;14.67;4.30;-57.203;-243.513;-21.1
64.522;4;C2B;Audio;-114.468;-242.673;14.64;4.14;-58.055;-243.469;-21.3
64.624;4;C2B;Audio;-112.977;-242.694;14.60;3.99;-58.903;-243.435;-21.4
64.724;4;C2B;Audio;-111.519;-242.715;14.57;3.83;-59.717;-243.472;-21.9
64.826;4;C2B;Audio;-110.035;-242.738;14.54;3.68;-60.538;-243.554;-22.4
64.928;4;C2B;Audio;-108.554;-242.764;14.50;3.53;-61.353;-243.623;-22.7
65.030;4;C2B;Audio;-107.077;-242.791;14.48;3.36;-62.199;-243.614;-22.6
65.132;4;C2B;Audio;-105.602;-242.817;14.45;3.21;-62.968;-243.549;-22.4
65.234;4;C2B;Audio;-104.128;-242.840;14.45;3.04;-63.712;-243.435;-22.2
65.336;4;C2B;Audio;-102.654;-242.858;14.45;2.87;-64.412;-243.247;-21.5
65.438;4;C2B;Audio;-101.181;-242.867;14.44;2.70;-65.028;-242.961;-20.5
65.540;4;C2B;Audio;-99.708;-242.862;14.43;2.53;-65.624;-242.603;-19.2
65.642;4;C2B;Audio;-98.237;-242.844;14.42;2.38;-66.144;-242.321;-18.4
65.744;4;C2B;Audio;-96.767;-242.814;14.42;2.22;-66.637;-242.121;-17.9
65.846;4;C2B;Audio;-95.298;-242.777;14.41;2.06;-67.126;-241.997;-17.2
