Time;Trial;Scene;Modality;PosX;PosZ;Speed;TTC;PredCrashX;PredCrashZ;CrashAngle
68.962;5;L2C;Audio;32.711;-379.829;0.22;1643.33;-72.293;-242.321;79.1
69.064;5;L2C;Audio;32.716;-379.829;0.18;1643.33;-72.293;-242.321;79.1
69.166;5;L2C;Audio;32.744;-379.828;0.41;1643.33;-72.293;-242.321;79.1
69.266;5;L2C;Audio;32.804;-379.828;0.78;1643.33;-72.293;-242.321;79.1
69.368;5;L2C;Audio;32.905;-379.827;1.19;1643.33;-72.293;-242.321;79.1
69.470;5;L2C;Audio;33.049;-379.826;1.60;1643.33;-72.293;-242.321;79.1
69.572;5;L2C;Audio;33.234;-379.824;2.00;1643.33;-72.293;-242.321;79.1
69.674;5;L2C;Audio;33.459;-379.820;2.39;1643.33;-72.293;-242.321;79.1
69.776;5;L2C;Audio;33.724;-379.816;2.78;1643.33;-72.293;-242.321;79.1
69.876;5;L2C;Audio;34.021;-379.810;3.14;1643.33;-72.293;-242.321;79.1
69.978;5;L2C;Audio;34.361;-379.802;3.51;1643.33;-72.293;-242.321;79.1
70.080;5;L2C;Audio;34.739;-379.793;3.88;1643.33;-72.293;-242.321;79.1
70.182;5;L2C;Audio;35.153;-379.785;4.23;1643.33;-72.293;-242.321;79.1
70.284;5;L2C;Audio;35.603;-379.779;4.57;1643.33;-72.293;-242.321;79.1
70.386;5;L2C;Audio;36.088;-379.776;4.92;1643.33;-72.293;-242.321;79.1
70.488;5;L2C;Audio;36.607;-379.774;5.25;1643.33;-72.293;-242.321;79.1
70.590;5;L2C;Audio;37.159;-379.775;5.56;1643.33;-72.293;-242.321;79.1
70.692;5;L2C;Audio;37.743;-379.779;5.87;1643.33;-72.293;-242.321;79.1
70.794;5;L2C;Audio;38.357;-379.788;6.16;1643.33;-72.293;-242.321;79.1
70.896;5;L2C;Audio;39.001;-379.798;6.45;1643.33;-72.293;-242.321;79.1
70.998;5;L2C;Audio;39.674;-379.811;6.73;1643.33;-72.293;-242.321;79.1
71.100;5;L2C;Audio;40.374;-379.823;6.99;1643.33;-72.293;-242.321;79.1
71.202;5;L2C;Audio;41.101;-379.837;7.25;1643.33;-72.293;-242.321;79.1
71.304;5;L2C;Audio;41.855;-379.851;7.51;1643.33;-72.293;-242.321;79.1
71.404;5;L2C;Audio;42.619;-379.866;7.76;1643.33;-72.293;-242.321;79.1
71.506;5;L2C;Audio;43.424;-379.882;8.01;1643.33;-72.293;-242.321;79.1
71.608;5;L2C;Audio;44.254;-379.898;8.25;1643.33;-72.293;-242.321;79.1
71.710;5;L2C;Audio;45.109;-379.914;8.50;1643.33;-72.293;-242.321;79.1
71.812;5;L2C;Audio;45.988;-379.931;8.73;1643.33;-72.293;-242.321;79.1
71.914;5;L2C;Audio;46.891;-379.948;8.96;1643.33;-72.293;-242.321;79.1
72.016;5;L2C;Audio;47.817;-379.965;9.19;1643.33;-72.293;-242.321;79.1
