Time;Trial;Scene;Modality;PosX;PosZ;Speed;TTC;PredCrashX;PredCrashZ;CrashAngle
93.250;6;L2A;Visual;-245.289;-79.579;0.22;0.51;170.339;-379.890;8.6
93.352;6;L2A;Visual;-245.289;-79.579;0.14;0.51;170.339;-379.890;8.6
93.454;6;L2A;Visual;-245.290;-79.579;0.03;0.51;170.339;-379.890;8.6
93.556;6;L2A;Visual;-245.290;-79.579;0.03;0.51;170.339;-379.890;8.6
93.658;6;L2A;Visual;-245.291;-79.579;0.03;0.51;170.339;-379.890;8.6
93.760;6;L2A;Visual;-245.291;-79.579;0.01;0.51;170.339;-379.890;8.6
93.860;6;L2A;Visual;-245.291;-79.579;0.01;0.51;170.339;-379.890;8.6
93.962;6;L2A;Visual;-245.292;-79.579;0.01;0.51;170.339;-379.890;8.6
94.064;6;L2A;Visual;-245.292;-79.579;0.00;0.51;170.339;-379.890;8.6
94.166;6;L2A;Visual;-245.292;-79.579;0.01;0.51;170.339;-379.890;8.6
94.268;6;L2A;Visual;-245.287;-79.579;0.11;0.51;170.339;-379.890;8.6
94.370;6;L2A;Visual;-245.266;-79.579;0.28;0.51;170.339;-379.890;8.6
94.472;6;L2A;Visual;-245.228;-79.579;0.47;0.51;170.339;-379.890;8.6
94.574;6;L2A;Visual;-245.170;-79.579;0.66;0.51;170.339;-379.890;8.6
94.676;6;L2A;Visual;-245.092;-79.579;0.88;0.51;170.339;-379.890;8.6
94.778;6;L2A;Visual;-244.988;-79.579;1.13;0.51;170.339;-379.890;8.6
94.880;6;L2A;Visual;-244.858;-79.579;1.41;0.51;170.339;-379.890;8.6
94.982;6;L2A;Visual;-244.697;-79.579;1.72;0.51;170.339;-379.890;8.6
95.084;6;L2A;Visual;-244.504;-79.579;2.06;0.51;170.339;-379.890;8.6
95.186;6;L2A;Visual;-244.273;-79.579;2.45;0.51;170.339;-379.890;8.6
95.288;6;L2A;Visual;-244.001;-79.579;2.85;0.51;170.339;-379.890;8.6
95.388;6;L2A;Visual;-243.693;-79.577;3.28;0.51;170.339;-379.890;8.6
95.490;6;L2A;Visual;-243.336;-79.573;3.70;0.51;170.339;-379.890;8.6
95.592;6;L2A;Visual;-242.937;-79.568;4.11;0.51;170.339;-379.890;8.6
95.694;6;L2A;Visual;-242.496;-79.560;4.52;0.51;170.339;-379.890;8.6
95.796;6;L2A;Visual;-242.013;-79.549;4.92;0.51;170.339;-379.890;8.6
95.898;6;L2A;Visual;-241.491;-79.535;5.31;0.51;170.339;-379.890;8.6
96.000;6;L2A;Visual;-240.928;-79.517;5.70;0.51;170.339;-379.890;8.6
96.102;6;L2A;Visual;-240.326;-79.496;6.09;0.51;170.339;-379.890;8.6
96.204;6;L2A;Visual;-239.685;-79.476;6.47;0.51;170.339;-379.890;8.6
96.306;6;L2A;Visual;-239.005;-79.460;6.84;0.51;170.339;-379.890;8.6
96.408;6;L2A;Visual;-238.287;-79.451;7.20;0.51;170.339;-379.890;8.6
96.510;6;L2A;Visual;-237.532;-79.450;7.58;0.51;170.339;-379.890;8.6
96.610;6;L2A;Visual;-236.756;-79.459;7.92;0.51;170.339;-379.890;8.6
96.712;6;L2A;Visual;-235.928;-79.481;8.28;0.51;170.339;-379.890;8.6
96.814;6;L2A;Visual;-235.067;-79.523;8.62;0.51;170.339;-379.890;8.6
96.916;6;L2A;Visual;-234.171;-79.587;8.96;0.51;170.339;-379.890;8.6
97.018;6;L2A;Visual;-233.243;-79.668;9.30;0.51;170.339;-379.890;8.6
97.120;6;L2A;Visual;-232.281;-79.762;9.64;0.51;170.339;-379.890;8.6
97.222;6;L2A;Visual;-231.285;-79.864;9.97;0.51;170.339;-379.890;8.6
97.324;6;L2A;Visual;-230.256;-79.968;10.30;0.51;170.339;-379.890;8.6
97.426;6;L2A;Visual;-229.192;-80.064;10.62;0.51;170.339;-379.890;8.6
97.528;6;L2A;Visual;-228.096;-80.146;10.93;0.51;170.339;-379.890;8.6
97.630;6;L2A;Visual;-226.966;-80.211;11.25;0.51;170.339;-379.890;8.6
97.732;6;L2A;Visual;-225.803;-80.265;11.55;0.51;170.339;-379.890;8.6
97.832;6;L2A;Visual;-224.634;-80.311;11.86;0.51;170.339;-379.890;8.6
97.934;6;L2A;Visual;-223.409;-80.354;12.16;0.51;170.339;-379.890;8.6
98.036;6;L2A;Visual;-222.154;-80.398;12.45;0.51;170.339;-379.890;8.6
98.138;6;L2A;Visual;-220.868;-80.446;12.76;0.51;170.339;-379.890;8.6
98.240;6;L2A;Visual;-219.552;-80.496;13.04;0.51;170.339;-379.890;8.6
98.342;6;L2A;Visual;-218.207;-80.545;13.34;0.51;170.339;-379.890;8.6
98.444;6;L2A;Visual;-216.833;-80.589;13.61;0.51;170.339;-379.890;8.6
98.546;6;L2A;Visual;-215.431;-80.629;13.88;0.51;170.339;-379.890;8.6
98.648;6;L2A;Visual;-214.002;-80.664;14.14;0.51;170.339;-379.890;8.6
98.750;6;L2A;Visual;-212.546;-80.689;14.39;0.51;170.339;-379.890;8.6
98.852;6;L2A;Visual;-211.066;-80.703;14.63;0.51;170.339;-379.890;8.6
98.954;6;L2A;Visual;-209.563;-80.705;14.85;0.51;170.339;-379.890;8.6
99.054;6;L2A;Visual;-208.067;-80.695;15.05;0.51;170.339;-379.890;8.6
99.156;6;L2A;Visual;-206.520;-80.676;15.28;0.51;170.339;-379.890;8.6
99.258;6;L2A;Visual;-204.952;-80.650;15.47;0.51;170.339;-379.890;8.6
99.360;6;L2A;Visual;-203.363;-80.620;15.67;0.51;170.339;-379.890;8.6
99.462;6;L2A;Visual;-201.754;-80.587;15.85;0.51;170.339;-379.890;8.6
99.564;6;L2A;Visual;-200.129;-80.553;15.99;0.51;170.339;-379.890;8.6
99.666;6;L2A;Visual;-198.495;-80.518;16.05;0.51;170.339;-379.890;8.6
99.768;6;L2A;Visual;-196.859;-80.482;16.03;0.51;170.339;-379.890;8.6
99.870;6;L2A;Visual;-195.228;-80.446;15.95;0.51;170.339;-379.890;8.6
99.972;6;L2A;Visual;-193.608;-80.410;15.82;0.51;170.339;-379.890;8.6
100.074;6;L2A;Visual;-192.005;-80.374;15.63;0.51;170.339;-379.890;8.6
100.176;6;L2A;Visual;-190.422;-80.339;15.42;0.51;170.339;-379.890;8.6
100.278;6;L2A;Visual;-188.860;-80.304;15.22;0.51;170.339;-379.890;8.6
100.380;6;L2A;Visual;-187.319;-80.270;15.03;0.51;170.339;-379.890;8.6
100.482;6;L2A;Visual;-185.797;-80.236;14.83;0.51;170.339;-379.890;8.6
100.582;6;L2A;Visual;-184.324;-80.203;14.64;0.51;170.339;-379.890;8.6
