Time;Trial;Scene;Modality;PosX;PosZ;Speed;TTC;PredCrashX;PredCrashZ;CrashAngle
107.542;7;C1D;Control;169.700;-240.300;0.22;49532.51;164.030;-240.301;5.1
107.644;7;C1D;Control;169.700;-240.300;0.14;27502.96;155.592;-240.302;5.1
107.746;7;C1D;Control;169.701;-240.300;0.03;23831.50;169.701;-240.300;5.1
107.846;7;C1D;Control;169.701;-240.300;0.03;23617.70;169.701;-240.300;5.1
107.948;7;C1D;Control;169.702;-240.300;0.03;24026.73;169.702;-240.300;5.1
108.050;7;C1D;Control;169.702;-240.300;0.01;24254.81;169.702;-240.300;5.1
108.152;7;C1D;Control;169.702;-240.300;0.01;24228.92;169.702;-240.300;5.2
108.254;7;C1D;Control;169.703;-240.300;0.01;24126.44;169.703;-240.300;5.2
108.356;7;C1D;Control;169.703;-240.300;0.00;24062.88;169.703;-240.300;5.2
108.456;7;C1D;Control;169.703;-240.300;0.00;24040.46;169.703;-240.300;5.2
108.558;7;C1D;Control;169.703;-240.300;0.00;24051.12;169.703;-240.300;5.2
108.660;7;C1D;Control;169.703;-240.300;0.00;24057.64;169.703;-240.300;5.2
108.762;7;C1D;Control;169.703;-240.300;0.00;24062.90;169.703;-240.300;5.2
108.864;7;C1D;Control;169.703;-240.300;0.00;24069.13;169.703;-240.300;5.2
108.966;7;C1D;Control;169.703;-240.300;0.00;24071.90;169.703;-240.300;5.2
109.068;7;C1D;Control;169.703;-240.299;0.00;24056.97;169.703;-240.299;5.2
109.170;7;C1D;Control;169.703;-240.299;0.00;24053.08;169.703;-240.299;5.2
109.272;7;C1D;Control;169.703;-240.299;0.00;24053.57;169.703;-240.299;5.2
109.374;7;C1D;Control;169.703;-240.299;0.00;24068.93;169.703;-240.299;5.2
