Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
0.124;1;L2C;Audio;32.711;-379.829;0.22;0.267;0.000;0.000;Infinity;0.000;0.000;0.0
0.224;1;L2C;Audio;32.710;-379.829;0.13;0.267;0.000;0.000;Infinity;0.000;0.000;0.0
0.326;1;L2C;Audio;32.710;-379.829;0.02;0.267;0.000;0.000;Infinity;0.000;0.000;0.0
0.426;1;L2C;Audio;32.710;-379.829;0.03;0.267;0.000;0.000;Infinity;0.000;0.000;0.0
0.528;1;L2C;Audio;32.710;-379.829;0.03;0.267;0.000;0.000;Infinity;0.000;0.000;0.0
0.628;1;L2C;Audio;32.710;-379.829;0.01;0.267;0.000;0.000;Infinity;0.000;0.000;0.0
0.728;1;L2C;Audio;32.709;-379.829;0.00;0.267;0.000;0.000;Infinity;0.000;0.000;0.0
0.828;1;L2C;Audio;32.709;-379.829;0.00;0.267;0.000;0.000;Infinity;0.000;0.000;0.0
0.930;1;L2C;Audio;32.709;-379.829;0.00;0.267;0.000;0.000;Infinity;0.000;0.000;0.0
1.030;1;L2C;Audio;32.709;-379.829;0.00;0.267;0.000;0.000;Infinity;0.000;0.000;0.0
1.132;1;L2C;Audio;32.709;-379.829;0.00;0.267;0.000;0.000;Infinity;0.000;0.000;0.0
1.232;1;L2C;Audio;32.708;-379.829;0.00;0.267;0.000;0.000;Infinity;0.000;0.000;0.0
1.334;1;L2C;Audio;32.708;-379.829;0.00;0.267;0.000;0.000;Infinity;0.000;0.000;0.0
1.436;1;L2C;Audio;32.708;-379.829;0.00;0.267;0.000;0.000;Infinity;0.000;0.000;0.0
1.538;1;L2C;Audio;32.708;-379.829;0.00;0.267;0.000;0.000;Infinity;0.000;0.000;0.0
1.638;1;L2C;Audio;32.708;-379.829;0.00;0.267;0.000;0.000;Infinity;0.000;0.000;0.0
1.740;1;L2C;Audio;32.707;-379.829;0.00;0.222;0.000;0.000;Infinity;0.000;0.000;0.0
1.842;1;L2C;Audio;32.707;-379.829;0.00;0.111;0.000;0.000;Infinity;0.000;0.000;0.0
1.942;1;L2C;Audio;32.707;-379.829;0.00;0.067;0.000;0.000;Infinity;0.000;0.000;0.0
2.044;1;L2C;Audio;32.707;-379.829;0.00;0.022;0.000;0.000;Infinity;0.000;0.000;0.0
2.146;1;L2C;Audio;32.712;-379.829;0.10;0.000;0.200;0.000;Infinity;0.000;0.000;0.0
