Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
17.038;2;T7A;Visual;-282.070;-285.100;0.22;0.022;0.000;0.000;40628.04;-282.043;-280.893;-1.1
17.138;2;T7A;Visual;-282.070;-285.100;0.15;0.022;0.000;0.000;21173.28;-282.056;-274.406;-1.2
17.238;2;T7A;Visual;-282.070;-285.100;0.03;0.022;0.000;0.000;18057.86;-282.070;-285.100;-1.3
17.338;2;T7A;Visual;-282.070;-285.100;0.02;0.022;0.000;0.000;17710.92;-282.070;-285.100;-1.3
17.438;2;T7A;Visual;-282.070;-285.099;0.03;0.022;0.000;0.000;17967.39;-282.070;-285.099;-1.3
17.540;2;T7A;Visual;-282.070;-285.099;0.02;0.022;0.000;0.000;18138.89;-282.070;-285.099;-1.3
17.640;2;T7A;Visual;-282.070;-285.099;0.00;0.022;0.000;0.000;18115.47;-282.070;-285.099;-1.3
17.740;2;T7A;Visual;-282.070;-285.099;0.00;0.022;0.000;0.000;18014.45;-282.070;-285.099;-1.3
17.842;2;T7A;Visual;-282.070;-285.099;0.00;0.022;0.000;0.000;17916.05;-282.070;-285.099;-1.3
17.942;2;T7A;Visual;-282.070;-285.099;0.00;0.022;0.000;0.000;17853.31;-282.070;-285.099;-1.3
18.042;2;T7A;Visual;-282.070;-285.099;0.00;0.022;0.000;0.000;17806.81;-282.070;-285.099;-1.3
