Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
0.128;1;L2B;Audio;-245.289;-142.329;0.22;-0.156;0.150;0.000;Infinity;0.000;0.000;0.0
0.228;1;L2B;Audio;-245.285;-142.329;0.16;-0.156;0.420;0.000;Infinity;0.000;0.000;0.0
0.330;1;L2B;Audio;-245.263;-142.327;0.33;-0.156;0.730;0.000;Infinity;0.000;0.000;0.0
0.432;1;L2B;Audio;-245.211;-142.325;0.67;-0.156;0.950;0.000;Infinity;0.000;0.000;0.0
0.534;1;L2B;Audio;-245.117;-142.319;1.13;-0.156;1.000;0.000;Infinity;0.000;0.000;0.0
0.636;1;L2B;Audio;-244.977;-142.309;1.58;-0.156;1.000;0.000;Infinity;0.000;0.000;0.0
0.736;1;L2B;Audio;-244.797;-142.294;2.01;-0.111;1.000;0.000;Infinity;0.000;0.000;0.0
0.838;1;L2B;Audio;-244.570;-142.274;2.44;-0.044;1.000;0.000;Infinity;0.000;0.000;0.0
0.940;1;L2B;Audio;-244.298;-142.252;2.88;0.000;1.000;0.000;Infinity;0.000;0.000;0.0
1.040;1;L2B;Audio;-243.990;-142.229;3.29;0.044;1.000;0.000;Infinity;0.000;0.000;0.0
1.140;1;L2B;Audio;-243.640;-142.208;3.70;0.067;1.000;0.000;Infinity;0.000;0.000;0.0
1.242;1;L2B;Audio;-243.241;-142.190;4.11;0.067;1.000;0.000;Infinity;0.000;0.000;0.0
1.344;1;L2B;Audio;-242.801;-142.176;4.52;0.089;1.000;0.000;Infinity;0.000;0.000;0.0
1.444;1;L2B;Audio;-242.329;-142.170;4.90;0.067;1.000;0.000;Infinity;0.000;0.000;0.0
1.546;1;L2B;Audio;-241.807;-142.171;5.30;0.000;1.000;0.000;Infinity;0.000;0.000;0.0
1.648;1;L2B;Audio;-241.245;-142.176;5.69;-0.044;1.000;0.000;Infinity;0.000;0.000;0.0
1.750;1;L2B;Audio;-240.644;-142.178;6.07;-0.044;1.000;0.000;Infinity;0.000;0.000;0.0
1.850;1;L2B;Audio;-240.017;-142.174;6.44;-0.044;0.990;0.000;Infinity;0.000;0.000;0.0
1.952;1;L2B;Audio;-239.340;-142.161;6.81;-0.044;0.990;0.000;Infinity;0.000;0.000;0.0
2.054;1;L2B;Audio;-238.625;-142.140;7.18;-0.044;0.990;0.000;Infinity;0.000;0.000;0.0
2.156;1;L2B;Audio;-237.874;-142.108;7.54;-0.022;1.000;0.000;Infinity;0.000;0.000;0.0
2.258;1;L2B;Audio;-237.087;-142.067;7.89;0.022;1.000;0.000;Infinity;0.000;0.000;0.0
2.360;1;L2B;Audio;-236.263;-142.021;8.26;0.022;1.000;0.000;Infinity;0.000;0.000;0.0
