Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
0.158;1;L2B;Control;-245.289;-142.329;0.20;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
0.258;1;L2B;Control;-245.290;-142.329;0.09;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
0.360;1;L2B;Control;-245.290;-142.329;0.01;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
0.462;1;L2B;Control;-245.291;-142.329;0.03;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
0.562;1;L2B;Control;-245.291;-142.329;0.02;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
0.662;1;L2B;Control;-245.291;-142.328;0.01;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
0.764;1;L2B;Control;-245.292;-142.328;0.01;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
0.866;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
0.968;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
1.068;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
1.168;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
1.270;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
1.370;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
1.472;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
1.574;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
1.676;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
1.776;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
1.878;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
1.980;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
2.080;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
2.182;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
2.284;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
2.386;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
2.488;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
2.590;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
2.692;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
2.794;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
2.896;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
2.998;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
3.100;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
3.202;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
3.304;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
3.406;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
3.506;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
3.608;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
3.710;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
3.812;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
3.914;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
4.014;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
4.116;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
4.218;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
4.320;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
4.422;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
4.524;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
4.626;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
4.728;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
4.830;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
4.932;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
5.034;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
5.136;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
5.238;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
5.340;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
5.442;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
5.544;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
5.646;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
5.748;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
5.850;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
5.952;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.052;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.154;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.256;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.358;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.460;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.562;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.664;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.766;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.868;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
6.970;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
7.072;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
7.174;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
7.276;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
7.378;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
7.480;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
7.582;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
7.684;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
7.786;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
7.888;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
7.990;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
8.092;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
8.192;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
8.292;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
8.394;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
8.494;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
8.594;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
8.696;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
8.796;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
8.896;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
8.998;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
9.098;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
9.198;1;L2B;Control;-245.292;-142.328;0.00;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
