Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
34.868;2;C2D;Audio;169.700;-240.300;0.10;0.000;0.000;0.000;25359.33;169.700;-240.300;-5.5
34.968;2;C2D;Audio;169.701;-240.300;0.01;0.000;0.000;0.000;23703.63;169.701;-240.300;-5.6
35.070;2;C2D;Audio;169.701;-240.300;0.03;0.000;0.000;0.000;23829.43;169.701;-240.300;-5.6
35.172;2;C2D;Audio;169.702;-240.300;0.02;0.000;0.000;0.000;24211.24;169.702;-240.300;-5.6
35.272;2;C2D;Audio;169.702;-240.300;0.01;0.000;0.000;0.000;24331.29;169.702;-240.300;-5.6
35.374;2;C2D;Audio;169.702;-240.300;0.01;0.000;0.000;0.000;24268.35;169.702;-240.300;-5.6
35.474;2;C2D;Audio;169.703;-240.300;0.01;0.000;0.000;0.000;24159.04;169.703;-240.300;-5.6
35.576;2;C2D;Audio;169.703;-240.300;0.00;0.000;0.000;0.000;24115.87;169.703;-240.300;-5.6
35.676;2;C2D;Audio;169.703;-240.300;0.00;0.000;0.000;0.000;24104.03;169.703;-240.300;-5.6
35.778;2;C2D;Audio;169.703;-240.300;0.00;0.000;0.000;0.000;24108.18;169.703;-240.300;-5.6
35.878;2;C2D;Audio;169.703;-240.300;0.00;0.000;0.000;0.000;24126.13;169.703;-240.300;-5.6
35.980;2;C2D;Audio;169.703;-240.300;0.00;0.000;0.000;0.000;24142.98;169.703;-240.300;-5.6
36.082;2;C2D;Audio;169.703;-240.300;0.00;0.000;0.000;0.000;24144.76;169.703;-240.300;-5.6
36.182;2;C2D;Audio;169.703;-240.300;0.00;0.000;0.000;0.000;24142.94;169.703;-240.300;-5.6
36.284;2;C2D;Audio;169.703;-240.300;0.00;0.000;0.000;0.000;24136.79;169.703;-240.300;-5.6
36.384;2;C2D;Audio;169.703;-240.300;0.00;0.000;0.000;0.000;24128.90;169.703;-240.300;-5.6
36.486;2;C2D;Audio;169.703;-240.300;0.00;0.000;0.000;0.000;24125.10;169.703;-240.300;-5.6
36.586;2;C2D;Audio;169.703;-240.300;0.00;0.000;0.000;0.000;24131.74;169.703;-240.300;-5.6
36.688;2;C2D;Audio;169.703;-240.300;0.00;0.000;0.000;0.000;24134.02;169.703;-240.300;-5.6
36.790;2;C2D;Audio;169.703;-240.300;0.00;0.022;0.000;0.000;24132.69;169.703;-240.300;-5.6
36.890;2;C2D;Audio;169.703;-240.300;0.00;0.000;0.000;0.000;24136.12;169.703;-240.300;-5.5
36.992;2;C2D;Audio;169.703;-240.300;0.00;-0.044;0.000;0.000;24142.10;169.703;-240.300;-5.5
37.092;2;C2D;Audio;169.703;-240.300;0.00;-0.067;0.000;0.000;24137.81;169.703;-240.300;-5.5
37.194;2;C2D;Audio;169.702;-240.300;0.08;-0.044;0.370;0.000;4368.26;169.702;-240.300;-5.5
37.294;2;C2D;Audio;169.683;-240.300;0.34;-0.089;1.000;0.000;841.70;-57.884;-244.976;-5.5
37.396;2;C2D;Audio;169.621;-240.302;0.83;-0.089;1.000;0.000;309.97;-57.818;-247.440;-5.4
37.496;2;C2D;Audio;169.515;-240.306;1.27;-0.089;1.000;0.000;190.69;-57.783;-248.610;-5.2
37.598;2;C2D;Audio;169.361;-240.312;1.72;-0.067;1.000;0.000;142.65;-57.751;-249.512;-4.9
37.700;2;C2D;Audio;169.163;-240.320;2.15;-0.044;1.000;0.000;111.30;-57.759;-249.403;-4.6
37.800;2;C2D;Audio;168.925;-240.329;2.58;0.000;1.000;0.000;91.44;-57.789;-248.696;-4.4
37.902;2;C2D;Audio;168.639;-240.339;3.01;0.044;1.000;0.000;77.76;-57.862;-246.451;-4.4
38.002;2;C2D;Audio;168.317;-240.345;3.42;0.044;1.000;0.000;68.95;-57.917;-243.934;-4.7
38.104;2;C2D;Audio;167.946;-240.348;3.82;0.044;1.000;0.000;61.02;-57.942;-241.863;-5.2
38.204;2;C2D;Audio;167.542;-240.348;4.23;0.044;1.000;0.000;54.68;-57.949;-239.893;-5.7
38.306;2;C2D;Audio;167.088;-240.345;4.64;0.044;1.000;0.000;49.67;-57.939;-237.893;-6.3
38.408;2;C2D;Audio;166.593;-240.336;5.04;0.067;1.000;0.000;45.78;-57.905;-235.573;-6.9
38.508;2;C2D;Audio;166.069;-240.320;5.43;0.022;1.000;0.000;42.25;-57.831;-232.731;-7.8
38.610;2;C2D;Audio;165.495;-240.299;5.82;0.000;1.000;0.000;39.42;-57.801;-231.765;-8.1
38.710;2;C2D;Audio;164.894;-240.276;6.19;-0.022;1.000;0.000;36.79;-57.807;-231.757;-8.1
