Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
23.424;1;T7C;Multimodal;38.130;-380.280;0.13;0.067;0.000;0.000;20503.80;49.925;-380.310;-1.2
23.526;1;T7C;Multimodal;38.129;-380.280;0.02;0.089;0.000;0.000;17898.22;38.129;-380.280;-1.3
23.626;1;T7C;Multimodal;38.129;-380.280;0.03;0.067;0.000;0.000;17615.62;38.129;-380.280;-1.3
23.726;1;T7C;Multimodal;38.129;-380.280;0.03;0.089;0.000;0.000;17860.08;38.129;-380.280;-1.3
23.828;1;T7C;Multimodal;38.129;-380.280;0.01;0.067;0.000;0.000;18022.74;38.129;-380.280;-1.3
23.928;1;T7C;Multimodal;38.129;-380.280;0.00;0.067;0.000;0.000;17986.88;38.129;-380.280;-1.3
24.028;1;T7C;Multimodal;38.128;-380.280;0.01;0.067;0.000;0.000;17882.99;38.128;-380.280;-1.3
24.130;1;T7C;Multimodal;38.128;-380.280;0.00;0.067;0.000;0.000;17790.16;38.128;-380.280;-1.3
24.230;1;T7C;Multimodal;38.128;-380.280;0.00;0.067;0.000;0.000;17734.57;38.128;-380.280;-1.3
24.330;1;T7C;Multimodal;38.128;-380.280;0.00;0.067;0.000;0.000;17688.30;38.128;-380.280;-1.3
24.432;1;T7C;Multimodal;38.128;-380.280;0.00;0.067;0.000;0.000;17663.02;38.128;-380.280;-1.3
24.532;1;T7C;Multimodal;38.127;-380.280;0.00;0.067;0.000;0.000;17616.97;38.127;-380.280;-1.3
24.632;1;T7C;Multimodal;38.127;-380.280;0.00;0.067;0.000;0.000;17578.34;38.127;-380.280;-1.3
24.734;1;T7C;Multimodal;38.127;-380.280;0.00;0.067;0.000;0.000;17527.61;38.127;-380.280;-1.3
24.834;1;T7C;Multimodal;38.127;-380.280;0.00;0.067;0.000;0.000;17493.53;38.127;-380.280;-1.3
24.934;1;T7C;Multimodal;38.127;-380.280;0.00;0.067;0.000;0.000;17450.27;38.127;-380.280;-1.3
25.036;1;T7C;Multimodal;38.126;-380.280;0.00;0.089;0.000;0.000;17404.65;38.126;-380.280;-1.3
25.136;1;T7C;Multimodal;38.126;-380.280;0.00;0.067;0.000;0.000;17360.97;38.126;-380.280;-1.3
25.236;1;T7C;Multimodal;38.126;-380.280;0.00;0.089;0.000;0.000;17322.91;38.126;-380.280;-1.3
25.338;1;T7C;Multimodal;38.126;-380.280;0.00;0.067;0.000;0.000;17281.03;38.126;-380.280;-1.3
25.438;1;T7C;Multimodal;38.126;-380.280;0.00;0.067;0.000;0.000;17235.96;38.126;-380.280;-1.3
25.538;1;T7C;Multimodal;38.125;-380.280;0.00;0.089;0.000;0.000;17196.31;38.125;-380.280;-1.3
25.640;1;T7C;Multimodal;38.125;-380.280;0.00;0.067;0.000;0.000;17148.96;38.125;-380.280;-1.3
25.740;1;T7C;Multimodal;38.125;-380.280;0.00;0.089;0.000;0.000;17105.51;38.125;-380.280;-1.3
25.840;1;T7C;Multimodal;38.125;-380.280;0.00;0.067;0.000;0.000;17069.46;38.125;-380.280;-1.3
25.942;1;T7C;Multimodal;38.125;-380.280;0.00;0.067;0.000;0.000;17031.05;38.125;-380.280;-1.3
26.042;1;T7C;Multimodal;38.125;-380.280;0.00;0.067;0.000;0.000;16986.42;38.125;-380.280;-1.3
26.142;1;T7C;Multimodal;38.124;-380.280;0.00;0.067;0.000;0.000;16938.44;38.124;-380.280;-1.3
26.244;1;T7C;Multimodal;38.124;-380.280;0.00;0.067;0.000;0.000;16899.86;38.124;-380.280;-1.3
26.344;1;T7C;Multimodal;38.124;-380.280;0.00;0.089;0.000;0.000;16862.94;38.124;-380.280;-1.3
26.444;1;T7C;Multimodal;38.124;-380.280;0.00;0.067;0.000;0.000;16815.93;38.124;-380.280;-1.3
26.546;1;T7C;Multimodal;38.124;-380.280;0.00;0.067;0.000;0.000;16770.47;38.124;-380.280;-1.3
26.646;1;T7C;Multimodal;38.123;-380.280;0.00;0.067;0.000;0.000;16726.56;38.123;-380.280;-1.3
26.746;1;T7C;Multimodal;38.123;-380.280;0.00;0.067;0.000;0.000;16689.80;38.123;-380.280;-1.3
26.848;1;T7C;Multimodal;38.123;-380.280;0.00;0.067;0.000;0.000;16642.30;38.123;-380.280;-1.3
26.948;1;T7C;Multimodal;38.123;-380.280;0.00;0.067;0.000;0.000;16600.88;38.123;-380.280;-1.3
27.050;1;T7C;Multimodal;38.123;-380.280;0.00;0.067;0.000;0.000;16558.29;38.123;-380.280;-1.3
27.150;1;T7C;Multimodal;38.122;-380.280;0.00;0.089;0.000;0.000;16515.48;38.122;-380.280;-1.3
27.250;1;T7C;Multimodal;38.122;-380.280;0.00;0.067;0.000;0.000;16471.66;38.122;-380.280;-1.4
27.352;1;T7C;Multimodal;38.122;-380.280;0.00;0.067;0.000;0.000;16428.98;38.122;-380.280;-1.4
27.452;1;T7C;Multimodal;38.122;-380.280;0.00;0.067;0.000;0.000;16389.56;38.122;-380.280;-1.4
27.552;1;T7C;Multimodal;38.122;-380.280;0.00;0.067;0.000;0.000;16346.92;38.122;-380.280;-1.4
27.654;1;T7C;Multimodal;38.121;-380.280;0.00;0.067;0.000;0.000;16305.18;38.121;-380.280;-1.4
27.754;1;T7C;Multimodal;38.121;-380.280;0.00;0.067;0.000;0.000;16261.98;38.121;-380.280;-1.4
27.854;1;T7C;Multimodal;38.121;-380.280;0.00;0.067;0.000;0.000;16220.93;38.121;-380.280;-1.4
27.956;1;T7C;Multimodal;38.121;-380.280;0.00;0.067;0.000;0.000;16178.86;38.121;-380.280;-1.4
28.056;1;T7C;Multimodal;38.121;-380.280;0.00;0.067;0.000;0.000;16137.75;38.121;-380.280;-1.4
28.156;1;T7C;Multimodal;38.120;-380.280;0.00;0.067;0.000;0.000;16094.90;38.120;-380.280;-1.4
28.258;1;T7C;Multimodal;38.120;-380.280;0.00;0.067;0.000;0.000;16051.38;38.120;-380.280;-1.4
28.358;1;T7C;Multimodal;38.120;-380.280;0.00;0.067;0.000;0.000;16010.51;38.120;-380.280;-1.4
28.458;1;T7C;Multimodal;38.120;-380.280;0.00;0.067;0.000;0.000;15965.08;38.120;-380.280;-1.4
28.560;1;T7C;Multimodal;38.120;-380.280;0.00;0.067;0.000;0.000;15919.42;38.120;-380.280;-1.4
28.660;1;T7C;Multimodal;38.120;-380.280;0.00;0.067;0.000;0.000;15881.25;38.120;-380.280;-1.4
28.760;1;T7C;Multimodal;38.119;-380.280;0.00;0.067;0.000;0.000;15840.02;38.119;-380.280;-1.4
28.862;1;T7C;Multimodal;38.119;-380.280;0.00;0.067;0.000;0.000;15792.26;38.119;-380.280;-1.4
28.962;1;T7C;Multimodal;38.119;-380.280;0.00;0.067;0.000;0.000;15751.98;38.119;-380.280;-1.4
29.062;1;T7C;Multimodal;38.119;-380.280;0.00;0.067;0.000;0.000;15715.32;38.119;-380.280;-1.4
29.164;1;T7C;Multimodal;38.119;-380.280;0.00;0.067;0.000;0.000;15668.50;38.119;-380.280;-1.4
29.264;1;T7C;Multimodal;38.118;-380.280;0.00;0.067;0.000;0.000;15631.93;38.118;-380.280;-1.4
29.364;1;T7C;Multimodal;38.118;-380.280;0.00;0.067;0.000;0.000;15594.80;38.118;-380.280;-1.4
29.466;1;T7C;Multimodal;38.118;-380.280;0.00;0.067;0.000;0.000;15562.79;38.118;-380.280;-1.4
29.566;1;T7C;Multimodal;38.118;-380.280;0.00;0.067;0.000;0.000;15532.16;38.118;-380.280;-1.4
29.666;1;T7C;Multimodal;38.118;-380.280;0.00;0.067;0.000;0.000;15497.47;38.118;-380.280;-1.4
29.768;1;T7C;Multimodal;38.117;-380.280;0.00;0.089;0.000;0.000;15477.24;38.117;-380.280;-1.4
29.868;1;T7C;Multimodal;38.117;-380.280;0.00;0.067;0.000;0.000;15457.56;38.117;-380.280;-1.4
29.968;1;T7C;Multimodal;38.117;-380.280;0.00;0.089;0.000;0.000;15438.25;38.117;-380.280;-1.4
