Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
3.994;2;T7D;Audio;144.210;-239.576;0.14;0.000;0.000;0.000;20596.53;132.636;-239.578;-1.2
4.094;2;T7D;Audio;144.211;-239.576;0.03;-0.067;0.000;0.000;17910.84;144.211;-239.576;-1.3
4.196;2;T7D;Audio;144.211;-239.576;0.03;-0.067;0.000;0.000;17612.86;144.211;-239.576;-1.3
4.298;2;T7D;Audio;144.212;-239.576;0.03;-0.067;0.000;0.000;17868.12;144.212;-239.576;-1.3
4.400;2;T7D;Audio;144.212;-239.576;0.01;-0.067;0.000;0.000;18024.12;144.212;-239.576;-1.3
4.502;2;T7D;Audio;144.212;-239.576;0.01;-0.067;0.000;0.000;17978.56;144.212;-239.576;-1.3
4.604;2;T7D;Audio;144.213;-239.576;0.01;-0.067;0.000;0.000;17866.26;144.213;-239.576;-1.3
4.706;2;T7D;Audio;144.213;-239.576;0.00;-0.067;0.000;0.000;17781.07;144.213;-239.576;-1.3
4.808;2;T7D;Audio;144.213;-239.576;0.00;-0.067;0.000;0.000;17713.54;144.213;-239.576;-1.3
4.908;2;T7D;Audio;144.213;-239.576;0.00;-0.067;0.000;0.000;17683.50;144.213;-239.576;-1.3
5.010;2;T7D;Audio;144.213;-239.576;0.00;-0.067;0.000;0.000;17651.32;144.213;-239.576;-1.3
5.112;2;T7D;Audio;144.213;-239.576;0.00;-0.067;0.000;0.000;17611.47;144.213;-239.576;-1.3
5.214;2;T7D;Audio;144.213;-239.576;0.00;-0.067;0.000;0.000;17566.28;144.213;-239.576;-1.3
5.316;2;T7D;Audio;144.213;-239.576;0.00;-0.067;0.000;0.000;17513.56;144.213;-239.576;-1.3
5.418;2;T7D;Audio;144.213;-239.576;0.00;-0.067;0.000;0.000;17474.12;144.213;-239.576;-1.3
5.520;2;T7D;Audio;144.213;-239.576;0.00;-0.067;0.000;0.000;17433.69;144.213;-239.576;-1.3
5.622;2;T7D;Audio;144.213;-239.576;0.00;-0.067;0.000;0.000;17391.19;144.213;-239.576;-1.3
5.724;2;T7D;Audio;144.213;-239.576;0.00;-0.067;0.000;0.000;17351.98;144.213;-239.576;-1.3
5.826;2;T7D;Audio;144.213;-239.576;0.00;-0.067;0.000;0.000;17307.72;144.213;-239.576;-1.3
5.928;2;T7D;Audio;144.213;-239.576;0.00;-0.067;0.000;0.000;17259.32;144.213;-239.576;-1.3
6.030;2;T7D;Audio;144.213;-239.576;0.00;-0.067;0.000;0.000;17221.40;144.213;-239.576;-1.3
6.132;2;T7D;Audio;144.213;-239.576;0.00;-0.067;0.000;0.000;17174.53;144.213;-239.576;-1.3
6.234;2;T7D;Audio;144.213;-239.576;0.00;-0.067;0.000;0.000;17131.48;144.213;-239.576;-1.3
6.336;2;T7D;Audio;144.213;-239.576;0.00;-0.067;0.000;0.000;17092.31;144.213;-239.576;-1.3
6.438;2;T7D;Audio;144.213;-239.576;0.00;-0.067;0.000;0.000;17043.76;144.213;-239.576;-1.3
6.540;2;T7D;Audio;144.213;-239.576;0.00;-0.067;0.000;0.000;16999.06;144.213;-239.576;-1.3
6.642;2;T7D;Audio;144.213;-239.576;0.00;-0.067;0.000;0.000;16965.66;144.213;-239.576;-1.3
6.744;2;T7D;Audio;144.213;-239.576;0.00;-0.067;0.000;0.000;16920.95;144.213;-239.576;-1.3
6.846;2;T7D;Audio;144.213;-239.576;0.00;-0.067;0.000;0.000;16877.48;144.213;-239.576;-1.3
6.948;2;T7D;Audio;144.213;-239.576;0.00;-0.067;0.000;0.000;16832.10;144.213;-239.576;-1.3
7.050;2;T7D;Audio;144.213;-239.576;0.00;-0.067;0.000;0.000;16787.08;144.213;-239.576;-1.3
