Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
10.740;7;L2A;Visual;-245.290;-79.579;0.11;-0.067;0.000;0.000;24172.49;169.703;-240.300;-5.6
10.842;7;L2A;Visual;-245.290;-79.579;0.01;-0.067;0.000;0.000;24172.49;169.703;-240.300;-5.6
10.944;7;L2A;Visual;-245.291;-79.579;0.03;-0.067;0.000;0.000;24172.49;169.703;-240.300;-5.6
11.044;7;L2A;Visual;-245.291;-79.579;0.02;-0.067;0.000;0.000;24172.49;169.703;-240.300;-5.6
11.146;7;L2A;Visual;-245.291;-79.579;0.01;-0.067;0.000;0.000;24172.49;169.703;-240.300;-5.6
11.248;7;L2A;Visual;-245.292;-79.579;0.01;-0.067;0.000;0.000;24172.49;169.703;-240.300;-5.6
11.348;7;L2A;Visual;-245.292;-79.579;0.01;-0.067;0.000;0.000;24172.49;169.703;-240.300;-5.6
11.448;7;L2A;Visual;-245.292;-79.579;0.00;-0.067;0.000;0.000;24172.49;169.703;-240.300;-5.6
11.550;7;L2A;Visual;-245.292;-79.579;0.00;-0.067;0.000;0.000;24172.49;169.703;-240.300;-5.6
11.650;7;L2A;Visual;-245.292;-79.579;0.00;-0.067;0.000;0.000;24172.49;169.703;-240.300;-5.6
11.750;7;L2A;Visual;-245.292;-79.579;0.00;-0.067;0.000;0.000;24172.49;169.703;-240.300;-5.6
11.852;7;L2A;Visual;-245.292;-79.579;0.00;-0.067;0.000;0.000;24172.49;169.703;-240.300;-5.6
11.952;7;L2A;Visual;-245.292;-79.579;0.00;-0.067;0.000;0.000;24172.49;169.703;-240.300;-5.6
12.052;7;L2A;Visual;-245.293;-79.579;0.01;-0.067;0.050;0.000;24172.49;169.703;-240.300;-5.6
12.154;7;L2A;Visual;-245.285;-79.578;0.23;-0.067;0.830;0.000;24172.49;169.703;-240.300;-5.6
12.254;7;L2A;Visual;-245.243;-79.578;0.60;-0.044;1.000;0.000;24172.49;169.703;-240.300;-5.6
12.354;7;L2A;Visual;-245.164;-79.577;0.94;0.000;1.000;0.000;24172.49;169.703;-240.300;-5.6
12.456;7;L2A;Visual;-245.049;-79.577;1.30;0.022;1.000;0.000;24172.49;169.703;-240.300;-5.6
12.556;7;L2A;Visual;-244.901;-79.577;1.64;0.022;1.000;0.000;24172.49;169.703;-240.300;-5.6
12.658;7;L2A;Visual;-244.714;-79.579;1.99;0.044;1.000;0.000;24172.49;169.703;-240.300;-5.6
12.760;7;L2A;Visual;-244.492;-79.583;2.34;0.044;1.000;0.000;24172.49;169.703;-240.300;-5.6
12.860;7;L2A;Visual;-244.241;-79.589;2.67;0.044;1.000;0.000;24172.49;169.703;-240.300;-5.6
12.960;7;L2A;Visual;-243.956;-79.597;3.01;0.022;1.000;0.000;24172.49;169.703;-240.300;-5.6
13.062;7;L2A;Visual;-243.631;-79.606;3.34;0.000;1.000;0.000;24172.49;169.703;-240.300;-5.6
13.162;7;L2A;Visual;-243.280;-79.614;3.66;-0.022;1.000;0.000;24172.49;169.703;-240.300;-5.6
13.262;7;L2A;Visual;-242.897;-79.620;3.98;-0.044;1.000;0.000;24172.49;169.703;-240.300;-5.6
13.364;7;L2A;Visual;-242.473;-79.623;4.31;-0.044;1.000;0.000;24172.49;169.703;-240.300;-5.6
13.464;7;L2A;Visual;-242.026;-79.621;4.62;-0.022;1.000;0.000;24172.49;169.703;-240.300;-5.6
13.564;7;L2A;Visual;-241.547;-79.618;4.93;-0.022;1.000;0.000;24172.49;169.703;-240.300;-5.6
13.666;7;L2A;Visual;-241.028;-79.612;5.24;0.000;1.000;0.000;24172.49;169.703;-240.300;-5.6
13.766;7;L2A;Visual;-240.488;-79.605;5.53;0.000;1.000;0.000;24172.49;169.703;-240.300;-5.6
13.866;7;L2A;Visual;-239.920;-79.599;5.82;0.000;1.000;0.000;24172.49;169.703;-240.300;-5.6
13.968;7;L2A;Visual;-239.309;-79.591;6.12;0.000;1.000;0.000;24172.49;169.703;-240.300;-5.6
14.068;7;L2A;Visual;-238.682;-79.584;6.41;0.000;1.000;0.000;24172.49;169.703;-240.300;-5.6
14.170;7;L2A;Visual;-238.013;-79.576;6.70;0.000;1.000;0.000;24172.49;169.703;-240.300;-5.6
14.272;7;L2A;Visual;-237.315;-79.567;6.98;0.000;1.000;0.000;24172.49;169.703;-240.300;-5.6
14.372;7;L2A;Visual;-236.602;-79.559;7.26;0.000;1.000;0.000;24172.49;169.703;-240.300;-5.6
14.472;7;L2A;Visual;-235.862;-79.550;7.53;0.000;1.000;0.000;24172.49;169.703;-240.300;-5.6
14.574;7;L2A;Visual;-235.080;-79.540;7.81;0.000;1.000;0.000;24172.49;169.703;-240.300;-5.6
14.674;7;L2A;Visual;-234.285;-79.531;8.07;-0.022;1.000;0.000;24172.49;169.703;-240.300;-5.6
14.774;7;L2A;Visual;-233.464;-79.518;8.33;-0.022;1.000;0.000;24172.49;169.703;-240.300;-5.6
14.876;7;L2A;Visual;-232.600;-79.499;8.60;-0.022;1.000;0.000;24172.49;169.703;-240.300;-5.6
14.976;7;L2A;Visual;-231.727;-79.476;8.85;-0.022;1.000;0.000;24172.49;169.703;-240.300;-5.6
15.076;7;L2A;Visual;-230.828;-79.446;9.11;0.000;1.000;0.000;24172.49;169.703;-240.300;-5.6
15.178;7;L2A;Visual;-229.886;-79.411;9.38;0.022;1.000;0.000;24172.49;169.703;-240.300;-5.6
15.278;7;L2A;Visual;-228.937;-79.377;9.62;0.044;1.000;0.000;24172.49;169.703;-240.300;-5.6
15.380;7;L2A;Visual;-227.943;-79.348;9.86;0.044;1.000;0.000;24172.49;169.703;-240.300;-5.6
15.482;7;L2A;Visual;-226.924;-79.329;10.11;0.044;1.000;0.000;24172.49;169.703;-240.300;-5.6
15.582;7;L2A;Visual;-225.901;-79.324;10.35;0.044;1.000;0.000;24172.49;169.703;-240.300;-5.6
15.682;7;L2A;Visual;-224.855;-79.332;10.58;0.022;1.000;0.000;24172.49;169.703;-240.300;-5.6
15.784;7;L2A;Visual;-223.763;-79.355;10.81;0.022;1.000;0.000;24172.49;169.703;-240.300;-5.6
15.884;7;L2A;Visual;-222.671;-79.389;11.04;0.022;0.990;0.000;24172.49;169.703;-240.300;-5.6
15.984;7;L2A;Visual;-221.556;-79.434;11.26;0.022;0.970;0.000;24172.49;169.703;-240.300;-5.6
16.084;7;L2A;Visual;-220.419;-79.490;11.48;0.022;0.970;0.000;24172.49;169.703;-240.300;-5.6
16.186;7;L2A;Visual;-219.236;-79.558;11.72;0.000;0.960;0.000;24172.49;169.703;-240.300;-5.6
16.286;7;L2A;Visual;-218.055;-79.632;11.93;-0.022;0.960;0.000;24172.49;169.703;-240.300;-5.6
16.386;7;L2A;Visual;-216.852;-79.710;12.16;-0.022;0.940;0.000;24172.49;169.703;-240.300;-5.6
16.488;7;L2A;Visual;-215.603;-79.788;12.37;-0.022;0.940;0.000;24172.49;169.703;-240.300;-5.6
16.588;7;L2A;Visual;-214.356;-79.860;12.59;-0.022;0.920;0.000;24172.49;169.703;-240.300;-5.6
16.688;7;L2A;Visual;-213.087;-79.926;12.80;-0.022;0.910;0.000;24172.49;169.703;-240.300;-5.6
16.790;7;L2A;Visual;-211.771;-79.987;13.03;0.000;0.880;0.000;24172.49;169.703;-240.300;-5.6
16.890;7;L2A;Visual;-210.457;-80.040;13.26;0.000;0.870;0.000;24172.49;169.703;-240.300;-5.6
16.990;7;L2A;Visual;-209.116;-80.090;13.57;0.000;0.870;0.000;24172.49;169.703;-240.300;-5.6
17.092;7;L2A;Visual;-207.711;-80.140;13.90;0.000;0.870;0.000;24172.49;169.703;-240.300;-5.6
17.192;7;L2A;Visual;-206.311;-80.188;14.11;0.000;0.870;0.000;24172.49;169.703;-240.300;-5.6
17.292;7;L2A;Visual;-204.890;-80.236;14.31;-0.022;0.870;0.000;24172.49;169.703;-240.300;-5.6
17.394;7;L2A;Visual;-203.419;-80.282;14.53;-0.022;0.870;0.000;24172.49;169.703;-240.300;-5.6
17.494;7;L2A;Visual;-201.956;-80.322;14.72;-0.022;0.820;0.000;24172.49;169.703;-240.300;-5.6
17.594;7;L2A;Visual;-200.474;-80.355;14.90;0.000;0.790;0.000;24172.49;169.703;-240.300;-5.6
17.696;7;L2A;Visual;-198.946;-80.382;15.06;0.000;0.760;0.000;24172.49;169.703;-240.300;-5.6
17.796;7;L2A;Visual;-197.432;-80.404;15.20;0.000;0.730;0.000;24172.49;169.703;-240.300;-5.6
17.898;7;L2A;Visual;-195.874;-80.424;15.34;0.000;0.680;0.000;24172.49;169.703;-240.300;-5.6
17.998;7;L2A;Visual;-194.336;-80.441;15.44;0.000;0.670;0.000;24172.49;169.703;-240.300;-5.6
18.098;7;L2A;Visual;-192.786;-80.457;15.53;0.000;0.660;0.000;24172.49;169.703;-240.300;-5.6
18.200;7;L2A;Visual;-191.196;-80.473;15.63;0.000;0.620;0.000;24172.49;169.703;-240.300;-5.6
18.300;7;L2A;Visual;-189.629;-80.487;15.70;0.000;0.610;0.000;24172.49;169.703;-240.300;-5.6
18.400;7;L2A;Visual;-188.054;-80.502;15.79;0.000;0.600;0.000;24172.49;169.703;-240.300;-5.6
18.502;7;L2A;Visual;-186.440;-80.517;15.85;0.000;0.590;0.000;24172.49;169.703;-240.300;-5.6
18.602;7;L2A;Visual;-184.852;-80.531;15.91;0.000;0.580;0.000;24172.49;169.703;-240.300;-5.6
18.702;7;L2A;Visual;-183.258;-80.546;15.97;0.000;0.580;0.000;24172.49;169.703;-240.300;-5.6
