Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
26.140;8;L2D;Control;169.700;-240.300;0.22;0.000;0.000;0.000;Infinity;-95.842;-80.620;0.0
26.240;8;L2D;Control;169.700;-240.300;0.14;0.000;0.000;0.000;Infinity;-95.842;-80.620;0.0
26.340;8;L2D;Control;169.701;-240.300;0.03;0.044;0.000;0.000;Infinity;-95.842;-80.620;0.0
26.442;8;L2D;Control;169.701;-240.300;0.03;0.044;0.000;0.000;Infinity;-95.842;-80.620;0.0
26.542;8;L2D;Control;169.701;-240.300;0.03;0.044;0.000;0.000;Infinity;-95.842;-80.620;0.0
26.642;8;L2D;Control;169.702;-240.300;0.01;0.044;0.000;0.000;Infinity;-95.842;-80.620;0.0
26.744;8;L2D;Control;169.702;-240.300;0.01;0.044;0.000;0.000;Infinity;-95.842;-80.620;0.0
26.844;8;L2D;Control;169.703;-240.300;0.01;0.044;0.000;0.000;Infinity;-95.842;-80.620;0.0
26.944;8;L2D;Control;169.703;-240.300;0.00;0.044;0.000;0.000;Infinity;-95.842;-80.620;0.0
27.046;8;L2D;Control;169.688;-240.300;0.31;0.044;0.620;0.000;Infinity;-95.842;-80.620;0.0
27.146;8;L2D;Control;169.634;-240.299;0.76;0.044;1.000;0.000;Infinity;-95.842;-80.620;0.0
27.246;8;L2D;Control;169.534;-240.298;1.21;0.044;1.000;0.000;Infinity;-95.842;-80.620;0.0
27.348;8;L2D;Control;169.386;-240.295;1.66;0.044;1.000;0.000;Infinity;-95.842;-80.620;0.0
27.448;8;L2D;Control;169.198;-240.290;2.08;0.044;1.000;0.000;Infinity;-95.842;-80.620;0.0
27.548;8;L2D;Control;168.967;-240.284;2.51;0.044;1.000;0.000;Infinity;-95.842;-80.620;0.0
27.650;8;L2D;Control;168.688;-240.275;2.94;0.044;1.000;0.000;Infinity;-95.842;-80.620;0.0
27.750;8;L2D;Control;168.372;-240.263;3.35;0.044;1.000;0.000;Infinity;-95.842;-80.620;0.0
27.852;8;L2D;Control;168.008;-240.247;3.77;0.044;1.000;0.000;Infinity;-95.842;-80.620;0.0
27.952;8;L2D;Control;167.611;-240.226;4.17;0.044;1.000;0.000;Infinity;-95.842;-80.620;0.0
28.052;8;L2D;Control;167.173;-240.201;4.57;0.022;1.000;0.000;Infinity;-95.842;-80.620;0.0
28.154;8;L2D;Control;166.686;-240.172;4.98;0.000;1.000;0.000;Infinity;-95.842;-80.620;0.0
28.254;8;L2D;Control;166.169;-240.143;5.35;-0.022;1.000;0.000;Infinity;-95.842;-80.620;0.0
28.354;8;L2D;Control;165.614;-240.114;5.74;-0.022;1.000;0.000;Infinity;-95.842;-80.620;0.0
28.456;8;L2D;Control;165.008;-240.087;6.12;-0.022;1.000;0.000;Infinity;-95.842;-80.620;0.0
28.556;8;L2D;Control;164.376;-240.061;6.50;-0.022;1.000;0.000;Infinity;-95.842;-80.620;0.0
28.656;8;L2D;Control;163.708;-240.038;6.86;-0.022;0.980;0.000;Infinity;-95.842;-80.620;0.0
28.758;8;L2D;Control;162.989;-240.018;7.21;-0.022;0.980;0.000;Infinity;-95.842;-80.620;0.0
28.858;8;L2D;Control;162.249;-240.001;7.56;-0.022;0.980;0.000;Infinity;-95.842;-80.620;0.0
28.958;8;L2D;Control;161.475;-239.989;7.90;-0.022;0.960;0.000;Infinity;-95.842;-80.620;0.0
29.060;8;L2D;Control;160.651;-239.981;8.22;-0.022;0.920;0.000;Infinity;-95.842;-80.620;0.0
29.160;8;L2D;Control;159.813;-239.978;8.52;-0.022;0.900;0.000;Infinity;-95.842;-80.620;0.0
29.260;8;L2D;Control;158.945;-239.981;8.80;0.000;0.880;0.000;Infinity;-95.842;-80.620;0.0
29.362;8;L2D;Control;158.031;-239.986;9.09;0.000;0.880;0.000;Infinity;-95.842;-80.620;0.0
29.462;8;L2D;Control;157.106;-239.992;9.38;0.000;0.880;0.000;Infinity;-95.842;-80.620;0.0
29.562;8;L2D;Control;156.154;-240.000;9.65;0.000;0.870;0.000;Infinity;-95.842;-80.620;0.0
