Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
38.370;9;C1A;Multimodal;-242.230;-80.120;0.12;0.000;0.000;0.000;22501.09;-226.588;-80.117;10.6
38.472;9;C1A;Multimodal;-242.231;-80.120;0.01;0.000;0.000;0.000;20302.75;-242.231;-80.120;10.6
38.572;9;C1A;Multimodal;-242.231;-80.120;0.03;0.000;0.050;0.000;26091.52;-242.231;-80.120;10.6
38.674;9;C1A;Multimodal;-242.227;-80.120;0.11;0.000;0.330;0.000;2012.89;-242.227;-80.120;10.6
38.776;9;C1A;Multimodal;-242.205;-80.120;0.35;0.000;0.590;0.000;637.88;-49.863;-80.071;10.6
38.876;9;C1A;Multimodal;-242.153;-80.120;0.68;0.000;0.750;0.000;313.59;-49.853;-80.069;10.6
38.978;9;C1A;Multimodal;-242.065;-80.120;1.05;0.000;0.860;0.000;200.40;-49.852;-80.060;10.7
39.078;9;C1A;Multimodal;-241.938;-80.120;1.46;0.000;0.940;0.000;143.26;-49.841;-80.052;10.7
39.180;9;C1A;Multimodal;-241.767;-80.120;1.88;0.000;0.960;0.000;108.47;-49.834;-80.046;10.7
39.280;9;C1A;Multimodal;-241.557;-80.120;2.30;0.000;0.990;0.000;87.94;-49.828;-80.042;10.8
39.382;9;C1A;Multimodal;-241.299;-80.120;2.72;0.000;0.990;0.000;73.67;-49.823;-80.038;10.8
39.482;9;C1A;Multimodal;-241.004;-80.120;3.14;0.000;0.990;0.000;63.46;-49.818;-80.032;10.8
39.584;9;C1A;Multimodal;-240.662;-80.120;3.56;0.000;0.980;0.000;55.97;-49.812;-80.023;10.8
39.686;9;C1A;Multimodal;-240.277;-80.120;3.95;0.000;0.980;0.000;50.12;-49.805;-80.014;10.9
39.786;9;C1A;Multimodal;-239.861;-80.119;4.34;0.000;0.980;0.000;45.42;-49.797;-80.006;10.9
39.888;9;C1A;Multimodal;-239.396;-80.119;4.75;0.000;0.970;0.000;41.42;-49.789;-79.997;10.9
39.988;9;C1A;Multimodal;-238.902;-80.118;5.12;0.000;0.960;0.000;38.30;-49.780;-79.991;10.9
40.090;9;C1A;Multimodal;-238.364;-80.118;5.36;0.000;0.600;0.000;36.11;-49.771;-79.984;11.0
